word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/29/lemma/@_entry,word/29/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form
*)anti/oxos,Ἀντίοχος,proper,o(,ὁ,article,*seleu/kou,Σέλευκος,proper,tou=,ὁ,article,*)antio/xou,Ἀντίοχος,proper,*su/rwn,Σύρος,proper,kai\,καί,conjunction,*babulwni/wn,Βαβυλώνιοι,proper,kai\,καί,conjunction,e(te/rwn,ἕτερος,adjective,e)qnw=n,ἔθνος,adjective,basileu/s,βασιλεύς,noun,e(/ktos,ἕκτος,adjective,de\,δέ,particle,a)po\,ἀπό,preposition,*seleu/kou,Σέλευκος,proper,tou=,ὁ,article,met',μετά,preposition,*)ale/candron,Ἀλέξανδρος,proper,*)asi/as,Ἄσιος,proper,th=s,ὁ,article,peri\,περί,preposition,*eu)fra/thn,Εὐφράτης,proper,bebasileuko/tos,βασιλεύω,verb,e)sbalw\n,εἰσβάλλω,verb,e)s,εἰς,preposition,*mhdi/an,Μηδίη,proper,te,τε,particle,kai\,καί,conjunction,*parquhnh\n,kai\,καί,conjunction,e(/tera,ἕτερος,adjective,e)/qnh,ἔθνος,adjective,a)fista/mena,ἀφίστημι,verb,e)/ti,ἔτι,adverb,pro\,πρό,preposition,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,polla\,πολύς,adjective,kai\,καί,conjunction,mega/la,μέγας,adverb,dra/sas,δράω,verb,kai\,καί,conjunction,me/gas,μέγας,adverb,*)anti/oxos,Ἀντίοχος,proper,a)po\,ἀπό,preposition,tou=de,ὅδε,pronoun,klhqei/s,καλέω,verb,e)pairo/menos,ἐπαίρω,verb,toi=s,ὁ,article,gegono/si,γίγνομαι,verb,kai\,καί,conjunction,th=|,ὁ,article,di',διά,preposition,au)ta\,αὐτός,pronoun,proswnumi/a|,προσωνυμία,noun,*suri/an,Σύριος,proper,te,τε,particle,th\n,ὁ,article,koi/lhn,κόιλος,adjective,kai\,καί,conjunction,*kiliki/as,Κίλιξ,proper,e)/stin,εἰμί,verb,a(\,ὅς,pronoun,*ptolemai/ou,Πτολεμαῖος,proper,tou=,ὁ,article,filopa/toros,φιλοπάτωρ,noun,*ai)gu/ptou,Αἴγυπτος,proper,basile/ws,βασιλεύς,noun,e)/ti,ἔτι,adverb,paido\s,παῖς,adjective,o)/ntos,εἰμί,verb,e)pidramw\n,ἐπιτρέχω,verb,perie/spase,περισπάω,verb,kai\,καί,conjunction,mikro\n,μικρός,adjective,ou)de\n,οὐδείς,pronoun,e)nqumou/menos,ἐνθυμέομαι,verb,*(ellhsponti/ous,Ἑλλησποντιακός,adjective,e)ph/|ei,ἔπειμι,verb,kai\,καί,conjunction,*ai)ole/as,Αἰολεύς,proper,kai\,καί,conjunction,*)/iwnas,Ἴων,proper,w(s,ὡς,conjunction,oi(=,ἕ,pronoun,prosh/kontas,προσήκω,verb,a)/rxonti,ἄρχων,noun,th=s,ὁ,article,*)asi/as,Ἄσιος,proper,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,pa/lai,πάλαι,adverb,tw=n,ὁ,article,th=s,ὁ,article,*)asi/as,Ἄσιος,proper,basile/wn,βασίλη,noun,u(ph/kouon,ὑπακούω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/s,εἰς,preposition,te,τε,particle,th\n,ὁ,article,*eu)rw/phn,Εὐρώπη,proper,diapleu/sas,διαπλέω,verb,*qra/|khn,Θρᾴκη,proper,u(ph/geto,ὑπάγω,verb,kai\,καί,conjunction,ta\,ὁ,article,a)peiqou=nta,ἀπειθέω,verb,e)bia/zeto,βιάζω,verb,*xerro/nhso/n,Χερρόνησος,proper,te,τε,particle,w)xu/rou,ὀχυρόω,verb,kai\,καί,conjunction,*lusima/xeian,Λυσιμαχεία,proper,w)/|kizen,οἰκίζω,verb,h(\n,ὅς,pronoun,*lusi/maxos,Λυσίμαχος,proper,me\n,μέν,particle,o(,ὁ,article,*qra/|khs,Θρᾴκη,proper,e)pi\,ἐπί,preposition,*)aleca/ndrw|,Ἀλέξανδρος,proper,basileu/sas,βασιλεύω,verb,e)/ktisen,ἐκτίνω,verb,e)pitei/xisma,ἐπιτείχισμα,noun,toi=s,ὁ,article,*qra|ci\n,Θράκιος,proper,ei)=nai,oi(,ὁ,article,*qra=|kes,Θράκιος,proper,d',δέ,particle,a)poqano/ntos,ἀποθνήσκω,verb,tou=,ὁ,article,*lusima/xou,Λυσίμαχος,proper,kaqh|rh/kesan,καθαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,o(,ὁ,article,*)anti/oxos,Ἀντίοχος,proper,sunw/|kize,συνοικίζω,verb,tou/s,ὁ,article,te,τε,particle,feu/gontas,φεύγω,verb,tw=n,ὁ,article,*lusimaxe/wn,Λυσιμάχη,proper,katakalw=n,κατακαλέω,verb,kai\,καί,conjunction,ei)/,εἰ,conjunction,tines,τις,pronoun,au)tw=n,αὐτός,pronoun,ai)xma/lwtoi,αἰχμάλωτος,adjective,gegono/tes,γίγνομαι,verb,e)dou/leuon,δουλεύω,verb,w)nou/menos,ὠνέομαι,verb,kai\,καί,conjunction,e(te/rous,ἕτερος,adjective,proskatale/gwn,προσκαταλέγω,verb,kai\,καί,conjunction,bou=s,βοῦς,noun,kai\,καί,conjunction,pro/bata,πρόβατον,noun,kai\,καί,conjunction,si/dhron,σίδηρον,noun,e)s,εἰς,preposition,gewrgi/an,γεωργία,noun,e)pididou/s,kai\,καί,conjunction,ou)de\n,οὐδείς,pronoun,e)llei/pwn,ἐλλείπω,verb,e)s,εἰς,preposition,taxei=an,ταχύς,adjective,e)piteixi/smatos,ἐπιτείχισμα,noun,o(rmh/n,ὁρμή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπιδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/nu,πάνυ,adverb,ga\r,γάρ,particle,au)tw=|,αὐτός,pronoun,to\,ὁ,article,xwri/on,χωρίον,noun,e)fai/neto,φαίνω,verb,lamprw=s,λαμπρός,adjective,e)/xein,ἔχω,verb,e)pi\,ἐπί,preposition,o(/lh|,ὅλος,adjective,*qra/|kh|,Θρᾴκη,proper,kai\,καί,conjunction,tamiei=on,ταμιεῖον,noun,eu)/kairon,εὔκαιρος,adjective,e)s,εἰς,preposition,ta\,ὁ,article,loipa\,λοιπός,adjective,w(=n,ὅς,pronoun,e)peno/ei,ἐπινοέω,verb,pa/ntwn,πᾶς,adjective,e)/sesqai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta,οὗτος,pronoun,d',δέ,particle,au)tw=|,αὐτός,pronoun,diafora=s,διαφορά,noun,fanera=s,φανερός,adjective,kai\,καί,conjunction,pro\s,πρός,preposition,*(rwmai/ous,,,h)=rcen,ἄρχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,ga\r,γάρ,particle,dh\,δή,particle,meth/|ei,μέτειμι,verb,ta\s,ὁ,article,th=|de,ὅδε,pronoun,*(ellhni/das,Ἑλληνίς,proper,po/leis,πόλις,adjective,oi(,ἕ,pronoun,me\n,μέν,particle,ple/ones,πλείων,verb,au)tw=|,αὐτός,pronoun,proseti/qento,προστίθημι,verb,kai\,καί,conjunction,froura\s,φρουρά,noun,e)sede/xonto,εἰσδέω,verb,de/ei,δέος,noun,tw=|,ὁ,article,th=s,ὁ,article,a(lw/sews,ἅλωσις,noun,*smurnai=oi,Σμυρναῖος,proper,de\,δέ,particle,kai\,καί,conjunction,*lamyakhnoi\,Λαμψακηνός,proper,kai\,καί,conjunction,e(/teroi,ἕτερος,adjective,e)/ti,ἔτι,adverb,a)nte/xontes,ἀντέχω,verb,e)presbeu/onto,πρεσβεύω,verb,e)s,*flamini=non,,,to\n,ὁ,article,*(rwmai/wn,,,strathgo/n,στρατηγός,noun,a)/rti,ἄρτι,adverb,*fili/ppou,Φίλιππος,proper,tou=,ὁ,article,*makedo/nos,Μακεδών,proper,mega/lh|,μέγας,adverb,ma/xh|,μάχη,noun,peri\,περί,preposition,*qettali/an,Θεσσαλία,proper,kekrathko/ta,κρατέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰς,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gi/gneto,γίγνομαι,verb,ga\r,γάρ,particle,dh\,δή,particle,kai\,καί,conjunction,ta\,ὁ,article,*makedo/nwn,Μακεδών,proper,kai\,καί,conjunction,ta\,ὁ,article,*(ellh/nwn,Ἕλλην,proper,e)pi/mikta,,,a)llh/lois,ἀλλήλων,pronoun,a)na\,ἀνά,preposition,me/rh,μέρα,noun,kai\,καί,conjunction,xro/nous,χρόνος,noun,w(/s,ὡς,conjunction,moi,ἐγώ,pronoun,e)n,ἐν,preposition,th=|,ὁ,article,*(ellhnikh=|,Ἑλληνικός,adjective,grafh=|,γραφεύς,noun,dedh/lwtai,δηλόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,gi/gnontai/,γίγνομαι,verb,tines,τις,pronoun,*)antio/xw|,Ἀντίοχος,proper,kai\,καί,conjunction,*flamini/nw|,,,diapresbeu/seis,διαπρεσβεύομαι,verb,te,τε,particle,e)s,εἰς,preposition,a)llh/lous,ἀλλήλων,pronoun,kai\,καί,conjunction,a)po/peirai,ἀπόπειρα,noun,a)telei=s,ἀτελής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,pollou=,πολύς,adjective,de\,δέ,particle,oi(,ὁ,article,*(rwmai=oi,,,kai\,καί,conjunction,o(,ὁ,article,*)anti/oxos,Ἀντίοχος,proper,u(po/ptws,ὕποπτος,adjective,ei)=xon,ἔχω,verb,a)llh/lois,ἀλλήλων,pronoun,oi(,ὁ,article,me\n,μέν,particle,ou)k,οὐ,adverb,a)tremh/sein,ἀτρεμέω,verb,u(polamba/nontes,ὑπολαμβάνω,verb,*)anti/oxon,Ἀντίοχος,proper,e)pairo/menon,ἐπαίρω,verb,a)rxh=s,ἀρχή,noun,te,τε,particle,mege/qei,μέγεθος,adjective,kai\,καί,conjunction,eu)praci/as,εὐπραξία,noun,a)kmh=|,ἀκμή,noun,o(,ὁ,article,de\,δέ,particle,*(rwmai/ous,,,oi(,ὁ,article,mo/nous,μόνος,adjective,au)come/nw|,ma/lista,μάλιστα,adverb,e)mpodw\n,ἐμποδών,adverb,e)/sesqai,εἰμί,verb,kai\,καί,conjunction,kwlu/sein,κωλύω,verb,e)s,εἰς,preposition,th\n,ὁ,article,*eu)rw/phn,Εὐρώπη,proper,peraiou/menon,περαιόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αὐξάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)deno\s,οὐδείς,pronoun,de/,δέ,particle,pw,πω,particle,fanerou=,φανερός,adjective,gegono/tos,γίγνομαι,verb,au)toi=s,αὐτός,pronoun,e)s,εἰς,preposition,e)/xqran,ἔχθρα,noun,a)fi/konto,ἀφικνέομαι,verb,pre/sbeis,πρέσβις,noun,e)s,εἰς,preposition,*(rw/mhn,,,para\,παρά,preposition,*ptolemai/ou,Πτολεμαῖος,proper,tou=,ὁ,article,filopa/toros,φιλοπάτωρ,noun,ai)tiwme/nou,αἰτιάομαι,verb,*suri/an,Σύριος,proper,te,τε,particle,kai\,καί,conjunction,*kiliki/an,Κίλιξ,proper,*)anti/oxon,Ἀντίοχος,proper,au)to\n,αὐτός,pronoun,u(fele/sqai,ὑφαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
