word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS
xro/nos,χρόνος,noun,e)sti\n,εἰμί,verb,e)n,ἐν,preposition,w(=|,ὅς,pronoun,kairo/s,καιρός,noun,kai\,καί,conjunction,kairo\s,καιρός,noun,e)n,ἐν,preposition,w(=|,ὅς,pronoun,xro/nos,χρόνος,noun,ou),οὐ,adverb,polu/s,πολύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/kesis,ἄκεσις,noun,xro/nw|,χρόνος,noun,e)/sti,εἰμί,verb,de\,δέ,particle,h(ni/ka,ἡνίκα,adverb,kai\,καί,conjunction,kairw=|,καιρός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dei=,δέομαι,verb,ge,γε,particle,mh\n,μήν,particle,tau=ta,οὗτος,pronoun,ei)do/ta,οἶδα,verb,mh\,μή,conjunction,logismw=|,λογισμός,noun,pro/teron,πρότερος,adjective,piqanw=|,πιθανός,adjective,prose/xonta,προσέχω,verb,i)htreu/ein,,,a)lla\,ἀλλά,adverb,tribh=|,τρίβω,verb,meta\,μετά,preposition,lo/gou,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,ga\r,γάρ,particle,logismo\s,λογισμός,noun,mnh/mh,μνήμη,noun,ti/s,τίς,pronoun,e)sti,εἰμί,verb,sunqetikh\,συνθετικός,adjective,tw=n,ὁ,article,met',μετά,preposition,ai)sqh/sios,αἴσθησις,noun,lhfqe/ntwn,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)fantasiw/qh,φαντασιόω,verb,ga\r,γάρ,particle,e)narge/ws,ἐναργής,adverb,h(,ὁ,article,ai)/sqhsis,αἴσθησις,noun,propaqh\s,προπαθής,adjective,kai\,καί,conjunction,a)napompo\s,ἀναπομπός,noun,e)ou=sa,εἰμί,verb,e)s,εἰς,preposition,dia/noian,διάνοια,noun,tw=n,ὁ,article,u(pokeime/nwn,ὑπόκειμαι,verb,h(,ὁ,article,de\,δέ,particle,paradecame/nh,παραδέχομαι,verb,polla/kis,πολλάκις,adverb,oi(=s,ὅς,pronoun,o(/te,ὅτε,conjunction,o(koi/ws,ὁποῖος,adjective,thrh/sasa,τηρέω,verb,kai\,καί,conjunction,e)s,εἰς,preposition,e(wuth\n,ἑαυτοῦ,pronoun,kataqeme/nh,κατατίθημι,verb,e)mnhmo/neusen,μνημονεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sugkataine/w,,,me\n,μέν,particle,ou)=n,οὖν,particle,kai\,καί,conjunction,to\n,ὁ,article,logismo/n,λογισμός,noun,h)/nper,ἤνπερ,adverb,e)k,ἐκ,preposition,periptw/sios,περίπτωσις,noun,poih=tai,ποιέω,verb,th\n,ὁ,article,a)rxh/n,ἀρχή,noun,kai\,καί,conjunction,th\n,ὁ,article,kataforh\n,καταφορά,noun,e)k,ἐκ,preposition,tw=n,ὁ,article,fainome/nwn,φαίνω,verb,meqodeu/h|,μεθοδεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,ga\r,γάρ,particle,tw=n,ὁ,article,e)narge/ws,ἐναργής,adverb,e)piteleome/nwn,ἐπιτέλλω,verb,h)\n,ἐάν,conjunction,th\n,ὁ,article,a)rxh\n,ἀρχή,noun,poih/shtai,ποιέω,verb,o(,ὁ,article,logismo/s,λογισμός,noun,e)n,ἐν,preposition,dianoi/hs,διάνοια,noun,duna/mei,δύναμις,adjective,u(pa/rxwn,ὑπάρχω,verb,eu(ri/sketai,εὑρίσκω,verb,paradexome/nhs,παραδέχομαι,verb,au)th=s,αὐτός,pronoun,e(/kasta,ἕκαστος,adjective,par',παρά,preposition,a)/llwn,ἄλλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(polhpte/on,ὑποληπτέον,adjective,ou)=n,οὖν,particle,th\n,ὁ,article,fu/sin,φύσις,noun,u(po\,ὑπό,preposition,tw=n,ὁ,article,pollw=n,πολύς,adjective,kai\,καί,conjunction,pantoi/wn,παντοῖος,adjective,prhgma/twn,πρᾶγμα,noun,kinhqh=nai/,κινέω,verb,te,τε,particle,kai\,καί,conjunction,didaxqh=nai,διδάσκω,verb,bi/hs,βία,adjective,u(peou/shs,ὕπειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,de\,δέ,particle,dia/noia,διάνοια,noun,par',παρά,preposition,au)th=s,αὐτός,pronoun,labou=sa,λαμβάνω,verb,w(s,ὡς,conjunction,proei=pon,προεῖπον,verb,u(/steron,ὕστερος,adjective,e)s,εἰς,preposition,a)lhqei/hn,ἀλήθεια,adjective,h)/gagen,ἄγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,mh\,μή,conjunction,e)c,ἐκ,preposition,e)narge/os,ἐναργής,adverb,e)fo/dou,ἔφοδος,noun,e)k,ἐκ,preposition,de\,δέ,particle,piqanh=s,πιθανός,adjective,a)napla/sios,ἀνάπλασις,noun,lo/gou,λόγος,noun,polla/kis,πολλάκις,adverb,barei/hn,,,kai\,καί,conjunction,a)nihrh\n,ἀνιαρός,adjective,e)ph/negke,ἐπιφέρω,verb,dia/qesin,διάθεσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=toi,οὗτος,pronoun,de\,δέ,particle,a)nodi/hn,ἀνοδία,noun,xeiri/zousi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,ga\r,γάρ,particle,a)\n,ἄν,particle,h)=n,εἰμί,verb,kako/n,κακός,adjective,h)\n,ἐάν,conjunction,ta\,ὁ,article,e)pi/xeira,ἐπίχειρα,noun,e)komi/zonto,κομίζω,verb,oi(,ἕ,pronoun,ta\,ὁ,article,th=s,ὁ,article,i)htrikh=s,ἰατρικός,adjective,e)/rga,ἔργον,noun,kakw=s,κακός,adjective,dhmiourge/ontes,δημιουργέω,verb,nu=n,νῦν,adverb,de\,δέ,particle,toi=s,ὁ,article,a)naiti/ois,ἀναίω,verb,e)ou=si,εἰμί,verb,tw=n,ὁ,article,kamno/ntwn,κάμνω,verb,o(ko/sois,ὁπόσος,adjective,ou)x,οὐ,adverb,i(kanh\,ἱκανός,adjective,e)fai/neto,φαίνω,verb,e)ou=sa,εἰμί,verb,tou=,ὁ,article,nosei=n,νοσέω,verb,bi/h,βία,adjective,ei),εἰ,conjunction,mh\,μή,conjunction,sune/lqoi,συνέρχομαι,verb,th=|,ὁ,article,tou=,ὁ,article,i)htrou=,ἰατρός,noun,a)peiri/h|,ἀπειρία,noun,,,,,,,,,,,,,
peri\,περί,preposition,me\n,μέν,particle,ou)=n,οὖν,particle,tou/twn,οὗτος,pronoun,a(/lis,ἅλις,adverb,e)/stw,εἰμί,verb,dieilegme/na,διαλέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=n,ὁ,article,d',δέ,particle,w(s,ὡς,conjunction,lo/gou,λόγος,noun,mo/nou,μόνος,adjective,sumperainome/nwn,συμπεραίνω,verb,mh\,μή,conjunction,ei)/h,ἀίω,verb,e)pau/rasqai,ἐπαυρέω,verb,tw=n,ὁ,article,de\,δέ,particle,w(s,ὡς,conjunction,e)/rgou,ἔργον,noun,e)ndei/cios,ἔνδειξις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sfalerh\,σφαλερός,adjective,ga\r,γάρ,particle,kai\,καί,conjunction,eu)/ptaistos,εὔπταιστος,adjective,h(,ὁ,article,met',μετά,preposition,a)dolesxi/hs,ἀδολεσχία,adjective,i)sxu/risis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dio\,διό,conjunction,kai\,καί,conjunction,kaqo/lou,καθόλου,adverb,dei=,δέομαι,verb,e)/xesqai,ἔχω,verb,tw=n,ὁ,article,ginome/nwn,γίγνομαι,verb,kai\,καί,conjunction,peri\,περί,preposition,tau=ta,οὗτος,pronoun,mh\,μή,conjunction,e)laxi/stws,ἐλάχιστος,adjective,gi/nesqai,γίγνομαι,verb,h)\n,ἐάν,conjunction,me/llh|,μέλλω,verb,e(/cein,ἔχω,verb,r(hi+di/hn,ῥᾴδιος,adjective,kai\,καί,conjunction,a)nama/rthton,ἀναμάρτητος,adjective,e(/cin,ἕξις,noun,h(\n,ὅς,pronoun,dh\,δή,particle,i)htrikh\n,ἰατρικός,adjective,prosagoreu/omen,προσαγορεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka/rta,κάρτα,adverb,ga\r,γάρ,particle,mega/lhn,μέγας,adverb,w)feli/hn,ὠφέλεια,noun,peripoih/sei,περιποιέω,verb,toi=s,ὁ,article,ge,γε,particle,nose/ousi,νοσέω,verb,kai\,καί,conjunction,toi=s,ὁ,article,tou/twn,οὗτος,pronoun,dhmiourgoi=s,δημιουργός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,o)knei=n,ὀκνέω,verb,de\,δέ,particle,para\,παρά,preposition,i)diwte/wn,ἰδιώτης,noun,i(storei=n,ἱστορέω,verb,h)/n,ἐάν,conjunction,ti,τις,pronoun,dokh=|,δοκάζω,verb,sunoi/sein,συμφέρω,verb,e)s,εἰς,preposition,kairo\n,καιρός,noun,qerapei/hs,θεραπεία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,ga\r,γάρ,particle,doke/w,δοκέω,verb,th\n,ὁ,article,su/mpasan,σύμπας,adjective,te/xnhn,τέχνη,noun,a)nadeixqh=nai,ἀναδείκνυμι,verb,dia\,διά,preposition,to\,ὁ,article,e)c,ἐκ,preposition,e(ka/stou,ἕκαστος,adjective,ti,τις,pronoun,tou=,ὁ,article,te/lous,τέλος,noun,thrhqh=nai,τηρέω,verb,kai\,καί,conjunction,e)s,εἰς,preposition,tau)to\,αὐτός,pronoun,sunalisqh=nai,συναλίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
