word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS
*ta/de,ὅδε,pronoun,me\n,μέν,particle,*persw=n,Πέρσης,proper,tw=n,ὁ,article,oi)xome/nwn,οἴχομαι,verb,*(ella/d',Ἑλλάς,proper,e)s,εἰς,preposition,ai)=an,αἶα,noun,pista\,πιστός,adjective,kalei=tai,καλέω,verb,kai\,καί,conjunction,tw=n,ὁ,article,a)fnew=n,ἀφνειός,adjective,kai\,καί,conjunction,poluxru/swn,πολύχρυσος,adjective,e(dra/nwn,ἕδρανον,noun,fu/lakes,φύλαξ,noun,kata\,κατά,preposition,presbei/an,πρεσβεία,noun,ou(\s,ὅς,pronoun,au)to\s,αὐτός,pronoun,a)/nac,ἄναξ,noun,*ce/rchs,Ξέρξης,proper,basileu\s,βασιλεύς,noun,*dareiogenh\s,Δαρειογενής,proper,ei(/leto,αἱρέω,verb,xw/ras,χώρα,noun,e)foreu/ein,ἐφορεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)mfi\,ἀμφί,preposition,de\,δέ,particle,no/stw|,νόστος,noun,tw=|,ὁ,article,basilei/w|,βασίλειον,noun,kai\,καί,conjunction,poluxru/sou,πολύχρυσος,adjective,stratia=s,στρατία,noun,h)/dh,ἤδη,adverb,kako/mantis,κακόμαντις,noun,a)/gan,ἄγαν,adverb,o)rsolopei=tai,ὀρσολοπέω,verb,qumo\s,θυμός,noun,e)/swqen,ἔσωθεν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa=sa,πᾶς,adjective,ga\r,γάρ,particle,i)sxu\s,ἰσχύς,noun,*)asiatogenh\s,Ἀσιατογενής,proper,w)/|xwke,οἴχομαι,verb,ne/on,νέος,adjective,d',δέ,particle,a)/ndra,ἀνήρ,noun,bau/+zei,βαύζω,verb,kou)/te,οὔτε,adverb,tis,τις,pronoun,a)/ggelos,ἄγγελος,noun,ou)/te,οὔτε,adverb,tis,τις,pronoun,i(ppeu\s,ἱππεύς,noun,a)/stu,ἄστυ,noun,to\,ὁ,article,*persw=n,Πέρσης,proper,a)fiknei=tai,ἀφικνέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(/te,ὅστε,pronoun,to\,ὁ,article,*sou/swn,Σοῦσα,proper,h)d',ἠδέ,conjunction,*)agbata/nwn,,,kai\,καί,conjunction,to\,ὁ,article,palaio\n,παλαιός,adjective,*ki/ssion,Κίσσιος,proper,e(/rkos,ἕρκος,noun,prolipo/ntes,προλείπω,verb,e)/ban,βαίνω,verb,toi\,σύ,pronoun,me\n,μέν,particle,e)f',ἐπί,preposition,i(/ppwn,ἵππος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi\,σύ,pronoun,d',δέ,particle,e)pi\,ἐπί,preposition,naw=n,ναός,noun,pezoi/,πεζός,adjective,te,τε,particle,ba/dhn,βάδην,adverb,pole/mou,πόλεμος,noun,sti=fos,στῖφος,noun,pare/xontes,παρέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(=os,οἷος,adjective,*)ami/strhs,,,h)d',ἠδέ,conjunction,*)artafre/nhs,Ἀρταφρένης,proper,kai\,καί,conjunction,*megaba/ths,Μεγαβάτης,proper,h)d',ἠδέ,conjunction,*)asta/sphs,,,tagoi\,ταγός,noun,*persw=n,Πέρσης,proper,basilh=s,βασιλεύς,noun,basile/ws,βασιλεύς,noun,u(/poxoi,ὕποχος,adjective,mega/lou,μέγας,adverb,sou=ntai,σέω,verb,stratia=s,στρατία,noun,pollh=s,πολύς,adjective,e)/foroi,ἔφορος,noun,tocoda/mante/s,τοξόδαμνος,adjective,t',τε,particle,h)d',ἠδέ,conjunction,i(ppoba/tai,ἱπποβάτης,adjective,foberoi\,φοβερός,adjective,me\n,μέν,particle,i)dei=n,εἶδον,verb,deinoi\,δεινός,adjective,de\,δέ,particle,ma/xhn,μάχη,noun,yuxh=s,ψυχή,noun,eu)tlh/moni,εὐτλήμων,adjective,do/ch|,δόξα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)artemba/rhs,Ἀρτεμβάρης,proper,q',τε,particle,i(ppioxa/rmhs,ἱππιοχάρμης,noun,kai\,καί,conjunction,*masi/strhs,,,o(/,ὅς,pronoun,te,τε,particle,tocoda/mas,τοξόδαμνος,adjective,e)sqlo\s,ἐσθλός,adjective,*)imai=os,,,*faranda/khs,,,q',τε,particle,i(/ppwn,ἵππος,noun,t',τε,particle,e)lath\r,ἐλατήρ,noun,*sosqa/nhs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/llous,ἄλλος,adjective,d',δέ,particle,o(,ὁ,article,me/gas,μέγας,adverb,kai\,καί,conjunction,poluqre/mmwn,πολυθρέμμων,adjective,*nei=los,Νεῖλος,proper,e)/pemyen,πέμπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*sousiska/nhs,,,*phgastagw\n,,,*ai)guptogenh/s,Αἰγυπτογενής,proper,o(/,ὅς,pronoun,te,τε,particle,th=s,ὁ,article,i(era=s,ἱερεύς,adjective,*me/mfidos,Μέμφις,proper,a)/rxwn,ἄρχων,noun,me/gas,μέγας,adverb,*)arsa/mhs,Ἀρσάμης,proper,ta/s,ὁ,article,t',σύ,pronoun,w)gugi/ous,Ὠγύγιος,proper,*qh/bas,Θήβη,proper,e)fe/pwn,ἐφέπω,verb,*)ario/mardos,Ἀριόμαρδος,proper,kai\,καί,conjunction,e(leioba/tai,ἑλειοβάτης,adjective,naw=n,ναός,noun,e)re/tai,ἐρέτης,noun,deinoi\,δεινός,adjective,plh=qo/s,πλῆθος,noun,t',τε,particle,a)na/riqmoi,ἀνάριθμος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(brodiai/twn,ἁβροδίαιτος,adjective,d',δέ,particle,e(/petai,ἕπομαι,verb,*ludw=n,Λυδός,proper,o)/xlos,ὄχλος,noun,oi(/,ἕ,pronoun,t',τε,particle,e)pi/pan,ἐπίπαν,adverb,h)peirogene\s,ἠπειρογενής,adjective,kate/xousin,κατέχω,verb,e)/qnos,ἔθνος,adjective,tou\s,ὁ,article,*mhtrogaqh\s,,,*)arkteu/s,,,t',τε,particle,a)gaqo/s,ἀγαθός,adjective,basilh=s,βασιλεύς,noun,di/opoi,δίοπος,adjective,kai\,καί,conjunction,polu/xrusoi,πολύχρυσος,adjective,*sa/rdeis,Σάρδεις,proper,e)po/xous,ἔποχος,adjective,polloi=s,πολύς,adjective,a(/rmasin,ἅρμα,noun,e)cormw=sin,ἐξορμάω,verb,di/rruma/,δίρρυμος,adjective,te,τε,particle,kai\,καί,conjunction,tri/rruma,τρίρρυμος,adjective,te/lh,τέλος,noun,fobera\n,φοβερός,adjective,o)/yin,ὄψις,noun,proside/sqai,προσεῖδον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steu=tai,στεῦμαι,verb,d',δέ,particle,i(erou=,ἱερόν,noun,*tmw/lou,Τμῶλος,proper,pela/tai,πελάτης,noun,zugo\n,ζυγόν,noun,a)mfibalei=n,ἀμφιβάλλω,verb,dou/lion,δούλιος,adjective,*(ella/di,Ἑλλάς,proper,*ma/rdwn,,,*qa/rubis,,,lo/gxhs,λόγχη,noun,a)/kmones,ἄκμων,noun,kai\,καί,conjunction,a)kontistai\,ἀκοντιστής,noun,*musoi/,Μυσός,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*babulw\n,Βαβυλών,proper,d',δέ,particle,h(,ὁ,article,polu/xrusos,πολύχρυσος,adjective,pa/mmikton,πάμμικτος,adjective,o)/xlon,ὄχλος,noun,pe/mpei,πέμπω,verb,su/rdhn,σύρδην,adverb,naw=n,ναός,noun,t',τε,particle,e)po/xous,ἔποχος,adjective,kai\,καί,conjunction,tocoulkw=|,τοξουλκός,adjective,lh/mati,λῆμα,noun,pistou/s,πιστός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,maxairofo/ron,μαχαιροφόρος,adjective,t',τε,particle,e)/qnos,ἔθνος,adjective,e)k,ἐκ,preposition,pa/shs,πᾶς,adjective,*)asi/as,Ἄσιος,proper,e(/petai,ἕπομαι,verb,deinai=s,δεινός,adjective,basile/ws,βασιλεύς,noun,u(po\,ὑπό,preposition,pompai=s,πομπή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toio/nd',τοιόσδε,adjective,a)/nqos,ἄνθος,adjective,*persi/dos,Περσίς,proper,ai)/as,αἶα,noun,oi)/xetai,οἴχομαι,verb,a)ndrw=n,ἀνήρ,noun,ou(\s,ὅς,pronoun,pe/ri,περί,preposition,pa=sa,πᾶς,adjective,xqw\n,χθών,noun,*)asih=tis,Ἀσιανός,proper,qre/yasa,τρέφω,verb,po/qw|,πόθος,noun,ste/netai,στένω,verb,malerw=|,μαλερός,adjective,toke/es,τοκεύς,noun,t',τε,particle,a)/loxoi/,ἄλοχος,adjective,q',τε,particle,h(merolegdo\n,ἡμερολεγδόν,adverb,tei/nonta,τείνω,verb,xro/non,χρόνος,noun,trome/ontai,τρομέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
