word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/17/lemma/@_entry,word/17/lemma/@_POS,word/25/lemma/@_entry,word/25/lemma/@_POS,word/47/lemma/@_entry,word/47/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/129/lemma/@_entry,word/129/lemma/@_POS,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS,word/133/@_form,word/133/lemma/@_entry,word/133/lemma/@_POS,word/134/@_form,word/134/lemma/@_entry,word/134/lemma/@_POS,word/135/@_form,word/135/lemma/@_entry,word/135/lemma/@_POS
*pollw=n,Πόλλης,proper,kai\,καί,conjunction,mega/lwn,μέγας,adverb,h(mi=n,ἐγώ,pronoun,dia\,διά,preposition,tou=,ὁ,article,no/mou,νόμος,noun,kai\,καί,conjunction,tw=n,ὁ,article,profhtw=n,προφήτης,adjective,kai\,καί,conjunction,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,tw=n,ὁ,article,kat',κατά,preposition,au)tou\s,αὐτός,pronoun,h)kolouqhko/twn,ἀκολουθέω,verb,dedo,me/nwn,μένω,verb,u(pe\r,ὑπέρ,preposition,w(=n,ὅς,pronoun,de/on,δέω,verb,e)sti\n,εἰμί,verb,e)painei=n,ἐπαινέω,verb,to\n,ὁ,article,*israhl,paidei/as,παιδεία,noun,kai\,καί,conjunction,sofi/as,σοφία,noun,kai\,καί,conjunction,w(s,ὡς,conjunction,ou),οὐ,adverb,mo/non,μόνος,adjective,au)tou\s,αὐτός,pronoun,tou\s,ὁ,article,a)naginw/skontas,ἀναγιγνώσκω,verb,de/on,δέον,adjective,e)sti\n,εἰμί,verb,e)pisth/monas,ἐπιστήμων,adjective,gi/nesqai,γίγνομαι,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,toi=s,ὁ,article,e)kto\s,ἐκτός,adverb,du/nasqai,δύναμαι,verb,tou\s,ὁ,article,filomaqou=ntas,φιλομαθέω,verb,xrh,si/mous,σιμόω,verb,ei)=nai,εἰμί,verb,kai\,καί,conjunction,le/gontas,λέγω,verb,kai\,καί,conjunction,gra/fontas,γράφω,verb,o(,ὁ,article,pa/ppos,πάππος,noun,mou,ἐγώ,pronoun,*)ihsou=s,Ἰησοῦς,proper,e)pi\,ἐπί,preposition,plei=on,πλέως,adjective,e(auto\n,ἑαυτοῦ,pronoun,dou\s,δίδωμι,verb,ei)/s,εἰς,preposition,te,τε,particle,th\n,ὁ,article,tou=,ὁ,article,no/mou,νόμος,noun,kai\,καί,conjunction,tw=n,ὁ,article,profhtw=n,προφήτης,adjective,kai\,καί,conjunction,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,patri/wn,πάτριος,adjective,bibli/wn,βιβλίον,noun,a)na/gnwsin,ἀνάγνωσις,noun,kai\,καί,conjunction,e)n,ἐν,preposition,tou/tois,οὗτος,pronoun,i(kanh\n,ἱκανός,adjective,e(/cin,ἕξις,noun,peripoihsa/menos,περιποιέω,verb,proh/xqh,προάγω,verb,kai\,καί,conjunction,au)to\s,αὐτός,pronoun,suggra/yai,συγγράφω,verb,ti,τις,pronoun,tw=n,ὁ,article,ei)s,εἰς,preposition,paidei/an,παιδεία,noun,kai\,καί,conjunction,sofi/an,σοφία,noun,a)nhko/ntwn,ἀνήκω,verb,o(/pws,ὅπως,conjunction,oi(,ἕ,pronoun,filomaqei=s,φιλομαθής,adverb,kai\,καί,conjunction,tou/twn,οὗτος,pronoun,e)/noxoi,ἔνοχος,adjective,geno/menoi,γίγνομαι,verb,pollw=|,πολύς,adjective,ma=llon,μᾶλλον,adverb,e)piprosqw=sin,ἐπιπρόσειμι,verb,dia\,διά,preposition,th=s,ὁ,article,e)nno/mou,ἔννομος,adjective,biw/sews,βίωσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*parake/klhsqe,παρακαλέω,verb,ou)=n,οὖν,particle,met',μετά,preposition,eu)noi/as,εὔνοια,noun,kai\,καί,conjunction,prosoxh=s,προσοχή,noun,th\n,ὁ,article,a)na/gnwsin,ἀνάγνωσις,noun,poiei=sqai,ποιέω,verb,kai\,καί,conjunction,suggnw/mhn,συγγνώμη,adjective,e)/xein,ἔχω,verb,e)f',ἐπί,preposition,oi(=s,ὅς,pronoun,a)\n,ἄν,particle,dokw=men,δοκάζω,verb,tw=n,ὁ,article,kata\,th\n,ὁ,article,e(rmhnei/an,ἑρμηνεία,noun,pefiloponhme/nwn,φιλοπονέω,verb,tisi\n,τις,pronoun,tw=n,ὁ,article,le/cewn,λέξις,noun,a)dunamei=n,ἀδυναμέω,verb,ou),ga\r,γάρ,particle,i)sodunamei=,ἰσοδυναμέω,verb,au)ta\,αὐτός,pronoun,e)n,ἐν,preposition,e(autoi=s,ἑαυτοῦ,pronoun,*ebraisti\,,,lego/mena,λέγω,verb,kai\,καί,conjunction,o(/tan,ὅταν,conjunction,metaxqh=|,μετάγω,verb,ei)s,εἰς,preposition,e(te/ran,ἕτερος,adjective,glw=ssan,γλῶσσα,noun,ou),οὐ,adverb,mo/non,μόνος,adjective,de\,δέ,particle,tau=ta,οὗτος,pronoun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,au)to\s,αὐτός,pronoun,o(,ὁ,article,no/mos,kai\,καί,conjunction,ai(,ὁ,article,profhtei=ai,προφητεία,noun,kai\,καί,conjunction,ta\,ὁ,article,loipa\,λοιπός,adjective,tw=n,ὁ,article,bibli/wn,βιβλίον,noun,ou),οὐ,adverb,mikra\n,μικρός,adjective,e)/xei,ἔχω,verb,th\n,ὁ,article,diafora\n,διαφορά,noun,e)n,ἐν,preposition,e(autoi=s,ἑαυτοῦ,pronoun,lego/mena,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κατά,preposition,οὐ,adverb,νόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)en,ἐν,preposition,ga\r,γάρ,particle,tw=|,ὁ,article,o)gdo/w|,ὄγδοος,adjective,kai\,καί,conjunction,triakostw=|,τριακοστός,adjective,e)/tei,ἔτος,noun,e)pi\,ἐπί,preposition,tou=,ὁ,article,*eu)erge/tou,Εὐεργέτης,proper,basile/ws,βασιλεύς,noun,paragenhqei\s,παραγίγνομαι,verb,ei)s,εἰς,preposition,*ai)/gupton,Αἴγυπτος,proper,kai\,καί,conjunction,sugxroni/sas,συγχρονίζω,verb,eu(rw\n,εὑρίσκω,verb,ou),mikra=s,μικρός,adjective,paidei/as,παιδεία,noun,a)fo/moion,ἀφόμοιον,noun,a)nagkaio/taton,ἀναγκαῖος,adjective,e)qe/mhn,τίθημι,verb,kai\,καί,conjunction,au)to/s,αὐτός,pronoun,tina,prosene/gkasqai,προσφέρω,verb,spou,,,dh\n,δήν,adverb,kai\,καί,conjunction,filoponi/an,φιλοπονία,noun,tou=,ὁ,article,meqermhneu=sai,μεθερμηνεύω,verb,th/nde,ὅδε,pronoun,th\n,ὁ,article,bi/blon,βίβλος,noun,pollh\n,πολύς,adjective,a)grupni/an,ἀγρυπνία,noun,kai\,καί,conjunction,e)pisth/mhn,ἐπιστήμη,noun,prosenegka/menos,προσφέρω,verb,e)n,ἐν,preposition,tw=|,ὁ,article,diasth/mati,διάστημα,noun,tou=,ὁ,article,xro/nou,χρόνος,noun,pro\s,πρός,preposition,to\,e)pi\,ἐπί,preposition,pe/ras,πέρας,noun,a)gago/nta,ἄγω,verb,to\,ὁ,article,bibli/on,βιβλίον,noun,e)kdo/sqai,ἐκδίδωμι,verb,kai\,καί,conjunction,toi=s,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,paroiki/a|,παροικία,noun,boulome/nois,βούλομαι,verb,filomaqei=n,φιλομαθέω,verb,prokataskeuazome/nous,προκατασκευάζω,verb,ta\,ὁ,article,h)/qh,ἦθος,adjective,e)nno/mws,ἔννομος,adjective,bioteu/ein,βιοτεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὐ,adverb,τις,pronoun,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*pa=sa,πᾶς,adjective,sofi/a,σοφία,noun,para\,παρά,preposition,kuri/ou,κύριος,adjective,kai\,καί,conjunction,met',μετά,preposition,au)tou=,αὐτός,pronoun,e)stin,εἰμί,verb,ei)s,εἰς,preposition,to\n,ὁ,article,ai)w=na,αἰών,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/mmon,ἄμμος,noun,qalassw=n,θάλασσα,noun,kai\,καί,conjunction,stago/nas,σταγών,noun,u(etou=,ὑετός,noun,kai\,καί,conjunction,h(me/ras,ἡμέρα,noun,ai)w=nos,αἰών,noun,ti/s,τίς,pronoun,e)cariqmh/sei,ἐξαριθμέω,verb,u(/yos,ὕψος,noun,ou)ranou=,οὐρανός,noun,kai\,καί,conjunction,pla/tos,πλάτος,adjective,gh=s,γῆ,noun,kai\,καί,conjunction,a)/busson,ἄβυσσος,adjective,kai\,sofi/an,σοφία,noun,ti/s,τίς,pronoun,e)cixnia/sei,ἐξιχνιάζω,verb,prote/ra,πρότερος,adjective,pa/ntwn,πᾶς,adjective,e)/ktistai,κτίζω,verb,sofi/a,σοφία,noun,kai\,su/nesis,σύνεσις,noun,fronh/sews,φρόνησις,noun,e)c,ἐκ,preposition,ai)w=nos,αἰών,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r(i/za,ῥίζα,adjective,sofi/as,σοφία,noun,ti/ni,τίς,pronoun,a)pekalu/fqh,ἀποκαλύπτω,verb,kai\,καί,conjunction,ta\,ὁ,article,panourgeu/mata,πανούργευμα,noun,au)th=s,αὐτός,pronoun,ti/s,τίς,pronoun,e)/gnw,γιγνώσκω,verb,ei(=s,εἷς,adjective,e)stin,εἰμί,verb,sofo/s,σοφός,adjective,fobero\s,φοβερός,adjective,sfo/dra,σφόδρα,adverb,kaqh/menos,κάθημαι,verb,e)pi\,ἐπί,preposition,tou=,qro/nou,θρόνον,noun,au)tou=,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ku/rios,κῦρος,noun,au)to\s,αὐτός,pronoun,e)/ktisen,ἐκτίνω,verb,au)th\n,αὐτός,pronoun,kai\,καί,conjunction,ei)=den,εἶδον,verb,kai\,καί,conjunction,e)chri/qmhsen,ἐξαριθμέω,verb,au)th\n,αὐτός,pronoun,kai\,καί,conjunction,e)ce/xeen,ἐξέχω,verb,au)th\n,αὐτός,pronoun,e)pi\,ἐπί,preposition,pa/nta,πᾶς,adjective,ta\,ὁ,article,e)/rga,ἔργον,noun,au)tou=,αὐτός,pronoun,meta\,pa/shs,πᾶς,adjective,sarko\s,σάρξ,adjective,kata\,κατά,preposition,th\n,ὁ,article,do/sin,δόσις,noun,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,e)xorh/ghsen,au)th\n,αὐτός,pronoun,toi=s,ὁ,article,a)gapw=sin,ἀγαπάω,verb,au)to/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μετά,preposition,χορηγέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*fo/bos,Φόβος,proper,kuri/ou,κύριος,adjective,do/ca,δόξα,noun,kai\,καί,conjunction,kau/xhma,καύχημα,noun,kai\,καί,conjunction,eu)frosu/nh,εὐφροσύνη,noun,kai\,καί,conjunction,ste/fanos,στέφανος,noun,a)gallia/matos,ἀγαλλίαμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fo/bos,φόβος,noun,kuri/ou,κύριος,adjective,te/ryei,τέρπω,verb,kardi/an,καρδία,noun,kai\,καί,conjunction,dw/sei,δίδωμι,verb,eu)frosu/nhn,εὐφροσύνη,noun,kai\,καί,conjunction,xara\n,χαρά,noun,kai\,καί,conjunction,makrohme/reusin,μακροημέρευσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=|,τίς,pronoun,foboume/nw|,φοβέω,verb,to\n,ὁ,article,ku/rion,κύριος,adjective,eu)=,εὖ,adverb,e)/stai,εἰμί,verb,e)p',ἐπί,preposition,e)sxa/twn,σχέθω,verb,kai\,καί,conjunction,e)n,ἐν,preposition,h(me/ra|,ἡμέρα,noun,teleuth=s,τελευτή,noun,au)tou=,αὐτός,pronoun,eu)loghqh/setai,εὐλογέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
