word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/63/lemma/@_entry,word/63/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS
*)=hn,εἰμί,verb,e)n,ἐν,preposition,*)efe/sw|,Ἔφεσος,proper,a)nh\r,ἀνήρ,noun,tw=n,ὁ,article,ta\,ὁ,article,prw=ta,πρότερος,adjective,e)kei=,ἐκεῖ,adverb,duname/nwn,δύναμαι,verb,*lukomh/dhs,Λυκομήδης,proper,o)/noma,ὄνομα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*tou/tw|,οὗτος,pronoun,tw=|,ὁ,article,*lukomh/dei,Λυκομήδης,proper,e)k,ἐκ,preposition,gunaiko\s,γυνή,noun,e)pixwri/ou,ἐπιχώριος,adjective,*qemistou=s,Θεμιστώ,proper,gi/netai,γίγνομαι,verb,pai=s,πᾶς,adjective,*(abroko/mhs,ἁβροκόμης,noun,me/ga,μέγας,adverb,ti,τις,pronoun,xrh=ma,χρῆμα,adjective,ka/llous,κάλλος,noun,ou)/te,οὔτε,adverb,e)n,ἐν,preposition,*)iwni/a|,Ἰώνιος,proper,ou)/te,οὔτε,adverb,e)n,ἐν,preposition,a)/llh|,ἄλλος,adjective,gh=|,γῆ,noun,pro/teron,πρότερος,adjective,genome/nou,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ou(=tos,οὗτος,pronoun,o(,ὁ,article,*(abroko/mhs,ἁβροκόμης,noun,a)ei\,ἀεί,adverb,me\n,μέν,particle,kai\,καί,conjunction,kaq),καθά,adverb,h(me/ran,ἡμέρα,noun,ei)s,εἰς,preposition,ka/llos,κάλλος,noun,hu)/ceto,αὐξάνω,verb,sunh/nqei,ἀναθέω,verb,de\,δέ,particle,au)tw=|,αὐτός,pronoun,toi=s,ὁ,article,tou=,ὁ,article,sw/matos,σῶμα,adjective,kaloi=s,καλέω,verb,kai\,καί,conjunction,ta\,ὁ,article,th=s,ὁ,article,yuxh=s,ψυχή,noun,a)gaqa/,ἀγαθός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paidei/an,παιδεία,noun,te,τε,particle,ga\r,γάρ,particle,pa=san,πᾶς,adjective,e)mele/ta,μελετάω,verb,kai\,καί,conjunction,mousikh\n,μουσικός,adjective,poiki/lhn,ποικίλος,adjective,h)/skei,ἀσκέω,verb,qh/ra,θήρα,noun,de\,δέ,particle,au)tw=|,αὐτός,pronoun,kai\,καί,conjunction,i(ppasi/a,ἱππασία,noun,kai\,καί,conjunction,o(plomaxi/a,ὁπλομαχία,noun,sunh/qh,συνήθης,adverb,gumna/smata,γύμνασμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)=hn,εἰμί,verb,de\,δέ,particle,perispou/dastos,περισπούδαστος,adjective,a(/pasin,ἅπας,adjective,*)efesi/ois,Ἐφέσια,proper,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,toi=s,ὁ,article,th\n,ὁ,article,a)/llhn,ἄλλος,adjective,*)asi/an,Ἄσιος,proper,oi)kou=si,οἰκέω,verb,kai\,καί,conjunction,mega/las,μέγας,adverb,ei)=xon,ἔχω,verb,e)n,ἐν,preposition,au)tw=|,αὐτός,pronoun,ta\s,ὁ,article,e)lpi/das,ἐλπίς,noun,o(/ti,ὅστις,pronoun,poli/ths,πολίτης,noun,e)/soito,εἰμί,verb,diafe/rwn,διαφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*prosei=xon,προσέχω,verb,de\,δέ,particle,w(s,ὡς,conjunction,qew=|,θεός,noun,tw=|,ὁ,article,meiraki/w|,μειράκιον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,ei)sin,εἰμί,verb,h)/dh,ἤδη,adverb,tine\s,τις,pronoun,oi(\,ἕ,pronoun,kai\,καί,conjunction,proseku/nhsan,προσκυνέω,verb,i)do/ntes,εἶδον,verb,kai\,καί,conjunction,proseu/canto,προσεύχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)efro/nei,φρονέω,verb,de\,δέ,particle,to\,ὁ,article,meira/kion,μειράκιον,noun,e)f),ἐπί,preposition,e(autw=|,ἑαυτοῦ,pronoun,me/ga,μέγας,adverb,kai\,καί,conjunction,h)ga/lleto,ἀγάλλω,verb,me\n,μέν,particle,kai\,καί,conjunction,toi=s,ὁ,article,th=s,ὁ,article,yuxh=s,ψυχή,noun,katorqw/masi,κατόρθωμα,noun,polu\,πολύς,adjective,de\,δέ,particle,ma=llon,μᾶλλον,adverb,tw=|,ὁ,article,ka/llei,κάλλος,noun,tou=,ὁ,article,sw/matos,σῶμα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/ntwn,πᾶς,adjective,de\,δέ,particle,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,o(/sa,ὅσος,adjective,dh\,δή,particle,e)le/geto,λέγω,verb,kala/,καλός,noun,w(s,ὡς,conjunction,e)latto/nwn,ἐλάσσων,adjective,katefro/nei,καταφρονέω,verb,kai\,καί,conjunction,ou)de\n,οὐδείς,pronoun,au)tw=|,αὐτός,pronoun,ou),οὐ,adverb,qe/ama,θέαμα,noun,ou)k,οὐ,adverb,a)/kousma,ἄκουσμα,noun,a)/cion,ἄξιος,adjective,*(abroko/mou,ἁβροκόμης,noun,katefai/neto,καταφαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ei)/,εἰ,conjunction,tina,τις,pronoun,h)\,ἠέ,conjunction,pai=da,παῖς,adjective,kalo\n,καλός,noun,a)kou/sai,ἀκέω,verb,h)\,ἠέ,conjunction,parqe/non,παρθένος,noun,eu)/morfon,εὔμορφος,adjective,katege/la,καταγελάω,verb,tw=n,ὁ,article,lego/ntwn,λέγω,verb,w(s,ὡς,conjunction,ou)k,οὐ,adverb,ei)do/twn,οἶδα,verb,o(/ti,ὅστις,pronoun,ei)/h,ἀίω,verb,ei(=s,εἷς,adjective,kalo\s,καλός,noun,au)to/s,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
