word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/16/lemma/@_entry,word/16/lemma/@_POS,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/27/lemma/@_entry,word/27/lemma/@_POS,word/31/lemma/@_entry,word/31/lemma/@_POS
*zhno\s,Ζεύς,proper,e)/oi,εἰμί,verb,ti/,τίς,pronoun,ken,ἄν,particle,a)/llo,ἄλλος,adjective,para\,παρά,preposition,spondh=isin,a)ei/dein,ἀείδω,verb,lw/ion,λωίων,adjective,h)\,ἠέ,conjunction,qeo\n,θεός,noun,au)to/n,αὐτός,pronoun,a)ei\,ἀεί,adverb,me/gan,μέγας,adverb,ai)e\n,ἀεί,adverb,a)/nakta,ἄναξ,noun,*phlago/nwn,e)lath=ra,ἐλατήρ,noun,dikaspo/lon,δικασπόλος,noun,ou)rani/dhisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pw=s,πῶς,adverb,kai/,καί,conjunction,min,μιν,pronoun,*diktai=on,Δικταῖος,proper,a)ei/somen,ἀείδω,verb,h)e\,ἠέ,conjunction,*lukai=on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Λυκαῖος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,doih=i,,,ma/la,μάλα,adverb,qumo/s,θυμός,noun,e)pei\,ἐπεί,conjunction,ge/nos,γένος,noun,a)mfh/riston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀμφήριστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*zeu=,Ζεύς,proper,de\,δέ,particle,me\n,μέν,particle,*)idai/oisin,Ἰδαῖος,proper,e)n,ἐν,preposition,ou)/resi/,ὄρος,adjective,fasi,gene/sqai,γίγνομαι,verb,*zeu=,Ζεύς,proper,de\,δέ,particle,d',δέ,particle,e)n,ἐν,preposition,*)arkadi/hi,,,,,,,,,,,,,,,,,,,,φημί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/teroi,πότερος,adjective,pa/ter,πατήρ,noun,e)yeu/santo,ψεύδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*krh=tes,Κρής,proper,a)ei\,ἀεί,adverb,yeu=stai,ψεύστης,noun,kai\,καί,conjunction,ga\r,γάρ,particle,ta/fon,τάφος,noun,w)=,a)/na,ἄναξ,noun,sei=o,σύ,pronoun,*krh=tes,Κρής,proper,e)tekth/nanto,τεκταίνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,ὦ,interjection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su\,σύ,pronoun,d',δέ,particle,ou),οὐ,adverb,qa/nes,θνήσκω,verb,e)ssi\,εἰμί,verb,ga\r,γάρ,particle,ai)ei/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀεί,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,de/,δέ,particle,se,σύ,pronoun,*parrasi/hi,,,*(rei/h,,,te/ken,τίκτω,verb,h(=xi,ma/lista,μάλιστα,adverb,e)/sken,εἰμί,verb,o)/ros,ὄρος,adjective,qa/mnoisi,θάμνος,noun,periskepe/s,,,e)/nqen,ἔνθεν,adverb,o(,ὁ,article,xw=ros,χῶρος,noun,i(ero/s,ἱερός,adjective,ou)de/,ti/,τίς,pronoun,min,μιν,pronoun,kexrhme/non,ἧχι,adverb,οὐδέ,particle,χράω,verb,*ei)leiqui/hs,Εἰλείθυια,proper,e(rpeto\n,ἑρπετόν,noun,ou)de\,οὐδέ,particle,gunh\,γυνή,noun,e)pimi/sgetai,ἐπιμίγνυμι,verb,a)lla/,ἀλλά,adverb,e(,ἕ,pronoun,*(rei/hs,w)gu/gion,Ὠγύγιος,proper,kale/ousi,καλέω,verb,lexw/ion,λεχώιος,adjective,*)apidanh=es),e)/nqa,ἔνθα,adverb,s',σύ,pronoun,e)pei\,ἐπεί,conjunction,mh/thr,μήτηρ,noun,mega/lwn,μέγας,adverb,a)peqh/kato,ἀποτίθημι,verb,ko/lpwn,κόλπος,noun,au)ti/ka,αὐτίκα,adverb,di/zhto,δίζημαι,verb,r(o/on,ῥόον,noun,u(/datos,ὕδωρ,noun,w(=i,ὅς,pronoun,ke,ἄν,particle,to/koio,τόκος,noun,lu/mata,λῦμα,noun,xutlw/saito,χυτλόω,verb,teo\n,τεός,adjective,d',δέ,particle,e)ni\,ἐν,preposition,xrw=ta,χρώς,noun,loe/ssai,λούω,verb,,,,
*la/dwn,Λάδων,proper,a)ll',ἀλλά,adverb,ou)/pw,οὔπω,adverb,me/gas,μέγας,adverb,e)/rreen,ἔρρω,verb,ou)d',οὐδέ,particle,*)eru/manqos,leuko/tatos,λευκός,adjective,potamw=n,ποταμός,noun,e)/ti,ἔτι,adverb,d',δέ,particle,a)/broxos,ἄβροχος,adjective,h)=en,εἰμί,verb,a(/pasa,ἅπας,adjective,*)arkadi/h,Ἀρκαδία,proper,,,,,,,,,,,,Ἐρύμανθος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/llen,μέλλω,verb,de\,δέ,particle,ma/l',μάλα,adverb,eu)/udros,εὔυδρος,adjective,kale/esqai,καλέω,verb,au)=tis,αὖθις,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,thmo/sde,τημόσδε,adverb,*(re/h,,,o(/t',ὅτε,conjunction,e)lu/sato,ἐλύω,verb,mi/trhn,μίτρα,noun,h)=,polla\s,πολύς,adjective,e)fu/perqe,ἐφύπερθε,adverb,sarwni/das,σαρωνίς,noun,u(gro\s,ὑγρός,adjective,*)ia/wn,Ἴης,proper,h)/eiren,ἀείρω,verb,polla\s,πολύς,adjective,de\,δέ,particle,*me/las,Μέλας,proper,w)/kxhsen,a(ma/cas,ἄμαξα,noun,polla\,πολύς,adjective,de\,ἦ,adverb,ὀκχέω,verb,δέ,particle,*kari/wnos,Καρίων,proper,a)/nw,ἄνω,adverb,dierou=,διερός,adjective,per,πέρ,particle,e)o/ntos,εἰμί,verb,i)luou\s,ἰλυός,adjective,e)ba/lonto,βάλλω,verb,kinw/peta,ni/sseto,νίσσομαι,verb,d',δέ,particle,a)nh/r,ἀνήρ,noun,pezo\s,u(pe\r,ὑπέρ,preposition,*kra=qi/n,,,te,τε,particle,polu/stio/n,πολύστιος,adjective,te,τε,particle,*metw/phn,Μετώπη,proper,diyale/os,διψαλέος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κινώπετον,noun,πεζός,adjective
