word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/9/@_form,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/29/@_form,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/34/@_form,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/39/@_form,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/44/@_form,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/49/@_form,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/54/@_form,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/62/@_form,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/70/@_form,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/75/@_form,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/8/lemma/@_entry,word/8/lemma/@_POS,word/22/lemma/@_entry,word/22/lemma/@_POS,word/25/lemma/@_entry,word/25/lemma/@_POS,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/lemma/@_entry,word/62/lemma/@_POS,word/66/lemma/@_entry,word/66/lemma/@_POS,word/70/lemma/@_entry,word/70/lemma/@_POS,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/lemma/@_entry,word/75/lemma/@_POS,word/79/lemma/@_entry,word/79/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/69/lemma/@_entry,word/69/lemma/@_POS,word/9/lemma/@_entry,word/9/lemma/@_POS,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/lemma/@_entry,word/29/lemma/@_POS,word/33/lemma/@_entry,word/33/lemma/@_POS,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/lemma/@_entry,word/39/lemma/@_POS,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/lemma/@_entry,word/44/lemma/@_POS,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/lemma/@_entry,word/49/lemma/@_POS,word/34/lemma/@_entry,word/34/lemma/@_POS,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/lemma/@_entry,word/54/lemma/@_POS,word/58/lemma/@_entry,word/58/lemma/@_POS
*b*i*b*l*o*s,gene/sews,γένεσις,noun,*)ihsou=,Ἰησοῦς,proper,*xristou=,χριστός,adjective,ui(ou=,υἱός,noun,*dauei\d,ui(ou=,υἱός,noun,*)abraam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)abraa\m,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)isaa/k,,,*)isaa\k,,,de\,e)ge/nnhsen,γεννάω,verb,to\n,δέ,particle,ὁ,article,*)iakw/b,*)iakw\b,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)iou/dan,Ἰούδας,proper,kai\,καί,conjunction,tou\s,ὁ,article,a)delfou\s,ἀδελφός,adjective,au)tou=,αὐτός,pronoun,*)iou/das,Ἰούδας,proper,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*fare\s,kai\,καί,conjunction,to\n,ὁ,article,*zara\,e)k,ἐκ,preposition,th=s,ὁ,article,*qa/mar,*fare\s,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*(esrw/m,*(esrw\m,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)ara/m,*)ara\m,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)aminada/b,*)aminada\b,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*naassw/n,*naassw\n,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*salmw/n,*salmw\n,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*boe\s,e)k,ἐκ,preposition,th=s,ὁ,article,*(raxa/b,*boe\s,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)iwbh\d,e)k,ἐκ,preposition,th=s,ὁ,article,*(rou/q,*)iwbh\d,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)iessai/,*)iessai\,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*dauei\d,to\n,ὁ,article,basile/a,βασιλεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dauei\d,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*solomw=na,,,e)k,th=s,ὁ,article,tou=,ἐκ,preposition,ὁ,article,*ou)ri/ou,*solomw\n,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*(roboa/m,,,*(roboa\m,,,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)abia/,,,*)abia\,,,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,*)asa/f,,,*)asa\f,,,de\,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)iwsafa/t,*)iwsafa\t,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)iwra/m,*)iwra\m,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)ozei/an,*)ozei/as,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)iwaqa/m,*)iwaqa\m,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)/axas,*)/axas,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*(ezeki/an,*(ezeki/as,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*manassh=,*manassh=s,,,de\,δέ,particle,e)ge/nnhsen,to\n,*)amw/s,ἁμός,adjective,*)amw\s,ἁμός,adjective,de\,δέ,particle,e)ge/nnhsen,to\n,ὁ,article,*)iwsei/an,,,*)iwsei/as,de\,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)iexoni/an,,,kai\,tou\s,a)delfou\s,ἀδελφός,adjective,au)tou=,αὐτός,pronoun,e)pi\,ἐπί,preposition,th=s,metoikesi/as,μετοικεσία,noun,*babulw=nos,Βαβυλών,proper,οὔριον,noun,ὁ,article,δέ,particle,γεννάω,verb,ὁ,article,γεννάω,verb,δέ,particle,καί,conjunction,ὁ,article,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*meta\,de\,δέ,particle,th\n,ὁ,article,metoikesi/an,μετοικεσία,noun,*babulw=nos,Βαβυλών,proper,*)iexoni/as,e)ge/nnhsen,γεννάω,verb,to\n,,,ὁ,article,*salaqih/l,*salaqih\l,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*zoroba/bel,,,*zoroba/bel,,,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)abiou/d,,,*)abiou\d,,,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,*)eliakei/m,,,*)eliakei\m,,,de\,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)azw/r,*)azw\r,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*sadw/k,*sadw\k,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)axei/m,*)axei\m,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)eliou/d,*)eliou\d,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)elea/zar,*)elea/zar,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*maqqa/n,*maqqa\n,de\,δέ,particle,e)ge/nnhsen,γεννάω,verb,to\n,ὁ,article,*)iakw/b,*)iakw\b,,,de\,δέ,particle,e)ge/nnhsen,to\n,*)iwsh\f,,,to\n,ὁ,article,a)/ndra,ἀνήρ,noun,*mari/as,e)c,ἐκ,preposition,h(=s,ὅς,pronoun,e)gennh/qh,*)ihsou=s,o(,ὁ,article,lego/menos,λέγω,verb,*xristo/s,χριστός,adjective,,,,,,,,,,,,,,,,,,,,,ὁ,article,δέ,particle,γεννάω,verb,ὁ,article,,,Ἰησοῦς,proper,,,,,,,μετά,preposition,γεννάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*pa=sai,ou)=n,οὖν,particle,ai(,ὁ,article,geneai\,γενεά,noun,a)po\,ἀπό,preposition,*)abraa\m,e(/ws,ἕως,conjunction,*dauei\d,,,,,geneai\,dekate/ssares,kai\,καί,conjunction,a)po\,ἀπό,preposition,*dauei\d,,,e(/ws,ἕως,conjunction,th=s,ὁ,article,metoikesi/as,μετοικεσία,noun,*babulw=nos,Βαβυλών,proper,geneai\,γενεά,noun,dekate/ssares,,,kai\,καί,conjunction,a)po\,ἀπό,preposition,th=s,ὁ,article,metoikesi/as,*babulw=nos,Βαβυλών,proper,e(/ws,ἕως,conjunction,tou=,xristou=,χριστός,adjective,geneai\,γενεά,noun,dekate/ssares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γενεά,noun,μετοικεσία,noun,ὁ,article,,,,,,,,,,,,,,,πᾶς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*t*o*u,*d*e,,,*i*h*s*o*u,,,*x*r*i*s*t*o*u,,,h(,ὁ,article,ge/nesis,ou(/tws,οὕτως,adverb,h)=n,γένεσις,noun,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*mnhsteuqei/shs,th=s,ὁ,article,mhtro\s,μήτηρ,noun,au)tou=,αὐτός,pronoun,*mari/as,,,tw=|,*)iwsh/f,,,pri\n,ὁ,article,πρίν,adverb,h)\,sunelqei=n,au)tou\s,αὐτός,pronoun,eu(re/qh,εὑρίσκω,verb,e)n,ἐν,preposition,gastri\,γαστήρ,noun,e)/xousa,ἔχω,verb,e)k,ἐκ,preposition,pneu/matos,πνεῦμα,noun,a(gi/ou,ἅγιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἠέ,conjunction,,,,,,,,,,,,,,,,,,,μνηστεύω,verb,,,συνέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,
*)iwsh\f,de\,δέ,particle,o(,ὁ,article,a)nh\r,ἀνήρ,noun,au)th=s,αὐτός,pronoun,di/kaios,w)\n,εἰμί,verb,kai\,δίκαιος,adjective,καί,conjunction,mh\,qe/lwn,au)th\n,αὐτός,pronoun,deigmati/sai,δειγματίζω,verb,e)boulh/qh,βούλομαι,verb,la/qra|,λάθρῃ,adverb,a)polu=sai,ἀπολύω,verb,au)th/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μή,conjunction,,,,,,,,,,,,,,,,,,,,,,,ἐθέλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,
*tau=ta,de\,δέ,particle,au)tou=,αὐτός,pronoun,e)nqumhqe/ntos,ἐνθυμέομαι,verb,i)dou\,ἰδού,adverb,a)/ggelos,*kuri/ou,κύριος,adjective,kat',ἄγγελος,noun,κατά,preposition,o)/nar,e)fa/nh,au)tw=|,αὐτός,pronoun,le/gwn,λέγω,verb,*)iwsh\f,,,ui(o\s,υἱός,noun,*dauei/d,,,mh\,μή,conjunction,fobhqh=|s,φοβέω,verb,paralabei=n,παραλαμβάνω,verb,*mari/an,,,th\n,ὁ,article,gunai=ka/,γυνή,noun,sou,σύ,pronoun,to\,ga\r,γάρ,particle,e)n,ἐν,preposition,au)th=|,gennhqe\n,γεννάω,verb,e)k,ἐκ,preposition,pneu/mato/s,e)stin,a(gi/ou,ἅγιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὄναρ,noun,ὁ,article,αὐτός,pronoun,,,,,,,,,,,,,,,οὗτος,pronoun,,,φαίνω,verb,πνεῦμα,noun,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,
te/cetai,de\,δέ,particle,ui(o\n,υἱός,noun,kai\,καί,conjunction,kale/seis,καλέω,verb,to\,o)/noma,ὄνομα,adjective,au)tou=,ὁ,article,αὐτός,pronoun,*)ihsou=n,au)to\s,ga\r,γάρ,particle,sw/sei,σώζω,verb,to\n,ὁ,article,lao\n,λαός,noun,au)tou=,αὐτός,pronoun,a)po\,ἀπό,preposition,tw=n,ὁ,article,a(martiw=n,ἁμαρτία,noun,au)tw=n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ἰησοῦς,proper,,,,,,,,,,,,,,,,,,,τίκτω,verb,,,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,
*tou=to,de\,δέ,particle,o(/lon,ὅλος,adjective,ge/gonen,γίγνομαι,verb,i(/na,ἵνα,conjunction,plhrwqh=|,to\,ὁ,article,r(hqe\n,πληρόω,verb,ἐρῶ,verb,u(po\,*kuri/ou,dia\,διά,preposition,tou=,ὁ,article,profh/tou,προφήτης,adjective,le/gontos,λέγω,verb,*)idou\,ἰδού,adverb,h(,ὁ,article,parqe/nos,παρθένος,noun,e)n,ἐν,preposition,gastri\,γαστήρ,noun,e(/cei,ἔχω,verb,kai\,καί,conjunction,te/cetai,τίκτω,verb,ui(o/n,kai\,καί,conjunction,kale/sousin,καλέω,verb,to\,o)/noma,ὄνομα,adjective,au)tou=,αὐτός,pronoun,*)emmanouh/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὑπό,preposition,υἱός,noun,ὁ,article,,,,,,,,,,,,,,,οὗτος,pronoun,,,κύριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/,e)stin,εἰμί,verb,meqermhneuo/menon,μεθερμηνεύω,verb,*meq',μεθό,adverb,h(mw=n,ἐγώ,pronoun,o(,qeo/s,θεός,noun,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)egerqei\s,de\,δέ,particle,o(,ὁ,article,*)iwsh\f,,,a)po\,ἀπό,preposition,tou=,u(/pnou,ὕπνον,noun,e)poi/hsen,ὁ,article,ποιέω,verb,w(s,prose/tacen,au)tw=|,αὐτός,pronoun,o(,ὁ,article,a)/ggelos,ἄγγελος,noun,*kuri/ou,κύριος,adjective,kai\,καί,conjunction,pare/laben,παραλαμβάνω,verb,th\n,ὁ,article,gunai=ka,γυνή,noun,au)tou=,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὡς,conjunction,,,,,,,,,,,,,,,,,,,ἐγείρω,verb,,,προστάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,ou)k,οὐ,adverb,e)gi/nwsken,γιγνώσκω,verb,au)th\n,αὐτός,pronoun,e(/ws,ἕως,conjunction,ou(=,e)/teken,τίκτω,verb,ui(o/n,ἕ,pronoun,υἱός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,e)ka/lesen,καλέω,verb,to\,ὁ,article,o)/noma,ὄνομα,adjective,au)tou=,αὐτός,pronoun,*)ihsou=n,,,,,Ἰησοῦς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*tou=,de\,δέ,particle,*)ihsou=,Ἰησοῦς,proper,gennhqe/ntos,γεννάω,verb,e)n,ἐν,preposition,*bhqlee\m,th=s,ὁ,article,*)ioudai/as,,,Ἰουδαῖος,proper,e)n,h(me/rais,*(hrw/|dou,,,tou=,ὁ,article,basile/ws,βασιλεύς,noun,i)dou\,ἰδού,adverb,ma/goi,Μάγος,proper,a)po\,ἀπό,preposition,a)natolw=n,ἀνατολή,adjective,parege/nonto,παραγίγνομαι,verb,ei)s,εἰς,preposition,*)ieroso/luma,,,le/gontes,λέγω,verb,*pou=,πού,adverb,e)sti\n,o(,ὁ,article,texqei\s,τίκτω,verb,basileu\s,tw=n,ὁ,article,*)ioudai/wn,Ἰουδαῖος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐν,preposition,εἰμί,verb,βασιλεύς,noun,,,,,,,,,,,,,,,ὁ,article,,,ἡμέρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)/domen,ga\r,γάρ,particle,au)tou=,αὐτός,pronoun,to\n,ὁ,article,a)ste/ra,ἀστήρ,noun,e)n,th=|,ὁ,article,a)natolh=|,ἐν,preposition,ἀνατολή,adjective,kai\,h)/lqomen,proskunh=sai,προσκυνέω,verb,au)tw=|,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,εἶδον,verb,,,ἔρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,
*)akou/sas,de\,δέ,particle,o(,ὁ,article,basileu\s,βασιλεύς,noun,*(hrw/|dhs,,,e)tara/xqh,kai\,καί,conjunction,pa=sa,ταράσσω,verb,πᾶς,adjective,*)ieroso/luma,met',au)tou=,αὐτός,pronoun,kai\,καί,conjunction,sunagagw\n,συνάγω,verb,pa/ntas,πᾶς,adjective,tou\s,ὁ,article,a)rxierei=s,ἀρχιερεύς,adjective,kai\,καί,conjunction,grammatei=s,γραμματεύς,noun,tou=,ὁ,article,laou=,λαός,noun,e)punqa/neto,πυνθάνομαι,verb,par',παρά,preposition,au)tw=n,pou=,πού,adverb,o(,ὁ,article,xristo\s,genna=tai,γεννάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αὐτός,pronoun,χριστός,adjective,,,,,,,,,,,,,,,ἀκέω,verb,,,μετά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,de\,δέ,particle,ei)=pan,εἶπον,verb,au)tw=|,αὐτός,pronoun,*)en,ἐν,preposition,*bhqlee\m,th=s,ὁ,article,*)ioudai/as,,,Ἰουδαῖος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tws,ga\r,γάρ,particle,ge/graptai,γράφω,verb,dia\,διά,preposition,tou=,ὁ,article,profh/tou,*kai\,καί,conjunction,su/,προφήτης,adjective,σύ,pronoun,*bhqlee\m,gh=,*)iou/da,Ἰούδας,proper,ou)damw=s,οὐδαμός,adverb,e)laxi/sth,ἐλάχιστος,adjective,ei)=,εἶμι,verb,e)n,ἐν,preposition,toi=s,ὁ,article,h(gemo/sin,ἡγεμών,noun,*)iou/da,Ἰούδας,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὕτως,adverb,,,γῆ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,sou=,σύ,pronoun,ga\r,γάρ,particle,e)celeu/setai,ἐξέρχομαι,verb,h(gou/menos,ἡγέομαι,verb,o(/stis,poimanei=,,,to\n,ὅστις,pronoun,ὁ,article,lao/n,mou,to\n,ὁ,article,*)israh/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,λαός,noun,,,,,,,,,,,,,,,,,,,ἐκ,preposition,,,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,
