word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/21/lemma/@_entry,word/21/lemma/@_POS,word/50/lemma/@_entry,word/50/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS
a)delfidoi=,ἀδελφιδέος,noun,*klewnu/mou,Κλεώνυμος,proper,teleuth/santos,τελευτάω,verb,e)pi\,ἐπί,preposition,to\n,ὁ,article,klh=ron,κλῆρος,adjective,e)/rxontai,ἔρχομαι,verb,kata\,κατά,preposition,ge/nos,γένος,noun,ta\s,ὁ,article,diaqh/kas,διαθήκη,noun,a(\s,ὅς,pronoun,pare/xontai,παρέχω,verb,ei)s,εἰς,preposition,au(tou\s,ἑαυτοῦ,pronoun,oi(,ὁ,article,peri\,περί,preposition,*fere/nikon,Φερένικος,proper,kai\,καί,conjunction,*si/mwna,Σίμων,proper,kai\,καί,conjunction,*posei/dippon,gra/yai,γράφω,verb,w(s,ὡς,conjunction,a)lhqe\s,ἀληθής,adjective,h)=n,εἰμί,verb,kai\,καί,conjunction,qei=nai,θείνω,verb,para\,παρά,preposition,toi=s,ὁ,article,a)/rxousin,ἄρχων,noun,o(mologou=ntes,ὁμολογέω,verb,*klew/numon,Κλεώνυμος,proper,kata\,κατά,preposition,th\n,ὁ,article,pro\s,πρός,preposition,*deini/an,Δεινίας,proper,to\n,ὁ,article,e)pi/tropon,ἐπίτροπος,adjective,au)tw=n,αὐτός,pronoun,o)rgh/n,ὀργή,noun,u(/steron,ὕστερος,adjective,de\,δέ,particle,e)pixeirh/santa,ἐπιχειρέω,verb,lu=sai,λύω,verb,kai\,καί,conjunction,metapemya/menon,μεταπέμπω,verb,to\n,ὁ,article,a)stuno/mon,ἀστυνόμος,noun,e)cai/fnhs,ἐξαίφνης,adverb,lta)poqanei=ngt,kai\,καί,conjunction,*polu/arxon,Πολύαρχος,proper,de\,δέ,particle,to\n,ὁ,article,pa/ppon,πάππος,noun,au)tw=n,αὐτός,pronoun,*klewnu/mou,Κλεώνυμος,proper,de\,δέ,particle,pate/ra,πατήρ,noun,prosta/cai,προσστάζω,verb,ei)/,εἰ,conjunction,ti,τις,pronoun,pa/sxoi,πάσχω,verb,*klew/numos,Κλεώνυμος,proper,dou=nai,δίδωμι,verb,au)toi=s,αὐτός,pronoun,ta\,ὁ,article,u(pa/rxonta,ὑπάρχω,verb,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,sta/sis,στάσις,adjective,o(/ros,ὅρος,adjective,diplou=s,διπλόος,adjective,kata\,κατά,preposition,a)mfisbh/thsin,ἀμφισβήτησις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,a)/lloi,ἄλλος,adjective,tai=s,ὁ,article,genome/nais,γίγνομαι,verb,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,diaqh/kais,διαθήκη,noun,diisxuri/zontai,διισχυρίζομαι,verb,oi(,ἕ,pronoun,de/,δέ,particle,le/gontes,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,metekale/sato,μετακαλέω,verb,to\n,ὁ,article,a)/rxonta,ἄρχων,noun,i(/na,ἵνα,conjunction,lu/sh|,λύω,verb,au)ta/s,αὐτός,pronoun,toi=s,ὁ,article,teleutai=on,τελευταῖος,adjective,para\,παρά,preposition,tou=,ὁ,article,*klewnu/mou,Κλεώνυμος,proper,genome/nois,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollh\,πολύς,adjective,me\n,μέν,particle,h(,ὁ,article,metabolh/,μεταβολή,noun,moi,ἐγώ,pronoun,ge/gonen,γίγνομαι,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,teleuth/santos,τελευτάω,verb,*klewnu/mou,Κλεώνυμος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)kei=nos,ἐκεῖνος,pronoun,ga\r,γάρ,particle,zw=n,ζάω,verb,me\n,μέν,particle,h(mi=n,ἐγώ,pronoun,kate/lipe,καταλιμπάνω,verb,th\n,ὁ,article,ou)si/an,οὐσία,adjective,a)poqanw\n,ἀποθνήσκω,verb,de\,δέ,particle,kinduneu/ein,κινδυνεύω,verb,peri\,περί,preposition,au)th=s,αὐτός,pronoun,pepoi/hke,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to/te,τότε,adverb,me\n,μέν,particle,ou(/tws,οὕτως,adverb,u(p',ὑπό,preposition,au)tou=,αὐτός,pronoun,swfro/nws,σώφρων,noun,e)paideuo/meqa,παιδεύω,verb,w(/st',ὥστε,conjunction,ou)d',οὐδέ,particle,a)kroaso/menoi,ἀκροάομαι,verb,ou)de/pot',οὐδέποτε,adverb,h)/lqomen,ἔρχομαι,verb,e)pi\,ἐπί,preposition,dikasth/rion,δικαστήριον,noun,nu=n,νῦν,adverb,de\,δέ,particle,a)gwniou/menoi,ἀγωνίζομαι,verb,peri\,περί,preposition,pa/ntwn,πᾶς,adjective,h(/komen,ἥκω,verb,tw=n,u(parxo/ntwn,ὑπάρχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,tw=n,ὁ,article,*klewnu/mou,Κλεώνυμος,proper,mo/non,μόνος,adjective,a)mfisbhtou=sin,ἀμφισβητέω,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,tw=n,ὁ,article,patrw/|wn,πατρῷος,adjective,o)fei/lein,ὀφείλω,verb,e)pi\,ἐπί,preposition,tou/tois,οὗτος,pronoun,lth(ma=sgt,,,e)kei/nw|,ἐκεῖνος,pronoun,fa/skontes,φάσκω,verb,a)rgu/rion,ἀργύριον,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,oi(,ἕ,pronoun,me\n,μέν,particle,oi)kei=oi,οἰκεῖος,adjective,kai\,καί,conjunction,oi(,ἕ,pronoun,prosh/kontes,προσήκω,verb,e)pi\,ἐπί,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
