word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/lemma/@_entry,word/12/lemma/@_POS,word/14/lemma/@_entry,word/14/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS
ta\,ὁ,article,e)/cw,ἔξω,adverb,tou=,ὁ,article,*)indou=,Ἰνδός,proper,potamou=,ποταμός,noun,ta\,ὁ,article,pro\s,πρός,preposition,e(spe/rhn,ἑσπέρα,noun,e)/ste,εἰμί,verb,e)pi\,ἐπί,preposition,potamo\n,ποταμός,noun,*kwfh=na,*)astakhnoi\,kai\,καί,conjunction,*)assakhnoi/,e)/qnea,ἔθνος,adjective,*)indika/,Ἰνδικός,adjective,e)poike/ousin,ἐποικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,ou)/te,οὔτε,adverb,mega/loi,μέγας,adverb,ta\,ὁ,article,sw/mata,σῶμα,adjective,kata/per,καθά,adverb,oi(,ἕ,pronoun,e)nto\s,ἐντός,adverb,tou=,ὁ,article,*)indou=,Ἰνδός,proper,w)|kisme/noi,οἰκίζω,verb,ou)/te,a)gaqoi\,w(sau/tws,ὡσαύτως,adverb,to\n,qumo\n,θυμός,noun,ou)de\,οὐδέ,particle,me/lanes,μέλας,adjective,οὔτε,adverb,ἀγαθός,adjective,ὁ,article,w(sau/tws,ὡσαύτως,adverb,toi=si,ὁ,article,polloi=sin,πολύς,adjective,*)indoi=sin,Ἰνδός,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=toi,οὗτος,pronoun,pa/lai,πάλαι,adverb,me\n,μέν,particle,*)assuri/oisin,Ἀσσύριοι,proper,u(ph/kooi,ὑπήκοος,adjective,h)=san,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pi\,ἐπί,preposition,de\,δέ,particle,*mh/doisi,Μῆδος,proper,*perse/wn,Πέρσευς,proper,h)/kouon,ἀκούω,verb,kai\,καί,conjunction,fo/rous,φόρος,adjective,a)pe/feron,ἀποφέρω,verb,*ku/rw|,Κῦρος,proper,tw=|,ὁ,article,*kambu/sew,Καμβύσης,proper,e)k,th=s,gh=s,γῆ,noun,sfw=n,ou(\s,ὅς,pronoun,e)/tace,ἐτάζω,verb,*ku=ros,Κῦρος,proper,ἐκ,preposition,ὁ,article,σφεῖς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*nusai=oi,Νυσαῖοι,proper,de\,δέ,particle,ou)k,οὐ,adverb,*)indiko\n,Ἰνδικός,adjective,ge/nos,γένος,noun,e)sti/n,εἰμί,verb,a)lla\,ἀλλά,adverb,tw=n,ὁ,article,a(/ma,ἅμα,adverb,*dionu/sw|,Διόνυσος,proper,e)lqo/ntwn,ἔρχομαι,verb,e)s,th\n,gh=n,γῆ,noun,th\n,*)indw=n,Ἰνδή,proper,tuxo\n,τυγχάνω,verb,me\n,μέν,particle,εἰς,preposition,ὁ,article,ὁ,article,*(ellh/nwn,Ἕλλην,proper,o(/soi,ὅσος,adjective,a)po/maxoi,ἀπόμαχος,adjective,au)tw=n,αὐτός,pronoun,e)ge/nonto,γίγνομαι,verb,e)n,ἐν,preposition,toi=si,ὁ,article,pole/moisin,πόλεμος,noun,ou(/stinas,ὅστις,pronoun,pro\s,πρός,preposition,*)indou\s,Ἰνδός,proper,*dio/nusos,Διόνυσος,proper,e)pole/mhse,πολεμέω,verb,tuxo\n,τυγχάνω,verb,de\,δέ,particle,kai\,καί,conjunction,tw=n,ὁ,article,e)pixwri/wn,ἐπιχώριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou\s,ὁ,article,e)qe/lontas,ἐθέλω,verb,toi=sin,ὁ,article,*(/ellhsi,Ἕλλην,proper,sunw/|kise,συνοικίζω,verb,th/n,ὁ,article,te,τε,particle,xw/rhn,χώρα,noun,*nusai/hn,,,w)no/masen,ὀνομάζω,verb,a)po\,ἀπό,preposition,tou=,ou)/reos,th=s,ὁ,article,*nu/shs,*dio/nusos,Διόνυσος,proper,kai\,καί,conjunction,th\n,ὁ,article,ὁ,article,ὄρος,adjective,Νύση,proper,po/lin,πόλις,adjective,au)th\n,αὐτός,pronoun,*nu=san,Νῦσα,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to\,ὁ,article,ou)=ros,οὖρος,noun,to\,ὁ,article,pro\s,πρός,preposition,th=|,ὁ,article,po/li,πόλις,adjective,o(/tou,ὅστις,pronoun,e)n,ἐν,preposition,th=|sin,ὁ,article,u(pwrei/h|sin,ὑπώρεια,noun,w)/|kistai,h(,*nu=sa,Νῦσα,proper,*mhro\s,klhi/zetai,κλῄζω,verb,e)pi\,ἐπί,preposition,th=|,ὁ,article,οἰκίζω,verb,ὁ,article,μηρός,noun,sumforh=|,συμφορά,noun,h(=|tini,ὅστις,pronoun,e)xrh/sato,χράω,verb,eu)qu\s,εὐθύς,adverb,geno/menos,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta,οὗτος,pronoun,me\n,μέν,particle,oi(,ὁ,article,poihtai\,ποιητής,noun,e)pi\,ἐπί,preposition,*dionu/sw|,Διόνυσος,proper,e)poi/hsan,ποιέω,verb,kai\,καί,conjunction,e)chgei/sqwn,ἐξηγέομαι,verb,au)ta\,αὐτός,pronoun,o(/soi,ὅσος,adjective,lo/gioi,*(ellh/nwn,h)\,ἠέ,conjunction,barba/rwn,,,,,,,,,,λόγιος,adjective,Ἕλλην,proper,βάρβαρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,*)assakhnoi=si,,,de\,δέ,particle,*ma/ssaka,,,po/lis,πόλις,adjective,mega/lh,μέγας,adverb,i(/naper,ἵνα,conjunction,kai\,καί,conjunction,to\,ὁ,article,kra/tos,κράτος,noun,th=s,ὁ,article,gh=s,e)sti,th=s,ὁ,article,*)assaki/hs,,,,,,,,,,γῆ,noun,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,a)/llh,ἄλλος,adjective,po/lis,πόλις,adjective,*peukelatis,,,mega/lh,μέγας,adverb,kai\,καί,conjunction,au)th/,αὐτός,pronoun,ou),οὐ,adverb,makra\n,μακράν,adverb,tou=,ὁ,article,*)indou=,Ἰνδός,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
