word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS
*zeu\s,Ζεύς,proper,me\n,μέν,particle,a)fi/ktwr,ἀφίκτωρ,noun,e)pi/doi,ἐπεῖδον,verb,profro/nws,πρόφρων,adverb,sto/lon,στόλος,noun,h(me/teron,ἡμέτερος,adjective,na/ion,νήιος,adjective,a)rqe/nt',ἀραρίσκω,verb,a)po\,ἀπό,preposition,prostomi/wn,προστόμιον,noun,leptoyama/qwn,λεπτοψάμαθος,adjective,*nei/lou,Νεῖλος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*di/an,Δίη,proper,de\,δέ,particle,lipou=sai,λείπω,verb,xqo/na,χθών,noun,su/gxorton,σύγχορτος,adjective,*suri/a|,Σύριος,proper,feu/gomen,φεύγω,verb,ou)/tin',οὔτις,pronoun,e)f',ἐπί,preposition,ai(/mati,αἷμα,noun,dhmhlasi/an,δημηλασία,noun,yh/fw|,ψῆφος,noun,po/lews,πόλις,adjective,gnwsqei=san,γιγνώσκω,verb,a)ll',ἀλλά,adverb,au)togenei=,αὐτογενής,adjective,fucanori/a|,φυξανορία,noun,ga/mon,γάμος,adjective,*ai)gu/ptou,Αἴγυπτος,proper,pai/dwn,παῖς,adjective,a)sebh=,ἀσεβής,adjective,'c'onotazo/menai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*danao\s,Δαναός,proper,de\,δέ,particle,path\r,πατήρ,noun,kai\,καί,conjunction,bou/larxos,βούλαρχος,noun,kai\,καί,conjunction,stasi/arxos,στασίαρχος,noun,ta/de,ὅδε,pronoun,pessonomw=n,πεσσονομέω,verb,ku/dist',κύδιστος,adjective,a)xe/wn,ἠχή,noun,e)pe/krane,ἐπικραίνω,verb,feu/gein,φεύγω,verb,a)ne/dhn,ἀνέδην,adverb,dia\,διά,preposition,ku=m',κῦμα,noun,a(/lion,ἅλιος,adjective,ke/lsai,κέλλω,verb,d',δέ,particle,*)/argous,Ἄργος,proper,gai=an,γαῖα,noun,o(/qen,ὅθεν,adverb,dh\,δή,particle,ge/nos,γένος,noun,h(me/teron,ἡμέτερος,adjective,th=s,ὁ,article,oi)strodo/nou,οἰστρόδονος,adjective,boo\s,βοῦς,noun,e)c,ἐκ,preposition,e)pafh=s,ἐπαφή,noun,ka)c,ἐκ,preposition,e)pipnoi/as,ἐπίπνοια,noun,*dio\s,Ζεύς,proper,eu)xo/menon,εὔχομαι,verb,tete/lestai,τελέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/n',τίς,pronoun,a)\n,ἄν,particle,ou)=n,οὖν,particle,xw/ran,χώρα,noun,eu)/frona,εὔφρων,adjective,ma=llon,μᾶλλον,adverb,th=sd',ὅδε,pronoun,a)fikoi/meqa,ἀφικνέομαι,verb,su\n,σύν,preposition,toi=sd',ὅδε,pronoun,i(ketw=n,ἱκέτης,noun,e)gxeiridi/ois,ἐγχειρίδιον,noun,e)rioste/ptoisi,ἐριόστεπτος,adjective,kla/doisin,κλάδος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,po/lis,πόλις,adjective,w)=,ὦ,interjection,gh=,γῆ,noun,kai\,καί,conjunction,leuko\n,λευκός,adjective,u(/dwr,ὕδωρ,noun,u(/patoi/,ὕπατος,adjective,te,τε,particle,qeoi/,θεός,noun,kai\,καί,conjunction,baru/timoi,βαρύτιμος,adjective,xqo/nioi,χθόνιος,adjective,qh/kas,θήκη,noun,kate/xontes,κατέχω,verb,kai\,καί,conjunction,*zeu\s,Ζεύς,proper,swth\r,σωτήρ,noun,tri/tos,τρίτος,adjective,oi)kofu/lac,οἰκοφύλαξ,noun,o(si/wn,ὅσιος,adjective,a)ndrw=n,ἀνήρ,noun,de/casq',δέχομαι,verb,i(ke/thn,ἱκέτης,noun,to\n,ὁ,article,qhlugenh=,θηλυγενής,adverb,sto/lon,στόλος,noun,ai)doi/w|,αἰδοῖος,adjective,pneu/mati,πνεῦμα,noun,xw/ras,χώρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)rsenoplhqh=,ἀρσενοπληθής,adjective,d',δέ,particle,e(smo\n,ἑσμός,noun,u(bristh\n,ὑβριστής,noun,*ai)guptogenh=,Αἰγυπτογενής,proper,pri\n,πρίν,adverb,po/da,πούς,noun,xe/rsw|,χέρσος,noun,th=,τῆ,verb,d',δέ,particle,e)n,ἐν,preposition,a)sw/dei,ἀσώδης,adverb,qei=nai,θείνω,verb,cu\n,σύν,preposition,o)/xw|,ὄχος,noun,taxuh/rei,ταχυήρης,adjective,pe/myate,πέμπω,verb,po/ntond',πόντονδε,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/nqa,ἔνθα,adverb,de\,δέ,particle,lai/lapi,λαῖλαψ,noun,xeimwnotu/pw|,χειμώνοτυπος,adjective,bronth=|,βροντή,noun,steroph=|,στεροπή,noun,t',τε,particle,o)mbrofo/roisi/n,ὀμβροφόρος,adjective,t',τε,particle,a)ne/mois,ἄνεμος,noun,a)gri/as,ἄγριος,adjective,a(lo\s,ἅλς,adjective,a)nth/santes,ἀντάω,verb,o)/lointo,ὄλλυμι,verb,pri/n,πρίν,adverb,pote,ποτέ,particle,le/ktrwn,λέκτρον,noun,w(=n,ὅς,pronoun,qe/mis,θέμις,noun,ei)/rgei,ἔργω,verb,sfeterica/menoi,σφετερίζομαι,verb,patrade/lfeian,πατραδέλφεια,noun,th/nd',ὅδε,pronoun,a)eko/ntwn,ἀέκων,adjective,e)pibh=nai,ἐπιβαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',δέ,particle,e)pikeklome/na,ἐπικέλομαι,verb,*di=on,Δῖον,proper,po/rtin,πόρτις,noun,u(perpo/ntion,ὑπερπόντιος,adjective,tima/or',τιμάορος,adjective,i)=ni/n,ἶνις,noun,t',τε,particle,a)nqonomou/sas,,,progo/nou,πρόγονος,adjective,boo\s,βοῦς,noun,e)c,ἐκ,preposition,e)pipnoi/as,ἐπίπνοια,noun,*zhno\s,Ζεύς,proper,e)/fayin,ἔφαψις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pwnumi/a|,ἐπωνυμία,noun,d',δέ,particle,e)pekrai/neto,ἐπικραίνω,verb,mo/rsimos,μόρσιμος,adjective,ai)w\n,αἰών,noun,eu)lo/gws,εὔλογος,adjective,*)/epafo/n,Ἔπαφος,proper,t',τε,particle,e)ge/nnasen,γεννάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/nt',ὅστε,pronoun,e)pilecame/na,ἐπιλέγω,verb,nu=n,νῦν,adverb,e)n,ἐν,preposition,poiono/mois,ποιόνομος,adjective,matro\s,μήτηρ,noun,a)rxai/as,ἀρχαῖος,adjective,to/pois,τόπος,noun,tw=n,ὁ,article,pro/sqe,πρόσθεν,adverb,po/nwn,πόνος,noun,mnasame/na,μιμνήσκω,verb,ta/,τίς,pronoun,te,τε,particle,nu=n,νῦν,adverb,e)pidei/cw,ἐπιδείκνυμι,verb,pista\,πιστός,adjective,tekmh/ria,τεκμήριον,noun,gaiono/mois,γαιονόμος,adjective,ta\,ὁ,article,d',δέ,particle,a)/elpta/,ἄελπτος,adjective,per,πέρ,particle,o)/nta,εἰμί,verb,fanei=tai,φαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
