word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS
prw=ton,πρότερος,adjective,me\n,μέν,particle,eu)xh=|,εὐχή,noun,th=|de,ὅδε,pronoun,presbeu/w,πρεσβεύω,verb,qew=n,θέα,noun,th\n,ὁ,article,prwto/mantin,πρωτόμαντις,adjective,*gai=an,Γαῖα,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,de\,δέ,particle,th=s,ὁ,article,*qe/min,Θέμις,proper,h(\,ὅς,pronoun,dh\,δή,particle,to\,ὁ,article,mhtro\s,μήτηρ,noun,deute/ra,δεύτερος,adjective,to/d',ὅδε,pronoun,e(/zeto,ἕζομαι,verb,mantei=on,μαντεῖον,noun,w(s,ὡς,conjunction,lo/gos,λόγος,noun,tis,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)n,ἐν,preposition,de\,δέ,particle,tw=|,ὁ,article,tri/tw|,τρίτος,adjective,la/xei,λάχος,adjective,qelou/shs,ἐθέλω,verb,ou)de\,οὐδέ,particle,pro\s,πρός,preposition,bi/an,βία,adjective,tino/s,τις,pronoun,*titani\s,Τιτανίς,proper,a)/llh,ἄλλος,adjective,pai=s,πᾶς,adjective,*xqono\s,Χθών,proper,kaqe/zeto,καθέζομαι,verb,*foi/bh,Φοίβη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
di/dwsi,δίδωμι,verb,d',δέ,particle,h(\,ὅς,pronoun,gene/qlion,γενέθλιος,adjective,do/sin,δόσις,noun,*foi/bw|,Φοῖβος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,*foi/bhs,Φοίβη,proper,d',δέ,particle,o)/nom',ὄνομα,adjective,e)/xei,ἔχω,verb,parw/numon,παρώνυμος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lipw\n,λείπω,verb,de\,δέ,particle,li/mnhn,λίμνη,noun,*dhli/an,Δήλιος,proper,te,τε,particle,xoira/da,χοιράς,noun,ke/lsas,κέλλω,verb,e)p',ἐπί,preposition,a)kta\s,ἀκτή,noun,naupo/rous,ναύπορος,adjective,ta\s,ὁ,article,*palla/dos,Παλλάς,proper,e)s,εἰς,preposition,th/nde,ὅδε,pronoun,gai=an,γαῖα,noun,h)=lqe,ἔρχομαι,verb,*parnhsou=,Παρνασός,proper,q',τε,particle,e(/dras,ἕδρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pe/mpousi,πέμπω,verb,d',δέ,particle,au)to\n,αὐτός,pronoun,kai\,καί,conjunction,sebi/zousin,σεβίζω,verb,me/ga,μέγας,adverb,keleuqopoioi\,κελευθοποιός,adjective,pai=des,παῖς,adjective,*(hfai/stou,Ἥφαιστος,proper,xqo/na,χθών,noun,a)nh/meron,ἀνήμερος,adjective,tiqe/ntes,τίθημι,verb,h(merwme/nhn,ἡμερόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
molo/nta,βλώσκω,verb,d',δέ,particle,au)to\n,αὐτός,pronoun,ka/rta,κάρτα,adverb,timalfei=,τιμαλφέω,verb,lew/s,λαός,noun,*delfo/s,Δελφός,proper,te,τε,particle,xw/ras,χώρα,noun,th=sde,ὅδε,pronoun,prumnh/ths,πρυμνήτης,noun,a)/nac,ἄναξ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
te/xnhs,τέχνη,noun,de/,δέ,particle,nin,νιν,pronoun,*zeu\s,Ζεύς,proper,e)/nqeon,ἔνθεος,adjective,kti/sas,κτίζω,verb,fre/na,φρήν,noun,i(/zei,ἵζω,verb,te/tarton,τέταρτος,adjective,toi=sde,ὅδε,pronoun,ma/ntin,μάντις,noun,e)n,ἐν,preposition,qro/nois,θρόνον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dio\s,Ζεύς,proper,profh/ths,προφήτης,adjective,d',δέ,particle,e)sti\,εἰμί,verb,*loci/as,Λοξίας,proper,patro/s,πατήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
