word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/49/lemma/@_entry,word/49/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS
*ou)rano\s,Οὐρανός,proper,prw=tos,πρότερος,adjective,tou=,ὁ,article,panto\s,πᾶς,adjective,e)duna/steuse,δυναστεύω,verb,ko/smou,κόσμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gh/mas,γαμέω,verb,de\,δέ,particle,*gh=n,Γαῖα,proper,e)te/knwse,τεκνόω,verb,prw/tous,πρότερος,adjective,tou\s,ὁ,article,e(kato/gxeiras,ἑκατόγχειρος,adjective,prosagoreuqe/ntas,προσαγορεύω,verb,*bria/rewn,Βριάρεως,noun,*gu/hn,Γύης,proper,*ko/tton,Κόττος,proper,oi(\,ἕ,pronoun,mege/qei,μέγεθος,adjective,te,τε,particle,a)nupe/rblhtoi,ἀνυπέρβλητος,adjective,kai\,καί,conjunction,duna/mei,δύναμις,adjective,kaqeisth/kesan,καθίστημι,verb,xei=ras,χείρ,noun,me\n,μέν,particle,a)na\,ἀνά,preposition,e(kato\n,ἑκατόν,noun,kefala\s,κεφαλή,noun,de\,δέ,particle,a)na\,ἀνά,preposition,penth/konta,πεντήκοντα,verb,e)/xontes,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta\,μετά,preposition,tou/tous,οὗτος,pronoun,de\,δέ,particle,au)tw=|,αὐτός,pronoun,teknoi=,τεκνόω,verb,*gh=,Γαῖα,proper,*ku/klwpas,Κύκλωψ,proper,*)/arghn,Ἄργη,proper,*stero/phn,Στερόπης,proper,*bro/nthn,Βρόντης,proper,w(=n,ὅς,pronoun,e(/kastos,ἕκαστος,adjective,ei)=xen,ἔχω,verb,e(/na,ἕνος,adjective,o)fqalmo\n,ὀφθαλμός,noun,e)pi\,ἐπί,preposition,tou=,ὁ,article,metw/pou,μέτωπον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,tou/tous,οὗτος,pronoun,me\n,μέν,particle,*ou)rano\s,Οὐρανός,proper,dh/sas,δέω,verb,ei)s,εἰς,preposition,*ta/rtaron,Τάρταρος,proper,e)/rriye,ῥίπτω,verb,to/pos,τόπος,noun,de\,δέ,particle,ou(=tos,οὗτος,pronoun,e)rebw/dhs,ἐρεβώδης,adjective,e)sti\n,εἰμί,verb,e)n,ἐν,preposition,*(/aidou,Ἅιδης,proper,tosou=ton,τοσοῦτος,adjective,a)po\,ἀπό,preposition,gh=s,γῆ,noun,e)/xwn,ἔχω,verb,dia/sthma,διάστημα,noun,o(/son,ὅσος,adjective,a)p',ἀπό,preposition,ou)ranou=,οὐρανός,noun,gh=),Γαῖα,proper,teknoi=,τεκνόω,verb,de\,δέ,particle,au)=qis,αὖθις,adverb,e)k,ἐκ,preposition,*gh=s,Γαῖα,proper,pai=das,παῖς,adjective,me\n,μέν,particle,tou\s,ὁ,article,*tita=nas,Τιτάν,proper,prosagoreuqe/ntas,προσαγορεύω,verb,*)wkeano\n,Ὠκεανός,proper,*koi=on,Κοῖος,proper,*(uperi/ona,Ὑπερίων,proper,*krei=on,Κρείων,proper,*)iapeto\n,Ἰαπετός,proper,kai\,καί,conjunction,new/taton,νέος,adjective,a(pa/ntwn,ἅπας,adjective,*kro/non,Κρόνος,proper,qugate/ras,θυγάτηρ,adjective,de\,δέ,particle,ta\s,ὁ,article,klhqei/sas,καλέω,verb,*titani/das,Τιτανίς,proper,*thqu\n,Τηθύς,proper,*(re/an,*qe/min,Θέμις,proper,*mnhmosu/nhn,Μνημοσύνη,proper,*foi/bhn,Φοίβη,proper,*diw/nhn,Διώνη,proper,*qei/an,Θείη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ganaktou=sa,ἀγανακτέω,verb,de\,δέ,particle,*gh=,Γαῖα,proper,e)pi\,ἐπί,preposition,th=|,ὁ,article,a)pwlei/a|,ἀπώλεια,noun,tw=n,ὁ,article,ei)s,εἰς,preposition,*ta/rtaron,Τάρταρος,proper,r(ife/ntwn,ῥίπτω,verb,pai/dwn,παῖς,adjective,pei/qei,πείθω,verb,tou\s,ὁ,article,*tita=nas,Τιτάν,proper,e)piqe/sqai,ἐπιτίθημι,verb,tw=|,ὁ,article,patri/,πατήρ,noun,kai\,καί,conjunction,di/dwsin,δίδωμι,verb,a)damanti/nhn,ἀδαμάντινος,adjective,a(/rphn,ἅρπη,noun,*kro/nw|,Κρόνος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,δέ,particle,*)wkeanou=,Ὠκεανός,proper,xwri\s,χωρίς,adverb,e)piti/qentai,ἐπιτίθημι,verb,kai\,καί,conjunction,*kro/nos,Κρόνος,proper,a)potemw\n,ἀποτέμνω,verb,ta\,ὁ,article,ai)doi=a,αἰδοῖον,noun,tou=,ὁ,article,patro\s,πατήρ,noun,ei)s,εἰς,preposition,th\n,ὁ,article,qa/lassan,θάλασσα,noun,a)fi/hsen,ἀφίημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,de\,δέ,particle,tw=n,ὁ,article,stalagmw=n,σταλαγμός,noun,tou=,ὁ,article,r(e/ontos,ῥέω,verb,ai(/matos,αἷμα,noun,e)rinu/es,Ἐρινύς,proper,e)ge/nonto,γίγνομαι,verb,*)alhktw\,ἄλληκτος,adjective,*tisifo/nh,Τισιφόνη,proper,*me/gaira,Μεγαίρα,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=s,ὁ,article,de\,δέ,particle,a)rxh=s,ἀρχή,noun,e)kbalo/ntes,ἐκβάλλω,verb,tou/s,ὁ,article,te,τε,particle,katatartarwqe/ntas,καταταρταρόω,verb,a)nh/gagon,ἀνάγω,verb,a)delfou\s,ἀδελφός,adjective,kai\,καί,conjunction,th\n,ὁ,article,a)rxh\n,ἀρχή,noun,*kro/nw|,Κρόνος,proper,pare/dosan,παραδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,tou/tous,οὗτος,pronoun,me\n,μέν,particle,e)n,ἐν,preposition,tw=|,ὁ,article,*tarta/rw|,Τάρταρος,proper,pa/lin,πάλιν,adverb,dh/sas,δέω,verb,kaqei=rce,κατείργω,verb,th\n,ὁ,article,de\,δέ,particle,a)delfh\n,ἀδελφή,noun,*(re/an,,,gh/mas,γαμέω,verb,e)peidh\,ἐπεί,conjunction,*gh=,Γαῖα,proper,te,τε,particle,kai\,καί,conjunction,*ou)rano\s,Οὐρανός,proper,e)qespiw/|doun,θεσπιῳδέω,verb,au)tw=|,αὐτός,pronoun,le/gontes,λέγω,verb,u(po\,ὑπό,preposition,paido\s,παῖς,adjective,i)di/ou,ἴδιος,adjective,th\n,ὁ,article,a)rxh\n,ἀρχή,noun,a)faireqh/sesqai,ἀφαιρέω,verb,kate/pine,καταπίνω,verb,ta\,ὁ,article,gennw/mena,γεννάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,prw/thn,πρότερος,adjective,me\n,μέν,particle,gennhqei=san,γεννάω,verb,*(esti/an,Ἑστία,proper,kate/pien,καταπίνω,verb,ei)=ta,εἶτα,adverb,*dh/mhtran,Δημήτηρ,proper,kai\,καί,conjunction,*(/hran,Ἥρα,proper,meq',μετά,preposition,a(\s,ὅς,pronoun,*plou/twna,Πλούτων,proper,kai\,καί,conjunction,*poseidw=na,Ποσειδῶν,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
