word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/14/lemma/@_entry,word/14/lemma/@_POS,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/76/lemma/@_entry,word/76/lemma/@_POS,word/89/lemma/@_entry,word/89/lemma/@_POS
*ma/rkou,Μάρκος,proper,de\,δέ,particle,*brou/tou,pro/gonos,πρόγονος,adjective,h)=n,εἰμί,verb,*)iou/nios,Ἰούνιος,proper,*brou=tos,o(\n,ὅς,pronoun,a)ne/sthsan,ἀνίστημι,verb,e)n,ἐν,preposition,*kapitwli/w|,Καπιτώλιος,proper,xalkou=n,χάλκεος,adjective,oi(,ὁ,article,pa/lai,πάλαι,adverb,*(rwmai=oi,me/son,μέσος,adjective,tw=n,ὁ,article,basile/wn,βασίλη,noun,e)spasme/non,σπάω,verb,ci/fos,ξίφος,noun,w(s,ὡς,conjunction,bebaio/tata,βέβαιος,adjective,katalu/santa,καταλύω,verb,*tarkuni/ous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,e)kei=nos,ἐκεῖνος,pronoun,me/n,w(/sper,ὥσπερ,adverb,ta\,ὁ,article,yuxrh/lata,ψυχρήλατος,adjective,tw=n,cifw=n,ξίφος,noun,sklhro\n,σκληρός,adjective,e)k,ἐκ,preposition,fu/sews,φύσις,noun,kai\,καί,conjunction,ou),οὐ,adverb,malako\n,μαλακός,adjective,e)/xwn,u(po\,ὑπό,preposition,lo/gou,λόγος,noun,to\,ὁ,article,h)=qos,ἦθος,adjective,a)/xri,ἄχρι,adverb,paidofoni/as,παιδοφονία,noun,e)cw/keile,ἐξοκέλλω,verb,tw=|,ὁ,article,qumw=|,μέν,particle,ὁ,article,ἔχω,verb,θυμός,noun,tw=|,ὁ,article,kata\,κατά,preposition,tw=n,ὁ,article,tura/nnwn,τύραννος,noun,ou(tosi\,οὗτος,pronoun,d',δέ,particle,u(pe\r,ὑπέρ,preposition,ou(=,ἕ,pronoun,gra/fetai,γράφω,verb,tau=ta,οὗτος,pronoun,paidei/a|,παιδεία,noun,kai\,καί,conjunction,lo/gw|,λόγος,noun,dia\,διά,preposition,filosofi/as,φιλοσοφία,noun,katami/cas,καταμίγνυμι,verb,to\,ὁ,article,h)=qos,ἦθος,adjective,kai\,καί,conjunction,th\n,ὁ,article,fu/sin,φύσις,noun,e)mbriqh=,ἐμβριθής,adverb,kai\,καί,conjunction,pra|ei=an,πρᾶος,adjective,ou)=san,εἰμί,verb,e)pegei/ras,ἐπεγείρω,verb,tai=s,ὁ,article,praktikai=s,πρακτικός,adjective,o(rmai=s,ὁρμή,noun,e)mmele/stata,ἐμμελής,adjective,dokei=,δοκέω,verb,kraqh=nai,κεράννυμι,verb,pro\s,πρός,preposition,to\,ὁ,article,kalo/n,καλός,noun,w(/ste,ὥστε,conjunction,kai\,καί,conjunction,tou\s,ὁ,article,a)pexqanome/nous,ἀπεχθάνομαι,verb,au)tw=|,αὐτός,pronoun,dia\,διά,preposition,th\n,ὁ,article,e)pi\,ἐπί,preposition,*kai/sara,Καῖσαρ,proper,sunwmosi/an,συνωμοσία,adjective,ei),εἰ,conjunction,me/n,μέν,particle,ti,τις,pronoun,gennai=on,γενναῖος,adjective,h(,ὁ,article,pra=cis,πρᾶξις,adjective,h)/negke,φέρω,verb,*brou/tw|,prosa/ptein,προσάπτω,verb,ta\,ὁ,article,dusxere/stera,δυσχερής,adverb,de\,δέ,particle,tw=n,ὁ,article,gegono/twn,γίγνομαι,verb,tre/pein,τρέπω,verb,ei)s,εἰς,preposition,*ka/ssion,Κάσσιος,proper,oi)kei=on,οἰκεῖος,adjective,me/n,μέν,particle,o)/nta,εἰμί,verb,*brou/tou,kai\,καί,conjunction,fi/lon,φίλος,adjective,a(plou=n,ἁπλόος,adjective,de\,δέ,particle,tw=|,ὁ,article,tro/pw|,τρόπος,noun,kai\,καί,conjunction,kaqaro\n,καθαρός,adjective,ou)x,οὐ,adverb,o(moi/ws,ὅμοιος,adjective,,,,
*serbili/a,,,de\,δέ,particle,h(,mh/thr,μήτηρ,noun,a)ne/fere,ἀναφέρω,verb,to\,ὁ,article,ge/nos,ei)s,εἰς,preposition,*)aa/lan,,,*serbi/lion,,,o(\s,ὅς,pronoun,*maili/ou,Μαίλιος,proper,*spori/ou,Σπόριος,proper,turanni/da,τυραννίς,noun,kataskeuazome/nou,kai\,καί,conjunction,tara/ttontos,ταράσσω,verb,to\n,ὁ,article,dh=mon,δῆμος,noun,e)gxeiri/dion,ἐγχειρίδιον,noun,labw\n,λαμβάνω,verb,u(po\,ὑπό,preposition,ma/lhs,μάλη,adjective,proh=lqen,ὁ,article,γένος,noun,κατασκευάζω,verb,προέρχομαι,verb,ei)s,εἰς,preposition,a)gora/n,ἀγορά,noun,kai\,καί,conjunction,parasta\s,παρίστημι,verb,tw=|,ὁ,article,a)ndri\,ἀνδρίς,noun,plhsi/on,πλησίος,adjective,w(s,ὡς,conjunction,e)ntugxa/nein,ἐντυγχάνω,verb,ti,τις,pronoun,me/llwn,μέλλω,verb,kai\,καί,conjunction,diale/gesqai,διαλέγω,verb,prosneu/santa,προσνεύω,verb,pata\cas,πατάσσω,verb,a)pe/kteine,ἀποκτείνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,me/n,μέν,particle,ou)=n,o(mologou/meno/n,ὁμολογέω,verb,e)sti,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὖν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,patrw=|on,ge/nos,γένος,noun,oi(,ὁ,article,dia\,διά,preposition,to\n,*kai/saros,Καῖσαρ,proper,fo/non,φόνος,noun,e)/xqran,ἔχθρα,noun,tina\,τις,pronoun,kai\,καί,conjunction,dusme/neian,δυσμένεια,noun,a)podeiknu/menoi,ἀποδείκνυμι,verb,pro\s,*brou=ton,,,ou)/,οὐ,adverb,fasin,φημί,verb,ei)s,εἰς,preposition,to\n,ὁ,article,e)kbalo/nta,ἐκβάλλω,verb,*tarkuni/ous,,,a)nh/kein,ἀνέω,verb,ou)de\n,πατρῷος,adjective,ὁ,article,πρός,preposition,οὐδείς,pronoun,ga\r,γάρ,particle,e)kei/nw|,ἐκεῖνος,pronoun,leifqh=nai,λείπω,verb,ge/nos,γένος,noun,a)nelo/nti,ἀναιρέω,verb,tou\s,ὁ,article,ui(ou/s,υἱός,noun,a)lla\,ἀλλά,adverb,dhmo/thn,δημότης,noun,tou=ton,οὗτος,pronoun,oi)kono/mou,οἰκόνομος,noun,ui(o\n,υἱός,noun,o)/nta,εἰμί,verb,*brou/tou,,,a)/rti,ἄρτι,adverb,kai\,καί,conjunction,prw/|hn,πρώιος,adjective,ei)s,εἰς,preposition,a)/rxonta,ἄρχων,noun,proelqei=n,προέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*poseidw/nios,Ποσειδώνιος,proper,d',δέ,particle,o(,filo/sofos,φιλόσοφος,noun,tou\s,ὁ,article,me/n,μέν,particle,e)nhli/kous,fhsi\n,φημί,verb,a)pole/sqai,ἀπόλλυμι,verb,tou=,ὁ,article,*brou/tou,,,pai=das,παῖς,adjective,w(s,ὡς,conjunction,i(sto/rhtai,ἱστορέω,verb,tri/ton,de\,δέ,particle,leifqh=nai,λείπω,verb,nh/pion,νήπιος,adjective,a)f',ἀπό,preposition,ou(=,ἕ,pronoun,to\,ὁ,article,ge/nos,γένος,noun,w(rmh=sqai,ὁρμάω,verb,kai\,ὁ,article,ἐνήλικος,adjective,τρίτος,adjective,καί,conjunction,tw=n,ὁ,article,ge,γε,particle,kaq',κατά,preposition,au(to\n,ἑαυτοῦ,pronoun,e)k,ἐκ,preposition,th=s,ὁ,article,oi)ki/as,οἰκία,noun,gegono/twn,γίγνομαι,verb,e)pifanw=n,ἐπιφαίνω,verb,a)ndrw=n,ἀνήρ,noun,a)nafe/rein,ἀναφέρω,verb,e)ni/ous,ἔνιοι,adjective,pro\s,πρός,preposition,to\n,ὁ,article,a)ndria/nta,ἀνδριάς,noun,tou=,ὁ,article,*brou/tou,,,th\n,ὁ,article,o(moio/thta,ὁμοιότης,noun,th=s,ὁ,article,i)de/as,ἰδέα,noun,peri\,περί,preposition,me/n,μέν,particle,ou)=n,οὖν,particle,tou/twn,οὗτος,pronoun,tosau=ta,τοσοῦτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*serbili/as,,,de\,δέ,particle,th=s,*brou/tou,,,mhtro\s,μήτηρ,noun,a)delfo\s,ἀδελφός,adjective,h)=n,*ka/twn,κάτος,adjective,o(,ὁ,article,filo/sofos,φιλόσοφος,noun,o(\n,ὅς,pronoun,ma/lista,μάλιστα,adverb,*(rwmai/wn,,,e)zh/lwsen,ζηλόω,verb,ou(=tos,qei=on,θεῖος,adjective,o)/nta,εἰμί,verb,kai\,καί,conjunction,penqero\n,πενθερός,noun,u(/steron,ὕστερος,adjective,geno/menon,γίγνομαι,verb,,,,,,,,ὁ,article,εἰμί,verb,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=n,ὁ,article,de\,δέ,particle,*(ellhnikw=n,filoso/fwn,φιλόσοφος,noun,ou)deno\s,οὐδείς,pronoun,me\n,μέν,particle,w(s,a(plw=s,ἁπλῶς,adverb,ei)pei=n,εἶπον,verb,a)nh/koos,ἀνήκοος,adjective,h)=n,εἰμί,verb,ou)de\,οὐδέ,particle,a)llo/trios,ἀλλότριος,adjective,diafero/ntws,διαφερόντως,adverb,d',e)spouda/kei,σπουδάζω,verb,pro\s,πρός,preposition,tou\s,ὁ,article,a)po\,ἀπό,preposition,*pla/twnos,Πλάτων,proper,kai\,καί,conjunction,th\n,ὁ,article,ne/an,νέα,adjective,kai\,Ἑλληνικός,adjective,ὡς,conjunction,δέ,particle,καί,conjunction,me/shn,μέσος,adjective,legome/nhn,λέγω,verb,*)akadh/meian,Ἀκαδήμεια,proper,ou),οὐ,adverb,pa/nu,πάνυ,adverb,prosie/menos,προσίημι,verb,e)ch/rthto,ἐξαρτάω,verb,th=s,ὁ,article,palaia=s,παλαιός,adjective,kai\,καί,conjunction,diete/lei,διατελέω,verb,qauma/zwn,θαυμάζω,verb,me\n,μέν,particle,*)anti/oxon,Ἀντίοχος,proper,to\n,ὁ,article,*)askalwni/thn,,,fi/lon,φίλος,adjective,de\,δέ,particle,kai\,καί,conjunction,sumbiwth\n,συμβιωτής,noun,to\n,ὁ,article,a)delfo\n,ἀδελφός,adjective,au)tou=,αὐτός,pronoun,pepoihme/nos,ποιέω,verb,*)/ariston,Ἄριστος,proper,a)/ndra,ἀνήρ,noun,th=|,ὁ,article,me\n,μέν,particle,e)n,ἐν,preposition,lo/gois,λόγος,noun,e(/cei,ἔχω,verb,pollw=n,πολύς,adjective,filoso/fwn,φιλόσοφος,noun,leipo/menon,λείπω,verb,eu)taci/a|,εὐταξία,noun,de\,δέ,particle,kai\,καί,conjunction,pra|o/thti,πραότης,noun,toi=s,ὁ,article,prw/tois,πρότερος,adjective,e)na/millon,ἐνάμιλλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,d',δέ,particle,*)/empulos,ou(=,ἕ,pronoun,kai\,καί,conjunction,au)to\s,αὐτός,pronoun,e)n,tai=s,ὁ,article,e)pistolai=s,ἐπιστολή,noun,kai\,καί,conjunction,oi(,ὁ,article,fi/loi,φίλος,adjective,me/mnhntai,μιμνήσκω,verb,polla/kis,πολλάκις,adverb,w(s,sumbiou=ntos,συμβιόω,verb,au)tw=|,αὐτός,pronoun,r(h/twr,ῥήτωρ,noun,h)=n,εἰμί,verb,kai\,καί,conjunction,katale/loipe,καταλιμπάνω,verb,mikro\n,μικρός,adjective,me\n,μέν,particle,ou),,,ἐν,preposition,ὡς,conjunction,οὐ,adverb,fau=lon,φαῦλος,adjective,de\,δέ,particle,su/ggramma,σύγγραμμα,noun,peri\,περί,preposition,th=s,ὁ,article,*kai/saros,Καῖσαρ,proper,a)naire/sews,ἀναίρεσις,noun,o(\,ὅς,pronoun,*brou=tos,,,e)pige/graptai,ἐπιγράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(rwmai+sti\,,,me\n,μέν,particle,ou)=n,h)/skhto,ἀσκέω,verb,pro\s,πρός,preposition,ta\s,ὁ,article,dieco/dous,kai\,καί,conjunction,tou\s,ὁ,article,a)gw=nas,ἀγών,noun,i(kanw=s,ἱκανός,adjective,o(,ὁ,article,*brou=tos,,,*(ellhnisti\,Ἑλληνιστί,adverb,de\,th\n,ὁ,article,a)pofqegmatikh\n,ἀποφθεγματικός,adjective,kai\,καί,conjunction,*lakwnikh\n,Λακωνικός,adjective,e)pithdeu/wn,ἐπιτηδεύω,verb,braxulogi/an,βραχυλογία,noun,e)n,ἐν,preposition,tai=s,ὁ,article,e)pistolai=s,οὖν,particle,διέξοδος,noun,δέ,particle,ἐπιστολή,noun,e)niaxou=,ἐνιαχοῦ,adverb,para/shmo/s,παράσημος,adjective,e)stin,εἰμί,verb,oi(=on,οἷος,adjective,h)/dh,ἤδη,adverb,kaqesthkw\s,καθίστημι,verb,ei)s,εἰς,preposition,to\n,ὁ,article,po/lemon,πόλεμος,noun,gra/fei,γράφω,verb,*pergamhnoi=s,Περγαμηνός,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
