word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/26/lemma/@_entry,word/26/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/34/lemma/@_entry,word/34/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS
a)mblu/thtes,ἀμβλύτης,noun,i)/liggoi,ἴλιγγος,noun,teno/ntwn,τένων,noun,ba/rea,βάρος,noun,flebw=n,φλέψ,noun,e)n,ἐν,preposition,tw=|,ὁ,article,traxh/lw|,τράχηλος,noun,plhrw/sies,πλήρωσις,noun,kai\,καί,conjunction,diata/sies,διάτασις,noun,nauti/a,ναυτία,noun,te,τε,particle,pollh\,πολύς,adjective,me\n,μέν,particle,e)pi\,ἐπί,preposition,siti/ois,σιτίον,noun,ou)x,οὐ,adverb,h(/kista,ἥκιστος,adjective,de\,δέ,particle,kai\,καί,conjunction,e)p',ἐπί,preposition,a)siti/h|si,ἀσιτία,noun,kai\,καί,conjunction,blhxrh/,βληχρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,fle/gma,φλέγμα,noun,e)mei=tai,ἐμέω,verb,suxno/n,συχνός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)positi/h,ἀποσιτία,noun,kai\,καί,conjunction,a)peyi/h,ἀπεψία,noun,e)pi\,ἐπί,preposition,smikroi=si,μικρός,adjective,e)de/smasi,ἔδεσμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fusw/dees,φυσώδης,adjective,e)phrme/noi,ἐπαίρω,verb,u(poxo/ndria,ὑποχόνδριος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta/de,ὅδε,pronoun,me\n,μέν,particle,ou)=n,οὖν,particle,dihneke/a,διηνεκής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=|,εἰμί,verb,tou=,ὁ,article,parocusmou=,παροξυσμός,noun,ku/klw|,κύκλος,noun,marmarugai\,μαρμαρυγή,noun,pro\,πρό,preposition,th=s,ὁ,article,o)/yios,ὄψις,noun,porfure/wn,πορφύρα,noun,h)\,ἠέ,conjunction,mela/nwn,μέλας,adjective,h)\,ἠέ,conjunction,pa/ntwn,πᾶς,adjective,o(mou=,ὁμοῦ,adverb,summemigme/nwn,συμμίγνυμι,verb,w(s,ὡς,conjunction,doke/ein,δοκέω,verb,th\n,ὁ,article,e)n,ἐν,preposition,ou)ranw=|,οὐρανός,noun,tetanu/sqai,τανύω,verb,i)=rin,ἶρις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=xoi,ἦχος,noun,w)/twn,ἄατος,adjective,baruodmi/h,βαρυοδμία,noun,o)rgi/loi,ὀργίλος,adjective,pikro/xoloi,πικρόχολος,adjective,paralo/gws,παράλογος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kate/peson,καταπίπτω,verb,gou=n,γοῦν,particle,tines,τις,pronoun,u(po\,ὑπό,preposition,profa/sios,πρόφασις,noun,e)c,ἐκ,preposition,a)qumi/hs,ἀθυμία,noun,metece/teroi,μετεξέτεροι,adjective,de\,δέ,particle,*reu/mati,,,potamou=,ποταμός,noun,a)tene\s,ἀτενής,adjective,e)nido/ntes,ἐνδίδωμι,verb,h)\,ἠέ,conjunction,troxw=|,τροχός,noun,dineume/nw|,δινέω,verb,h)\,ἠέ,conjunction,be/mbiki,βέμβιξ,noun,e(lissome/nh|,ἑλίσσω,verb,a)/llote,ἄλλοτε,adverb,de\,δέ,particle,o)/sfrhsis,ὄσφρησις,noun,barew=n,βαρύς,adjective,o)smw=n,ὀσμή,noun,kate/bale,καταβάλλω,verb,w(/sper,ὥσπερ,adverb,gaga/tou,li/qou,λίθος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi=sde,ὅδε,pronoun,me\n,μέν,particle,ou)=n,οὖν,particle,e)n,ἐν,preposition,th=|,ὁ,article,kefalh=|,κεφαλή,noun,to\,ὁ,article,kako\n,κακός,adjective,e)sthri/xqhte,στηρίζω,verb,kai\,καί,conjunction,e)nteu=qen,ἐντεῦθεν,adverb,phmanqe\n,πημαίνω,verb,a)/rxetai,ἄρχω,verb,metecete/roisi,μετεξέτεροι,adjective,de\,δέ,particle,kai\,καί,conjunction,a)po\,ἀπό,preposition,tw=n,ὁ,article,porrwte/rw|,,,th=s,ὁ,article,kefalh=s,κεφαλή,noun,neu/rwn,νευρόω,verb,o(ko/sa,ὁπόσος,adjective,cumpaqe/a,συμπαθής,adverb,th=|,ὁ,article,a)rxh=|,ἀρχή,noun,gi/gnetai,,,,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da/ktuloi,δάκτυλος,noun,gou=n,γοῦν,particle,mega/loi,μέγας,adverb,xeirw=n,χείρ,noun,h)\,ἠέ,conjunction,podw=n,πούς,noun,cune/lkontai,συνέλκω,verb,kai\,καί,conjunction,po/nos,πόνος,noun,kai\,καί,conjunction,na/rkh,ναρκάω,verb,kai\,καί,conjunction,tro/mos,τρόμος,noun,e(/petai,ἕπομαι,verb,kai\,καί,conjunction,e)s,εἰς,preposition,kefalh\n,κεφαλή,noun,toute/wn,οὗτος,pronoun,h(,ὁ,article,o(rmh\,ὁρμή,noun,h(=ken,ἥκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
