word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS
h)\,ἠέ,conjunction,oi(/h,οἷος,adjective,prolipou=sa,προλείπω,verb,do/mous,δόμος,noun,kai\,καί,conjunction,patri/da,πατρίς,adjective,gai=an,γαῖα,noun,h)/luqen,ἔρχομαι,verb,e)s,εἰς,preposition,*qh/bas,Θήβη,proper,met',μετά,preposition,a)rh/ion,ἄρειος,adjective,*)amfitru/wna,Ἀμφιτρύων,proper,*)alkmh/nh,Ἀλκμήνη,proper,quga/thr,θυγάτηρ,adjective,laosso/ou,λαοσσόος,adjective,*)hlektru/wnos,Ἠλεκτρύων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/,ὅς,pronoun,r(a,ἄρα,particle,gunaikw=n,γυνή,noun,fu=lon,φῦλον,noun,e)kai/nuto,καίνυμαι,verb,qhlutera/wn,θῆλυς,adjective,ei)/dei/+,εἶδος,noun,te,τε,particle,mege/qei,μέγεθος,adjective,te,τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no/on,νόος,adjective,ge,γε,particle,me\n,μέν,particle,ou)/,οὐ,adverb,tis,τις,pronoun,e)/rize,ἐρίζω,verb,ta/wn,ὁ,article,a(\s,ὅς,pronoun,qnhtai\,θνητός,adjective,qnhtoi=s,θνητός,adjective,te/kon,τίκτω,verb,eu)nhqei=sai,εὐνάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=s,ὁ,article,kai\,καί,conjunction,a)po\,ἀπό,preposition,krh=qen,κράς,verb,blefa/rwn,βλέφαρον,noun,t',τε,particle,a)/po,ἀπό,preposition,kuanea/wn,κυάνεος,adjective,toi=on,τοῖος,adjective,a)/hq',ἄημι,verb,oi)=o/n,οἶος,adjective,te,τε,particle,poluxru/sou,πολύχρυσος,adjective,*)afrodi/ths,Ἀφροδίτη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\,ὅς,pronoun,de\,δέ,particle,kai\,καί,conjunction,w(\s,ὅς,pronoun,kata\,κατά,preposition,qumo\n,θυμός,noun,e(o\n,ἑός,adjective,ti/esken,τίω,verb,a)koi/thn,ἀκοίτης,noun,w(s,ὡς,conjunction,ou)/,οὐ,adverb,pw/,πω,particle,tis,τις,pronoun,e)/tise,τίνω,verb,gunaikw=n,γυνή,noun,qhlutera/wn,θῆλυς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=,ἦ,adverb,me/n,μέν,particle,oi(,ὁ,article,pate/r',πατήρ,noun,e)sqlo\n,ἐσθλός,adjective,a)pe/ktane,ἀποκτείνω,verb,i)=fi,ἶφι,adverb,dama/ssas,δαμάζω,verb,xwsa/menos,χόω,verb,peri\,περί,preposition,bousi/,βοῦς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lipw\n,λείπω,verb,d',δέ,particle,o(/,ὅς,pronoun,ge,γε,particle,patri/da,πατρίς,adjective,gai=an,γαῖα,noun,e)s,εἰς,preposition,*qh/bas,Θήβη,proper,i(ke/teuse,ἱκετεύω,verb,feressake/as,φερεσσακής,adjective,*kadmei/ous,Καδμεῖος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/nq',ἔνθα,adverb,o(/,ὅς,pronoun,ge,γε,particle,dw/mat',δῶμα,noun,e)/naie,ναίω,verb,su\n,σύν,preposition,ai)doi/h|,αἰδοῖος,adjective,parakoi/ti,παράκοιτις,noun,no/sfin,νόσφι,preposition,a)/ter,ἄτερ,preposition,filo/thtos,φιλότης,noun,e)fime/rou,ἐφίμερος,adjective,ou)de/,οὐδέ,particle,oi(,ἕ,pronoun,h)=en,εἰμί,verb,pri\n,πρίν,adverb,lexe/wn,λέχος,noun,e)pibh=nai,ἐπιβαίνω,verb,e)usfu/rou,εὔσφυρος,adjective,*)hlektruw/nhs,Ἠλεκτρυώνη,proper,pri/n,πρίν,adverb,ge,γε,particle,fo/non,φόνος,noun,ti/saito,τίνω,verb,kasignh/twn,κασίγνητος,noun,megaqu/mwn,μεγάθυμος,adjective,h(=s,ὅς,pronoun,a)lo/xou,ἄλοχος,adjective,malerw=|,μαλερός,adjective,de\,δέ,particle,katafle/cai,καταφλέγω,verb,puri\,πῦρ,noun,kw/mas,κώμη,noun,a)ndrw=n,ἀνήρ,noun,h(rw/wn,ἥρως,noun,*tafi/wn,Τάφιοι,proper,i)de\,ἰδέ,conjunction,*thleboa/wn,Τηλεβόης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw\s,τώς,adverb,ga/r,γάρ,particle,oi(,ἕ,pronoun,die/keito,διάκειμαι,verb,qeoi\,θεός,noun,d',δέ,particle,e)pi\,ἐπί,preposition,ma/rturoi,μάρτυρος,noun,h)=san,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=n,ὁ,article,o(/,ὅς,pronoun,g',γε,particle,o)pi/zeto,ὀπίζομαι,verb,mh=nin,μῆνις,noun,e)pei/geto,ἐπείγω,verb,d',δέ,particle,o(/tti,ὅστις,pronoun,ta/xista,τάχιστος,adjective,e)ktele/sai,ἐκτελέω,verb,me/ga,μέγας,adverb,e)/rgon,ἔργον,noun,o(/,ὅς,pronoun,oi(,ἕ,pronoun,*dio/qen,Ζεύς,proper,qe/mis,θέμις,noun,h)=en,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
