word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/14/lemma/@_entry,word/14/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS
oi(,ἕ,pronoun,cuggra/yantes,συγγράφω,verb,ta\s,ὁ,article,*knidi/as,Κνίδιος,proper,kaleome/nas,καλέω,verb,gnw/mas,γνώμη,noun,o(koi=a,ὁποῖος,adjective,me\n,μέν,particle,pa/sxousin,πάσχω,verb,oi(,ἕ,pronoun,ka/mnontes,κάμνω,verb,e)n,ἐν,preposition,e(ka/stoisi,ἕκαστος,adjective,tw=n,ὁ,article,noushma/twn,o)rqw=s,ὀρθός,adjective,e)/grayan,γράφω,verb,kai\,καί,conjunction,o(koi/ws,ὁποῖος,adjective,e)/nia,ἔνιοι,adjective,a)pe/bainen,ἀποβαίνω,verb,au)te/wn,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,a)/xri,ἄχρι,adverb,me\n,μέν,particle,toute/ou,,,kai\,καί,conjunction,mh\,μή,conjunction,i)htro\s,ἰατρός,noun,du/naito,δύναμαι,verb,tis,τις,pronoun,a)\n,ἄν,particle,o)rqw=s,ὀρθός,adjective,cuggra/yai,συγγράφω,verb,ei),εἰ,conjunction,eu)=,εὖ,adverb,para\,tw=n,ὁ,article,kamno/ntwn,κάμνω,verb,e(/kaston,ἕκαστος,adjective,pu/qoito,πύθω,verb,o(koi=a,ὁποῖος,adjective,pa/sxousin,πάσχω,verb,,,,παρά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(ko/sa,ὁπόσος,adjective,de\,δέ,particle,prokatamaqei=n,προκαταμανθάνω,verb,xrh\,χρή,verb,to\n,ὁ,article,i)htro\n,ἰατρός,noun,mh\,μή,conjunction,le/gontos,λέγω,verb,tou=,ὁ,article,ka/mnontos,κάμνω,verb,toute/wn,οὗτος,pronoun,ta\,ὁ,article,polla\,πολύς,adjective,parei=tai,παρέζομαι,verb,a)/lla,e)n,ἐν,preposition,a)/lloisi,ἄλλος,adjective,kai\,καί,conjunction,e)pikaira,,,e)/nia,ἔνιοι,adjective,e)o/nta,εἰμί,verb,e)s,εἰς,preposition,ἄλλος,adjective,te/kmarsin,τέκμαρσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(ko/tan,,,de\,δέ,particle,e)s,εἰς,preposition,te/kmarsin,τέκμαρσις,noun,le/ghtai,λέγω,verb,w(s,ὡς,conjunction,xrh\,χρή,verb,e(/kasta,ἕκαστος,adjective,i)htreu/ein,,,e)n,ἐν,preposition,toute/oisi,,,polla\,πολύς,adjective,e(teroi/ws,ἑτεροῖος,adjective,gignw/skw,γιγνώσκω,verb,h)\,w(s,ὡς,conjunction,e)kei=noi,ἐκεῖνος,pronoun,e)pech/|esan,ἐπέξειμι,verb,,,,,,,,,,,,,ἠέ,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ou),οὐ,adverb,mou=non,μόνος,adjective,dia\,διά,preposition,tou=to,οὗτος,pronoun,ou)k,οὐ,adverb,e)paine/w,ἐπαινέω,verb,a)ll',ἀλλά,adverb,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,o)li/goisi,ὀλίγος,adjective,to\n,ὁ,article,a)riqmo\n,ἀριθμός,adjective,toi=sin,ὁ,article,a)ke/esin,e)xre/onto,χράω,verb,,,,,,,,,,,,,,,,,,,ἄκος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,ga\r,γάρ,particle,plei=sta,πλεῖστος,adjective,au)te/oisin,,,ei)re/atai,ἐρῶ,verb,plh\n,πλήν,preposition,tw=n,ὁ,article,o)ceiw=n,ὀξύς,adjective,nou/swn,νόσος,noun,fa/rmaka,φάρμακον,noun,e)lath/ria,ἐλατήριος,adjective,dido/nai,δίδωμι,verb,kai\,καί,conjunction,o)r)*ro\n,,,kai\,ga/la,γάλα,noun,e)s,εἰς,preposition,th\n,ὁ,article,w(/rhn,ὥρα,adjective,pipi/skein,πιπίσκω,verb,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,tau=ta,οὗτος,pronoun,a)gaqa\,ἀγαθός,adjective,h)=n,εἰμί,verb,kai\,καί,conjunction,a(rmo/zonta,ἁρμόζω,verb,toi=si,ὁ,article,noush/masin,,,e)f',ἐπί,preposition,oi(=si,ὅς,pronoun,parh/|neon,παραινέω,verb,dido/nai,δίδωμι,verb,e)/ti,a)\n,ἄν,particle,a)ciw/tera,ἄξιος,adjective,e)pai/nou,ἔπαινος,noun,h)=n,εἰμί,verb,o(/ti,ὅστις,pronoun,o)li/ga,ὀλίγος,adjective,e)o/nta,εἰμί,verb,ἔτι,adverb,au)ta/rkea/,αὐτάρκης,adverb,e)stin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,de\,δέ,particle,ou)x,οὐ,adverb,ou(/tws,οὕτως,adverb,e)/xei,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,me/n,μέν,particle,toi,τοι,particle,u(/steron,ὕστερος,adjective,e)pidiaskeua/santes,ἐπιδιασκευάζω,verb,i)htrikw/teron,ἰατρικός,adjective,dh/,δή,particle,ti,τις,pronoun,e)ph=lqon,ἐπέρχομαι,verb,peri\,περί,preposition,tw=n,ὁ,article,prosoiste/wn,προσοιστέος,adjective,e(ka/stoisin,ἕκαστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ta\r,ἀτάρ,particle,ou)de\,οὐδέ,particle,peri\,περί,preposition,diai/ths,δίαιτα,noun,oi(,ὁ,article,a)rxai=oi,ἀρχαῖος,adjective,cune/grayan,συγγράφω,verb,ou)de\n,οὐδείς,pronoun,a)/cion,ἄξιος,adjective,lo/gou,λόγος,noun,kai/toi,καίτοι,particle,me/ga,μέγας,adverb,tou=to,οὗτος,pronoun,parh=kan,παρίημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
