word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS
e)/tuxon,τυγχάνω,verb,me\n,μέν,particle,diatri/bwn,διατρίβω,verb,e)n,ἐν,preposition,*)adrianoi=s,Ἀδριανός,proper,tou=,ὁ,article,qeou=,θεός,noun,pe/myantos,πέμπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=san,εἰμί,verb,de\,δέ,particle,ai(,ὁ,article,pollai\,πολύς,adjective,to/te,τότε,adverb,kai\,καί,conjunction,sunexei=s,συνεχής,adverb,a)pori/ai,ἀπορία,noun,ou)/te,οὔτε,adverb,ga\r,γάρ,particle,tre/fesqai,τρέφω,verb,dunato\n,δυνατός,adjective,h)=n,εἰμί,verb,moi,ἐγώ,pronoun,ou)/q',οὔτε,adverb,o(/,ὅς,pronoun,ti,τις,pronoun,geusai/mhn,γεύω,verb,kate/xein,κατέχω,verb,tou=to,οὗτος,pronoun,a)ll',ἀλλά,adverb,eu)qu\s,εὐθύς,adverb,suni/stato,συνίστημι,verb,su\n,σύν,preposition,puri\,πῦρ,noun,pollw=|,πολύς,adjective,kai\,καί,conjunction,th\n,ὁ,article,fa/rugga,φάρυγξ,noun,e)/keire,κείρω,verb,kai\,καί,conjunction,to\,ὁ,article,pneu=ma,πνεῦμα,noun,a)pela/mbane,ἀπολαμβάνω,verb,kai\,καί,conjunction,sfa/keloi,σφάκελος,noun,purw/deis,πυρώδης,adverb,e)xw/roun,χωρέω,verb,ei)s,εἰς,preposition,kefalh\n,κεφαλή,noun,a)/nw,ἄνω,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,peirwme/nw|,πειράω,verb,e)mei=n,ἐμέω,verb,ou)k,οὐ,adverb,a)ph/nta,ἀπαντάω,verb,a)ll',ἀλλά,adverb,h)=n,εἰμί,verb,kai\,καί,conjunction,r(ani\s,ῥανίς,noun,a)nti\,ἀντί,preposition,trikumi/as,τρικυμία,noun,dia\,διά,preposition,to\,ὁ,article,e)ni/sxesqai/,ἐνίσχω,verb,te,τε,particle,kai\,καί,conjunction,pnigmo\n,πνιγμός,noun,fe/rein,φέρω,verb,mo/lis,μόλις,adverb,d',δέ,particle,a)\n,ἄν,particle,kai\,καί,conjunction,meta\,μετά,preposition,pollou=,πολύς,adjective,qoru/bou,θόρυβος,noun,kai\,καί,conjunction,pollh=s,πολύς,adjective,a)pognw/sews,ἀπόγνωσις,noun,a)phlla/ghn,ἀπαλλάσσω,verb,ou)k,οὐ,adverb,a)naimwti\,ἀναιμωτί,adverb,a)ll',ἀλλά,adverb,a)necai/neto,ἀναξαίνω,verb,a(/pas,ἅπας,adjective,o(,ὁ,article,po/ros,πόρος,noun,kai\,καί,conjunction,kaqi/stato,καθίστημι,verb,a)nt',ἀντί,preposition,a)/llou,ἄλλος,adjective,trau/matos,τραῦμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,o(,ὁ,article,ka/matos,κάματος,noun,dh\,δή,particle,kai\,καί,conjunction,h(,ὁ,article,pa=sa,πᾶς,adjective,tou=,ὁ,article,sw/matos,σῶμα,adjective,a)sqe/neia,ἀσθένεια,noun,kai\,καί,conjunction,ka/qarsis,κάθαρσις,noun,kata\,κατά,preposition,lo/gon,λόγος,noun,tw=n,ὁ,article,sumbaino/ntwn,συμβαίνω,verb,h)=n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tw=n,ὁ,article,fi/lwn,φίλος,adjective,kai\,καί,conjunction,tw=n,ὁ,article,ei)wqo/twn,ἔθω,verb,parh=n,πάρειμι,verb,ou)dei\s,οὐδείς,pronoun,a)ll',ἀλλά,adverb,a)pedh/moun,ἀποδημέω,verb,a)/llos,ἄλλος,adjective,a)/llose,ἄλλοτε,adverb,o(/ti,ὅστις,pronoun,mh\,μή,conjunction,ei(=s,εἷς,adjective,tis,τις,pronoun,e)/tuxe,τυγχάνω,verb,diaitw/menos,διαιτάω,verb,e)n,ἐν,preposition,toi=s,ὁ,article,u(/dasi,ὕδωρ,noun,to/te,τότε,adverb,o(\n,ὅς,pronoun,e)gw\,ἐγώ,pronoun,e)/ti,ἔτι,adverb,pro/sqen,πρόσθεν,adverb,e)do/koun,δοκέω,verb,o)/nar,ὄναρ,noun,keime/nw|,κεῖμαι,verb,moi,ἐγώ,pronoun,kaq',κατά,preposition,o(do\n,ὁδός,adjective,mo/nw|,μόνος,adjective,tou=,ὁ,article,i(/ppou,ἵππος,noun,e)f',ἐπί,preposition,ou(=,ἕ,pronoun,kaqh/mhn,κάθημαι,verb,peptwko/tos,πίπτω,verb,ei)pei=n,εἶπον,verb,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,tou=to,οὗτος,pronoun,para\,παρά,preposition,th=s,ὁ,article,ei(marme/nhs,μείρομαι,verb,sumbai/h,συμβαίνω,verb,mo/non,μόνος,adjective,me,ἐγώ,pronoun,a)poleifqh=nai,ἀπολείπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,me\n,μέν,particle,dh\,δή,particle,e)n,ἐν,preposition,*perga/mw|,Πέργαμον,proper,progego/nei,προγίγνομαι,verb,pro\,πρό,preposition,th=s,ὁ,article,e)co/dou,ἔξοδος,noun,mikro/n,μικρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to/te,τότε,adverb,de\,δέ,particle,e)n,ἐν,preposition,toi=s,ὁ,article,*)adrianoi=s,Ἀδριανός,proper,a)poroume/nw|,ἀφοράω,verb,me/mnhmai,μιμνήσκω,verb,toiou=ton,τοιοῦτος,adjective,o)/nar,ὄναρ,noun,geno/menon,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)do/koun,δοκέω,verb,e)pi\,ἐπί,preposition,sxedi/as,σχεδία,noun,fe/resqai,φέρω,verb,e)n,ἐν,preposition,tw=|,ὁ,article,*ai)gupti/w|,Αἰγύπτιος,proper,pela/gei,πέλαγος,noun,mo/nos,μόνος,adjective,ei)=nai,εἰμί,verb,de\,δέ,particle,th=s,ὁ,article,sxedi/as,σχεδία,noun,e)p',ἐπί,preposition,a)/krw|,ἄκρον,noun,te,τε,particle,kai\,καί,conjunction,tw=|,ὁ,article,pro\s,πρός,preposition,th\n,ὁ,article,gh=n,γῆ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)porou=nti,ἀφοράω,verb,de/,δέ,particle,moi,ἐγώ,pronoun,profanh=nai,προφαίνω,verb,to\n,ὁ,article,trofe/a,τροφεύς,noun,*zw/simon,Ζώσιμος,proper,i(/ppon,ἵππος,noun,e)/xonta,ἔχω,verb,e)n,ἐν,preposition,th=|,ὁ,article,gh=|,γῆ,noun,kai/,καί,conjunction,pws,πως,particle,e)kbh=nai/,ἐκβαίνω,verb,te,τε,particle,kai\,καί,conjunction,labe/sqai,λαμβάνω,verb,a)sme/nws,ἄσμενος,adjective,tou=,ὁ,article,i(/ppou,ἵππος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou=to,οὗτος,pronoun,me\n,μέν,particle,ou(/tws,οὕτως,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
