word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/27/lemma/@_entry,word/27/lemma/@_POS
a)etou/s,ἀετός,noun,tinas,τις,pronoun,h)\,ἠέ,conjunction,ku/knous,κύκνος,noun,w)=,ὦ,interjection,*tere/ntie,Τερέντιος,proper,*pri=ske,muqologou=sin,μυθολογέω,verb,a)po\,ἀπό,preposition,tw=n,ὁ,article,a)/krwn,ἄκρον,noun,th=s,ὁ,article,gh=s,γῆ,noun,e)pi\,ἐπί,preposition,to\,ὁ,article,me/son,μέσος,adjective,ferome/nous,φέρω,verb,ei)s,εἰς,preposition,tau)to\,αὐτός,pronoun,sumpesei=n,συμπίτνω,verb,*puqoi=,Πυθοῖ,adverb,peri\,περί,preposition,to\n,ὁ,article,kalou/menon,καλέω,verb,o)mfalo/n,ὀμφαλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(/steron,ὕστερος,adjective,de\,δέ,particle,xro/nw|,χρόνος,noun,to\n,ὁ,article,*fai/stion,,,*)epimeni/dhn,Ἐπιμενίδης,proper,e)le/gxonta,to\n,ὁ,article,mu=qon,μῦθος,noun,e)pi\,ἐπί,preposition,tou=,ὁ,article,qeou=,θεός,noun,kai\,καί,conjunction,labo/nta,λαμβάνω,verb,xrhsmo\n,χρησμός,noun,a)safh=,ἀσαφής,adverb,kai\,καί,conjunction,a)mfi/bolon,ἀμφίβολος,adjective,ei)pei=n,εἶπον,verb,ou)/te,οὔτε,adverb,ga\r,γάρ,particle,h)=n,εἰμί,verb,gai/hs,γαῖα,noun,,,,,,,ἐλέγχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/sos,μέσος,adjective,o)mfalo\s,ὀμφαλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\,οὐδέ,particle,qala/sshs,θάλασσα,noun,ei),εἰ,conjunction,de/,δέ,particle,tis,τις,pronoun,e)/sti,εἰμί,verb,qeoi=s,dh=los,δῆλος,adjective,qnhtoi=si,θνητός,adjective,d',δέ,particle,a)/fantos,ἄφαντος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)kei=non,ἐκεῖνος,pronoun,me\n,μέν,particle,ou)=n,οὖν,particle,ei)ko/tws,ἐοικότως,adverb,o(,ὁ,article,qeo\s,θεός,noun,h)mu/nato,mu/qou,μῦθος,noun,palaiou=,παλαιός,adjective,kaqa/per,καθά,adverb,zwgrafh/matos,ζωγράφημα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀμύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(fh=|,ἁφή,noun,diapeirw/menon,διαπειράομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)li/gon,ὀλίγος,adjective,de\,δέ,particle,pro\,πρό,preposition,*puqi/wn,Πύθια,proper,tw=n,ὁ,article,e)pi\,ἐπί,preposition,*kallistra/tou,pro\s,πρός,preposition,h(ma=s,ἐγώ,pronoun,a)po\,ἀπό,preposition,tw=n,ὁ,article,e)nanti/wn,ἐναντίος,adjective,th=s,ὁ,article,oi)koume/nhs,οἰκουμένη,noun,pera/twn,πέρας,noun,e)/tuxon,τυγχάνω,verb,a)/ndres,ἀνήρ,noun,i(eroi\,ἱερός,adjective,du/o,δύο,adjective,sundramo/ntes,συντρέχω,verb,ei)s,εἰς,preposition,*delfou/s,Δελφοί,proper,*dhmh/trios,Δημήτριος,proper,me\n,μέν,particle,o(,ὁ,article,Καλλίστρατος,proper,grammatiko\s,γραμματικός,adjective,e)k,ἐκ,preposition,*brettani/as,ei)s,εἰς,preposition,*tarso\n,Ταρσός,proper,a)nakomizo/menos,ἀνακομίζω,verb,oi)/kade,οἴκαδε,adverb,*kleo/mbrotos,Κλεόμβροτος,proper,d',δέ,particle,o(,ὁ,article,*lakedaimo/nios,Λακεδαιμόνιος,proper,polla\,πολύς,adjective,me\n,μέν,particle,e)n,ἐν,preposition,*ai)gu/ptw|,Αἴγυπτος,proper,kai\,καί,conjunction,peri\,περί,preposition,th\n,ὁ,article,*trwglodutikh\n,τρωγλοδυτικός,adjective,gh=n,γῆ,noun,peplanhme/nos,πλανάω,verb,po/rrw,πρόσω,adverb,de\,δέ,particle,th=s,ὁ,article,*)eruqra=s,Ἐρυθραί,proper,qala/sshs,θάλασσα,noun,a)napepleukw\s,ἀναπλέω,verb,ou),οὐ,adverb,kat',κατά,preposition,e)mpori/an,ἐμπορία,noun,a)ll',ἀλλά,adverb,a)nh\r,ἀνήρ,noun,filoqea/mwn,φιλοθέαμος,adjective,kai\,καί,conjunction,filomaqh\s,φιλομαθής,adverb,ou)si/an,οὐσία,adjective,d',δέ,particle,e)/xwn,ἔχω,verb,i(kanh\n,ἱκανός,adjective,kai\,καί,conjunction,to\,ὁ,article,plei/ona,πλείων,verb,tw=n,ὁ,article,i(kanw=n,ἱκανός,adjective,e)/xein,ἔχω,verb,ou)k,οὐ,adverb,a)/cion,ἄξιος,adjective,pollou=,πολύς,adjective,poiou/menos,ποιέω,verb,e)xrh=to,χράομαι,verb,th=|,ὁ,article,sxolh=|,σχολή,noun,pro\s,πρός,preposition,ta\,ὁ,article,toiau=ta,τοιοῦτος,adjective,kai\,καί,conjunction,sunh=gen,συνάγω,verb,i(stori/an,ἱστορία,noun,oi(=on,οἷος,adjective,u(/lhn,ὕλη,noun,filosofi/as,φιλοσοφία,noun,qeologi/an,θεολογία,noun,w(/sper,ὥσπερ,adverb,au)to\s,αὐτός,pronoun,e)ka/lei,καλέω,verb,te/los,τέλος,noun,e)xou/shs,ἔχω,verb,newsti\,νεωστί,adverb,de\,δέ,particle,gegonw\s,γίγνομαι,verb,par',παρά,preposition,*)/ammwna,Ἄμμων,proper,ta\,ὁ,article,me\n,μέν,particle,a)/lla,ἄλλος,adjective,tw=n,ὁ,article,e)kei=,ἐκεῖ,adverb,dh=los,δῆλος,adjective,h)=n,εἰμί,verb,mh\,μή,conjunction,pa/nu,πάνυ,adverb,teqaumakw/s,θαυμάζω,verb,peri\,περί,preposition,de\,δέ,particle,tou=,ὁ,article,lu/xnou,λύχνον,noun,tou=,ὁ,article,a)sbe/stou,ἄσβεστος,adjective,dihgei=to,διηγέομαι,verb,lo/gon,λόγος,noun,a)/cion,ἄξιος,adjective,spoudh=s,σπουδή,noun,lego/menon,λέγω,verb,u(po\,ὑπό,preposition,tw=n,ὁ,article,i(ere/wn,ἱερά,noun,,
a)ei\,ἀεί,adverb,ga\r,γάρ,particle,e)/latton,ἐλάσσων,adjective,a)nali/skein,ἀναλίσκω,verb,e)/laion,ἔλαιον,noun,e)/tous,ἔτος,noun,e(ka/stou,kai\,καί,conjunction,tou=to,οὗτος,pronoun,poiei=sqai,ποιέω,verb,tekmh/rion,τεκμήριον,noun,e)kei/nous,ἐκεῖνος,pronoun,th=s,ὁ,article,tw=n,ὁ,article,e)niautw=n,ἐνιαυτός,noun,a)nwmali/as,ἀνωμαλία,noun,to\n,ὁ,article,e(/teron,ἕτερος,adjective,tou=,ὁ,article,proa/gontos,προάγω,verb,a)ei\,ἀεί,adverb,tw=|,ὁ,article,xro/nw|,χρόνος,noun,braxu/teron,βραχύς,adjective,poiou/shs,ποιέω,verb,ἕκαστος,adjective,ei)ko\s,ἔοικα,verb,ga\r,γάρ,particle,e)n,e)la/ttoni,ἐλάσσων,adjective,xro/nw|,χρόνος,noun,to\,ὁ,article,dapanw/menon,δαπανάω,verb,e)/latton,ἐλάσσων,adjective,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐν,preposition
qaumasa/ntwn,θαυμάζω,verb,de/,δέ,particle,tw=n,ὁ,article,paro/ntwn,πάρειμι,verb,tou=,ὁ,article,de\,δέ,particle,*dhmhtri/ou,kai\,καί,conjunction,geloi=on,γέλοιος,adjective,fh/santos,φημί,verb,ei)=nai,εἰμί,verb,a)po\,ἀπό,preposition,mikrw=n,μικρός,adjective,pragma/twn,πρᾶγμα,noun,ou(/tw,οὕτως,adverb,mega/la,μέγας,adverb,qhra=n,θηράω,verb,ou),οὐ,adverb,kat',κατά,preposition,*)alkai=on,Ἀλκαῖος,proper,e)c,ἐκ,preposition,o)/nuxos,ὄνυξ,noun,to\n,ὁ,article,le/onta,λέων,noun,gra/fontas,γράφω,verb,Δημήτριος,proper,a)lla\,ἀλλά,adverb,qrualli/di,θρυαλλίς,noun,kai\,lu/xnw|,λύχνον,noun,to\n,ὁ,article,ou)rano\n,οὐρανός,noun,o(mou=,ὁμοῦ,adverb,ti,τις,pronoun,su/mpanta,σύμπας,adjective,meqista/ntas,μεθίστημι,verb,kai\,καί,conjunction,th\n,ὁ,article,maqhmatikh\n,μαθηματικός,adjective,a)/rdhn,ἄρδην,adverb,a)nairou=ntas,ἀναιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction
o(,ὁ,article,*kleo/mbrotos,Κλεόμβροτος,proper,ou)de/n,οὐδείς,pronoun,e)/fh,φημί,verb,tou/twn,οὗτος,pronoun,diatara/cei,διαταράσσω,verb,tou\s,a)/ndras,ἀνήρ,noun,a)lla\,ἀλλά,adverb,toi=s,ὁ,article,maqhmatikoi=s,μαθηματικός,adjective,ou)x,οὐ,adverb,u(fh/sontai,ὑφάω,verb,th=s,ὁ,article,a)kribei/as,ἀκρίβεια,noun,w(s,ὡς,conjunction,ma=llon,μᾶλλον,adverb,a)\n,ἄν,particle,e)kei/nous,ἐκεῖνος,pronoun,diafugo/nta,διαφεύγω,verb,to\n,ὁ,article,xro/non,χρόνος,noun,e)n,ἐν,preposition,kinh/sesi,κίνησις,adjective,kai\,καί,conjunction,ὁ,article,perio/dois,περίοδος,noun,ou(/tw,οὕτως,adverb,makra\n,a)festw/sais,ἀφίστημι,verb,h)\,ἠέ,conjunction,to\,ὁ,article,me/tron,μέτρον,noun,au)tou\s,αὐτός,pronoun,tou=,ὁ,article,e)lai/ou,ἔλαιον,noun,prose/xontas,προσέχω,verb,a)ei\,ἀεί,adverb,dia\,διά,preposition,th\n,ὁ,article,a)topi/an,ἀτοπία,noun,tw=|,ὁ,article,paralo/gw|,παράλογος,adjective,kai\,καί,conjunction,parafula/ttontas,παραφυλάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μακράν,adverb
