word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS
ti/,τίς,pronoun,moi,ἐγώ,pronoun,me/lei,μέλω,verb,fhsi/,φημί,verb,po/teron,πότερος,adjective,e)c,ἐκ,preposition,a)to/mwn,ἄτομος,adjective,h)\,ἠέ,conjunction,e)c,ἐκ,preposition,a)merw=n,ἀμερής,adjective,h)\,ἠέ,conjunction,e)k,ἐκ,preposition,puro\s,πῦρ,noun,kai\,καί,conjunction,gh=s,γῆ,noun,sune/sthke,συνίστημι,verb,ta\,ὁ,article,o)/nta,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,a)rkei=,ἀρκέω,verb,maqei=n,μανθάνω,verb,th\n,ὁ,article,ou)si/an,οὐσία,adjective,tou=,ὁ,article,a)gaqou=,ἀγαθός,adjective,kai\,καί,conjunction,kakou=,κακός,adjective,kai\,καί,conjunction,ta\,ὁ,article,me/tra,μέτρον,noun,tw=n,ὁ,article,o)re/cewn,ὄρεξις,noun,kai\,καί,conjunction,e)kkli/sewn,ἔκκλισις,noun,kai\,καί,conjunction,e)/ti,ἔτι,adverb,o(rmw=n,ὁρμάω,verb,kai\,καί,conjunction,a)formw=n,ἀφορμή,noun,kai\,καί,conjunction,tou/tois,οὗτος,pronoun,w(/sper,ὥσπερ,adverb,kano/si,κανών,noun,xrw/menon,χράομαι,verb,dioikei=n,διοικέω,verb,ta\,ὁ,article,tou=,ὁ,article,bi/ou,βίος,adjective,ta\,ὁ,article,d',δέ,particle,u(pe\r,ὑπέρ,preposition,h(ma=s,ἐγώ,pronoun,tau=ta,οὗτος,pronoun,xai/rein,χαίρω,verb,e)a=n,ἀίω,verb,a(\,ὅς,pronoun,tuxo\n,τυγχάνω,verb,me\n,μέν,particle,a)kata/lhpta/,ἀκατάληπτος,adjective,e)sti,εἰμί,verb,th=|,ὁ,article,a)nqrwpi/nh|,ἀνθρώπινος,adjective,gnw/mh|,γνώμη,noun,ei),εἰ,conjunction,de\,δέ,particle,kai\,καί,conjunction,ta\,ὁ,article,ma/lista,μάλιστα,adverb,qei/h,τίθημι,verb,tis,τις,pronoun,ei)=nai,εἰμί,verb,katalhpta/,καταληπτός,adjective,a)ll',ἀλλά,adverb,ou)=n,οὖν,particle,ti/,τίς,pronoun,o)/felos,ὄφελος,noun,katalhfqe/ntwn,καταλαμβάνω,verb
ou)xi\,οὐ,adverb,de\,δέ,particle,diakenh=s,διακενῆς,adverb,pra/gmata,πρᾶγμα,noun,e)/xein,ἔχω,verb,fate/on,φατέον,adjective,tou\s,ὁ,article,tau=ta,οὗτος,pronoun,w(s,ὡς,conjunction,a)nagkai=a,ἀναγκαῖος,adjective,tw=|,ὁ,article,tou=,ὁ,article,filoso/fou,φιλόσοφος,noun,lo/gw|,λόγος,noun,prosne/montas,προσνέμω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh/,μή,conjunction,ti,τις,pronoun,ou)=n,οὖν,particle,kai\,καί,conjunction,to\,ὁ,article,e)n,ἐν,preposition,*delfoi=s,Δελφοί,proper,para/ggelma,παράγγελμα,noun,pare/lkon,παρέλκω,verb,e)sti/,εἰμί,verb,to\,ὁ,article,*gnw=qi,γιγνώσκω,verb,sauto/n,σαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,de\,δέ,particle,me\n,μέν,particle,ou)/,οὐ,adverb,fhsi/,φημί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,ou)=n,οὖν,particle,h(,ὁ,article,du/namis,δύναμις,adjective,au)tou=,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,xoreuth=|,χορευτής,noun,tis,τις,pronoun,parh/ggelle,παραγγέλλω,verb,to\,ὁ,article,gnw=nai,γιγνώσκω,verb,e(auto/n,ἑαυτοῦ,pronoun,ou)/koun,οὔκουν,adverb,a)\n,ἄν,particle,th=|,ὁ,article,prosta/cei,πρόσταξις,noun,prosei=xe,προσέχω,verb,tw=|,ὁ,article,e)pistrafh=nai,ἐπιστρέφω,verb,kai\,καί,conjunction,tw=n,ὁ,article,sugxoreutw=n,συγχορευτής,noun,kai\,καί,conjunction,th=s,ὁ,article,pro\s,πρός,preposition,au)tou\s,αὐτός,pronoun,sumfwni/as,συμφωνία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,nau/th|,ναύτης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de\,δέ,particle,stratiw/th|,στρατιώτης,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po/teron,πότερος,adjective,ou)=n,οὖν,particle,o(,ὁ,article,a)/nqrwpos,ἄνθρωπος,noun,au)to\s,αὐτός,pronoun,e)f',ἐπί,preposition,au(tou=,ἑαυτοῦ,pronoun,pepoih=sqai/,ποιέω,verb,soi,σύ,pronoun,dokei=,δοκέω,verb,zw=|on,ζώιον,noun,h)\,ἠέ,conjunction,pro\s,πρός,preposition,koinwni/an,κοινωνία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro\s,πρός,preposition,koinwni/an,κοινωνία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(po\,ὑπό,preposition,ti/nos,τίς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(po\,ὑπό,preposition,th=s,ὁ,article,fu/sews,φύσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
