word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/12/@_form,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/5/lemma/@_entry,word/5/lemma/@_POS,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/lemma/@_entry,word/12/lemma/@_POS,word/19/lemma/@_entry,word/19/lemma/@_POS,word/34/lemma/@_entry,word/34/lemma/@_POS,word/36/lemma/@_entry,word/36/lemma/@_POS,word/38/lemma/@_entry,word/38/lemma/@_POS,word/45/lemma/@_entry,word/45/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS
*toi=s,ὁ,article,a)delfoi=s,ἀδελφός,adjective,toi=s,ὁ,article,kat',κατά,preposition,*ai)/gupton,Αἴγυπτος,proper,*ioudai/ois,xai/rein,χαίρω,verb,oi(,ὁ,article,a)delfoi\,ἀδελφός,adjective,oi(,ὁ,article,e)n,ἐν,preposition,*ierosolu/mois,*ioudai=oi,kai\,καί,conjunction,oi(,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,xw/ra|,χώρα,noun,th=s,ὁ,article,*ioudai/as,ei)rh/nhn,εἰρήνη,noun,a)gaqh/n,ἀγαθός,adjective,kai\,καί,conjunction,a)gaqopoih/sai,ἀγαθοποιέω,verb,u(mi=n,σύ,pronoun,o(,ὁ,article,qeo\s,θεός,noun,kai\,καί,conjunction,mnhsqei/h,μιμνήσκω,verb,th=s,ὁ,article,diaqh/khs,διαθήκη,noun,au)tou=,αὐτός,pronoun,th=s,ὁ,article,pro\s,πρός,preposition,*abraam,kai\,καί,conjunction,*isaak,kai\,καί,conjunction,*iakwb,tw=n,ὁ,article,dou/lwn,δοῦλος,noun,au)tou=,αὐτός,pronoun,tw=n,ὁ,article,pistw=n,πιστός,adjective,kai\,καί,conjunction,dw/|h,u(mi=n,σύ,pronoun,kardi/an,καρδία,noun,pa=sin,πᾶς,adjective,ei)s,εἰς,preposition,to\,ὁ,article,se/besqai,σέβομαι,verb,au)to\n,αὐτός,pronoun,kai\,καί,conjunction,poiei=n,ποιέω,verb,au)tou=,αὐτός,pronoun,ta\,ὁ,article,qelh/mata,θέλημα,noun,kardi/a|,καρδία,noun,mega/lh|,μέγας,adverb,kai\,καί,conjunction,yuxh=|,ψυχή,noun,boulome/nh|,βούλομαι,verb,kai\,καί,conjunction,dianoi/cai,διανοίγω,verb,th\n,ὁ,article,kardi/an,καρδία,noun,u(mw=n,σύ,pronoun,e)n,ἐν,preposition,tw=|,ὁ,article,no/mw|,νόμος,noun,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,e)n,ἐν,preposition,toi=s,ὁ,article,prosta/gmasin,πρόσταγμα,noun,kai\,καί,conjunction,ei)rh/nhn,εἰρήνη,noun,poih/sai,ποιέω,verb,kai\,καί,conjunction,e)pakou/sai,ἐπακούω,verb,u(mw=n,σύ,pronoun,tw=n,ὁ,article,deh/sewn,δέησις,noun,kai\,καί,conjunction,katallagei/h,καταλλάσσω,verb,u(mi=n,σύ,pronoun,kai\,καί,conjunction,mh\,μή,conjunction,u(ma=s,σύ,pronoun,e)gkatali/poi,ἐγκαταλείπω,verb,e)n,ἐν,preposition,kairw=|,καιρός,noun,ponhrw=|,πονηρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,nu=n,νῦν,adverb,w(=de/,ὧδε,adverb,e)smen,εἰμί,verb,proseuxo/menoi,προσεύχομαι,verb,peri\,u(mw=n,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,περί,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basileu/ontos,βασιλεύω,verb,*dhmhtri/ou,Δημήτριος,proper,e)/tous,ἔτος,noun,e(katostou=,ἑκατοστός,adjective,e(chkostou=,ἑξηκοστός,adjective,e)na/tou,h(mei=s,ἐγώ,pronoun,oi(,ὁ,article,*ioudai=oi,,,gegra/famen,γράφω,verb,u(mi=n,σύ,pronoun,e)n,th=|,qli/yei,θλῖψις,noun,kai\,καί,conjunction,e)n,ἐν,preposition,th=|,ὁ,article,a)kmh=|,ἀκμή,noun,th=|,ὁ,article,e)pelqou/sh|,h(mi=n,ἐγώ,pronoun,e)n,ἐν,preposition,toi=s,ὁ,article,e)/tesin,ἔτος,noun,tou/tois,οὗτος,pronoun,a)f',ἀπό,preposition,ou(=,ἕ,pronoun,a)pe/sth,ἀφίστημι,verb,*)ia/swn,Ἴασος,proper,kai\,καί,conjunction,oi(,ὁ,article,met',μετά,preposition,au)tou=,αὐτός,pronoun,a)po\,ἀπό,preposition,th=s,a(gi/as,ἅγιος,adjective,gh=s,kai\,καί,conjunction,th=s,basilei/as,βασιλεία,noun,kai\,καί,conjunction,e)nepu/risan,,,to\n,ὁ,article,pulw=na,πυλών,noun,kai\,καί,conjunction,e)ce/xean,ai(=ma,αἷμα,noun,a)qw=on,,,kai\,καί,conjunction,e)deh/qhmen,δέω,verb,tou=,ὁ,article,kuri/ou,κύριος,adjective,kai\,καί,conjunction,ei)shkou/sqhmen,εἰσακούω,verb,kai\,καί,conjunction,proshne/gkamen,προσφέρω,verb,qusi/an,θυσία,noun,kai\,καί,conjunction,semi/dalin,σεμίδαλις,noun,kai\,καί,conjunction,e)ch/yamen,ἐξάπτω,verb,tou\s,ὁ,article,lu/xnous,λύχνος,noun,kai\,καί,conjunction,proeqh/kamen,προτίθημι,verb,tou\s,ὁ,article,a)/rtous,ἄρτος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔνατος,adjective,ἐν,preposition,ὁ,article,ἐπέρχομαι,verb,ὁ,article,γῆ,noun,ὁ,article,ἐκχέω,verb,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,nu=n,νῦν,adverb,i(/na,ἵνα,conjunction,a)/ghte,ἄγνυμι,verb,ta\s,ὁ,article,h(me/ras,th=s,ὁ,article,skhnophgi/as,σκηνοπηγία,noun,tou=,ὁ,article,*xaseleu,,,mhno/s,μείς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἡμέρα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/tous,ἔτος,noun,e(katostou=,ἑκατοστός,adjective,o)gdohkostou=,ὀγδοηκοστός,adjective,kai\,καί,conjunction,o)gdo/ou,ὄγδοος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*oi(,ἕ,pronoun,e)n,ἐν,preposition,*ierosolu/mois,,,kai\,καί,conjunction,oi(,ὁ,article,e)n,th=|,ὁ,article,*ioudai/a|,,,kai\,καί,conjunction,h(,ὁ,article,gerousi/a,γερούσιας,noun,kai\,*ioudas,*)aristobou/lw|,Ἀριστόβουλος,proper,didaska/lw|,διδάσκαλος,noun,*ptolemai/ou,Πτολεμαῖος,proper,tou=,ὁ,article,basile/ws,βασιλεύς,noun,o)/nti,εἰμί,verb,de\,a)po\,ἀπό,preposition,tou=,ὁ,article,tw=n,ὁ,article,xristw=n,χρίστης,noun,i(ere/wn,ἱερά,noun,ge/nous,γένος,noun,kai\,καί,conjunction,toi=s,ὁ,article,e)n,ἐν,preposition,*ai)gu/ptw|,Αἴγυπτος,proper,*ioudai/ois,,,xai/rein,χαίρω,verb,kai\,καί,conjunction,u(giai/nein,ὑγιαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐν,preposition,καί,conjunction,,,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,mega/lwn,μέγας,adverb,kindu/nwn,κίνδυνος,noun,u(po\,ὑπό,preposition,tou=,ὁ,article,qeou=,sesw|sme/noi,σώζω,verb,mega/lws,μέγας,adverb,eu)xaristou=men,εὐχαριστέω,verb,au)tw=|,αὐτός,pronoun,w(s,ὡς,conjunction,a)\n,pro\s,basile/a,βασιλεύς,noun,paratasso/menoi,παρατάσσω,verb,au)to\s,αὐτός,pronoun,ga\r,γάρ,particle,e)ce/brasen,ἐκβράζω,verb,tou\s,ὁ,article,paratacame/nous,e)n,ἐν,preposition,th=|,ὁ,article,a(gi/a|,ἅγιος,adjective,po/lei,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,θεός,noun,ἄν,particle,πρός,preposition,παρατάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)s,εἰς,preposition,th\n,ὁ,article,*persi/da,Περσίς,proper,geno/menos,γίγνομαι,verb,ga\r,γάρ,particle,o(,h(gemw\n,ἡγεμών,noun,kai\,καί,conjunction,h(,ὁ,article,peri\,περί,preposition,au)to\n,αὐτός,pronoun,a)nupo/statos,dokou=sa,ei)=nai,εἰμί,verb,du/namis,δύναμις,adjective,kateko/phsan,κατακόπτω,verb,e)n,ἐν,preposition,tw=|,ὁ,article,th=s,ὁ,article,*nanai/as,i(erw=|,ἱερόν,noun,paralogismw=|,παραλογισμός,noun,xrhsame/nwn,χράω,verb,tw=n,ὁ,article,peri\,περί,preposition,th\n,ὁ,article,*nanai/an,,,i(ere/wn,ἱερά,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ἀνυπόστατος,adjective,δοκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,ga\r,γάρ,particle,sunoikh/swn,συνοικέω,verb,au)th=|,αὐτός,pronoun,parege/neto,παραγίγνομαι,verb,ei)s,to\n,ὁ,article,to/pon,τόπος,noun,o(/,ὅς,pronoun,te,τε,particle,*)anti/oxos,Ἀντίοχος,proper,kai\,oi(,su\n,σύν,preposition,au)tw=|,αὐτός,pronoun,fi/loi,φίλος,adjective,xa/rin,χάρις,noun,tou=,ὁ,article,labei=n,λαμβάνω,verb,ta\,xrh/mata,χρῆμα,adjective,plei/ona,πλείων,verb,ei)s,εἰς,preposition,fernh=s,φερνή,noun,lo/gon,λόγος,noun,kai\,καί,conjunction,proqe/ntwn,προτίθημι,verb,au)ta\,αὐτός,pronoun,tw=n,ὁ,article,i(ere/wn,ἱερά,noun,tou=,ὁ,article,*nanai/ou,,,ka)kei/nou,ἐκεῖνος,pronoun,proselqo/ntos,προσέρχομαι,verb,met',o)li/gwn,ὀλίγος,adjective,ei)s,to\n,ὁ,article,peri/bolon,tou=,ὁ,article,teme/nous,τέμενος,noun,sugklei/santes,συγκλείω,verb,to\,ὁ,article,i(ero/n,ἱερόν,noun,w(s,ὡς,conjunction,ei)sh=lqen,*)anti/oxos,Ἀντίοχος,proper,a)noi/cantes,ἀνοίγνυμι,verb,th\n,ὁ,article,tou=,ὁ,article,fatnw/matos,φάτνωμα,noun,krupth\n,κρυπτός,adjective,qu/ran,θύρα,noun,ba/llontes,βάλλω,verb,pe/trous,πέτρος,noun,sunekerau/nwsan,συγκεραυνόω,verb,to\n,ὁ,article,h(gemo/na,ἡγεμών,noun,kai\,καί,conjunction,me/lh,μέλη,noun,poih/santes,ποιέω,verb,kai\,καί,conjunction,ta\s,ὁ,article,kefala\s,κεφαλή,noun,a)felo/ntes,ἀφαιρέω,verb,toi=s,ὁ,article,e)/cw,ἔξω,adverb,pare/rriyan,παραρρίπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰς,preposition,καί,conjunction,ὁ,article,ὁ,article,μετά,preposition,εἰς,preposition,περίβολος,adjective,εἰσέρχομαι,verb,,,,,,,,,,,,,,,,,,
kata\,κατά,preposition,pa/nta,πᾶς,adjective,eu)loghto\s,εὐλογητός,adjective,h(mw=n,ἐγώ,pronoun,o(,ὁ,article,qeo/s,o(\s,ὅς,pronoun,pare/dwken,παραδίδωμι,verb,tou\s,ὁ,article,a)sebh/santas,ἀσεβέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
