word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS
ou)demia=|,οὐδείς,pronoun,filopragmosu/nh|,φιλοπραγμοσύνη,noun,ma\,μά,particle,tou\s,ὁ,article,qeou/s,θεός,noun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,th\n,ὁ,article,di/khn,δίκη,adjective,tau/thn,οὗτος,pronoun,e)/laxon,λαγχάνω,verb,*boiwtw=|,Βοιωτός,proper,ou)d',οὐδέ,particle,h)gno/oun,ἀγνοέω,verb,o(/ti,ὅστις,pronoun,polloi=s,πολύς,adjective,a)/topon,ἄτοπος,adjective,do/cei,δοκέω,verb,to\,ὁ,article,di/khn,δίκη,adjective,e)me\,ἐγώ,pronoun,lagxa/nein,λαγχάνω,verb,ei)/,εἰ,conjunction,tis,τις,pronoun,e)moi\,ἐγώ,pronoun,tau)to\n,ταυτός,adjective,o)/nom',ὄνομα,adjective,oi)/etai,οἴομαι,verb,dei=n,δέω,verb,e)/xein,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,a)nagkai=on,ἀναγκαῖος,adjective,h)=n,εἰμί,verb,e)k,ἐκ,preposition,tw=n,ὁ,article,sumbhsome/nwn,συμβαίνω,verb,ei),εἰ,conjunction,mh\,μή,conjunction,tou=to,οὗτος,pronoun,diorqw/somai,διορθόω,verb,e)n,ἐν,preposition,u(mi=n,σύ,pronoun,kriqh=nai,κρίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,e(te/rou,ἕτερος,adjective,tino\s,τις,pronoun,ou(=tos,οὗτος,pronoun,e)/fh,φημί,verb,patro\s,πατήρ,noun,ei)=nai,εἰμί,verb,kai\,καί,conjunction,mh\,μή,conjunction,tou=,ὁ,article,e)mou=,ἐμός,adjective,peri/ergos,περίεργος,adjective,a)\n,ἄν,particle,ei)ko/tws,ἐοικότως,adverb,e)do/koun,δοκέω,verb,ei)=nai,εἰμί,verb,fronti/zwn,φροντίζω,verb,o(/,ὅς,pronoun,ti,τις,pronoun,bou/letai,βούλομαι,verb,kalei=n,καλέω,verb,ou(=tos,οὗτος,pronoun,e(auto/n,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,de\,δέ,particle,laxw\n,λαγχάνω,verb,di/khn,δίκη,adjective,tw=|,ὁ,article,patri\,πατήρ,noun,tw=|,ὁ,article,e)mw=|,ἐμός,adjective,kai\,καί,conjunction,meq',μετά,preposition,e(autou=,ἑαυτοῦ,pronoun,kataskeua/sas,κατασκευάζω,verb,e)rgasth/rion,ἐργαστήριον,noun,sukofantw=n,συκοφαντέω,verb,*mnhsikle/a,Μνησικλῆς,proper,te,τε,particle,o(\n,ὅς,pronoun,i)/sws,ἴσως,adverb,gignw/skete,γιγνώσκω,verb,pa/ntes,πᾶς,adjective,kai\,καί,conjunction,*menekle/a,Μενεκλῆς,proper,to\n,ὁ,article,th\n,ὁ,article,*ni=non,Νῖνος,proper,e(lo/nt',αἱρέω,verb,e)kei=non,ἐκεῖνος,pronoun,kai\,καί,conjunction,toiou/tous,τοιοῦτος,adjective,tina/s,τις,pronoun,e)dika/zeq',δικάζω,verb,ui(o\s,υἱός,noun,ei)=nai,εἰμί,verb,fa/skwn,φάσκω,verb,e)k,ἐκ,preposition,th=s,ὁ,article,*pamfi/lou,Πάμφιλος,proper,qugatro\s,θυγάτηρ,adjective,kai\,καί,conjunction,deina\,δεινός,adjective,pa/sxein,πάσχω,verb,kai\,καί,conjunction,th=s,ὁ,article,patri/dos,πατρίς,adjective,a)posterei=sqai,ἀποστερέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,path\r,πατήρ,noun,de/,δέ,particle,pa=sa,πᾶς,adjective,ga\r,γάρ,particle,ei)rh/setai,ἔρομαι,verb,h(,ὁ,article,a)lh/qei',ἀλήθεια,adjective,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/),δικαστής,noun,a(/ma,ἅμα,adverb,me\n,μέν,particle,fobou/menos,φοβέω,verb,ei)s,εἰς,preposition,dikasth/rion,δικαστήριον,noun,ei)sie/nai,εἴσειμι,verb,mh/,μή,conjunction,tis,τις,pronoun,oi(=',οἷος,adjective,u(po\,ὑπό,preposition,politeuome/nou,πολιτεύω,verb,e(te/rwqi/,ἑτέρωθι,adverb,pou,πού,adverb,leluphme/nos,λυπέω,verb,e)ntauqoi=,ἐνταυθοῖ,adverb,a)panth/seien,ἀπαντάω,verb,au)tw=|,αὐτός,pronoun,a(/ma,ἅμα,adverb,d',δέ,particle,e)capathqei\s,ἐξαπατάω,verb,u(po\,ὑπό,preposition,th=s,ὁ,article,toutoui\,οὗτος,pronoun,mhtro/s,μήτηρ,noun,o)mosa/shs,ὄμνυμι,verb,au)th=s,αὐτός,pronoun,h)=,ἦ,adverb,mh/n,μής,noun,e)a\n,ἐάν,conjunction,o(/rkon,ὅρκος,noun,au)th=|,αὐτός,pronoun,didw=|,δίδωμι,verb,peri\,περί,preposition,tou/twn,οὗτος,pronoun,mh\,μή,conjunction,o)mei=sqai,ὄμνυμι,verb,tou/twn,οὗτος,pronoun,de\,δέ,particle,praxqe/ntwn,πράσσω,verb,ou)de\n,οὐδείς,pronoun,e)/t',ἔτι,adverb,e)/sesqai,εἰμί,verb,au)toi=s,αὐτός,pronoun,kai\,καί,conjunction,mesegguhsame/nhs,μεσεγγυάω,verb,a)rgu/rion,ἀργύριον,adjective,e)pi\,ἐπί,preposition,tou/tois,οὗτος,pronoun,di/dwsi,δίδωμι,verb,to\n,ὁ,article,o(/rkon,ὅρκος,noun
h(,ὁ,article,de\,δέ,particle,decame/nh,δέχομαι,verb,ou),οὐ,adverb,mo/non,μόνος,adjective,tou=ton,οὗτος,pronoun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,to\n,ὁ,article,a)delfo\n,ἀδελφός,adjective,to\n,ὁ,article,e(/teron,ἕτερος,adjective,pro\s,πρός,preposition,tou/tw|,οὗτος,pronoun,katwmo/sat',κατόμνυμι,verb,e)k,ἐκ,preposition,tou=,ὁ,article,patro\s,πατήρ,noun,ei)=nai,εἰμί,verb,tou=,ὁ,article,e)mou=,ἐμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,de\,δέ,particle,tou=t',οὗτος,pronoun,e)poi/hsen,ποιέω,verb,ei)sa/gein,εἰσάγω,verb,ei)s,εἰς,preposition,tou\s,ὁ,article,fra/teras,φράτηρ,noun,h)=n,εἰμί,verb,a)na/gkh,ἀνάγκη,noun,tou/tous,οὗτος,pronoun,kai\,καί,conjunction,lo/gos,λόγος,noun,ou)dei\s,οὐδείς,pronoun,u(pelei/peto,ὑπολείπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)sh/gagen,εἰσάγω,verb,e)poih/sato,ποιέω,verb,i(/na,ἵνα,conjunction,ta)n,ἐν,preposition,me/sw|,μέσος,adjective,sunte/mw,συντέμνω,verb,e)ggra/fei,ἐγγράφω,verb,toi=s,ὁ,article,*)apatouri/ois,Ἀπατούρια,proper,toutoni\,οὗτος,pronoun,me\n,μέν,particle,*boiwto\n,Βοιωτός,proper,ei)s,εἰς,preposition,tou\s,ὁ,article,fra/teras,φράτηρ,noun,to\n,ὁ,article,d',δέ,particle,e(/teron,ἕτερος,adjective,*pa/mfilon,Πάμφιλος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*manti/qeos,Μαντίθεος,proper,d',δέ,particle,e)negegra/mmhn,ἐγγράφω,verb,e)gw/,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sumba/shs,σύμβασις,noun,de\,δέ,particle,tw=|,ὁ,article,patri\,πατήρ,noun,th=s,ὁ,article,teleuth=s,τελευτή,noun,pri\n,πρίν,adverb,ta\s,ὁ,article,ei)s,εἰς,preposition,tou\s,ὁ,article,dhmo/tas,δημότης,noun,e)ggrafa\s,ἐγγραφή,noun,gene/sqai,γίγνομαι,verb,e)lqw\n,ἔρχομαι,verb,ei)s,εἰς,preposition,tou\s,ὁ,article,dhmo/tas,δημότης,noun,ou(tosi\,οὗτος,pronoun,a)nti\,ἀντί,preposition,*boiwtou=,Βοιωτός,proper,*manti/qeon,Μαντίθεος,proper,e)ne/grayen,ἐγγράφω,verb,e(auto/n,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
