word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS
*palla/d',Παλλάς,proper,*)aqhnai/hn,Ἀθήνη,proper,kudrh\n,κυδρός,adjective,qeo/n,θεός,noun,a)/rxom',ἄρχω,verb,a)ei/dein,ἀείδω,verb,glaukw=pin,γλαυκῶπις,noun,polu/mhtin,πολύμητις,noun,a)mei/lixon,ἀμείλιχος,adjective,h)=tor,ἦτορ,noun,e)/xousan,ἔχω,verb,parqe/non,παρθένος,noun,ai)doi/hn,αἰδοῖος,adjective,e)rusi/ptolin,ἐρυσίπτολις,noun,a)lkh/essan,ἀλκήεις,adjective,*tritogenh=,Τριτογένεια,proper,th\n,ὁ,article,au)to\s,αὐτός,pronoun,e)gei/nato,γείνομαι,verb,mhti/eta,μητίετα,adjective,*zeu\s,Ζεύς,proper,semnh=s,σεμνός,adjective,e)k,ἐκ,preposition,kefalh=s,κεφαλή,noun,polemh/ia,πολεμήιος,adjective,teu/xe',τεῦχος,noun,e)/xousan,ἔχω,verb,xru/sea,χρύσεος,adjective,pamfano/wnta,παμφανόων,verb
se/bas,σέβας,noun,d',δέ,particle,e)/xe,ἔχω,verb,pa/ntas,πᾶς,adjective,o(rw=ntas,ὁράω,verb,a)qana/tous,ἀθάνατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\,ὅς,pronoun,de\,δέ,particle,pro/sqen,πρόσθεν,adverb,*dio\s,Ζεύς,proper,ai)gio/xoio,αἰγίοχος,adjective,e)ssume/nws,ἐσσύμενος,adjective,w)/rousen,ὀρούω,verb,a)p',ἀπό,preposition,a)qana/toio,ἀθάνατος,adjective,karh/nou,κάρηνον,noun,sei/sas',σείω,verb,o)cu\n,ὀξύς,adjective,a)/konta,ἄκων,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/gas,μέγας,adverb,d',δέ,particle,e)leli/zet',ἐλελίζω,verb,*)/olumpos,Ὄλυμπος,proper,deino\n,δεινός,adjective,u(po\,ὑπό,preposition,bri/mhs,βρίμη,noun,glaukw/pidos,γλαυκῶπις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)mfi\,ἀμφί,preposition,de\,δέ,particle,gai=a,γαῖα,noun,smerdale/on,σμερδαλέος,adjective,i)a/xhsen,ἰαχέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)kinh/qh,κινέω,verb,d',δέ,particle,a)/ra,ἄρα,particle,po/ntos,πόντος,noun,ku/masi,κῦμα,noun,porfure/oisi,πορφύρεος,adjective,kukw/menos,κυκάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/kxuto,ἐκχέω,verb,d',δέ,particle,a(/lmh,ἅλμη,noun,e)capi/nhs,ἐξαπίνης,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sth=sen,ἵστημι,verb,d',δέ,particle,*(uperi/onos,Ὑπερίων,proper,a)glao\s,ἀγλαός,adjective,ui(o\s,υἱός,noun,i(/ppous,ἵππος,noun,w)ku/podas,ὠκύπους,noun,dhro\n,δηρός,adjective,xro/non,χρόνος,noun,ei)so/te,εἰσότε,conjunction,kou/rh,κόρη,noun,ei(/let',αἱρέω,verb,a)p',ἀπό,preposition,a)qana/twn,ἀθάνατος,adjective,w)/mwn,ὦμος,noun,qeoei/kela,θεοείκελος,adjective,teu/xh,τεῦχος,noun,*palla\s,Παλλάς,proper,*)aqhnai/h,Ἀθήνη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gh/qhse,γηθέω,verb,de\,δέ,particle,mhti/eta,μητίετα,adjective,*zeu/s,Ζεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,su\,σύ,pronoun,me\n,μέν,particle,ou(/tw,οὕτως,adverb,xai=re,χαίρω,verb,*dio\s,Ζεύς,proper,te/kos,τέκος,noun,ai)gio/xoio,αἰγίοχος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
