word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS
ou(/tws,οὕτως,adverb,e)/xwn,ἔχω,verb,w)=,ὦ,interjection,*)aqhnai=oi,Ἀθηναῖος,proper,gnw/mhs,γνώμη,noun,a)ne/sthka,ἀνίστημι,verb,w(s,ὡς,conjunction,ei),εἰ,conjunction,mh\,μή,conjunction,li/an,λίαν,adverb,eu)/hqes,εὐήθης,adjective,ei)pei=n,εἶπον,verb,h)=n,εἰμί,verb,e)ggu\s,ἐγγύς,adverb,a)\n,ἄν,particle,ei)=nai,εἰμί,verb,tou=,ὁ,article,zhtei=n,ζητέω,verb,e)/ti,ἔτι,adverb,fh=sai,φημί,verb,pote/rois,πότερος,adjective,prosqw=mai,προσθέω,verb,ka)\n,κἀν,conjunction,ei)/,εἰ,conjunction,tis,τις,pronoun,a)nasta\s,ἀνίστημι,verb,mikro\n,μικρός,adjective,u(/steron,ὕστερος,adjective,e)cele/gceie,ἐξελέγχω,verb,diafeu/gonta/s,διαφεύγω,verb,me,ἐγώ,pronoun,tou\s,ὁ,article,logismou\s,λογισμός,noun,kai\,καί,conjunction,dei/ceien,δείκνυμι,verb,au)to/s,αὐτός,pronoun,ti,τις,pronoun,be/ltion,βελτίων,adverb,prw=tos,πρότερος,adjective,au)tw=|,αὐτός,pronoun,pei/qesqai,πείθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tosou=ton,τοσοῦτος,adjective,eu)noi/as,εὔνοια,noun,ou)de\,οὐδέ,particle,pro\s,πρός,preposition,e(te/rous,ἕτερος,adjective,a)/nwqen,ἄνωθεν,adverb,prou+pa/rxon,προυπάρχω,verb,e)sti/,εἰμί,verb,moi,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(\,ὅς,pronoun,de\,δέ,particle,kai\,καί,conjunction,qarrou/ntws,θαρσούντως,adverb,a)nesta/nai,ἀνίστημι,verb,me,ἐγώ,pronoun,kai\,καί,conjunction,e)mauto\n,ἐμαυτοῦ,pronoun,h)/dh,ἤδη,adverb,pepeike/nai,πείθω,verb,pro\s,πρός,preposition,tou\s,ὁ,article,e(te/rous,ἕτερος,adjective,a)pokli=nai,ἀποκλίνω,verb,pepoi/hke,ποιέω,verb,tau=q',οὗτος,pronoun,u(peipw\n,ὑπεῖπον,verb,kai\,καί,conjunction,to\,ὁ,article,pote/rous,πότερος,adjective,o(mou=,ὁμοῦ,adverb,shmanw=,σημαίνω,verb,to/,ὁ,article,ge,γε,particle,th=s,ὁ,article,gnw/mhs,γνώμη,noun,h(\n,ὅς,pronoun,e)/xw,ἔχω,verb,peri\,περί,preposition,tou/twn,οὗτος,pronoun,kefa/laion,κεφάλαιος,adjective,ei)s,εἰς,preposition,me/son,μέσος,adjective,qei\s,τίθημι,verb,prw=ton,πρότερος,adjective,a)mfoi=n,ἄμφω,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,dh\,δή,particle,bou/lomai,βούλομαι,verb,*qhbai/ous,Θηβαῖος,proper,me\n,μέν,particle,u(mi=n,σύ,pronoun,e)pi\,ἐπί,preposition,*lakedaimoni/ous,Λακεδαιμόνιος,proper,u(pa/rxein,ὑπάρχω,verb,*lakedaimoni/ous,Λακεδαιμόνιος,proper,d',δέ,particle,e)pi\,ἐπί,preposition,*qhbai/ous,Θηβαῖος,proper,pa/lin,πάλιν,adverb,kai\,καί,conjunction,mhdete/rous,μηδέτερος,adjective,pra/ttein,πράσσω,verb,eu)tuxe/steron,εὐτυχής,adjective,h)\,ἠέ,conjunction,th=|,ὁ,article,po/lei,πόλις,adjective,sumfe/rei,συμφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,e)n,ἐν,preposition,i)/sw|,ἴσος,adjective,kaqeisth/kesan,καθίστημι,verb,kai\,καί,conjunction,peri\,περί,preposition,tw=n,ὁ,article,au)tw=n,αὐτός,pronoun,h)=n,εἰμί,verb,o(,ὁ,article,lo/gos,λόγος,noun,a)mfote/rois,ἀμφότερος,adjective,ou)de\n,οὐδείς,pronoun,a)\n,ἄν,particle,w)/|mhn,οἴομαι,verb,ei)=nai,εἰμί,verb,pra=gma,πρᾶγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r(oph=s,ῥοπή,noun,de\,δέ,particle,tosau/ths,τοσοῦτος,adjective,e)pi\,ἐπί,preposition,tou\s,ὁ,article,*qhbai/ous,Θηβαῖος,proper,gegonui/as,γίγνομαι,verb,tw=n,ὁ,article,me\n,μέν,particle,th\n,ὁ,article,a)sqe/neian,ἀσθένεια,noun,tw=n,ὁ,article,de\,δέ,particle,th\n,ὁ,article,du/namin,δύναμις,adjective,fobou=mai,φοβέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,a)/llo,ἄλλος,adjective,me/n,μέν,particle,ti,τις,pronoun,poiou=ntas,ποιέω,verb,e)kei/nhn,ἐκεῖνος,pronoun,e)panorqou=n,ἐπανορθόω,verb,a)/llo,ἄλλος,adjective,de\,δέ,particle,tau/thn,οὗτος,pronoun,katalu/ein,καταλύω,verb,e)/dei,δέω,verb,prw=ton,πρότερος,adjective,me\n,μέν,particle,dipla=,διπλόος,adjective,pra/gmata,πρᾶγμα,noun,a)\n,ἄν,particle,ei)/xomen,ἔχω,verb,e)/peita,ἔπειτα,adverb,de\,δέ,particle,e(ka/teron,ἑκάτερος,adjective,kata\,κατά,preposition,kairo\n,καιρός,noun,e)/dei,δέω,verb,to\n,ὁ,article,au(tou=,ἑαυτοῦ,pronoun,poiei=n,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sumpeptwko/twn,συμπίτνω,verb,de\,δέ,particle,ei)s,εἰς,preposition,tauto\n,,,a)mfoi=n,ἄμφω,noun,xrh/sasqai,χράω,verb,th=|,ὁ,article,tou=,ὁ,article,kairou=,καιρός,noun,suno/dw|,σύνοδος,noun,dokei=,δοκέω,verb,moi,ἐγώ,pronoun,kai\,καί,conjunction,tosou=ton,τοσοῦτος,adjective,e)kei/nois,ἐκεῖνος,pronoun,ei)senegkei=n,εἰσφέρω,verb,o(/sonper,ὅσος,adjective,tou/twn,οὗτος,pronoun,a)felei=n,ἀφαιρέω,verb,sumfe/rei,συμφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(gou=mai,ἡγέομαι,verb,ga\r,γάρ,particle,e)ciswqe/ntas,ἐξισόω,verb,me\n,μέν,particle,au)tou\s,αὐτός,pronoun,u(f',ὑπό,preposition,h(mw=n,ἐγώ,pronoun,toi=s,ὁ,article,pro\s,πρός,preposition,au(tou\s,ἑαυτοῦ,pronoun,pra/gmasi,πρᾶγμα,noun,sune/cesqai,συνόχωκα,verb,a)naireqe/ntwn,ἀναιρέω,verb,de\,δέ,particle,tw=n,ὁ,article,e(te/rwn,ἕτερος,adjective,pro\s,πρός,preposition,h(ma=s,ἐγώ,pronoun,h)/dh,ἤδη,adverb,to\n,ὁ,article,lo/gon,λόγος,noun,toi=s,ὁ,article,krath/sasin,κρατέω,verb,e)/sesqai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)k,ἐκ,preposition,de\,δέ,particle,tou/twn,οὗτος,pronoun,a)pofai/nw,ἀποφαίνω,verb,tw=n,ὁ,article,logismw=n,λογισμός,noun,o(/,ὅς,pronoun,tis,τις,pronoun,a)\n,ἄν,particle,do/ceien,δοκέω,verb,a)/topon,ἄτοπος,adjective,tou=to,οὗτος,pronoun,sumbhso/menon,συμβαίνω,verb,e)kpodw\n,ἐκποδών,adverb,me\n,μέν,particle,h(ma=s,ἐγώ,pronoun,a)mfote/rois,ἀμφότερος,adjective,genome/nous,γίγνομαι,verb,kinduneu/sein,κινδυνεύω,verb,pro\s,πρός,preposition,tou\s,ὁ,article,e(te/rous,ἕτερος,adjective,bohqh/sontas,βοηθέω,verb,de\,δέ,particle,toi=s,ὁ,article,e)la/ttosin,ἐλάσσων,adjective,e)k,ἐκ,preposition,me/sou,μέσος,adjective,to\,ὁ,article,loipo\n,λοιπός,adjective,a)mfoi=n,ἄμφω,noun,e(sth/cein,ἵστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
