word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/8/lemma/@_entry,word/8/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS
*)artace/rchs,Ἀρταξέρξης,proper,o(,ὁ,article,*persw=n,Πέρσης,proper,basileu/s,βασιλεύς,noun,w)=,ὦ,interjection,me/giste,μέγας,adverb,au)to/krator,*kai=sar,Καῖσαρ,proper,*trai+ane/,ou)x,οὐ,adverb,h(=tton,ἥσσων,adverb,oi)o/menos,οἴομαι,verb,basiliko\n,βασιλικός,adjective,kai\,καί,conjunction,fila/nqrwpon,φιλάνθρωπον,noun,ei)=nai,εἰμί,verb,tou=,ὁ,article,mega/la,μέγας,adverb,dido/nai,δίδωμι,verb,to\,ὁ,article,mikra\,μικρός,adjective,lamba/nein,λαμβάνω,verb,eu)menw=s,εὐμενής,adverb,kai\,καί,conjunction,proqu/mws,πρόθυμος,adjective,e)pei/,ἐπεί,conjunction,parelau/nontos,παρελαύνω,verb,au)tou=,αὐτός,pronoun,kaq',κατά,preposition,o(do\n,ὁδός,adjective,au)tourgo\s,αὐτουργός,adjective,a)/nqrwpos,ἄνθρωπος,noun,kai\,καί,conjunction,i)diw/ths,ἰδιώτης,noun,ou)de\n,οὐδείς,pronoun,e)/xwn,ἔχω,verb,e(/teron,ἕτερος,adjective,e)k,ἐκ,preposition,tou=,ὁ,article,potamou=,ποταμός,noun,tai=s,ὁ,article,xersi\n,χείρ,noun,a)mfote/rais,ἀμφότερος,adjective,u(/dwr,ὕδωρ,noun,u(polabw\n,ὑπολαμβάνω,verb,prosh/negken,προσφέρω,verb,h(de/ws,ἡδέως,adverb,e)de/cato,δέχομαι,verb,kai\,καί,conjunction,e)meidi/ase,μειδιάω,verb,th=|,ὁ,article,proqumi/a|,προθυμία,noun,tou=,ὁ,article,dido/ntos,δίδωμι,verb,ou),οὐ,adverb,th=|,ὁ,article,xrei/a|,χρεία,noun,tou=,ὁ,article,didome/nou,δίδωμι,verb,th\n,ὁ,article,xa/rin,χάρις,noun,metrh/sas,μετρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,*lukou=rgos,Λυκοῦργος,proper,eu)telesta/tas,εὐτελής,adverb,e)poi/hsen,ποιέω,verb,e)n,ἐν,preposition,*spa/rth|,ta\s,ὁ,article,qusi/as,i(/na,ἵνα,conjunction,a)ei\,ἀεί,adverb,tou\s,ὁ,article,qeou\s,θεός,noun,tima=n,τιμάω,verb,e(toi/mws,ἑτοῖμος,adjective,du/nwntai,δύναμαι,verb,kai\,καί,conjunction,r(a|di/ws,ῥᾴδιος,adjective,a)po\,ἀπό,preposition,tw=n,ὁ,article,paro/ntwn,πάρειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Σπάρτη,proper,θυσία,noun,,,,,,,,,,,,,,,,,,,,,
toiau/th|,τοιοῦτος,adjective,dh/,δή,particle,tini,τις,pronoun,gnw/mh|,γνώμη,noun,ka)mou=,ἐγώ,pronoun,lita/,λιτή,noun,soi,dw=ra,δῶρον,noun,kai\,ce/nia,ξένιος,adjective,kai\,καί,conjunction,koina\s,κοινός,adjective,a)parxa\s,ἀπαρχή,noun,prosfe/rontos,προσφέρω,verb,a)po\,ἀπό,preposition,filosofi/as,φιλοσοφία,noun,a(/ma,ἅμα,adverb,th=|,ὁ,article,proqumi/a|,προθυμία,noun,kai\,καί,conjunction,th\n,ὁ,article,xrei/an,χρεία,noun,a)po/decai,ἀποδέχομαι,verb,tw=n,ὁ,article,a)pomnhmoneuma/twn,ἀπομνημόνευμα,noun,ei),εἰ,conjunction,pro/sforon,πρόσφορος,adjective,e)/xei,ἔχω,verb,ti,τις,pronoun,pro\s,πρός,preposition,katano/hsin,κατανόησις,noun,h)qw=n,ἦθος,adjective,kai\,καί,conjunction,proaire/sewn,προαίρεσις,noun,h(gemonikw=n,ἡγεμονικός,adjective,e)mfainome/nwn,ἐμφαίνω,verb,toi=s,ὁ,article,lo/gois,λόγος,noun,ma=llon,μᾶλλον,adverb,h)\,ἠέ,conjunction,tai=s,ὁ,article,pra/cesin,πρᾶξις,adjective,au)tw=n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,σύ,pronoun,καί,conjunction,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,kai\,καί,conjunction,bi/ous,βίος,adjective,e)/xei,ἔχω,verb,to\,ὁ,article,su/ntagma,σύνταγμα,noun,tw=n,e)pifanesta/twn,ἐπιφανής,adverb,para/,te,τε,particle,*(rwmai/ois,,,kai\,καί,conjunction,par',παρά,preposition,*(/ellhsin,Ἕλλην,proper,h(gemo/nwn,ἡγεμών,noun,kai\,καί,conjunction,nomoqetw=n,νομοθετέω,verb,kai\,καί,conjunction,au)tokrato/rwn,αὐτοκράτωρ,adjective,a)lla\,ἀλλά,adverb,tw=n,ὁ,article,me\n,μέν,particle,pra/cewn,πρᾶξις,adjective,ai(,ὁ,article,pollai\,πολύς,adjective,tu/xhn,τύχη,noun,a)namemigme/nhn,ἀναμίγνυμι,verb,e)/xousin,ἔχω,verb,ai(,ὁ,article,de\,δέ,particle,gigno/menai,γίγνομαι,verb,para\,παρά,preposition,ta\,ὁ,article,e)/rga,ἔργον,noun,kai\,καί,conjunction,ta\,ὁ,article,pa/qh,πάθη,noun,kai\,καί,conjunction,ta\s,ὁ,article,tu/xas,τύχη,noun,a)pofa/seis,ἀπόφασις,noun,kai\,καί,conjunction,a)nafwnh/seis,ἀναφωνέω,verb,w(/sper,ὥσπερ,adverb,e)n,ἐν,preposition,kato/ptrois,κάτοπτρον,noun,kaqarw=s,καθαρός,adjective,pare/xousi,παρέχω,verb,th\n,ὁ,article,e(ka/stou,ἕκαστος,adjective,dia/noian,διάνοια,noun,a)poqewrei=n,ἀποθεωρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,παρά,preposition,,,,,,,,,,,,,,,,,,,,,
h(=|,ὅς,pronoun,kai\,καί,conjunction,*seira/mnhs,,,o(,ὁ,article,*pe/rshs,Πέρσευς,proper,pro\s,πρός,preposition,tou\s,qauma/zontas,θαυμάζω,verb,o(/ti,tw=n,ὁ,article,lo/gwn,λόγος,noun,au)tou=,αὐτός,pronoun,nou=n,νόος,adjective,e)xo/ntwn,ἔχω,verb,ai(,ὁ,article,pra/ceis,πρᾶξις,adjective,ou),οὐ,adverb,katorqou=ntai,κατορθόω,verb,tw=n,ὁ,article,me\n,μέν,particle,lo/gwn,λόγος,noun,e)/fh,φημί,verb,ku/rios,κῦρος,noun,au)to\s,αὐτός,pronoun,ei)=nai,εἰμί,verb,tw=n,ὁ,article,de\,δέ,particle,pra/cewn,πρᾶξις,adjective,th\n,ὁ,article,tu/xhn,τύχη,noun,meta\,μετά,preposition,tou=,ὁ,article,basile/ws,βασιλεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ὅστις,pronoun,,,,,,,,,,,,,,,,,,,,,
e)kei=,ἐκεῖ,adverb,me\n,μέν,particle,ou)=n,οὖν,particle,a(/ma,ἅμα,adverb,ai(,ὁ,article,a)pofa/seis,ἀπόφασις,noun,tw=n,a)ndrw=n,ἀνήρ,noun,ta\s,pra/ceis,πρᾶξις,adjective,parakeime/nas,παράκειμαι,verb,e)/xousai,ἔχω,verb,sxola/zousan,σχολάζω,verb,filhkoi/+an,φιληκοία,noun,perime/nousin,περιμένω,verb,e)ntau=qa,ἐνταῦθα,adverb,de\,δέ,particle,kai\,καί,conjunction,tou\s,ὁ,article,lo/gous,λόγος,noun,au)tou\s,αὐτός,pronoun,kaq',κατά,preposition,au(tou\s,ἑαυτοῦ,pronoun,w(/sper,ὥσπερ,adverb,dei/gmata,δεῖγμα,noun,tw=n,ὁ,article,bi/wn,βίος,adjective,kai\,καί,conjunction,spe/rmata,σπέρμα,noun,suneilegme/nous,συλλέγω,verb,ou)de\n,οὐδείς,pronoun,oi)/omai/,οἴομαι,verb,soi,σύ,pronoun,to\n,ὁ,article,kairo\n,καιρός,noun,e)noxlh/sein,ἐνοχλέω,verb,e)n,ἐν,preposition,braxe/si,βραχύς,adjective,pollw=n,πολύς,adjective,a)naqew/rhsin,ἀναθεώρησις,noun,a)ndrw=n,ἀνήρ,noun,a)ci/wn,ἄξιος,adjective,mnh/mhs,μνήμη,noun,genome/nwn,γίγνομαι,verb,lamba/nonti,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ὁ,article,,,,,,,,,,,,,,,,,,,,,
*pe/rsai,Πέρσης,proper,tw=n,ὁ,article,grupw=n,γρυπή,noun,e)rw=si,ἐράω,verb,dia\,διά,preposition,to\,ὁ,article,*ku=ron,a)gaphqe/nta,ἀγαπάω,verb,ma/lista,tw=n,ὁ,article,basile/wn,βασίλη,noun,gegone/nai,γίγνομαι,verb,grupo\n,γρυπός,adjective,to\,ὁ,article,ei)=dos,εἶδος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Κῦρος,proper,μάλιστα,adverb,,,,,,,,,,,,,,,,,,,,,
e)/lege,λέγω,verb,de\,δέ,particle,*ku=ros,Κῦρος,proper,e(te/rois,ἕτερος,adjective,a)nagka/zesqai,ἀναγκάζω,verb,ta)gaqa\,ἀγαθός,adjective,pori/zein,tou\s,ὁ,article,au(toi=s,mh\,μή,conjunction,qe/lontas,ἐθέλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πορίζω,verb,ἑαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,
a)/rxein,ἄρχω,verb,de\,δέ,particle,mhdeni\,μηδείς,pronoun,prosh/kein,προσήκω,verb,o(\s,ὅς,pronoun,ou),οὐ,adverb,krei/ttwn,e)sti\,εἰμί,verb,tw=n,a)rxome/nwn,ἄρχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κρείσσων,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,
boulome/nous,βούλομαι,verb,de\,δέ,particle,tou\s,ὁ,article,*pe/rsas,Πέρσευς,proper,a)nti\,ἀντί,preposition,th=s,ὁ,article,e(autw=n,ou)/shs,εἰμί,verb,o)reinh=s,kai\,καί,conjunction,traxei/as,τραχύς,adjective,pedia/da,πεδιάς,adjective,kai\,καί,conjunction,malakh\n,μαλακός,adjective,xw/ran,χώρα,noun,labei=n,λαμβάνω,verb,ou)k,οὐ,adverb,ei)/asen,ἀίω,verb,ei)pw\n,εἶπον,verb,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,tw=n,ὁ,article,futw=n,φυτόν,noun,ta\,ὁ,article,spe/rmata,σπέρμα,noun,kai\,καί,conjunction,tw=n,ὁ,article,a)nqrw/pwn,ἄνθρωπος,noun,oi(,ὁ,article,bi/oi,βίος,adjective,tai=s,ὁ,article,xw/rais,χώρα,noun,sunecomoiou=ntai,συνεξομοιόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἑαυτοῦ,pronoun,ὀρεινός,adjective,,,,,,,,,,,,,,,,,,,,,
