word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/15/lemma/@_entry,word/15/lemma/@_POS,word/44/lemma/@_entry,word/44/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/52/lemma/@_entry,word/52/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS
*(omw/numa,ὁμώνυμος,adjective,le/getai,λέγω,verb,w(=n,ὅς,pronoun,o)/noma,ὄνομα,adjective,mo/non,μόνος,adjective,koino/n,κοινός,adjective,o(,ὁ,article,de\,δέ,particle,kata\,κατά,preposition,tou)/noma,ὄνομα,adjective,lo/gos,λόγος,noun,th=s,ὁ,article,ou)si/as,οὐσία,adjective,e(/teros,ἕτερος,adjective,oi(=on,οἷος,adjective,zw=ion,o(/,ὅς,pronoun,te,τε,particle,a)/nqrwpos,ἄνθρωπος,noun,kai\,καί,conjunction,to\,ὁ,article,gegramme/non,γράφω,verb,tou/twn,οὗτος,pronoun,ga\r,γάρ,particle,o)/noma,ὄνομα,adjective,mo/non,μόνος,adjective,koino/n,κοινός,adjective,o(,ὁ,article,de\,δέ,particle,kata\,κατά,preposition,tou)/noma,ὄνομα,adjective,lo/gos,λόγος,noun,th=s,ὁ,article,ou)si/as,οὐσία,adjective,e(/teros,ἕτερος,adjective,e)a\n,ἐάν,conjunction,ga\r,γάρ,particle,a)podidw=i,ἀποδίδωμι,verb,tis,τις,pronoun,ti/,τίς,pronoun,e)stin,εἰμί,verb,au)tw=n,αὐτός,pronoun,e(kate/rwi,ἑκάτερος,adjective,to\,ὁ,article,zw/iwi,ei)=nai,εἰμί,verb,i)/dion,ἴδιος,adjective,e(kate/rou,ἑκάτερος,adjective,lo/gon,λόγος,noun,a)podw/sei,ἀποδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*sunw/numa,συνώνυμος,adjective,de\,δέ,particle,le/getai,λέγω,verb,w(=n,ὅς,pronoun,to/,ὁ,article,te,τε,particle,o)/noma,ὄνομα,adjective,koino\n,κοινός,adjective,kai\,καί,conjunction,o(,ὁ,article,kata\,κατά,preposition,tou)/noma,ὄνομα,adjective,lo/gos,λόγος,noun,th=s,ὁ,article,ou)si/as,οὐσία,adjective,o(,au)to/s,αὐτός,pronoun,oi(=on,οἷος,adjective,zw=ion,,,o(/,ὅς,pronoun,te,τε,particle,a)/nqrwpos,ἄνθρωπος,noun,kai\,καί,conjunction,o(,ὁ,article,bou=s,βοῦς,noun,tou/twn,οὗτος,pronoun,ga\r,γάρ,particle,e(ka/teron,ἑκάτερος,adjective,koinw=i,κοινός,adjective,o)no/mati,ὄνομα,adjective,prosagoreu/etai,προσαγορεύω,verb,zw=ion,,,kai\,καί,conjunction,o(,ὁ,article,lo/gos,λόγος,noun,de\,δέ,particle,th=s,ὁ,article,ou)si/as,οὐσία,adjective,o(,ὁ,article,au)to/s,αὐτός,pronoun,e)a\n,ἐάν,conjunction,ga\r,γάρ,particle,a)podidw=i,ἀποδίδωμι,verb,tis,τις,pronoun,to\n,e(kate/rou,ἑκάτερος,adjective,lo/gon,λόγος,noun,ti/,τίς,pronoun,e)stin,εἰμί,verb,au)tw=n,αὐτός,pronoun,ὁ,article,ὁ,article,e(kate/rwi,ἑκάτερος,adjective,to\,ὁ,article,zw/iwi,ei)=nai,εἰμί,verb,to\n,ὁ,article,au)to\n,αὐτός,pronoun,lo/gon,λόγος,noun,a)podw/sei,ἀποδίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*parw/numa,παρώνυμος,adjective,de\,δέ,particle,le/getai,λέγω,verb,o(/sa,ὅσος,adjective,a)po/,ἀπό,preposition,tinos,τις,pronoun,diafe/ronta,διαφέρω,verb,th=i,ὁ,article,ptw/sei,πτῶσις,noun,th\n,ὁ,article,kata\,κατά,preposition,tou)/noma,ὄνομα,adjective,proshgori/an,προσηγορία,noun,e)/xei,ἔχω,verb,oi(=on,οἷος,adjective,a)po\,th=s,ὁ,article,grammatikh=s,γραμματικός,adjective,o(,ὁ,article,grammatiko\s,γραμματικός,adjective,kai\,καί,conjunction,a)po\,ἀπό,preposition,th=s,ὁ,article,a)ndrei/as,ἀνδρεία,noun,o(,ὁ,article,a)ndrei=os,ἀνδρεῖος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀπό,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*tw=n,ὁ,article,legome/nwn,λέγω,verb,ta\,ὁ,article,me\n,μέν,particle,kata\,κατά,preposition,sumplokh\n,συμπλοκή,noun,le/getai,λέγω,verb,ta\,ὁ,article,de\,δέ,particle,a)/neu,ἄνευ,preposition,sumplokh=s,συμπλοκή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,kata\,κατά,preposition,sumplokh/n,συμπλοκή,noun,oi(=on,οἷος,adjective,a)/nqrwpos,ἄνθρωπος,noun,tre/xei,τρέχω,verb,a)/nqrwpos,ἄνθρωπος,noun,nika=i,νικάω,verb,ta\,ὁ,article,de\,δέ,particle,a)/neu,ἄνευ,preposition,sumplokh=s,συμπλοκή,noun,oi(=on,οἷος,adjective,a)/nqrwpos,bou=s,βοῦς,noun,tre/xei,τρέχω,verb,nika=i,νικάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄνθρωπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*tw=n,ὁ,article,o)/ntwn,εἰμί,verb,ta\,ὁ,article,me\n,μέν,particle,kaq',κατά,preposition,u(pokeime/nou,ὑπόκειμαι,verb,tino\s,τις,pronoun,le/getai,λέγω,verb,e)n,ἐν,preposition,u(pokeime/nwi,ὑπόκειμαι,verb,de\,δέ,particle,ou)deni/,οὐδείς,pronoun,e)stin,εἰμί,verb,oi(=on,οἷος,adjective,a)/nqrwpos,ἄνθρωπος,noun,kaq',u(pokeime/nou,ὑπόκειμαι,verb,me\n,μέν,particle,le/getai,λέγω,verb,tou=,ὁ,article,tino\s,τις,pronoun,a)nqrw/pou,ἄνθρωπος,noun,e)n,ἐν,preposition,u(pokeime/nwi,ὑπόκειμαι,verb,de\,δέ,particle,ou)deni/,οὐδείς,pronoun,e)stin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,κατά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ta\,ὁ,article,de\,δέ,particle,e)n,ἐν,preposition,u(pokeime/nwi,ὑπόκειμαι,verb,me/n,μέν,particle,e)sti,εἰμί,verb,kaq',κατά,preposition,u(pokeime/nou,ὑπόκειμαι,verb,de\,δέ,particle,ou)deno\s,οὐδείς,pronoun,le/getai,λέγω,verb,e)n,ἐν,preposition,u(pokeime/nwi,ὑπόκειμαι,verb,de\,δέ,particle,le/gw,λέγω,verb,o(\,e)/n,ἐν,preposition,tini,τις,pronoun,mh\,μή,conjunction,w(s,ὡς,conjunction,me/ros,μέρος,noun,u(pa/rxon,ὑπάρχω,verb,a)du/naton,ἀδύνατος,adjective,xwri\s,χωρίς,adverb,ei)=nai,εἰμί,verb,tou=,ὁ,article,e)n,ἐν,preposition,w(=i,ὅς,pronoun,e)sti/n,εἰμί,verb,oi(=on,οἷος,adjective,h(,ὁ,article,ti\s,τίς,pronoun,grammatikh\,γραμματικός,adjective,e)n,ἐν,preposition,u(pokeime/nwi,ὑπόκειμαι,verb,me/n,μέν,particle,e)sti,εἰμί,verb,th=i,τῇ,adverb,yuxh=i,ψύχω,verb,kaq',κατά,preposition,u(pokeime/nou,ὑπόκειμαι,verb,de\,δέ,particle,ou)deno\s,οὐδείς,pronoun,le/getai,λέγω,verb,kai\,to\,ὁ,article,ti\,τίς,pronoun,leuko\n,λευκός,adjective,e)n,ἐν,preposition,u(pokeime/nwi,ὑπόκειμαι,verb,ὅς,pronoun,καί,conjunction,me/n,μέν,particle,e)sti,εἰμί,verb,tw=i,sw/mati,σῶμα,adjective,a(/pan,ἅπας,adjective,ga\r,γάρ,particle,xrw=ma,χρῶμα,noun,e)n,ἐν,preposition,ὁ,article,sw/mati,σῶμα,adjective,kaq',κατά,preposition,u(pokeime/nou,ὑπόκειμαι,verb,de\,δέ,particle,ou)deno\s,οὐδείς,pronoun,le/getai,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ta\,ὁ,article,de\,δέ,particle,kaq',κατά,preposition,u(pokeime/nou,ὑπόκειμαι,verb,te,τε,particle,le/getai,λέγω,verb,kai\,καί,conjunction,e)n,ἐν,preposition,u(pokeime/nwi,ὑπόκειμαι,verb,e)sti/n,εἰμί,verb,oi(=on,οἷος,adjective,h(,ὁ,article,e)pisth/mh,ἐπιστήμη,noun,e)n,ἐν,preposition,u(pokeime/nwi,ὑπόκειμαι,verb,me/n,e)sti,εἰμί,verb,th=i,τῇ,adverb,yuxh=i,ψύχω,verb,kaq',κατά,preposition,u(pokeime/nou,ὑπόκειμαι,verb,de\,δέ,particle,le/getai,λέγω,verb,th=s,ὁ,article,grammatikh=s,γραμματικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μέν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ta\,ὁ,article,de\,δέ,particle,ou)/te,οὔτε,adverb,e)n,ἐν,preposition,u(pokeime/nwi,ὑπόκειμαι,verb,e)sti\n,εἰμί,verb,ou)/te,οὔτε,adverb,kaq',κατά,preposition,u(pokeime/nou,ὑπόκειμαι,verb,le/getai,λέγω,verb,oi(=on,οἷος,adjective,o(,ὁ,article,ti\s,τίς,pronoun,a)/nqrwpos,ἄνθρωπος,noun,h)\,ἠέ,conjunction,o(,ti\s,τίς,pronoun,i(/ppos,ἵππος,noun,ou)de\n,οὐδείς,pronoun,ga\r,γάρ,particle,tw=n,ὁ,article,toiou/twn,τοιοῦτος,adjective,ou)/te,οὔτε,adverb,e)n,ἐν,preposition,u(pokeime/nwi,ὑπόκειμαι,verb,e)sti\n,εἰμί,verb,ou)/te,οὔτε,adverb,kaq',κατά,preposition,u(pokeime/nou,ὑπόκειμαι,verb,le/getai,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(aplw=s,ἁπλός,adjective,de\,δέ,particle,ta\,ὁ,article,a)/toma,ἄτομος,adjective,kai\,καί,conjunction,e(\n,εἷς,adjective,a)riqmw=i,ἀριθμός,adjective,kat',κατά,preposition,ou)deno\s,οὐδείς,pronoun,u(pokeime/nou,ὑπόκειμαι,verb,le/getai,λέγω,verb,e)n,ἐν,preposition,u(pokeime/nwi,ὑπόκειμαι,verb,de\,δέ,particle,e)/nia,ἔνιοι,adjective,ou)de\n,kwlu/ei,κωλύω,verb,ei)=nai,εἰμί,verb,h(,ὁ,article,ga\r,γάρ,particle,ti\s,τίς,pronoun,grammatikh\,γραμματικός,adjective,tw=n,ὁ,article,e)n,ἐν,preposition,u(pokeime/nwi,ὑπόκειμαι,verb,e)sti/n,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὐδείς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
