word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/38/lemma/@_entry,word/38/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS
*eu)/polis,Εὔπολις,proper,kai\,καί,conjunction,*qra/sullos,Θράσυλλος,proper,kai\,καί,conjunction,*mnh/swn,Μνῆσος,proper,a)delfoi\,ἀδελφός,adjective,gego/nasi,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/twn,οὗτος,pronoun,o(,ὁ,article,me\n,μέν,particle,*mnh/swn,Μνῆσος,proper,a)/pais,ἄπαις,noun,e)teleu/thsen,τελευτάω,verb,o(,ὁ,article,de\,δέ,particle,*qra/sullos,Θράσυλλος,proper,pai=da,παῖς,adjective,katalipw\n,καταλιμπάνω,verb,*)apollo/dwron,Ἀπολλόδωρος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mo/nos,μόνος,adjective,d',δέ,particle,*eu)/polis,Εὔπολις,proper,kataleifqei\s,καταλιμπάνω,verb,polla\,πολύς,adjective,to\n,ὁ,article,*)apollo/dwron,Ἀπολλόδωρος,proper,h)di/khsen,ἀδικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/qen,ὅθεν,adverb,*)arxe/damos,Ἀρχέδαμος,proper,pa/ppos,πάππος,noun,tou=,ὁ,article,le/gontos,λέγω,verb,to\n,ὁ,article,lo/gon,λόγος,noun,th=|,ὁ,article,tou=,ὁ,article,*)apollodw/rou,Ἀπολλόδωρος,proper,mhtri\,μήτηρ,noun,sunoikw=n,συνοικέω,verb,meta\,μετά,preposition,to\n,ὁ,article,*qrasu/llou,Θράσυλλος,proper,tou=,ὁ,article,a)ndro\s,ἀνήρ,noun,au)th=s,αὐτός,pronoun,qa/naton,θάνατος,adjective,kai\,καί,conjunction,to\n,ὁ,article,*)apollo/dwron,Ἀπολλόδωρος,proper,w(s,ὡς,conjunction,o)rfano\n,ὀρφανός,adjective,e)lew=n,ἐλεάω,verb,polla\,πολύς,adjective,to\n,ὁ,article,*eu)/polin,Εὔπολις,proper,a)ph/|thse,ἀπαιτέω,verb,xrh/mata,χρῆμα,adjective,u(pe\r,ὑπέρ,preposition,w(=n,ὅς,pronoun,*)apollo/dwron,Ἀπολλόδωρος,proper,h)di/khse,ἀδικέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/twn,οὗτος,pronoun,memnhme/nos,μιμνήσκω,verb,*)apollo/dwros,Ἀπολλόδωρος,proper,ei)sh/gagen,εἰσάγω,verb,ei)s,εἰς,preposition,tou\s,ὁ,article,fra/toras,φράτηρ,noun,qeto\n,θετός,adjective,ui(o\n,υἱός,noun,e(autw=|,ἑαυτοῦ,pronoun,*qra/sullon,Θράσυλλος,proper,tou=ton,οὗτος,pronoun,ui(o\n,υἱός,noun,o)/nta,εἰμί,verb,th=s,ὁ,article,te,τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(momhtri/as,ὁμομήτριος,adjective,au)tou=,αὐτός,pronoun,a)delfh=s,ἀδελφή,noun,kai\,καί,conjunction,ltqugatridou=ngt,,,*)arxeda/mou,Ἀρχέδαμος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=,ὁ,article,de\,δέ,particle,*qrasu/llou,Θράσυλλος,proper,h)/dh,ἤδη,adverb,me\n,μέν,particle,ei)s,εἰς,preposition,tou\s,ὁ,article,gennh/tas,γενέτης,noun,kai\,καί,conjunction,fra/toras,φράτηρ,noun,e)ggegramme/nou,ἐγγράφω,verb,ou)/pw,οὔπω,adverb,d',δέ,particle,ei)s,εἰς,preposition,to\,ὁ,article,lhciarxiko\n,ληξιαρχικός,adjective,grammatei=on,γραμματεῖον,noun,e)teleu/thsen,τελευτάω,verb,*)apollo/dwros,Ἀπολλόδωρος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,meta\,μετά,preposition,th\n,ὁ,article,au)tou=,αὐτός,pronoun,teleuth\n,τελευτή,noun,e)gge/graptai,ἐγγράφω,verb,me\n,μέν,particle,o(,ὁ,article,*qra/sullos,Θράσυλλος,proper,ei)s,εἰς,preposition,to\,ὁ,article,lhciarxiko\n,ληξιαρχικός,adjective,grammatei=on,γραμματεῖον,noun,ou)de\n,οὐδείς,pronoun,d',δέ,particle,h(=tton,ἥσσων,adverb,*eu)po/lidos,Εὔπολις,proper,quga/thr,θυγάτηρ,adjective,tou=,ὁ,article,qei/ou,θεῖος,noun,*)apollodw/rou,Ἀπολλόδωρος,proper,a)mfisbhtei=,ἀμφισβητέω,verb,pro\s,πρός,preposition,*qra/sullon,Θράσυλλος,proper,le/gousa,λέγω,verb,mhd',μηδέ,particle,o(/lws,ὅλος,adjective,e)ggegra/fqai,ἐγγράφω,verb,to\n,ὁ,article,*qra/sullon,Θράσυλλος,proper,ei)s,εἰς,preposition,tou\s,ὁ,article,fra/toras,φράτηρ,noun,kai\,καί,conjunction,gennh/tas,γενέτης,noun,kata\,κατά,preposition,gnw/mhn,γνώμη,noun,tou=,ὁ,article,*)appollodw/rou,a)lla\,ἀλλά,adverb,peplasme/nhn,πλάσσω,verb,ei)=nai,εἰμί,verb,th\n,ὁ,article,poi/hsin,ποίησις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,h(,ὁ,article,me\n,μέν,particle,u(po/qesis,ὑπόθεσις,noun,au(/th,οὗτος,pronoun,h(,ὁ,article,de\,δέ,particle,sta/sis,στάσις,adjective,stoxasmo/s,στοχασμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dio\,διό,conjunction,kalw=s,καλός,noun,pa/nu,πάνυ,adverb,kai\,καί,conjunction,texnikw=s,τεχνικός,adjective,to\n,ὁ,article,lo/gon,λόγος,noun,oi)konomw=n,οἰκονομέω,verb,th\n,ὁ,article,e)/xqran,ἔχθρα,noun,diece/rxetai,διεξέρχομαι,verb,th\n,ὁ,article,*)apollodw/rou,Ἀπολλόδωρος,proper,pro\s,πρός,preposition,*eu)/polin,Εὔπολις,proper,o(/per,ὅσπερ,adjective,me/ga,μέγας,adverb,shmei=on,σημεῖον,noun,gi/gnetai,γίγνομαι,verb,tou=,ὁ,article,mh\,μή,conjunction,qe/lein,ἐθέλω,verb,au)th\n,αὐτός,pronoun,u(po\,ὑπό,preposition,th=s,ὁ,article,*eu)po/lidos,Εὔπολις,proper,qugatro\s,θυγάτηρ,adjective,klhronomhqh=nai,κληρονομέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
