word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/51/@_form,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/lemma/@_entry,word/51/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS
kai\,καί,conjunction,i)di/a|,ἴδιος,adjective,e(/kastos,ἕκαστος,adjective,kai\,καί,conjunction,koinh=|,κοινῇ,adverb,e)/peita,ἔπειτα,adverb,tw=|,ὁ,article,no/mw|,νόμος,noun,kai\,καί,conjunction,tw=|,ὁ,article,o(/rkw|,ὅρκος,noun,o(\s,ὅς,pronoun,ke,ἄν,particle,leu/ei,λεύω,verb,u(ma=s,σύ,pronoun,o(moi/ws,ὅμοιος,adjective,a)kou/ein,ἀκούω,verb,tw=n,ὁ,article,te,τε,particle,kathgo/rwn,κατήγορος,noun,kai\,καί,conjunction,tw=n,ὁ,article,a)pologoume/nwn,ἀπολογέομαι,verb,kai\,καί,conjunction,th=|,ὁ,article,kathgori/a|,κατηγορία,noun,xrh=sqai,χράομαι,verb,ou(/tw,οὕτως,adverb,kai\,καί,conjunction,e)me\,ἐγώ,pronoun,e)a=te,ἀίω,verb,o(\n,ὅς,pronoun,tro/pon,τρόπος,noun,proh/|rhmai,προαιρέω,verb,kai\,καί,conjunction,w(s,ὡς,conjunction,a)\n,ἄν,particle,du/nwmai,δύναμαι,verb,a)pologei=sqai,ἀπολογέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,mhdei\s,μηδείς,pronoun,u(mw=n,σύ,pronoun,a)panta/tw,ἀπαντάω,verb,moi,ἐγώ,pronoun,metacu\,μεταξύ,adverb,le/gonti,λέγω,verb,ti/,τίς,pronoun,tou=q',οὗτος,pronoun,h(mi=n,ἐγώ,pronoun,le/geis,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhde\,μηδέ,particle,prosti/qete,προστίθημι,verb,th=|,ὁ,article,kathgori/a|,κατηγορία,noun,par',παρά,preposition,u(mw=n,σύ,pronoun,au)tw=n,αὐτός,pronoun,mhde/n,μηδείς,pronoun,a)lla\,ἀλλά,adverb,ma=llon,μᾶλλον,adverb,th=|,ὁ,article,a)pologi/a|,ἀπολογία,noun,ou)de\,οὐδέ,particle,o(,ὁ,article,no/mos,νόμος,noun,sugkathgorei=n,συγκατηγορέω,verb,me\n,μέν,particle,tw=|,ὁ,article,boulome/nw|,βούλομαι,verb,kata\,κατά,preposition,tw=n,ὁ,article,krinome/nwn,κρίνω,verb,e)cousi/an,ἐξουσία,noun,di/dwsi,δίδωμι,verb,sunapologei=sqai,συναπολογέομαι,verb,de\,δέ,particle,kwlu/ei,κωλύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i(/na,ἵνα,conjunction,de\,δέ,particle,mh\,μή,conjunction,pro\,πρό,preposition,tou=,ὁ,article,pra/gmatos,πρᾶγμα,noun,pollou\s,πολύς,adjective,lo/gous,λόγος,noun,a)nalw/sw,ἀναλίσκω,verb,e)p',ἐπί,preposition,au)th\n,αὐτός,pronoun,th\n,ὁ,article,a)pologi/an,ἀπολογία,noun,poreu/somai,πορεύω,verb,toi=s,ὁ,article,me\n,μέν,particle,qeoi=s,θεός,noun,eu)ca/menos,εὔχομαι,verb,bohqh=sai/,βοηθέω,verb,moi,ἐγώ,pronoun,kai\,καί,conjunction,sw=sai,σώζω,verb,e)k,ἐκ,preposition,tou=,ὁ,article,paro/ntos,πάρειμι,verb,a)gw=nos,ἀγών,noun,u(ma=s,σύ,pronoun,de/,δέ,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,e)kei=no,ἐκεῖνος,pronoun,paraithsa/menos,παραιτέομαι,verb,prw=ton,πρότερος,adjective,h)\,ἠέ,conjunction,newri/wn,νεώριον,noun,prodosi/an,προδοσία,noun,h)\,ἠέ,conjunction,a)rxei/wn,ἀρχεῖον,noun,e)mpurismo\n,ἐμπυρισμός,noun,h)\,ἠέ,conjunction,kata/lhyin,κατάληψις,noun,a)/kras,ἄκρος,adjective,o(,ὁ,article,*eu)/fhmos,Εὔφημος,proper,prw=ton,πρότερος,adjective,e)peidh\,ἐπεί,conjunction,e)teleu/thsen,τελευτάω,verb,e)kei=nos,ἐκεῖνος,pronoun,o(,ὁ,article,*flu,eu/s,e)c,ἐκ,preposition,au)tou=,αὐτός,pronoun,o(/ti,ὅστις,pronoun,h(,ὁ,article,gunh\,γυνή,noun,kai\,καί,conjunction,e)kei=nos,ἐκεῖνος,pronoun,kuou=san,κυέω,verb,th\n,ὁ,article,gunai=ka,γυνή,noun,e)c,ἐκ,preposition,au(tou=,ἑαυτοῦ,pronoun,katale/loipen,καταλιμπάνω,verb,ou),οὐ,adverb,para\,παρά,preposition,tou\s,ὁ,article,no/mous,νόμος,noun,geno/menon,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',δέ,particle,w(/s,ὅς,pronoun,per,πέρ,particle,*)ari/stwn,Ἄριστος,proper,e)n,ἐν,preposition,th=|,ὁ,article,ei)saggeli/a|,εἰσαγγελία,noun,gra/fei,γράφω,verb,ou(/tws,οὕτως,adverb,u(pe/labon,ὑπολαμβάνω,verb,ta\,ὁ,article,peri\,περί,preposition,tou/twn,οὗτος,pronoun,ei)=nai,εἰμί,verb,ou)k,οὐ,adverb,e)/dei,δέω,verb,dh/pou,δήπου,particle,au)tou\s,αὐτός,pronoun,kwlu/ein,κωλύω,verb,tou\s,ὁ,article,e)gguta/tw,ἐγγύτατος,adjective,ge/nous,γένος,noun,e)ca/gein,ἐξάγω,verb,to\n,ὁ,article,*eu)/fhmon,Εὔφημος,proper,a)ll',ἀλλά,adverb,e)a=n,ἀίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,de\,δέ,particle,tou=to,οὗτος,pronoun,poih/santes,ποιέω,verb,e)/rgw|,ἔργον,noun,memarturh/kasin,μαρτυρέω,verb,au)toi/,αὐτός,pronoun,w(s,ὡς,conjunction,yeudh/s,ψευδής,adverb,e)stin,εἰμί,verb,h(,ὁ,article,ai)ti/a,αἰτία,noun,kat',κατά,preposition,e)mou=,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro\s,πρός,preposition,de\,δέ,particle,tou/tois,οὗτος,pronoun,pw=s,πῶς,adverb,ou)k,οὐ,adverb,a)/topon,ἄτοπος,adjective,ei),εἰ,conjunction,me/n,μέν,particle,ti,τις,pronoun,e)/paqen,πάσχω,verb,to\,ὁ,article,paidi/on,παιδίον,noun,h)\,ἠέ,conjunction,gigno/menon,γίγνομαι,verb,h)\,ἠέ,conjunction,kai\,καί,conjunction,u(/steron,ὕστερος,adjective,tau/tais,οὗτος,pronoun,tai=s,ὁ,article,diaqh/kais,διαθήκη,noun,i)sxuri/zesqai,ἰσχυρίζομαι,verb,a)\n,ἄν,particle,au)tou/s,αὐτός,pronoun,e)n,ἐν,preposition,ai(=s,ὅς,pronoun,to\n,ὁ,article,*eu)/fhmon,Εὔφημος,proper,e)kw/lue,κωλύω,verb,pare/xonta,παρέχω,verb,marturi/as,μαρτυρία,noun,ou)/te,οὔτε,adverb,ga\r,γάρ,particle,th\n,ὁ,article,e(autou=,ἑαυτοῦ,pronoun,xei=ra,χείρ,noun,dunato\n,δυνατός,adjective,a)rnh/sasqai,ἀρνέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nwqreu/esqai,νωθρεύομαι,verb,*)ari/stwnos,Ἀρίστων,proper,de\,δέ,particle,a)ndra/poda,ἀνδράποδον,noun,ei)=xen,ἔχω,verb,e)n,ἐν,preposition,toi=s,ὁ,article,e)/rgois,ἔργον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tau=ta,οὗτος,pronoun,au)to\s,αὐτός,pronoun,u(mi=n,σύ,pronoun,e)martu/rhsen,μαρτυρέω,verb,e)pi\,ἐπί,preposition,tou=,ὁ,article,dikasthri/ou,δικαστήριον,noun,o(/t',ὅτε,conjunction,h)=n,εἰμί,verb,tou/tw|,οὗτος,pronoun,o(,ὁ,article,a)gw\n,ἀγών,noun,pro\s,πρός,preposition,*)arxestrati/dhn,Ἀρχεστρατίδης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toiou=to,τοιοῦτος,adjective,ga\r,γάρ,particle,e)sti,εἰμί,verb,to\,ὁ,article,*)ari/stwnos,Ἀρίστων,proper,toutoui\,οὗτος,pronoun,pra=gma,πρᾶγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
