word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/28/@_form,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/lemma/@_entry,word/28/lemma/@_POS,word/31/lemma/@_entry,word/31/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/129/lemma/@_entry,word/129/lemma/@_POS,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS,word/133/@_form,word/133/lemma/@_entry,word/133/lemma/@_POS,word/134/@_form,word/134/lemma/@_entry,word/134/lemma/@_POS,word/135/@_form,word/135/lemma/@_entry,word/135/lemma/@_POS,word/136/@_form,word/136/lemma/@_entry,word/136/lemma/@_POS,word/137/@_form,word/137/lemma/@_entry,word/137/lemma/@_POS,word/138/@_form,word/138/lemma/@_entry,word/138/lemma/@_POS,word/139/@_form,word/139/lemma/@_entry,word/139/lemma/@_POS,word/140/@_form,word/140/lemma/@_entry,word/140/lemma/@_POS,word/141/@_form,word/141/lemma/@_entry,word/141/lemma/@_POS,word/142/@_form,word/142/lemma/@_entry,word/142/lemma/@_POS
*(ippikw=n,ἱππικός,adjective,me\n,μέν,particle,lo/gwn,λόγος,noun,h)\,ἠέ,conjunction,kunhgetikw=n,κυνηγετικός,adjective,h)\,ἠέ,conjunction,a(lieutikw=n,ἁλιευτικός,adjective,te,τε,particle,au)=,αὖ,interjection,kai\,καί,conjunction,gewrgikw=n,γεωργικός,adjective,suntagma/twn,σύνταγμα,noun,prosfw/nhsin,προσφώνησις,noun,h(gou=mai,ἡγέομαι,verb,pre/pein,πρέπω,verb,a)nqrw/pois,ἄνθρωπος,noun,oi(=s,ὅς,pronoun,po/qos,πόθος,noun,e)/xesqai,ἔχω,verb,toiw=nde,τοιόσδε,adjective,e)/rgwn,ἔργον,noun,strathgikh=s,στρατηγικός,adjective,de\,δέ,particle,peri\,περί,preposition,qewri/as,θεωρία,noun,w)=,ὦ,interjection,*ko/i+nte,Κόϊντος,proper,*ou)hra/nie,*(rwmai/ois,kai\,καί,conjunction,ma/lista,μάλιστα,adverb,*(rwmai/wn,toi=s,ὁ,article,th\n,ὁ,article,sugklhtikh\n,συγκλητικός,adjective,a)ristokrati/an,ἀριστοκρατία,noun,lelogxo/si,λαγχάνω,verb,kai\,καί,conjunction,kata\,κατά,preposition,th\n,ὁ,article,*sebastou=,σεβαστός,adjective,*kai/saros,Καῖσαρ,proper,e)pifrosu/nhn,ἐπιφροσύνη,noun,tai=s,ὁ,article,te,τε,particle,u(pa/tois,ὕπατος,adjective,kai\,καί,conjunction,strathgikai=s,στρατηγικός,adjective,e)cousi/ais,ἐξουσία,noun,kosmoume/nois,κοσμέω,verb,dia/,διά,preposition,te,τε,particle,paidei/an,παιδεία,noun,h(=s,ὅς,pronoun,ou)k,οὐ,adverb,e)p),ἐπί,preposition,o)li/gon,ὀλίγος,adjective,e)/xousin,ἔχω,verb,e)mpeiri/an,ἐμπειρία,noun,kai\,καί,conjunction,progo/nwn,πρόγονος,adjective,a)ci/wsin,ἀξίωσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ne/qhka,ἀνατίθημι,verb,de\,δέ,particle,prw/tois,πρότερος,adjective,sfi/si,σφεῖς,pronoun,to/nde,ὅδε,pronoun,to\n,ὁ,article,lo/gon,λόγος,noun,ou)x,οὐ,adverb,w(s,ὡς,conjunction,a)pei/rois,ἄπειρος,adjective,strathgi/as,στρατηγία,noun,a)lla\,ἀλλά,adverb,ma/lista,μάλιστα,adverb,th=|de,ὅδε,pronoun,qarrh/sas,θαρσέω,verb,h(=|,ὅς,pronoun,to\,ὁ,article,me\n,μέν,particle,a)maqe\s,ἀμαθής,adjective,th=s,ὁ,article,yuxh=s,ψυχή,noun,kai\,καί,conjunction,to\,ὁ,article,par),πηρός,adjective,a)/llw|,ἄλλος,adjective,katorqou/menon,κατορθόω,verb,h)gno/hsen,ἀγνοέω,verb,to\,de\,e)n,ἐν,preposition,e)pisth/mh|,ἐπιστήμη,noun,tw=|,kalw=s,καλός,noun,e)/xonti,ἔχω,verb,prosemartu/rhsen,προσμαρτυρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,δέ,particle,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/qen,ὅθεν,adverb,ei),εἰ,conjunction,kai\,καί,conjunction,para\,παρά,preposition,polloi=s,πολύς,adjective,fanei/h,φαίνω,verb,nenohme/na,νοέω,verb,ta\,ὁ,article,par),πηρός,adjective,e)mou=,ἐγώ,pronoun,suntetagme/na,συντάσσω,verb,kai\,καί,conjunction,kata\,κατά,preposition,tou=to,οὗτος,pronoun,a)\n,ἄν,particle,h(sqei/hn,ἥδομαι,verb,o(/ti,ὅστις,pronoun,mh\,μή,conjunction,mo/non,μόνος,adjective,strathgika\s,στρατηγικός,adjective,sunetaca/mhn,συντάσσω,verb,u(fhgh/seis,ὑφήγησις,noun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,strathgikh=s,στρατηγικός,adjective,e)stoxasa/mhn,στοχάζομαι,verb,kai\,καί,conjunction,th=s,e)n,au)toi=s,αὐτός,pronoun,fronh/sews,φρόνησις,noun,eu)tuxoi/hn,t),σύ,pronoun,a)/n,ἄν,particle,ei),εἰ,conjunction,a(\,ὅς,pronoun,dh\,δή,particle,*(rwmai/ois,,,duna/mei,δύναμις,adjective,kai\,καί,conjunction,di),διά,preposition,e)/rgwn,ἔργον,noun,pe/praktai,πράσσω,verb,tau=t),οὗτος,pronoun,e)gw\,ἐγώ,pronoun,lo/gw|,λόγος,noun,perilabei=n,περιλάω,verb,i(kano\s,ἱκανός,adjective,ei)=nai,εἰμί,verb,para\,παρά,preposition,toiou/tois,τοιοῦτος,adjective,a)ndra/si,ἀνήρ,noun,dokimasqei/hn,δοκιμάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,ἐν,preposition,εὐτυχέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*to\,ὁ,article,de\,δέ,particle,su/ntagma,σύνταγμα,noun,qarrou=nti/,θαρσέω,verb,moi,ἐγώ,pronoun,loipo\n,λοιπός,adjective,ei)pei=n,εἶπον,verb,w(s,ὡς,conjunction,strathgw=n,στρατηγός,noun,te,τε,particle,a)gaqw=n,ἀγαθός,adjective,a)/skhsis,ἄσκησις,noun,e)/stai,εἰμί,verb,palaiw=n,παλαιός,adjective,te,τε,particle,h(gemo/nwn,ἡγεμών,noun,kata\,κατά,preposition,th\n,ὁ,article,sebasth\n,σεβαστός,adjective,ei)rh/nhn,εἰρήνη,noun,a)na/qhma,ἀνάθημα,noun,ei)so/meqa/,εἶμι,verb,te,τε,particle,kai\,καί,conjunction,ei),εἰ,conjunction,mhde\n,μηδείς,pronoun,a)/llo,ἄλλος,adjective,par),h(\n,ai)ti/an,αἰτία,noun,oi(/,ἕ,pronoun,te,ptai/santes,πταίρω,verb,e)sfa/lhsan,σφάλλω,verb,tw=n,ὁ,article,strathghsa/ntwn,στρατηγέω,verb,oi(/,ἕ,pronoun,te,τε,particle,eu)pragh/santes,εὐπραγέω,verb,e)ge/rqhsan,ἐγείρω,verb,ei)s,εἰς,preposition,do/can,δόξα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πηρός,adjective,ὅς,pronoun,τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ma/lista,μάλιστα,adverb,de\,δέ,particle,th\n,ὁ,article,*(rwmai/wn,,,a)reth\n,ἀρετή,noun,e)nnoh/somen,ἐννοέω,verb,w(s,ὡς,conjunction,ou)/te,οὔτε,adverb,basileu\s,βασιλεύς,noun,ou)/te,οὔτε,adverb,po/lis,πόλις,adjective,ou)/te,οὔτε,adverb,e)/qnos,ἔθνος,adjective,mei=zon,μέγας,adverb,h(gemoni/as,ἡγεμονία,noun,e)kratu/nato,κρατύνω,verb,me/geqos,μέγεθος,adjective,a)ll),ἀλλά,adverb,ou)d),οὐδέ,particle,ei)s,εἰς,preposition,i)=son,ἴσος,adjective,h)/lasen,ἐλαύνω,verb,w(/ste,ὥστε,conjunction,tosou/tois,τοσοῦτος,adjective,bebaiw/sasqai,βεβαιόω,verb,xro/nois,χρόνος,noun,a)ki/nhton,ἀκίνητος,adjective,dunastei/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,δυναστεία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,tu/xh|,τυγχάνω,verb,moi,ἐγώ,pronoun,dokou=sin,δοκέω,verb,u(pera/rantes,ὑπεραίρω,verb,tou\s,ὁ,article,th=s,ὁ,article,*)itali/as,Ἰταλία,proper,o(/rous,ὅρος,adjective,e)pi\,ἐπί,preposition,pe/rata,πέρας,noun,gh=s,γῆ,noun,e)ktei=nai,ἐκτείνω,verb,th\n,ὁ,article,sfete/ran,σφέτερος,adjective,a)rxh/n,ἀρχή,noun,a)lla\,ἀλλά,adverb,pra/cesi,πρᾶξις,adjective,strathgikai=s,στρατηγικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunepilamba/nesqai,συνεπιλαμβάνομαι,verb,me\n,μέν,particle,ga\r,γάρ,particle,eu)/xesqai,εὔχομαι,verb,dei=,δέομαι,verb,kai\,καί,conjunction,th\n,ὁ,article,tu/xhn,τύχη,noun,ou),οὐ,adverb,mh\n,μείς,adjective,to\,ὁ,article,para/pan,παράπαν,adverb,oi)/esqai,οἴομαι,verb,tau/thn,οὗτος,pronoun,kratei=n,κρατέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll),ἀλλά,adverb,a)no/htoi,ἀνόητος,adjective,oi(,ἕ,pronoun,kai\,καί,conjunction,ta\,ὁ,article,sfa/lmata,σφάλμα,noun,th=s,ὁ,article,tu/xhs,τύχη,noun,e)gklh/mata,ἔγκλημα,noun,mo/nhs,μόνος,adjective,poiou/menoi,ποιέω,verb,ou),οὐ,adverb,th=s,ὁ,article,tw=n,ὁ,article,strathgou/ntwn,στρατηγέω,verb,a)melei/as,ἀμέλεια,noun,kai\,καί,conjunction,ta\,ὁ,article,katorqw/mata,κατόρθωμα,noun,tau/ths,οὗτος,pronoun,ou),οὐ,adverb,th=s,ὁ,article,e)mpeiri/as,ἐμπειρία,noun,tw=n,ὁ,article,h(goume/nwn,ἡγέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/te,οὔτε,adverb,ga\r,γάρ,particle,e)pieike\s,ἐπιεικής,adjective,a)nepiti/mhton,ἀνεπιτίμητος,adjective,ou(/tws,οὕτως,adverb,a)polipei=n,ἀπολείπω,verb,to\n,ὁ,article,ptai/onta,πταίρω,verb,toi=s,ὁ,article,o(/lois,ὅλος,adjective,w(s,ὡς,conjunction,pa/ntwn,πᾶς,adjective,ai)tia=sqai,αἰτιάομαι,verb,th\n,ὁ,article,tu/xhn,τύχη,noun,ou)/te,οὔτε,adverb,di/kaion,δίκαιος,adjective,a)ma/rturon,ἀμάρτυρος,adjective,e)pi\,ἐπί,preposition,tosou=ton,τοσοῦτος,adjective,e)pai/nou,ἔπαινος,noun,to\n,ὁ,article,katorqou=nta,κατορθόω,verb,periora=n,περιοράω,verb,e)f),ἐπί,preposition,o(/son,ὅσος,adjective,a(pa/ntwn,ἅπας,adjective,a)natiqe/nai,th=|,tu/xh|,τύχη,noun,th\n,ὁ,article,xa/rin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀνατίθημι,verb,ὁ,article,χάρις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)epeidh\,ἐπεί,conjunction,de\,δέ,particle,fu/sei,φύσις,noun,pa/ntes,πᾶς,adjective,a)/nqrwpoi,ἄνθρωπος,noun,toi=s,ὁ,article,me\n,μέν,particle,di),διά,preposition,e)mpeiri/as,ἐμπειρία,noun,sunteta/xqai,συντάσσω,verb,dokou=si,δοκέω,verb,ka)\n,κἀν,conjunction,a)sqenw=s,ἀσθενής,adjective,a)pagge/llhtai,ἀπαγγέλλω,verb,to\,ὁ,article,pisto\n,πιστός,adjective,ei)s,εἰς,preposition,a)lh/qeian,ἀλήθεια,adjective,a)pone/mousin,ἀπονέμω,verb,toi=s,ὁ,article,de\,δέ,particle,a)pei/rois,ἄπειρος,adjective,ka)\n,κἀν,conjunction,h)=|,εἰμί,verb,dunata\,δυνατός,adjective,praxqh=nai,πράσσω,verb,dia\,διά,preposition,to\,a)doki/maston,a)pistou=sin,ἀπιστέω,verb,a)nagkai=on,ἀναγκαῖος,adjective,h(gou=mai,peri\,περί,preposition,tw=n,ὁ,article,e)n,ἐν,preposition,tw=|de,ὅδε,pronoun,tw=|,ὁ,article,lo/gw|,λόγος,noun,strathghma/twn,στρατήγημα,noun,h)qroisme/nwn,ἀθροίζω,verb,tosou=to,τοσοῦτος,adjective,proeipei=n,προεῖπον,verb,o(/ti,ὅστις,pronoun,pa/nta,πᾶς,adjective,dia\,διά,preposition,pei/ras,πεῖρα,noun,e)/rgwn,ἔργον,noun,e)lh/luqen,ἔρχομαι,verb,kai\,καί,conjunction,u(po\,ὑπό,preposition,a)ndrw=n,ἀνήρ,noun,toiou/twn,τοιοῦτος,adjective,w(=n,ὅς,pronoun,a)po/gonon,ἀπόγονος,adjective,u(pa/rxei,ὑπάρχω,verb,*(rwmai/wn,,,a(/pan,ἅπας,adjective,to\,ὁ,article,ge/nei,γένος,noun,kai\,καί,conjunction,a)reth=|,ἀρετή,noun,me/xri,μέχρι,preposition,ὁ,article,ἀδοκίμαστος,adjective,ἡγέομαι,verb,tou=,ὁ,article,deu=ro,δεῦρο,adverb,prwteu=on,πρωτεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
