word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS
a)mfi\,ἀμφί,preposition,*diw/nuson,Διόνυσος,proper,*seme/lhs,Σεμέλη,proper,e)rikude/os,ἐρικυδής,adjective,ui(o/n,υἱός,noun,mnh/somai,μιμνήσκω,verb,w(s,ὡς,conjunction,e)fa/nh,φαίνω,verb,para\,παρά,preposition,qi=n',θίς,noun,a(lo\s,ἅλς,adjective,a)truge/toio,ἀτρύγετος,adjective,a)kth=|,ἀκτέα,noun,e)/pi,ἐπί,preposition,problh=ti,προβλῆτις,adjective,nehni/h|,νεανίης,noun,a)ndri\,ἀνδρίς,noun,e)oikw/s,ἔοικα,verb,prwqh/bh|,πρωθήβης,noun,,,,,,,,,,,,
kalai\,κάλαις,noun,de\,δέ,particle,perissei/onto,περισείομαι,verb,e)/qeirai,ἔθειρα,noun,kua/neai,κυάνεος,adjective,fa=ros,φᾶρος,noun,de\,δέ,particle,peri\,περί,preposition,stibaroi=s,στιβαρός,adjective,e)/xen,ἔχω,verb,w)/mois,ὦμος,noun,porfu/reon,πορφύρεος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta/xa,τάχα,adjective,d',δέ,particle,a)/ndres,ἀνήρ,noun,e)usse/lmou,εὔσελμος,adjective,a)po\,ἀπό,preposition,nho\s,ναός,noun,lhistai\,ληιστής,noun,proge/nonto,προγίγνομαι,verb,qow=s,θοός,adjective,e)pi\,ἐπί,preposition,oi)/nopa,οἶνοψ,noun,po/nton,πόντος,noun,*turshnoi/,Τυρσηνός,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou\s,ὁ,article,d',δέ,particle,h)=ge,ἄγω,verb,kako\s,κακός,adjective,mo/ros,μόρος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(\,ἕ,pronoun,de\,δέ,particle,i)do/ntes,εἶδον,verb,neu=san,νέω,verb,e)s,εἰς,preposition,a)llh/lous,ἀλλήλων,pronoun,ta/xa,τάχα,adjective,d',δέ,particle,e)/kqoron,ἐκθρῴσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ai)=ya,αἶψα,adverb,d',δέ,particle,e(lo/ntes,αἱρέω,verb,ei(=san,ἕζομαι,verb,e)pi\,ἐπί,preposition,sfete/rhs,σφέτερος,adjective,nho\s,ναός,noun,kexarhme/noi,χαίρω,verb,h)=tor,ἦτορ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ui(o\n,υἱός,noun,ga/r,γάρ,particle,min,μιν,pronoun,e)/fanto,φημί,verb,diotrefe/wn,Διοτρεφής,proper,basilh/wn,βασιλεύς,noun,ei)=nai,εἰμί,verb,kai\,καί,conjunction,desmoi=s,δεσμός,noun,e)/qelon,ἐθέλω,verb,dei=n,δέω,verb,a)rgale/oisi,ἀργαλέος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,d',δέ,particle,ou)k,οὐ,adverb,i)/sxane,ἰσχάνω,verb,desma/,δεσμός,noun,lu/goi,λύγος,noun,d',δέ,particle,a)po\,ἀπό,preposition,thlo/se,τηλόσε,adverb,pi=pton,πίπτω,verb,xeirw=n,χείρ,noun,h)de\,ἠδέ,conjunction,podw=n,πούς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\,ὅς,pronoun,de\,δέ,particle,meidia/wn,,,e)ka/qhto,κατακάθημαι,verb,o)/mmasi,ὄμμα,noun,kuane/oisi,κυάνεος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kubernh/ths,κυβερνήτης,noun,de\,δέ,particle,noh/sas,νοέω,verb,au)ti/ka,αὐτίκα,adverb,oi(=s,ὅς,pronoun,e(ta/roisin,ἑταῖρος,noun,e)ke/kleto,κέλομαι,verb,fw/nhse/n,φωνέω,verb,te,τε,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daimo/nioi,δαιμόνιος,adjective,ti/na,τίς,pronoun,to/nde,ὅδε,pronoun,qeo\n,θεός,noun,desmeu/eq',δεσμεύω,verb,e(lo/ntes,αἱρέω,verb,kartero/n,καρτερός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\,οὐδέ,particle,fe/rein,φέρω,verb,du/natai/,δύναμαι,verb,min,μιν,pronoun,nhu=s,ναῦς,noun,eu)ergh/s,εὐεργής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
