word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS
*fi/lippos,Φίλιππος,proper,*)aqhnai/wn,Ἀθήναια,proper,th=|,ὁ,article,boulh=|,βουλεύς,noun,kai\,καί,conjunction,tw=|,ὁ,article,dh/mw|,δῆμος,noun,xai/rein,χαίρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,polla/kis,πολλάκις,adverb,mou,ἐγώ,pronoun,pre/sbeis,πρέσβις,noun,a)postei/lantos,ἀποστέλλω,verb,i(/n',ἵνα,conjunction,e)mmei/nwmen,ἐμμένω,verb,toi=s,ὁ,article,o(/rkois,ὅρκος,noun,kai\,καί,conjunction,tai=s,ὁ,article,o(mologi/ais,ὁμολογία,noun,ou)demi/an,οὐδείς,pronoun,e)poiei=sq',ἐποίζω,verb,e)pistrofh/n,ἐπιστροφή,noun,w)/|mhn,οἴομαι,verb,dei=n,δέω,verb,pe/myai,πέμπω,verb,pro\s,πρός,preposition,u(ma=s,σύ,pronoun,u(pe\r,ὑπέρ,preposition,w(=n,ὅς,pronoun,a)dikei=sqai,ἀδικέω,verb,nomi/zw,νομίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh\,μή,conjunction,qauma/shte,θαυμάζω,verb,de\,δέ,particle,to\,ὁ,article,mh=kos,μῆκος,adjective,th=s,ὁ,article,e)pistolh=s,ἐπιστολεύς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollw=n,πολύς,adjective,ga\r,γάρ,particle,u(parxo/ntwn,ὑπάρχω,verb,e)gklhma/twn,ἔγκλημα,noun,a)nagkai=o/n,ἀναγκαῖος,adjective,e)stin,εἰμί,verb,u(pe\r,ὑπέρ,preposition,a(pa/ntwn,ἅπας,adjective,dhlw=sai,δηλόω,verb,kaqarw=s,καθαρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prw=ton,πρότερος,adjective,me\n,μέν,particle,ga\r,γάρ,particle,*niki/ou,Νικίας,proper,tou=,ὁ,article,kh/rukos,κῆρυξ,noun,a(rpasqe/ntos,ἁρπάζω,verb,e)k,ἐκ,preposition,th=s,ὁ,article,xw/ras,χώρα,noun,th=s,ὁ,article,e)mh=s,ἐμός,adjective,ou)x,οὐ,adverb,o(/ti,ὅστις,pronoun,toi=s,ὁ,article,paranomou=sin,παρανομέω,verb,e)petimh/sate,ἐπιτιμάω,verb,th\n,ὁ,article,di/khn,δίκη,adjective,a)lla\,ἀλλά,adverb,to\n,ὁ,article,a)dikou/menon,ἀδικέω,verb,ei(/rcate,ἔργω,verb,de/ka,δέκα,verb,mh=nas,μείς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(\s,ὅς,pronoun,d',δέ,particle,e)/fere,φέρω,verb,par',παρά,preposition,h(mw=n,ἐγώ,pronoun,e)pistola/s,ἐπιστολή,noun,a)ne/gnwt',ἀναγιγνώσκω,verb,e)pi\,ἐπί,preposition,tou=,ὁ,article,bh/matos,βῆμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/peita,ἔπειτα,adverb,*qasi/wn,Θάσιος,proper,u(podexome/nwn,ὑποδέχομαι,verb,ta\s,ὁ,article,*buzanti/wn,Βυζάντιος,proper,trih/reis,τριήρης,noun,kai\,καί,conjunction,tw=n,ὁ,article,lh|stw=n,ληιστής,noun,tou\s,ὁ,article,boulome/nous,βούλομαι,verb,ou)de\n,οὐδείς,pronoun,e)fronti/zete,φροντίζω,verb,tw=n,ὁ,article,sunqhkw=n,συνθήκη,noun,diarrh/dhn,διαρρήδην,adverb,legousw=n,λέγω,verb,polemi/ous,πολέμιος,adjective,ei)=nai,εἰμί,verb,tou\s,ὁ,article,tau=ta,οὗτος,pronoun,poiou=ntas,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/ti,ἔτι,adverb,toi/nun,τοίνυν,particle,peri\,περί,preposition,tou\s,ὁ,article,au)tou\s,αὐτός,pronoun,xro/nous,χρόνος,noun,*diopei/qhs,Διοπείθης,proper,e)mbalw\n,ἐμβάλλω,verb,ei)s,εἰς,preposition,th\n,ὁ,article,xw/ran,χώρα,noun,*krwbu/lhn,κρωβύλη,adjective,me\n,μέν,particle,kai\,καί,conjunction,th\n,ὁ,article,*tiri/stasin,,,e)chndrapodi/sato,ἐξανδραποδίζω,verb,th\n,ὁ,article,de\,δέ,particle,prosexh=,προσεχής,adverb,*qra/|khn,Θρᾴκη,proper,e)po/rqhse,πορθέω,verb,te/los,τέλος,noun,d',δέ,particle,ei)s,εἰς,preposition,tou=t',οὗτος,pronoun,h)=lqe,ἔρχομαι,verb,paranomi/as,παρανομία,noun,w(/st',ὥστε,conjunction,*)amfi/loxon,Ἀμφίλοχος,proper,u(pe\r,ὑπέρ,preposition,tw=n,ὁ,article,ai)xmalw/twn,αἰχμάλωτος,adjective,e)lqo/nta,ἔρχομαι,verb,presbeuth\n,πρεσβευτής,noun,sullabw\n,συλλαμβάνω,verb,kai\,καί,conjunction,ta\s,ὁ,article,e)sxa/tas,σχέθω,verb,a)na/gkas,ἀνάγκη,noun,e)piqei\s,ἐπιτίθημι,verb,a)pelu/trwse,ἀπολυτρόω,verb,tala/ntwn,τάλαντον,noun,e)nne/a,ἐννέα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tau=ta,οὗτος,pronoun,tw=|,ὁ,article,dh/mw|,δῆμος,noun,sundokou=nt',συνδοκέω,verb,e)poi/hsen,ποιέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,to\,ὁ,article,paranomei=n,παρανομέω,verb,ei)s,εἰς,preposition,kh/ruka,κῆρυξ,noun,kai\,καί,conjunction,pre/sbeis,πρέσβις,noun,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,te,τε,particle,pa=sin,πᾶς,adjective,a)sebe\s,ἀσεβής,adjective,ei)=nai,εἰμί,verb,dokei=,δοκέω,verb,kai\,καί,conjunction,ma/lisq',μάλιστα,adverb,u(mi=n,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
