word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/30/lemma/@_entry,word/30/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/51/lemma/@_entry,word/51/lemma/@_POS
xroni/wn,χρόνιος,adjective,nou/swn,νόσος,noun,po/nos,πόνος,noun,me\n,μέν,particle,poulu\s,πολύς,adjective,xro/nos,χρόνος,noun,de\,δέ,particle,makro\s,μακρός,adjective,sunth/cios,σύντηξις,noun,kai\,καί,conjunction,a)be/baios,ἀβέβαιος,adjective,h(,ὁ,article,a)/lqecis,ἄλθεξις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\,ἠέ,conjunction,ga\r,γάρ,particle,ou)d',οὐδέ,particle,e)chla/qhsan,ἐξελαύνω,verb,e)s,εἰς,preposition,to\,ὁ,article,pa/mpan,πάμπαν,adverb,h)\,ἠέ,conjunction,e)pi\,ἐπί,preposition,smikrh=|,μικρός,adjective,a(martwlh=|,ἁμαρτωλή,noun,palindrome/ousi,παλινδρομέω,verb,ai(,ὁ,article,nou=soi,νόσος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/te,οὔτε,adverb,ga\r,γάρ,particle,a)treme/ein,ἀτρεμέω,verb,oi(,ἕ,pronoun,nose/ontes,νοσέω,verb,tolme/ousi,τολμάω,verb,e)s,εἰς,preposition,te/los,τέλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ta\r,ἀτάρ,particle,h)de\,ἠδέ,conjunction,a(marta/nousi,ἁμαρτάνω,verb,e)n,ἐν,preposition,th=|si,ὁ,article,makrh=|si,μακρός,adjective,diai/th|si,δίαιτα,noun,kh)\n,ἐν,preposition,a)treme/wsi,ἀτρεμέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,de\,δέ,particle,kai\,καί,conjunction,po/nos,πόνος,noun,e)/h|,εἰμί,verb,e)pipo/nou,ἐπίπονος,adjective,i)h/sios,,,di/yhs,δίψα,noun,limou=,λιμός,noun,farma/kwn,φάρμακον,noun,pikrw=n,πικρός,adjective,kai\,καί,conjunction,o)dunwde/wn,ὀδυνώδης,adverb,h)\,ἠέ,conjunction,tomh=s,τομεύς,noun,h)\,ἠέ,conjunction,kau/sios,καῦσις,noun,w(=npe/r,ὅς,pronoun,e)sti,εἰμί,verb,e)n,ἐν,preposition,th=|si,ὁ,article,dolixh=|si,δολιχός,adjective,nou/soisi,νόσος,noun,xre/os,χρέος,noun,u(podidrh/skousi,ὑποδιδράσκω,verb,oi(,ἕ,pronoun,ka/mnontes,κάμνω,verb,w(s,ὡς,conjunction,qana/tou,θάνατος,adjective,dh=qen,δῆθεν,adverb,au)te/ou,o)rego/menoi,ὀρέγω,verb,e)/nqa,ἔνθα,adverb,dh\,δή,particle,a)reth\,ἀρετή,noun,diaei/detai,διαείδω,verb,a)ndro\s,ἀνήρ,noun,i)htrou=,ἰατρός,noun,kai\,καί,conjunction,makroqumi/hs,μακροθυμία,noun,kai\,καί,conjunction,poikili/hs,ποικιλία,noun,kai\,καί,conjunction,xa/ritos,χάρις,noun,a)blabou=s,ἀβλαβής,adjective,tw=n,ὁ,article,h(de/wn,ἡδύς,adjective,kai\,καί,conjunction,paraifa/sios,παράφασις,noun,,,,,,,,,,,,,,,,,,,,
a)ta\r,ἀτάρ,particle,kai\,καί,conjunction,to\n,ὁ,article,nose/onta,νοσέω,verb,xrh\,χρή,verb,a)/lkimon,ἄλκιμος,adjective,e)/mmenai,εἰμί,verb,kai\,καί,conjunction,cuni/stasqai,συνίστημι,verb,tw=|,ὁ,article,i)htrw=|,ἰατρός,noun,kata\,κατά,preposition,tou=,ὁ,article,nosh/matos,νόσημα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,tou=,ὁ,article,sw/matos,σῶμα,adjective,mou=non,μόνος,adjective,a)pri\c,ἀπρίξ,adverb,labo/menon,λαμβάνω,verb,taxu\,ταχύς,adjective,a)nasmu/xei,ἀνασμύχω,verb,te,τε,particle,kai\,καί,conjunction,da/ptei,δάπτω,verb,a)lla\,ἀλλά,adverb,e)s,εἰς,preposition,polla\,πολύς,adjective,kai\,καί,conjunction,th\n,ὁ,article,ai)sqhsi/hn,αἰσθησίη,noun,e)ktre/pei,ἐκτρέπω,verb,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,th\n,ὁ,article,yuxh\n,ψυχή,noun,e)kmai/nei,ἐκμαίνω,verb,a)krasi/h|,ἀκρασία,noun,tou=,ὁ,article,sw/matos,σῶμα,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toih/nde,τοιόσδε,adjective,th\n,ὁ,article,mani/hn,μανία,noun,kai\,καί,conjunction,th\n,ὁ,article,melagxoli/hn,μελαγχολία,noun,i)/smen,οἶδα,verb,peri\,περί,preposition,w(=n,ὅς,pronoun,au)=qis,αὖθις,adverb,e)re/w,ἐρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tanu=n,τανῦν,adverb,d',δέ,particle,a)mfi\,ἀμφί,preposition,kefalai/hs,κεφάλαιος,adjective,fra/sw,φράζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)\n,ἐάν,conjunction,a)lge/h|,ἀλγέω,verb,kefalh\,κεφαλή,noun,sxedi/ws,σχέδιος,adjective,e)pi\,ἐπί,preposition,proskai/rw|,πρόσκαιρος,adjective,ai)ti/h|,αἰτία,noun,kh)\n,ἐν,preposition,e)pi\,ἐπί,preposition,pleu=nas,πλείων,verb,kefalalgi/h,κεφαλαλγία,noun,kale/etai,καλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
