word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS
to\,ὁ,article,mise/w,μισέω,verb,mna/mona,μνήμων,noun,sumpo/tan,συμπότης,adjective,w)=,ὦ,interjection,*so/ssie,*seneki/wn,e)/nioi,ἔνιοι,adjective,pro\s,πρός,preposition,tou\s,ὁ,article,e)pista/qmous,ἐπίσταθμος,adjective,ei)rh=sqai,ἐρῶ,verb,le/gousi,λέγω,verb,fortikou\s,φορτικός,adjective,e)pieikw=s,ἐπιεικής,adjective,kai\,καί,conjunction,a)nagw/gous,ἀνάγωγος,adjective,e)n,ἐν,preposition,tw=|,ὁ,article,pi/nein,πίνω,verb,o)/ntas,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ἕ,pronoun,ga\r,γάρ,particle,e)n,ἐν,preposition,*sikeli/a|,Σικελία,proper,*dwriei=s,Δωρίζω,verb,w(s,e)/oike,to\n,ὁ,article,e)pi/staqmon,ἐπίσταθμος,adjective,mna/mona,μνήμων,noun,proshgo/reuon,προσαγορεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὡς,conjunction,ἔοικα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/nioi,ἔνιοι,adjective,de\,δέ,particle,th\n,ὁ,article,paroimi/an,παροιμία,noun,oi)/ontai,οἴομαι,verb,toi=s,para\,po/ton,πότος,noun,legome/nois,λέγω,verb,kai\,καί,conjunction,prattome/nois,πράσσω,verb,a)mnhsti/an,ἀμνηστία,noun,e)pa/gein,ἐπάγω,verb,dio\,διό,conjunction,th/n,ὁ,article,te,τε,particle,lh/qhn,λανθάνω,verb,oi(,ὁ,article,pa/trioi,πάτριος,adjective,lo/goi,λόγος,noun,kai\,καί,conjunction,ὁ,article,παρά,preposition,to\n,ὁ,article,na/rqhka,νάρθηξ,noun,tw=|,ὁ,article,qew=|,θεός,noun,sugkaqierou=sin,συγκαθιερόω,verb,w(s,ὡς,conjunction,h)\,ἠέ,conjunction,mhdeno\s,μηδείς,pronoun,de/on,δέω,verb,mnhmoneu/ein,μνημονεύω,verb,tw=n,ὁ,article,e)n,ἐν,preposition,oi)/nw|,οἶνον,noun,plhmmelhqe/ntwn,πλημμελέω,verb,h)\,ἠέ,conjunction,pantelw=s,παντελής,adverb,e)lafra=s,ἐλαφρός,adjective,kai\,καί,conjunction,paidikh=s,παιδικός,adjective,nouqesi/as,νουθεσία,noun,deome/nwn,δέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,de\,δέ,particle,kai\,καί,conjunction,soi\,σύ,pronoun,dokei=,δοκέω,verb,tw=n,me\n,a)to/pwn,ἄτοπος,adjective,h(,ὁ,article,lh/qh,λήθη,noun,tw=|,ὁ,article,o)/nti,εἰμί,verb,sofh\,σοφός,adjective,kat',κατά,preposition,*eu)ripi/dhn,Εὐριπίδης,proper,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,ὁ,article,μέν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,d',δέ,particle,o(/lws,ὅλος,adjective,a)mnhmonei=n,ἀμνημονέω,verb,tw=n,ὁ,article,e)n,oi)/nw|,mh\,μή,conjunction,mo/non,μόνος,adjective,tw=|,ὁ,article,filopoiw=|,φιλοποιός,adjective,legome/nw|,λέγω,verb,ma/xesqai,μάχομαι,verb,th=s,ὁ,article,trape/zhs,τράπεζα,noun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,tw=n,ὁ,article,filoso/fwn,φιλόσοφος,noun,tou\s,ὁ,article,e)llogimwta/tous,ἐλλόγιμος,adjective,ἐν,preposition,οἶνον,noun,a)ntimarturou=ntas,ἀντιμαρτυρέω,verb,e)/xein,ἔχω,verb,*pla/twna,Πλάτων,proper,kai\,καί,conjunction,*cenofw=nta,Ξενοφῶν,proper,kai\,καί,conjunction,*)aristote/lhn,Ἀριστοτέλης,proper,kai\,καί,conjunction,*speu/sippon,Σπεύσιππος,proper,*)epi/kouro/n,Ἐπίκουρος,proper,te,τε,particle,kai\,καί,conjunction,*pru/tanin,Πρύτανις,proper,kai\,καί,conjunction,*(ierw/numon,Ἱερώνυμος,proper,kai\,καί,conjunction,*di/wna,Δίων,proper,to\n,ὁ,article,e)c,ἐκ,preposition,*)akadhmei/as,Ἀκαδήμεια,proper,w(s,ὡς,conjunction,a)/cio/n,ἄξιος,adjective,tinos,τις,pronoun,spoudh=s,σπουδή,noun,pepoihme/nous,ποιέω,verb,e)/rgon,ἔργον,noun,a)nagra/yasqai,ἀναγράφω,verb,lo/gous,λόγος,noun,para\,παρά,preposition,po/ton,πότος,noun,genome/nous,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)|h/qhs,οἴομαι,verb,te,τε,particle,dei=n,δέω,verb,h(ma=s,ἐγώ,pronoun,tw=n,ὁ,article,spora/dhn,polla/kis,e)/n,ἐν,preposition,te,τε,particle,*(rw/mh|,,,meq',μετά,preposition,u(mw=n,σύ,pronoun,kai\,καί,conjunction,par',παρά,preposition,h(mi=n,ἐγώ,pronoun,e)n,ἐν,preposition,th=|,ὁ,article,*(ella/di,Ἑλλάς,proper,parou/shs,πάρειμι,verb,a(/ma,ἅμα,adverb,trape/zhs,τράπεζα,noun,σποράδην,adverb,πολλάκις,adverb,kai\,καί,conjunction,ku/likos,κύλιξ,noun,filologhqe/ntwn,φιλολογέω,verb,sunagagei=n,συνάγω,verb,ta)pith/deia,ἐπιτήδειος,adjective,pro\s,πρός,preposition,tou=to,οὗτος,pronoun,geno/menos,γίγνομαι,verb,tri/a,τρεῖς,noun,me\n,μέν,particle,h)\dh,ἦδος,adjective,soi,σύ,pronoun,pe/pomfa,πέμπω,verb,tw=n,ὁ,article,bibli/wn,βιβλίον,noun,e(ka/stou,ἕκαστος,adjective,de/ka,δέκα,verb,problh/mata,πρόβλημα,noun,perie/xontos,περιέχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pe/myw,πέμπω,verb,de\,δέ,particle,kai\,καί,conjunction,ta\,ὁ,article,loipa\,λοιπός,adjective,taxe/ws,a)\n,tau=ta,οὗτος,pronoun,do/ch|,δόξα,noun,mh\,μή,conjunction,pantelw=s,παντελής,adverb,a)/mousa,ἄμουσος,adjective,mhd',μηδέ,particle,a)prosdio/nus',ἀπροσδιόνυσος,adjective,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,ταχέως,adverb,ἄν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prw=ton,πρότερος,adjective,de\,δέ,particle,pa/ntwn,πᾶς,adjective,te/taktai,τάσσω,verb,to\,ὁ,article,peri\,tou=,filosofei=n,φιλοσοφέω,verb,para\,παρά,preposition,po/ton,πότος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,περί,preposition,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/mnhsai,μιμνήσκω,verb,ga\r,γάρ,particle,o(/ti,ὅστις,pronoun,zhth/sews,ζήτησις,noun,*)aqh/nhsi,Ἀθήνευς,proper,meta\,dei=pnon,genome/nhs,γίγνομαι,verb,ei),εἰ,conjunction,xrhste/on,χρηστέον,adjective,e)n,ἐν,preposition,oi)/nw|,οἶνον,noun,filoso/fois,φιλόσοφος,noun,lo/gois,λόγος,noun,kai\,καί,conjunction,ti/,τίς,pronoun,me/tron,μέτρον,noun,e)/sti,εἰμί,verb,xrwme/nois,χράομαι,verb,a)ri/stwn,ἄριστος,adjective,parw/n,πάρειμι,verb,μετά,preposition,δεῖπνον,noun,ei)si\,εἰμί,verb,ga/r,γάρ,particle,e)/fhse,φημί,verb,pro\s,πρός,preposition,tw=n,ὁ,article,qew=n,θέα,noun,oi(,ὁ,article,filoso/fois,φιλόσοφος,noun,xw/ran,χώρα,noun,e)p',ἐπί,preposition,oi)/nw|,οἶνον,noun,mh\,μή,conjunction,dido/ntes,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,ei)=pon,εἶπον,verb,a)ll,,,ou),οὐ,adverb,ga\r,ei)si/n,w)=,ὦ,interjection,e(tai=r),ἑταίρα,noun,oi(\,ἕ,pronoun,kai\,καί,conjunction,pa/nu,πάνυ,adverb,ge,γε,particle,semnw=s,σεμνός,adjective,kateirwneuo/menoi,κατειρωνεύομαι,verb,le/gousi,λέγω,verb,mh\,μή,conjunction,dei=n,δέω,verb,w(/sper,ὥσπερ,adverb,oi)kode/spoinan,οἰκοδέσποινα,noun,e)n,ἐν,preposition,γάρ,particle,εἰμί,verb,oi)/nw|,οἶνον,noun,fqe/ggesqai,φθέγγομαι,verb,filosofi/an,φιλοσοφία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
