word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS
*(ermh=n,Ἑρμῆς,proper,u(/mnei,ὑμνέω,verb,*mou=sa,Μοῦσα,proper,*dio\s,Ζεύς,proper,kai\,καί,conjunction,*maia/dos,Μαιάς,proper,ui(o/n,υἱός,noun,*kullh/nhs,Κυλλήνη,proper,mede/onta,μεδέων,verb,kai\,καί,conjunction,*)arkadi/hs,Ἀρκαδία,proper,polumh/lou,πολύμηλος,adjective,a)/ggelon,ἄγγελος,noun,a)qana/twn,ἀθάνατος,adjective,e)riou/nion,ἐριούνης,noun,o(\n,ὅς,pronoun,te/ke,τίκτω,verb,*mai=a,Μαῖα,proper,nu/mfh,νύμφη,noun,e)uplo/kamos,ἐυπλόκαμος,adjective,*dio\s,Ζεύς,proper,e)n,ἐν,preposition,filo/thti,φιλότης,noun,migei=sa,μίγνυμι,verb,ai)doi/h,αἰδοῖος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maka/rwn,μάκαρος,adjective,de\,δέ,particle,qew=n,θέα,noun,h)leu/aq',ἀλέομαι,verb,o(/milon,ὅμιλος,noun,a)/ntron,ἄντρον,noun,e)/sw,ἔσω,adjective,nai/ousa,ναίω,verb,pali/skion,παλίνσκιος,adjective,e)/nqa,ἔνθα,adverb,*kroni/wn,Κρόνια,proper,nu/mfh|,νύμφη,noun,e)uploka/mw|,ἐυπλόκαμος,adjective,misge/sketo,μίγνυμι,verb,nukto\s,νύξ,adjective,a)molgw=|,ἀμολγός,noun,o)/fra,ὄφρα,conjunction,kata\,κατά,preposition,gluku\s,γλυκύς,adjective,u(/pnos,ὕπνος,noun,e)/xoi,ἔχω,verb,leukw/lenon,λευκώλενος,adjective,*(/hrhn,Ἥρα,proper,lh/qwn,λανθάνω,verb,a)qana/tous,ἀθάνατος,adjective,te,τε,particle,qeou\s,θεός,noun,qnhtou/s,θνητός,adjective,t',τε,particle,a)nqrw/pous,ἄνθρωπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,o(/te,ὅστε,pronoun,dh\,δή,particle,mega/loio,μέγας,adverb,*dio\s,Ζεύς,proper,no/os,νόος,adjective,e)cetelei=to,ἐκτελέω,verb,th=|,ὁ,article,d',δέ,particle,h)/dh,ἤδη,adverb,de/katos,δέκατος,adjective,mei\s,μείς,adjective,ou)ranw=|,οὐρανός,noun,e)sth/rikto,στηρίζω,verb,ei)/s,εἰς,preposition,te,τε,particle,fo/ws,φόως,noun,a)/gagen,ἄγω,verb,a)ri/shma/,ἀρίσημος,adjective,te,τε,particle,e)/rga,ἔργον,noun,te/tukto,τεύχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to/t',τότε,adverb,e)gei/nato,γείνομαι,verb,pai=da,παῖς,adjective,polu/tropon,πολύτροπος,adjective,ai(mulomh/thn,αἱμυλομήτης,noun,lhisth=r',ληιστήρ,noun,e)lath=ra,ἐλατήρ,noun,bow=n,βόα,noun,h(gh/tor',ἡγήτωρ,adjective,o)nei/rwn,ὄνειρος,noun,nukto\s,νύξ,adjective,o)pwphth=ra,ὀπωπητήρ,noun,pulhdo/kon,πυληδόκος,noun,o(\s,ὅς,pronoun,ta/x',τάχα,adjective,e)/mellen,μέλλω,verb,a)mfane/ein,ἀναφαίνω,verb,kluta\,κλυτός,adjective,e)/rga,ἔργον,noun,met',μετά,preposition,a)qana/toisi,ἀθάνατος,adjective,qeoi=sin,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)w=|os,ἠῷος,adjective,gegonw\s,γίγνομαι,verb,me/sw|,μέσος,adjective,h)/mati,ἦμαρ,noun,e)gkiqa/rizen,ἐγκιθαρίζω,verb,e(spe/rios,ἑσπέριος,adjective,bou=s,βοῦς,noun,kle/yen,κλέπτω,verb,e(khbo/lou,ἑκηβόλος,adjective,*)apo/llwnos,Ἀπόλλων,proper,tetra/di,τετράς,noun,th=|,ὁ,article,prote/rh|,πρότερος,adjective,th=|,ὁ,article,min,μιν,pronoun,te/ke,τίκτω,verb,po/tnia,πότνια,noun,*mai=a,Μαῖα,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\s,ὅς,pronoun,kai/,καί,conjunction,e)peidh\,ἐπεί,conjunction,mhtro\s,μήτηρ,noun,a)p',ἀπό,preposition,a)qana/twn,ἀθάνατος,adjective,qo/re,θρῴσκω,verb,gui/wn,γυῖον,noun,ou)ke/ti,οὐκέτι,adverb,dhro\n,δηρός,adjective,e)/keito,κεῖμαι,verb,me/nwn,μένω,verb,i(erw=|,ἱερόν,noun,e)ni\,ἐν,preposition,li/knw|,λίκνον,noun,a)ll',ἀλλά,adverb,o(/,ὅς,pronoun,g',γε,particle,a)nai/+cas,ἀνᾴσσω,verb,zh/tei,ζητέω,verb,bo/as,βόα,noun,*)apo/llwnos,Ἀπόλλων,proper,ou)do\n,οὐδός,noun,u(perbai/nwn,ὑπερβαίνω,verb,u(yhrefe/os,ὑψηρεφής,adjective,a)/ntroio,ἄντρον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/nqa,ἔνθα,adverb,xe/lun,χέλυς,noun,eu(rw\n,εὑρίσκω,verb,e)kth/sato,κτάομαι,verb,muri/on,μυρίος,adjective,o)/lbon,ὄλβος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(ermh=s,Ἑρμῆς,proper,toi,τοι,particle,prw/tista,πρώτιστος,adjective,xe/lun,χέλυς,noun,tekth/nat',τεκταίνομαι,verb,a)oido/n,ἀοιδός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(/,ὅς,pronoun,r(a/,ἄρα,particle,oi(,ἕ,pronoun,a)ntebo/lhsen,ἀνταντιβολέω,verb,e)p',ἐπί,preposition,au)lei/h|si,αὔλειος,adjective,qu/rh|si,θύρα,noun,boskome/nh,βόσκω,verb,propa/roiqe,προπάροιθε,preposition,do/mwn,δόμος,noun,e)riqhle/a,ἐριθηλής,adjective,poi/hn,πόα,noun,sau=la,σαῦλος,adjective,posi\n,πούς,noun,bai/nousa,βαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dio\s,Ζεύς,proper,d',δέ,particle,e)riou/nios,ἐριούνης,noun,ui(o\s,υἱός,noun,a)qrh/sas,ἀθρέω,verb,e)ge/lasse,γελάω,verb,kai\,καί,conjunction,au)ti/ka,αὐτίκα,adverb,mu=qon,μῦθος,noun,e)/eipe,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
