word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/129/lemma/@_entry,word/129/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/37/lemma/@_entry,word/37/lemma/@_POS,word/91/lemma/@_entry,word/91/lemma/@_POS
pro\s,πρός,preposition,*pomph/i+on,Πομπήιος,proper,e)/oike,ἔοικα,verb,tou=to,οὗτος,pronoun,paqei=n,πάσχω,verb,o(,ὁ,article,*(rwmai/wn,dh=mos,δῆμος,noun,eu)qu\s,εὐθύς,adverb,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,o(/per,ὅσπερ,adjective,o(,ὁ,article,*ai)sxu/lou,Αἰσχύλος,proper,*promhqeu\s,Προμηθεύς,proper,pro\s,πρός,preposition,to\n,ὁ,article,*(hrakle/a,Ἡράκλεα,proper,swqei\s,σώζω,verb,u(p',ὑπό,preposition,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,le/gwn,λέγω,verb,e)xqrou=,ἐχθρός,adjective,patro/s,πατήρ,noun,moi,ἐγώ,pronoun,tou=to,οὗτος,pronoun,fi/ltaton,φίλτατος,adjective,te/knon,τέκνον,noun,ou)/te,οὔτε,adverb,ga\r,γάρ,particle,mi=sos,μῖσος,noun,ou(/tws,οὕτως,adverb,i)sxuro\n,ἰσχυρός,adjective,kai\,καί,conjunction,a)/grion,ἄγριος,adjective,e)pedei/canto,ἐπιδείκνυμι,verb,*(rwmai=oi,pro\s,πρός,preposition,e(/teron,ἕτερος,adjective,strathgo\n,στρατηγός,noun,w(s,ὡς,conjunction,to\n,ὁ,article,*pomphi/+ou,Πομπήιος,proper,pate/ra,πατήρ,noun,*stra/bwna,στράβων,noun,zw=ntos,ζάω,verb,me\n,μέν,particle,au)tou=,αὐτός,pronoun,fobou/menoi,φοβέω,verb,th\n,ὁ,article,e)n,ἐν,preposition,toi=s,ὁ,article,o(/plois,ὅπλον,noun,du/namin,δύναμις,adjective,h)=n,εἰμί,verb,ga\r,γάρ,particle,a)nh\r,ἀνήρ,noun,polemikw/tatos,πολεμικός,adjective,e)pei\,ἐπεί,conjunction,de\,δέ,particle,a)pe/qane,ἀποθνήσκω,verb,keraunwqei/s,κεραυνόω,verb,e)kkomizo/menon,ἐκκομίζω,verb,to\,ὁ,article,sw=ma,σῶμα,adjective,kataspa/santes,κατασπάω,verb,a)po\,ἀπό,preposition,tou=,ὁ,article,le/xous,λέχος,noun,kai\,καί,conjunction,kaqubri/santes,καθυβρίζω,verb,ou)/te,οὔτε,adverb,mh\n,μήν,particle,eu)/noian,εὔνοια,noun,au)=,αὖ,interjection,pa/lin,πάλιν,adverb,sfodrote/ran,σφοδρός,adjective,h)\,ἠέ,conjunction,qa=sson,θάσσων,adjective,a)rcame/nhn,ἄρχω,verb,h)\,ἠέ,conjunction,ma=llon,μᾶλλον,adverb,eu)tuxou=nti,εὐτυχέω,verb,sunakma/sasan,συνακμάζω,verb,h)\,ἠέ,conjunction,ptai/santi,πταίρω,verb,paramei/nasan,παραμένω,verb,bebaio/teron,βέβαιος,adjective,a)/llos,ἄλλος,adjective,e)/sxe,ἔχω,verb,*(rwmai/wn,h)\,ἠέ,conjunction,*pomph/i+os,Πομπήιος,proper,ai)ti/a,αἰτία,noun,de\,δέ,particle,tou=,ὁ,article,me\n,μέν,particle,mi/sous,μῖσος,noun,e)kei/nw|,ἐκεῖνος,pronoun,mi/a,εἷς,adjective,xrhma/twn,χρῆμα,adjective,a)/plhstos,ἄπληστος,adjective,e)piqumi/a,ἐπιθυμία,noun,tou/tw|,οὗτος,pronoun,de\,δέ,particle,pollai\,πολύς,adjective,tou=,ὁ,article,a)gapa=sqai,ἀγαπάω,verb,swfrosu/nh,σωφροσύνη,noun,peri\,περί,preposition,di/aitan,δίαιτα,noun,a)/skhsis,ἄσκησις,noun,e)n,ἐν,preposition,o(/plois,ὅπλον,noun,piqano/ths,πιθανότης,noun,lo/gou,λόγος,noun,pi/stis,πίστις,noun,h)/qous,ἦθος,adjective,eu)armosti/a,εὐαρμοστία,noun,pro\s,πρός,preposition,e)/nteucin,ἔντευξις,noun,w(s,ὡς,conjunction,mhdeno\s,μηδείς,pronoun,a)lupo/teron,ἄλυπος,adjective,dehqh=nai,δέω,verb,mhde\,μηδέ,particle,h(/dion,ἡδύς,adjective,u(pourgh=sai,ὑπουργέω,verb,deome/nw|,δέομαι,verb,,,,,,
prosh=n,πρόσειμι,verb,ga\r,γάρ,particle,au)tou=,αὐτός,pronoun,tai=s,ὁ,article,xa/risi,χάρις,noun,kai\,καί,conjunction,to\,a)nepaxqe\s,ἀνεπαχθής,adverb,dido/ntos,δίδωμι,verb,kai\,καί,conjunction,to\,ὁ,article,semno\n,σεμνός,adjective,lamba/nontos,λαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,
e)n,ἐν,preposition,a)rxh=|,ἀρχή,noun,de\,δέ,particle,kai\,καί,conjunction,th\n,ὁ,article,o)/yin,ὄψις,noun,e)/sxen,ou),οὐ,adverb,metri/ws,μέτριος,adjective,sundhmagwgou=san,συνδημαγωγέω,verb,kai\,καί,conjunction,proentugxa/nousan,προεντυγχάνω,verb,au(tou=,ἑαυτοῦ,pronoun,th=s,ὁ,article,fwnh=s,φωνή,noun,to\,ὁ,article,ga\r,γάρ,particle,e)ra/smion,ἐράσμιος,adjective,a)ciwmatiko\n,ἀξιωματικός,adjective,h)=n,εἰμί,verb,filanqrw/pws,φιλάνθρωπος,adjective,kai\,καί,conjunction,e)n,ἐν,preposition,tw=|,ὁ,article,nearw=|,νεαρός,adjective,kai\,καί,conjunction,a)nqou=nti,ἀνθέω,verb,die/fainen,διαφαίνω,verb,eu)qu\s,εὐθύς,adverb,h(,ὁ,article,a)kmh\,ἀκμή,noun,to\,ὁ,article,geraro\n,γεραρός,adjective,kai\,καί,conjunction,to\,ὁ,article,basiliko\n,βασιλικός,adjective,tou=,ὁ,article,h)/qous,h)=n,εἰμί,verb,de/,δέ,particle,tis,τις,pronoun,kai\,καί,conjunction,a)nastolh\,ἀναστολή,noun,th=s,ὁ,article,ko/mhs,κόμη,noun,a)tre/ma,ἀτρέμας,adverb,kai\,καί,conjunction,tw=n,ὁ,article,peri\,περί,preposition,ta\,ὁ,article,o)/mmata,ὄμμα,noun,r(uqmw=n,ῥυθμός,noun,u(gro/ths,ὑγρότης,noun,tou=,ὁ,article,prosw/pou,πρόσωπον,noun,poiou=sa,ποιέω,verb,ma=llon,μᾶλλον,adverb,legome/nhn,λέγω,verb,h)\,ἠέ,conjunction,fainome/nhn,φαίνω,verb,o(moio/thta,ὁμοιότης,noun,pro\s,πρός,preposition,ta\s,ὁ,article,*)aleca/ndrou,Ἀλέξανδρος,proper,tou=,ὁ,article,basile/ws,βασιλεύς,noun,ei)ko/nas,εἰκών,noun,h(=|,ὅς,pronoun,kai\,καί,conjunction,tou)/noma,ὄνομα,adjective,pollw=n,πολύς,adjective,e)n,ἐν,preposition,a)rxh=|,ἀρχή,noun,sunepifero/ntwn,συνεπιφέρω,verb,ou)k,οὐ,adverb,e)/feugen,φεύγω,verb,o(,ὁ,article,*pomph/i+os,Πομπήιος,proper,w(/ste,ὥστε,conjunction,kai\,καί,conjunction,xleua/zontas,χλευάζω,verb,au)to\n,αὐτός,pronoun,e)ni/ous,ἔνιοι,adjective,h)/dh,ἤδη,adverb,kalei=n,καλέω,verb,*)ale/candron,Ἀλέξανδρος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔχω,verb,ἦθος,adjective,,
dio\,διό,conjunction,kai\,καί,conjunction,*leu/kios,Λεύκιος,proper,*fi/lippos,Φίλιππος,proper,a)nh\r,ἀνήρ,noun,u(patiko/s,ὑπατικός,adjective,sunhgorw=n,au)tw=|,αὐτός,pronoun,mhde\n,μηδείς,pronoun,e)/fh,φημί,verb,poiei=n,ποιέω,verb,para/logon,παράλογος,adjective,ei),εἰ,conjunction,*fi/lippos,Φίλιππος,proper,w)\n,εἰμί,verb,filale/candro/s,φιλαλέξανδρος,adjective,e)stin,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,συνηγορέω,verb,,,,
*flw/ran,,,de\,δέ,particle,th\n,ὁ,article,e(tai/ran,ἑταίρα,noun,e)/fasan,φημί,verb,h)/dh,ἤδη,adverb,presbute/ran,ou)=san,εἰμί,verb,e)pieikw=s,ἐπιεικής,adjective,a)ei\,ἀεί,adverb,mnhmoneu/ein,μνημονεύω,verb,th=s,ὁ,article,genome/nhs,γίγνομαι,verb,au)th=|,αὐτός,pronoun,pro\s,πρός,preposition,*pomph/i+on,Πομπήιος,proper,o(mili/as,ὁμιλία,noun,le/gousan,λέγω,verb,w(s,ὡς,conjunction,ou)k,οὐ,adverb,h)=n,εἰμί,verb,e)kei/nw|,ἐκεῖνος,pronoun,sunanapausame/nhn,συναναπαύομαι,verb,a)dh/ktws,ἄδηκτος,adjective,a)pelqei=n,ἀπέρχομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πρέσβυς,noun,,,,
pro\s,πρός,preposition,de\,δέ,particle,tou/tois,οὗτος,pronoun,dihgei=sqai,διηγέομαι,verb,th\n,ὁ,article,*flw/ran,,,e)piqumh=sai/,tina,τις,pronoun,tw=n,ὁ,article,*pomphi/+ou,Πομπήιος,proper,sunh/qwn,σύνηθέω,verb,au)th=s,αὐτός,pronoun,*gemi/nion,,,kai\,καί,conjunction,pra/gmata,πρᾶγμα,noun,polla\,πολύς,adjective,pare/xein,παρέχω,verb,peirw=nta,πειράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπιθυμέω,verb,,,,
au)th=s,αὐτός,pronoun,de\,δέ,particle,fame/nhs,φημί,verb,ou)k,οὐ,adverb,a)\n,ἄν,particle,e)qelh=sai,ἐθέλω,verb,dia\,*pomph/i+on,Πομπήιος,proper,e)kei/nw|,ἐκεῖνος,pronoun,to\n,ὁ,article,*gemi/nion,,,diale/gesqai,διαλέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,διά,preposition,,,,
to\n,ὁ,article,ou)=n,οὖν,particle,*pomph/i+on,Πομπήιος,proper,e)pitre/yai,ἐπιτρέπω,verb,me\n,μέν,particle,tw=|,ὁ,article,*gemini/w|,mhke/ti,μηκέτι,adverb,de\,δέ,particle,au)to\n,αὐτός,pronoun,a(/yasqai,ἅπτω,verb,to\,ὁ,article,para/pan,παράπαν,adverb,mhde\,μηδέ,particle,e)ntuxei=n,ἐντυγχάνω,verb,au)th=|,αὐτός,pronoun,kai/per,καίπερ,particle,e)ra=n,ἐράω,verb,dokou=nta,δοκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,de\,δέ,particle,au)th\n,αὐτός,pronoun,ou)x,οὐ,adverb,e(tairikw=s,ἑταιρικός,adjective,e)negkei=n,φέρω,verb,a)lla\,polu\n,πολύς,adjective,u(po\,ὑπό,preposition,lu/phs,λύπη,noun,kai\,καί,conjunction,po/qou,πόθος,noun,xro/non,χρόνος,noun,nosh=sai,νοσέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἀλλά,adverb,,,,
kai/toi,καίτοι,particle,th\n,ὁ,article,*flw/ran,,,ou(/tw,οὕτως,adverb,le/gousin,λέγω,verb,a)nqh=sai,ἀνθέω,verb,kai\,gene/sqai,γίγνομαι,verb,peribo/hton,περιβόητος,adjective,w(/ste,ὥστε,conjunction,*keki/lion,,,*me/tellon,Μέτελλος,proper,a)ndria/si,,,kai\,καί,conjunction,grafai=s,γραφή,noun,kosmou=nta,κοσμέω,verb,to\n,ὁ,article,new\n,ναός,noun,tw=n,ὁ,article,*dioskou/rwn,Διόσκουροι,proper,ka)kei/nhs,ἐκεῖνος,pronoun,ei)ko/na,εἰκών,noun,graya/menon,γράφω,verb,a)naqei=nai,ἀνατίθημι,verb,dia\,διά,preposition,to\,ὁ,article,ka/llos,κάλλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,
