word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/3/lemma/@_entry,word/3/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwgra/fou,ζώγραφος,noun,tino/s,τις,pronoun,w)=,ὦ,interjection,*kafeisi/a,me/mnhmai/,μιμνήσκω,verb,peri\,περί,preposition,tw=n,ὁ,article,qewme/nwn,θεάομαι,verb,tou\s,ὁ,article,gegramme/nous,γράφω,verb,pi/nakas,πίναξ,adjective,lo/gon,λόγος,noun,ou),οὐ,adverb,fau=lon,φαῦλος,adjective,a)kou/sas,ἀκέω,verb,e)n,ἐν,preposition,ei)ko/ni,εἰκών,noun,lelegme/non,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/fh,φημί,verb,ga\r,γάρ,particle,e)oike/nai,ἔοικα,verb,tou\s,me\n,μέν,particle,i)diw/tas,ἰδιώτης,noun,kai\,καί,conjunction,a)te/xnous,ἄτεχνος,adverb,qeata\s,θεατός,adjective,o)/xlon,ὄχλος,noun,o(msu=,,,polu\n,πολύς,adjective,a)spazome/nois,ἀσπάζομαι,verb,tou\s,ὁ,article,de\,δέ,particle,komyou\s,κομψός,adjective,kai\,καί,conjunction,filote/xnous,φιλότεχνος,adjective,ὁ,article,kaq',κατά,preposition,e(/kaston,ἕκαστος,adjective,i)di/a|,ἴδιος,adjective,tw=n,ὁ,article,e)ntugxano/ntwn,ἐντυγχάνω,verb,prosagoreu/ousi,προσαγορεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toi=s,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,ou)k,a)kribh\s,ἀκριβής,adjective,a)lla\,ἀλλά,adverb,tu/pw|,τύπον,noun,tini\,τις,pronoun,gi/gnetai,γίγνομαι,verb,mo/non,μόνος,adjective,h(,ὁ,article,tw=n,ὁ,article,a)potelesma/twn,ἀποτέλεσμα,noun,su/noyis,σύνοψις,noun,tou\s,ὁ,article,de\,δέ,particle,th=|,ὁ,article,kri/sei,κρίσις,adjective,οὐ,adverb,kata\,κατά,preposition,me/ros,μέρος,noun,to\,ὁ,article,e)/rgon,ἔργον,noun,dialamba/nontas,διαλαμβάνω,verb,ou)de\n,οὐδείς,pronoun,a)qe/aton,ἀθέατος,adjective,ou)d',οὐδέ,particle,a)prosfw/nhton,ἀπροσφώνητος,adjective,e)kfeu/gei,ἐκφεύγω,verb,tw=n,ὁ,article,kalw=s,καλός,noun,h)\,ἠέ,conjunction,tou)nanti/on,ἐναντίον,adverb,gegono/twn,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi)=mai,οἴομαι,verb,dh\,δή,particle,kai\,καί,conjunction,peri\,ta\s,ὁ,article,a)lhqina\s,ἀληθινός,adjective,pra/ceis,πρᾶξις,adjective,o(moi/ws,ὅμοιος,adjective,tw=|,ὁ,article,me\n,μέν,particle,a)rgote/rw|,ἀργός,adjective,th\n,ὁ,article,dia/noian,διάνοια,noun,e)carkei=n,ἐξαρκέω,verb,pro\s,πρός,preposition,i(stori/an,ἱστορία,noun,ei),εἰ,conjunction,to\,ὁ,article,περί,preposition,kefa/laion,κεφάλαιος,adjective,au)to\,αὐτός,pronoun,kai\,καί,conjunction,to\,ὁ,article,pe/ras,πέρας,noun,pu/qoito,πύθω,verb,tou=,ὁ,article,pra/gmatos,πρᾶγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\n,ὁ,article,de\,δέ,particle,filo/timon,φιλότιμος,adjective,kai\,filo/kalon,φιλόκαλος,adjective,tw=n,ὁ,article,u(pe\r,ὑπέρ,preposition,a)reth=s,ἀρετή,noun,w(/sper,ὥσπερ,adverb,te/xnhs,τέχνη,noun,mega/lhs,μέγας,adverb,a)peirgasme/nwn,ἀπεργάζομαι,verb,qeath\n,θεατής,noun,ta\,ὁ,article,kaq',κατά,preposition,e(/kasta,ἕκαστος,adjective,ma=llon,μᾶλλον,adverb,eu)frai/nein,εὐφραίνω,verb,καί,conjunction,tw=|,ὁ,article,me\n,μέν,particle,tou=,ὁ,article,te/lous,τέλος,noun,polla\,πολύς,adjective,koina\,κοινός,adjective,pro\s,πρός,preposition,th\n,ὁ,article,tu/xhn,τύχη,noun,e)/xontos,ἔχω,verb,to\n,ὁ,article,d',δέ,particle,e)n,ἐν,preposition,tai=s,ὁ,article,ai)ti/ais,αἰτία,noun,kai\,καί,conjunction,toi=s,ὁ,article,e)pi\,ἐπί,preposition,me/rous,μέρος,noun,a)gw=nas,ἀγών,noun,a)reth=s,ἀρετή,noun,pro\s,πρός,preposition,ta\,ὁ,article,suntugxa/nonta,συντυγχάνω,verb,kai\,καί,conjunction,to/lmas,τόλμα,noun,e)/mfronas,ἔμφρων,adjective,para\,παρά,preposition,ta\,ὁ,article,deina\,δεινός,adjective,kaqorw=nta,καθοράω,verb,kairw=|,καιρός,noun,kai\,καί,conjunction,pa/qei,πάθος,adjective,memigme/nou,μίγνυμι,verb,logismou=,λογισμός,noun,tou\tou,οὗτος,pronoun,dh\,δή,particle,tou=,ὁ,article,ge/nous,γένος,noun,tw=n,ὁ,article,qeatw=n,θεατής,noun,kai\,καί,conjunction,h(ma=s,ἐγώ,pronoun,u(polamba/nwn,ὑπολαμβάνω,verb,ei)=nai,εἰμί,verb,di/elqe/,διέρχομαι,verb,te,τε,particle,th\n,ὁ,article,pra=cin,πρᾶξις,adjective,h(mi=n,ἐγώ,pronoun,a)p',ἀπό,preposition,a)rxh=s,ἀρχή,noun,w(s,ὡς,conjunction,e)pra/xqh,πράσσω,verb,kai\,καί,conjunction,tou\s,ὁ,article,lo/gous,λόγος,noun,ou(\s,ὅς,pronoun,ei)ko\s,ἔοικα,verb,gene/sqai,γίγνομαι,verb,sou=,σύ,pronoun,paro/ntos,πάρειμι,verb,w(s,ὡς,conjunction,e)mou=,ἐγώ,pronoun,mhd',μηδέ,particle,a)\n,ἄν,particle,ei)s,εἰς,preposition,*qh/bas,Θήβη,proper,e)pi\,ἐπί,preposition,tou/tw|,οὗτος,pronoun,katoknh/santos,κατοκνέω,verb,e)lqei=n,ἔρχομαι,verb,ei),εἰ,conjunction,mh\,μή,conjunction,kai\,καί,conjunction,nu=n,νῦν,adverb,*)aqhnai/ois,Ἀθήναια,proper,pe/ra,πέρα,adjective,tou=,ὁ,article,de/ontos,δέω,verb,e)do/koun,δοκέω,verb,boiwtia/zein,Βοιωτιάζω,verb,,,
a)ll',ἀλλά,adverb,e)/dei,δέω,verb,me/n,μέν,particle,w)=,*)arxi/dame,Ἀρχίδαμος,proper,sou=,σύ,pronoun,di',διά,preposition,eu)/noian,εὔνοια,noun,ou(/tw,οὕτως,adverb,proqu/mws,πρόθυμος,adjective,ta\,ὁ,article,pepragme/na,πράσσω,verb,maqei=n,μανθάνω,verb,spouda/zontos,σπουδάζω,verb,e)me\,ἐγώ,pronoun,kai\,καί,conjunction,a)sxoli/as,ἀσχολία,noun,u(pe/rteron,ὑπέρτερος,adjective,ὦ,interjection,qe/sqai,τίθημι,verb,kata\,κατά,preposition,*pi/ndaron,Πίνδαρος,proper,to\,ὁ,article,deu=r',δεῦρο,adverb,e)lqei=n,ἔρχομαι,verb,e)pi\,ἐπί,preposition,th\n,ὁ,article,dih/ghsin,διήγησις,noun,to\,ὁ,article,de\,δέ,particle,presbei/as,πρέσβεια,noun,a)figme/nous,ἀφίζω,verb,e(/neka,ἕνεκα,preposition,kai\,καί,conjunction,sxolh\n,σχολή,noun,a)/gontas,ἄγω,verb,a)/xri,ἄχρι,adverb,ou(=,ἕ,pronoun,ta\s,ὁ,article,a)pokri/seis,ἀπόκρισις,noun,tou=,ὁ,article,dh/mou,δῆμος,noun,la/bwmen,λαμβάνω,verb,a)ntitei/nein,ἀντιτείνω,verb,kai\,καί,conjunction,a)groiki/zesqai,ἀγροικίζομαι,verb,pro\s,πρός,preposition,eu)gnw/mona,εὐγνώμων,adjective,kai\,καί,conjunction,file/tairon,φιλέταιρος,adjective,do/ceien,δοκέω,verb,a)\n,ἄν,particle,e)gei/rein,ἐγείρω,verb,to\,ὁ,article,kata\,κατά,preposition,*boiwtw=n,Βοιωτός,proper,a)rxai=on,ἀρχαῖος,adjective,ei)s,εἰς,preposition,misologi/an,μισολογία,noun,o)/neidos,ὄνειδος,noun,h)/dh,ἤδη,adverb,maraino/menon,μαραίνω,verb,para\,παρά,preposition,*swkra/th,Σωκράτης,proper,to\n,ὁ,article,u(me/teron,ὑμέτερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(mei=s,ἐγώ,pronoun,de\,δέ,particle,para\,παρά,preposition,*lu=sin,to\n,ὁ,article,i(ero\n,ἱερόν,noun,spouda/zontes,σπουδάζω,verb,ou(/tw,οὕτως,adverb,diefa/nhmen,διαφαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,Λῦσις,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ll',ἀλλά,adverb,o(/ra,ὁράω,verb,tou\s,ὁ,article,paro/ntas,ei),εἰ,conjunction,pro\s,πρός,preposition,a)kro/asin,ἀκρόασις,noun,a(/ma,ἅμα,adverb,pra/cewn,πρᾶξις,adjective,kai\,καί,conjunction,lo/gwn,λόγος,noun,tosou/twn,τοσοῦτος,adjective,eu)kai/rws,εὔκαιρος,adjective,e)/xousin,ἔχω,verb,,,,,,,,,,,,,πάρειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,braxu\,βραχύς,adjective,mh=ko/s,e)sti,εἰμί,verb,th=s,ὁ,article,dihgh/sews,διήγησις,noun,e)pei\,ἐπεί,conjunction,su\,σύ,pronoun,kai\,καί,conjunction,tou\s,ὁ,article,lo/gous,λόγος,noun,prosperibale/sqai,προσπεριβάλλω,verb,keleu/eis,κελεύω,verb,,,,,,,,,,,,,μῆκος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
