word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS
h(gei/sqw,ἡγέομαι,verb,me\n,μέν,particle,au)to\s,αὐτός,pronoun,*)asklhpio\s,Ἀσκληπιός,proper,o(,ὁ,article,fh/nas,φήνη,noun,to\,ὁ,article,o)/nar,ὄναρ,noun,h(gei/sqw,ἡγέομαι,verb,de\,δέ,particle,*dio/nusos,Διόνυσος,proper,au)to\s,αὐτός,pronoun,w(=|,ὅς,pronoun,xoreu=sai,χορεύω,verb,dei=,δέομαι,verb,*)apo/llwn,Ἀπόλλων,proper,te,τε,particle,moushge/ths,Μουσαγέτης,proper,tou=,ὁ,article,me\n,μέν,particle,path\r,πατήρ,noun,tou=,ὁ,article,de\,δέ,particle,a)delfo\s,ἀδελφός,adjective,w(s,ὡς,conjunction,lo/gos,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou\s,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,tele/ous,τέλειος,adjective,u(/mnous,ὕμνος,noun,te,τε,particle,kai\,καί,conjunction,lo/gous,λόγος,noun,peri\,περί,preposition,*dionu/sou,Διόνυσος,proper,*)orfei=,Ὀρφεύς,adverb,kai\,καί,conjunction,*mousai/w|,Μουσαῖος,proper,parw=men,πάρειμι,verb,kai\,καί,conjunction,toi=s,ὁ,article,a)rxai/ois,ἀρχαῖος,adjective,tw=n,ὁ,article,nomoqetw=n,νομοθέτης,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)toi\,αὐτός,pronoun,de\,δέ,particle,w(sperei\,ὥσπερ,adverb,sumbo/lou,σύμβολον,noun,xa/rin,χάρις,noun,w(s,ὡς,conjunction,ou),οὐ,adverb,tw=n,ὁ,article,a)muh/twn,ἀμύητος,adjective,a)/r',ἄρα,particle,h)=men,εἰμί,verb,summe/trw|,σύμμετρος,adverb,th=|,ὁ,article,fwnh=|,φωνή,noun,prosei/pwmen,προσεῖπον,verb,to\n,ὁ,article,qeo/n,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/ntws,πάντως,adverb,de\,δέ,particle,kai\,καί,conjunction,mh/kh,μῆκος,adjective,kai\,καί,conjunction,braxu/thtes,βραχύτης,adjective,kai\,καί,conjunction,o(tiou=n,ὁτιοῦν,adverb,tw=n,ὁ,article,e)n,ἐν,preposition,th=|,ὁ,article,fu/sei,φύσις,noun,fi/lon,φίλος,adjective,au)tw=|,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/,καί,conjunction,pws,πως,particle,kai\,καί,conjunction,ta\,ὁ,article,e)k,ἐκ,preposition,tou=,ὁ,article,o)nei/ratos,ὄνειρος,noun,sumbai/nei,συμβαίνω,verb,to\,ὁ,article,dei=n,δέω,verb,ei)=nai,εἰμί,verb,polumhxa/nous,πολυμήχανος,adverb,peri\,περί,preposition,tou\s,ὁ,article,lo/gous,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*zeu\s,Ζεύς,proper,*seme/lh|,Σεμέλη,proper,suggi/gnetai,συγγίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)peidh\,ἐπεί,conjunction,e)ku/ei,κυέω,verb,h(,ὁ,article,*seme/lh,Σεμέλη,proper,o(,ὁ,article,*zeu\s,Ζεύς,proper,boulo/menos,βούλομαι,verb,a)mfo/tera,ἀμφότερος,adjective,au)to\s,αὐτός,pronoun,w(=|,ὅς,pronoun,*dionu/sw|,Διόνυσος,proper,gene/sqai,γίγνομαι,verb,path/r,πατήρ,noun,te,τε,particle,kai\,καί,conjunction,mh/thr,μήτηρ,noun,th\n,ὁ,article,me\n,μέν,particle,*seme/lhn,Σεμέλη,proper,e)k,ἐκ,preposition,th=s,ὁ,article,gh=s,γῆ,noun,ei)s,εἰς,preposition,to\n,ὁ,article,*)/olumpon,Ὄλυμπος,proper,komi/zei,κομίζω,verb,dia\,διά,preposition,puro\s,πῦρ,noun,au)to\s,αὐτός,pronoun,de\,δέ,particle,a)nalabw\n,ἀναλαμβάνω,verb,ta\s,ὁ,article,au(tou=,ἑαυτοῦ,pronoun,gona\s,γονή,noun,e)rraya/menos,ἐνράπτω,verb,tw=|,ὁ,article,mhrw=|,μηρός,noun,e)fo/rei,ἐφοράω,verb,de/ka,δέκα,verb,mh=nas,μείς,adjective,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,di/aitan,δίαιτα,noun,e)/xwn,ἔχω,verb,e)n,ἐν,preposition,*nu/sh|,Νύση,proper,th=|,ὁ,article,u(pe\r,ὑπέρ,preposition,*ai)qiopi/as,Αἰθιόπιος,proper
kai\,καί,conjunction,e)peidh\,ἐπεί,conjunction,w(rai=on,ὡραῖος,adjective,h)=n,εἰμί,verb,kale/sas,καλέω,verb,ta\s,ὁ,article,*nu/mfas,Νύμφης,proper,lu/ei,λύω,verb,to\,ὁ,article,r(a/mma,ῥάμμα,noun,kai\,καί,conjunction,gi/gnetai,γίγνομαι,verb,dh\,δή,particle,ou(/tws,οὕτως,adverb,o(,ὁ,article,*dio/nusos,Διόνυσος,proper,dixo/qen,διχόθεν,adverb,prosh/kwn,προσήκω,verb,tw=|,ὁ,article,patri/,πατήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tw,οὕτως,adverb,dh/,δή,particle,ti,τις,pronoun,diafero/ntws,διαφερόντως,adverb,au)to\n,αὐτός,pronoun,o(,ὁ,article,*zeu\s,Ζεύς,proper,e)ti/mhse,τιμάω,verb,para\,παρά,preposition,pa/ntas,πᾶς,adjective,qeou/s,θεός,noun,te,τε,particle,kai\,καί,conjunction,a)nqrw/pous,ἄνθρωπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/te,οὔτε,adverb,ga\r,γάρ,particle,au)to\s,αὐτός,pronoun,a)/llw|,ἄλλος,adjective,tw|,τις,pronoun,tau=ta,οὗτος,pronoun,a)/mfw,ἄμφω,noun,kate/sth,καθίστημι,verb,ou)/te,οὔτε,adverb,a)/llos,ἄλλος,adjective,a)/llw|,ἄλλος,adjective,tw|,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
