word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/29/lemma/@_entry,word/29/lemma/@_POS
peri\,περί,preposition,*deina/rxou,Δείναρχος,proper,tou=,ὁ,article,r(h/toros,ῥήτωρ,noun,ou)de\n,οὐδείς,pronoun,ei)rhkw\s,ἐρῶ,verb,e)n,ἐν,preposition,toi=s,ὁ,article,peri\,περί,preposition,tw=n,ὁ,article,a)rxai/wn,ἀρχαῖος,adjective,grafei=sin,γράφος,adjective,dia\,διά,preposition,to\,ὁ,article,mh/te,μήτε,particle,eu(reth\n,εὑρετής,noun,i)di/ou,ἴδιος,adjective,gegone/nai,γίγνομαι,verb,xarakth=ros,χαρακτήρ,noun,to\n,ὁ,article,a)/ndra,ἀνήρ,noun,w(/sper,ὥσπερ,adverb,to\n,ὁ,article,*lusi/an,Λυσίας,proper,kai\,καί,conjunction,to\n,ὁ,article,*)isokra/thn,Ἰσοκράτης,proper,kai\,καί,conjunction,to\n,ὁ,article,*)isai=on,mh/te,μήτε,particle,tw=n,ὁ,article,eu(rhme/nwn,εὑρίσκω,verb,e(te/rois,ἕτερος,adjective,teleiwth/n,τελειωτής,noun,w(/sper,ὥσπερ,adverb,to\n,ὁ,article,*dhmosqe/nh,Δημοσθένης,proper,kai\,καί,conjunction,to\n,ὁ,article,*ai)sxi/nh,Αἰσχίνης,proper,kai\,καί,conjunction,to\n,ὁ,article,*(uperei/dhn,Ὑπερείδης,proper,h(mei=s,ἐγώ,pronoun,kri/nomen,κρίνω,verb,o(rw=n,ὁράω,verb,de\,δέ,particle,kai\,καί,conjunction,tou=ton,οὗτος,pronoun,to\n,ὁ,article,a)/ndra,ἀνήρ,noun,para\,παρά,preposition,polloi=s,πολύς,adjective,h)ciwme/non,ἀξιόω,verb,o)no/matos,ὄνομα,adjective,e)pi\,ἐπί,preposition,deino/thti,δεινότης,noun,lo/gwn,λόγος,noun,kai\,καί,conjunction,a)poleloipo/ta,ἀπολείπω,verb,dhmosi/ous,δημόσιος,adjective,te,τε,particle,kai\,καί,conjunction,i)di/ous,ἴδιος,adjective,lo/gous,λόγος,noun,ou)/te,οὔτε,adverb,o)li/gous,ὀλίγος,adjective,ou)/t',οὔτε,adverb,eu)katafronh/tous,εὐκαταφρόνητος,adjective,h(ghsa/mhn,ἁγέομαι,verb,dei=n,δέω,verb,mh\,μή,conjunction,paralipei=n,παραλείπω,verb,au)to/n,αὐτός,pronoun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,peri\,περί,preposition,tou=,ὁ,article,bi/ou,βίος,adjective,kai\,καί,conjunction,tou=,ὁ,article,xarakth=ros,χαρακτήρ,noun,au)tou=,αὐτός,pronoun,dielqei=n,διέρχομαι,verb,kai\,καί,conjunction,diori/sai,διορίζω,verb,tou/s,ὁ,article,te,τε,particle,gnhsi/ous,γνήσιος,adjective,kai\,καί,conjunction,yeudei=s,ψευδής,adverb,lo/gous,λόγος,noun,pa/ntwn,πᾶς,adjective,h)\,ἠέ,conjunction,tw=n,ὁ,article,ge,γε,particle,plei/stwn,πλεῖστος,adjective,a)nagkaio/teron,ἀναγκαῖος,adjective,oi)=mai,οἴομαι,verb,toi=s,ὁ,article,mh\,μή,conjunction,e)k,ἐκ,preposition,perizw/matos,περίζωμα,noun,a)skou=si,ἀσκέω,verb,r(htorikh/n,ῥητορικός,adjective,,
a(/ma,ἅμα,adverb,de\,δέ,particle,o(rw=n,ὁράω,verb,ou)de\n,οὐδείς,pronoun,a)kribe\s,ἀκριβής,adjective,ou)/te,οὔτε,adverb,*kalli/maxon,Καλλίμαχος,proper,ou)/te,οὔτε,adverb,tou\s,ὁ,article,e)k,ἐκ,preposition,*perga/mou,Πέργαμον,proper,grammatikou\s,γραμματικός,adjective,peri\,περί,preposition,au)tou=,αὐτός,pronoun,gra/yantas,γράφω,verb,a)lla\,ἀλλά,adverb,para\,παρά,preposition,to\,ὁ,article,mhde\n,μηδείς,pronoun,e)ceta/sai,ἐξετάζω,verb,peri\,περί,preposition,au)tou=,αὐτός,pronoun,tw=n,ὁ,article,a)kribeste/rwn,ἀκριβής,adjective,h(marthko/tas,ἁμαρτάνω,verb,w(s,ὡς,conjunction,mh\,μή,conjunction,mo/non,μόνος,adjective,e)yeu=sqai,ψεύδω,verb,polla\,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,lo/gous,λόγος,noun,tou\s,ὁ,article,ou)de\n,οὐδείς,pronoun,me\n,μέν,particle,au)tw=|,αὐτός,pronoun,prosh/kontas,προσήκω,verb,w(s,ὡς,conjunction,*deina/rxou,Δείναρχος,proper,tou/tw|,οὗτος,pronoun,prosti/qesqai,προστίθημι,verb,tou\s,ὁ,article,d',δέ,particle,u(p',ὑπό,preposition,au)tou=,αὐτός,pronoun,grafe/ntas,γράφω,verb,e(te/rwn,ἕτερος,adjective,ei)=nai,εἰμί,verb,le/gein,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,πολύς,adjective
a)lla\,ἀλλά,adverb,*dhmh/trios,Δημήτριος,proper,o(,ὁ,article,*ma/gnhs,Μάγνης,proper,o(\s,ὅς,pronoun,e)/doce,δοκέω,verb,gene/sqai,γίγνομαι,verb,polui(/stwr,,,e)n,ἐν,preposition,th=|,ὁ,article,peri\,περί,preposition,tw=n,ὁ,article,o(mwnu/mwn,ὁμώνυμος,adjective,pragmatei/a|,πραγματεία,noun,le/gwn,λέγω,verb,kai\,καί,conjunction,peri\,περί,preposition,tou/tou,οὗτος,pronoun,tou=,ὁ,article,a)ndro\s,ἀνήρ,noun,kai\,καί,conjunction,u(po/lhyin,ὑπόληψις,noun,parasxw/n,παρέχω,verb,w(s,ὡς,conjunction,peri\,περί,preposition,au)tou=,αὐτός,pronoun,le/cwn,λέγω,verb,ti,τις,pronoun,a)kribe/s,ἀκριβής,adjective,dieyeu/sqh,th=s,ὁ,article,do/chs,δόξα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,διαψεύδω,verb
ou)qe\n,οὐδείς,pronoun,de\,δέ,particle,kwlu/ei,κωλύω,verb,kai\,καί,conjunction,ta\s,ὁ,article,le/ceis,λέγω,verb,paraqe/sqai,παρατίθημι,verb,tou=,ὁ,article,a)ndro/s,ἀνήρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,de\,δέ,particle,ta\,ὁ,article,u(p',ὑπό,preposition,au)tou=,αὐτός,pronoun,grafe/nta,γράφω,verb,ta/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*deina/rxois,Δείναρχος,proper,d',δέ,particle,e)netu/xomen,ἐντυγχάνω,verb,te/ttarsin,τέσσαρες,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=n,ὅς,pronoun,e)stin,εἰμί,verb,o(\,ὅς,pronoun,me\n,μέν,particle,e)k,ἐκ,preposition,tw=n,ὁ,article,r(hto/rwn,ῥήτωρ,noun,tw=n,ὁ,article,*)attikw=n,Ἀττικός,adjective,o(\,ὅς,pronoun,de\,δέ,particle,ta\s,ὁ,article,peri\,περί,preposition,*krh/thn,Κρήτη,proper,sunagh/oxe,συνάγω,verb,muqologi/as,μυθολογία,noun,o(\,ὅς,pronoun,de\,δέ,particle,presbu/teros,πρέσβυς,noun,me\n,μέν,particle,a)mfoi=n,ἄμφω,noun,tou/toin,οὗτος,pronoun,*dh/lios,Δήλιος,proper,de\,δέ,particle,to\,ὁ,article,ge/nos,γένος,noun,pepragmateume/nos,πραγματεύομαι,verb,tou=to,οὗτος,pronoun,me\n,μέν,particle,e)/pos,tou=to,οὗτος,pronoun,de\,δέ,particle,pra/gmata,πρᾶγμα,noun,te/tartos,τέταρτος,adjective,de\,δέ,particle,o(,ὁ,article,peri\,περί,preposition,*(omh/rou,Ὅμηρος,proper,lo/gon,λόγος,noun,sunteqeikw/s,συντίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἔπος,adjective
e)qe/lw,ἐθέλω,verb,de\,δέ,particle,pro\s,πρός,preposition,me/ros,μέρος,noun,peri\,περί,preposition,e(ka/stou,ἕκαστος,adjective,dielqei=n,διέρχομαι,verb,kai\,καί,conjunction,prw=ton,πρότερος,adjective,peri\,περί,preposition,tou=,ὁ,article,r(h/toros,ῥήτωρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,toi/nun,τοίνυν,particle,ou(=tos,οὗτος,pronoun,kata/,κατά,preposition,ge,γε,particle,th\n,ὁ,article,e)mh\n,ἐμός,adjective,do/can,δόξα,noun,ou)de\n,οὐδείς,pronoun,a)polei/pwn,ἀπολείπω,verb,th=s,ὁ,article,*(uperei/dou,Ὑπερείδης,proper,xa/ritos,χάρις,noun,w(/st',ὥστε,conjunction,ei)pei=n,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,nu/,νῦν,adverb,ken,ἄν,particle,h)\,ἠέ,conjunction,pare/lassen,παρελαύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
