word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/17/lemma/@_entry,word/17/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/37/lemma/@_entry,word/37/lemma/@_POS,word/39/lemma/@_entry,word/39/lemma/@_POS,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/42/lemma/@_entry,word/42/lemma/@_POS,word/49/lemma/@_entry,word/49/lemma/@_POS,word/65/lemma/@_entry,word/65/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS
*)illuriou\s,Ἰλλυριός,proper,*(/ellhnes,Ἕλλην,proper,h(gou=ntai,ἡγέομαι,verb,tou\s,ὁ,article,u(pe/r,ὑπέρ,preposition,te,τε,particle,*makedoni/an,Μακεδονία,proper,kai\,καί,conjunction,*qra/|khn,Θρᾴκη,proper,a)po\,ἀπό,preposition,*xao/nwn,Χάων,proper,kai\,καί,conjunction,*qesprwtw=n,Θεσπρωτός,proper,e)pi\,ἐπί,preposition,potamo\n,ποταμός,noun,*)/istron,Ἴστρος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou=t',οὗτος,pronoun,e)sti\,εἰμί,verb,th=s,ὁ,article,xw/ras,χώρα,noun,to\,ὁ,article,mh=kos,μῆκος,adjective,eu)=ros,εὖρος,noun,d',δέ,particle,e)k,ἐκ,preposition,*makedo/nwn,Μακεδών,proper,te,τε,particle,kai\,καί,conjunction,*qra|kw=n,Θράκιος,proper,tw=n,ὁ,article,o)rei/wn,ὄρειος,adjective,e)pi\,ἐπί,preposition,*paionas,kai\,καί,conjunction,to\n,ὁ,article,*)io/nion,Ἰόνιος,proper,kai\,καί,conjunction,ta\,ὁ,article,pro/poda,πρόπους,noun,tw=n,ὁ,article,*)/alpewn,Ἄλπις,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)/sti,εἰμί,verb,to\,ὁ,article,me\n,μέν,particle,eu)=ros,εὖρος,noun,h(merw=n,ἡμέρα,noun,pe/nte,πέντε,adverb,to\,ὁ,article,de\,δέ,particle,mh=kos,μῆκος,adjective,tria/konta,τριάκοντα,noun,kaqa\,καθά,adverb,kai\,καί,conjunction,toi=s,ὁ,article,*(/ellhsin,Ἕλλην,proper,ei)/rhtai,ἔρομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(rwmai/wn,,,de\,δέ,particle,th\n,ὁ,article,xw/ran,χώρα,noun,metrhsame/nwn,μετρέω,verb,e)/stin,εἰμί,verb,u(pe\r,ὑπέρ,preposition,e(cakisxili/ous,ἑξακισχίλιοι,adjective,stadi/ous,στάδιον,noun,to\,ὁ,article,mh=kos,μῆκος,adjective,kai\,καί,conjunction,to\,ὁ,article,pla/tos,πλάτος,adjective,a)mfi\,ἀμφί,preposition,tou\s,ὁ,article,xili/ous,χίλιοι,adjective,kai\,diakosi/ous,διακόσιοι,adjective,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fasi\,φημί,verb,de\,δέ,particle,th\n,ὁ,article,me\n,μέν,particle,xw/ran,χώρα,noun,e)pw/numon,ἐπώνυμος,adjective,*)illuriou=,Ἰλλυριός,proper,tou=,ὁ,article,*polufh/mou,Πολύφημος,proper,gene/sqai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*polufh/mw|,Πολύφημος,proper,ga\r,γάρ,particle,tw=|,ὁ,article,*ku/klwpi,Κύκλωψ,proper,kai\,καί,conjunction,*galatei/a|,Γαλάτεια,proper,*kelto\n,Κελτός,proper,kai\,καί,conjunction,*)illurio\n,Ἰλλυριός,proper,kai\,καί,conjunction,*ga/lan,,,pai=das,παῖς,adjective,o)/ntas,εἰμί,verb,e)cormh=sai,ἐξορμάω,verb,*sikeli/as,Σικελία,proper,kai\,καί,conjunction,a)/rcai,ἄρχω,verb,tw=n,di',διά,preposition,au)tou\s,αὐτός,pronoun,*keltw=n,Κελτός,proper,kai\,καί,conjunction,*)illuriw=n,Ἰλλυρία,proper,kai\,καί,conjunction,*galatw=n,Γαλάται,proper,legome/nwn,λέγω,verb,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,to/de,ὅδε,pronoun,moi,ἐγώ,pronoun,ma/lista,μάλιστα,adverb,polla\,πολύς,adjective,muqeuo/ntwn,μυθεύω,verb,e(/tera,ἕτερος,adjective,pollw=n,πολύς,adjective,a)re/skei,ἀρέσκω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)illuriw=|,Ἰλλυριός,proper,de\,δέ,particle,pai=das,παῖς,adjective,*)egxe/lea,Ἐγχέλεος,proper,kai\,καί,conjunction,*au)tarie/a,,,kai\,καί,conjunction,*da/rdanon,Δάρδανος,proper,kai\,καί,conjunction,*mai=don,,,kai\,καί,conjunction,*tau/lanta,,,kai\,καί,conjunction,*perraibo\n,Περραιβός,proper,gene/sqai,γίγνομαι,verb,kai\,καί,conjunction,qugate/ras,θυγάτηρ,adjective,*parqw\,kai\,καί,conjunction,*daorqw\,,,kai\,καί,conjunction,*dassarw\,,,kai\,καί,conjunction,e(te/ras,ἕτερος,adjective,o(/qen,ὅθεν,adverb,ei)si\,εἰμί,verb,,,*taula/ntioi/,Ταυλάντιος,proper,te,τε,particle,kai\,καί,conjunction,*perraiboi\,Περραιβός,proper,kai\,καί,conjunction,*)egxe/lees,ἔγχελυς,noun,kai\,καί,conjunction,*au)tariei=s,kai\,καί,conjunction,*da/rdanoi,Δάρδανος,proper,kai\,καί,conjunction,*parqhnoi\,kai\,καί,conjunction,*dassarh/tioi,kai\,καί,conjunction,*da/rsioi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*au)tariei=,,,de\,δέ,particle,au)tw=|,αὐτός,pronoun,*panno/nion,,,h(gou=ntai,ἡγέομαι,verb,pai=da,παῖς,adjective,h)\,ἠέ,conjunction,*pai/ona,Παίων,proper,gene/sqai,γίγνομαι,verb,kai\,καί,conjunction,*skordi/skon,,,*pai/oni,Παίων,proper,kai\,καί,conjunction,*triballo/n,Τριβαλλός,proper,w(=n,ὅς,pronoun,o(moi/ws,ὅμοιος,adjective,ta\,ὁ,article,e)/qnh,parw/numa,παρώνυμος,adjective,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,ἔθνος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ta/de,ὅδε,pronoun,me\n,μέν,particle,toi=s,ὁ,article,a)rxaiologou=si,ἀρχαιολογέω,verb,meqei/sqw,μεθίημι,verb,ge/nh,γένος,noun,d',δέ,particle,e)/stin,εἰμί,verb,*)illuriw=n,Ἰλλυρία,proper,w(s,ὡς,conjunction,e)n,ἐν,preposition,tosh=|de,τοσόσδε,adjective,xw/ra|,χώρα,noun,polla/,πολύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
