word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/48/lemma/@_entry,word/48/lemma/@_POS,word/60/lemma/@_entry,word/60/lemma/@_POS
e(/lkea,ἕλκος,noun,cu/mpanta,σύμπας,adjective,ou),οὐ,adverb,xrh\,χρή,verb,te/ggein,τέγγω,verb,plh\n,πλήν,preposition,oi)/nw|,οἶνον,noun,h)\n,ἐάν,conjunction,mh\,μή,conjunction,e)n,ἐν,preposition,a)/rqrw|,ἄρθρον,noun,e)/h|,εἰμί,verb,to\,ὁ,article,e(/lkos,ἕλκος,noun,to\,ὁ,article,ga\r,γάρ,particle,chro\n,ξηρός,adjective,tou=,ὁ,article,u(gie/os,ὑγιής,adverb,e)ggute/rw,ἐγγύτερος,adjective,e)sti\,εἰμί,verb,kai\,καί,conjunction,to\,ὁ,article,u(gro\n,ὑγρός,adjective,tou=,ὁ,article,mh\,μή,conjunction,u(gie/os,ὑγιής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,ga\r,γάρ,particle,e(/lkos,ἕλκος,noun,u(gro/n,ὑγρός,adjective,e)sti,εἰμί,verb,to\,ὁ,article,de\,δέ,particle,u(gie\s,ὑγιής,adverb,chro/n,ξηρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)anepi/deton,ἀνεπίδετος,adjective,de\,δέ,particle,ea=|n,,,a)/meino/n,ἀμείνων,adjective,e)stin,εἰμί,verb,o(/,ὅς,pronoun,ti,τις,pronoun,ge,γε,particle,mh\,μή,conjunction,katapla/ssetai,καταπλάσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\,οὐδέ,particle,katapla/ssein,καταπλάσσω,verb,e)ndexo/meno/n,ἐνδέχομαι,verb,e)stin,εἰμί,verb,e)/nia,ἔνιοι,adjective,tw=n,ὁ,article,e(lke/wn,ἕλκος,noun,ma=llon,μᾶλλον,adverb,de\,δέ,particle,ta\,ὁ,article,neo/trwta,νεότρωτος,adjective,tw=n,ὁ,article,palaiote/rwn,παλαιός,adjective,kai\,καί,conjunction,ta\,ὁ,article,e)n,ἐν,preposition,toi=sin,ὁ,article,a)/rqroisin,ἄρθρον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)oligosite/ein,ὀλιγοσιτέω,verb,te,τε,particle,w(s,ὡς,conjunction,ma/lista,μάλιστα,adverb,kai\,καί,conjunction,u(/dwr,ὕδωρ,noun,cumfe/rei,συμφέρω,verb,pa=si,πᾶς,adjective,toi=sin,ὁ,article,e(/lkesi,ἕλκος,noun,ma=llon,μᾶλλον,adverb,de\,δέ,particle,toi=si,ὁ,article,neotrw/toisi,νεότρωτος,adjective,tw=n,ὁ,article,palaiote/rwn,παλαιός,adjective,kai\,καί,conjunction,o(/,ὅς,pronoun,ti,τις,pronoun,a)/llo,ἄλλος,adjective,flegmai/nei,φλεγμαίνω,verb,e(/lkos,ἕλκος,noun,h)\,ἠέ,conjunction,me/llei,μέλλω,verb,kai\,καί,conjunction,o(/,ὅς,pronoun,ti,τις,pronoun,sfakeli/sai,σφακελίζω,verb,ki/ndunos,κίνδυνος,noun,kai\,καί,conjunction,toi=sin,ὁ,article,e(/lkesi,ἕλκος,noun,kai\,καί,conjunction,fle/gmasi,φλέγμα,noun,toi=sin,τίς,pronoun,e)n,ἐν,preposition,toi=sin,ὁ,article,a)/rqroisi,ἄρθρον,noun,kai\,καί,conjunction,o(/kou,ὅπου,adverb,spasmou\s,σπασμός,noun,ki/ndunos,κίνδυνος,noun,e)pigene/sqai,ἐπιγίγνομαι,verb,kai\,καί,conjunction,toi=sin,τίς,pronoun,e)n,ἐν,preposition,koili/h|,κοιλία,noun,trw/masi,τραῦμα,noun,pantw=n,de\,δέ,particle,ma/lista,μάλιστα,adverb,toi=sin,τίς,pronoun,e)n,ἐν,preposition,kefalh=|,κεφαλή,noun,kai\,καί,conjunction,mhrw=|,μηρός,noun,kateagei=si,κατάγνυμι,verb,kai\,καί,conjunction,a)/llw|,ἄλλος,adjective,w(=|,ὅς,pronoun,ka/thcis,a)\n,ἄν,particle,ge/nhtai,γίγνομαι,verb,*(esta/nai,ἵστημι,verb,d',δέ,particle,e(/lkesi,ἕλκος,noun,h(/kista,ἥκιστος,adjective,cumfe/rei,συμφέρω,verb,kai\,καί,conjunction,a)/llws,ἄλλως,adverb,h)\n,ἐάν,conjunction,e)n,ἐν,preposition,tw=|,ὁ,article,ske/lei+,σκέλος,noun,e)/xh|,ἔχω,verb,to\,ὁ,article,e(/lkos,ἕλκος,noun,ou)de\,οὐδέ,particle,kaqh=sqai,κάθημαι,verb,ou)de\,οὐδέ,particle,poreu/esqai,πορεύω,verb,,,,
a)ll',ἀλλά,adverb,h(suxi/h,ἡσυχία,noun,kai\,καί,conjunction,a)tremi/h,ἀτρεμία,noun,cumfe/rei,συμφέρω,verb,ma/lista,μάλιστα,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,de\,δέ,particle,neo/trwta,νεότρωτος,adjective,e(/lkea,ἕλκος,noun,pa/nta,πᾶς,adjective,h(/kista,ἥκιστος,adjective,a)\n,ἄν,particle,flegmh/naien,φλεγμαίνω,verb,au)ta/,αὐτός,pronoun,te,τε,particle,kai\,καί,conjunction,ta\,ὁ,article,perie/xonta,περιέχω,verb,ei)/,εἰ,conjunction,tis,τις,pronoun,diapui/+skoi,,,w(s,ὡς,conjunction,ta/xista,τάχιστος,adjective,kai\,καί,conjunction,to\,ὁ,article,pu=on,,,mh\,μή,conjunction,a)polambano/menon,ἀπολαμβάνω,verb,a)po\,ἀπό,preposition,tou=,ὁ,article,e(/lkeos,ἕλκος,noun,tou=,ὁ,article,sto/matos,στόμα,noun,i)/sxoito\,ἴσχω,verb,h)\,ἠέ,conjunction,ei)/,εἰ,conjunction,tis,τις,pronoun,a)potre/poi,ἀποτρέπω,verb,o(/kws,ὅπως,conjunction,mhde\,μηδέ,particle,mellh/sei,μέλλησις,noun,diapuh=sai,διαπυέω,verb,plh\n,πλήν,preposition,tou=,ὁ,article,a)nagkai/ou,ἀναγκαῖος,adjective,pu/ou,πύον,adjective,o)ligi/stou,ὀλίγιστος,adjective,a)lla\,ἀλλά,adverb,chro\n,ξηρός,adjective,ei)=nai,εἰμί,verb,w(s,ὡς,conjunction,ma/lista,μάλιστα,adverb,farma/kw|,φάρμακον,noun,mh\,periskele/i+,περισκελής,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,μή,conjunction,,
purw=des,πυρώδης,adverb,ga\r,γάρ,particle,gi/netai,γίγνομαι,verb,e)ph\n,ἐπήν,conjunction,fri/kh,φρίκη,noun,e)gge/nhtai,ἐγγίγνομαι,verb,kai\,καί,conjunction,sfugmo/s,σφυγμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flegmai/nei,φλεγμαίνω,verb,ga\r,γάρ,particle,ta\,ὁ,article,e(/lkea,ἕλκος,noun,to/te,τότε,adverb,o(ko/tan,,,diapuh=oai,,,me/llh|,μέλλω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diapuei=,διαπυέω,verb,de\,δέ,particle,a)lloioume/nou,ἀλλοιόω,verb,tou=,ὁ,article,ai(/matos,αἷμα,noun,kai\,καί,conjunction,qermanqe/ntos,θερμαίνω,verb,e(/ws,ἕως,conjunction,sape\n,σήπω,verb,pu=on,,,ge/nhtai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
