word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS
o)/mnumi,ὄμνυμι,verb,*)apo/llwna,Ἀπόλλων,proper,i)htro\n,ἰατρός,noun,kai\,καί,conjunction,*)asklhpio\n,Ἀσκληπιός,proper,kai\,καί,conjunction,*(ugei/an,ὑγεία,noun,kai\,καί,conjunction,*pana/keian,Πανάκεια,proper,kai\,καί,conjunction,qeou\s,θεός,noun,pa/ntas,πᾶς,adjective,te,τε,particle,kai\,καί,conjunction,pa/sas,πᾶς,adjective,i(/storas,ἵστωρ,noun,poieu/menos,ποιέω,verb,e)pitele/a,ἐπιτελής,adjective,poih/sein,ποιέω,verb,kata\,κατά,preposition,du/namin,δύναμις,adjective,kai\,καί,conjunction,kri/sin,κρίσις,adjective,e)mh\n,ἐμός,adjective,o(/rkon,ὅρκος,noun,to/nde,ὅδε,pronoun,kai\,καί,conjunction,suggrafh\n,συγγραφή,noun,th/nde,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(gh/sesqai,ἁγέομαι,verb,me\n,μέν,particle,to\n,ὁ,article,dida/canta/,διδάσκω,verb,me,ἐγώ,pronoun,th\n,ὁ,article,te/xnhn,τέχνη,noun,tau/thn,οὗτος,pronoun,i)/sa,ἴσος,adjective,gene/th|sin,γενέτης,noun,e)moi=s,ἐμός,adjective,kai\,καί,conjunction,bi/ou,βίος,adjective,koinw/sesqai,κοινόω,verb,kai\,καί,conjunction,xrew=n,χρέα,adjective,xrhi/+zonti,χρῄζω,verb,meta/dosin,μετάδοσις,noun,poih/sesqai,ποιέω,verb,kai\,καί,conjunction,ge/nos,γένος,noun,to\,ὁ,article,e)c,ἐκ,preposition,au)tou=,αὐτός,pronoun,a)delfoi=s,ἀδελφός,adjective,i)/son,ἴσος,adjective,e)pikrinei=n,ἐπικρίνω,verb,a)/rresi,ἄρσην,noun,kai\,καί,conjunction,dida/cein,διδάσκω,verb,th\n,ὁ,article,te/xnhn,τέχνη,noun,tau/thn,οὗτος,pronoun,h)\n,ἐάν,conjunction,xrhi/+zwsi,χρῄζω,verb,manqa/nein,μανθάνω,verb,a)/neu,ἄνευ,preposition,misqou=,μισθός,noun,kai\,καί,conjunction,suggrafh=s,συγγραφεύς,noun,paraggeli/hs,παραγγελία,noun,te,τε,particle,kai\,καί,conjunction,a)kroh/sios,ἀκρόασις,noun,kai\,καί,conjunction,th=s,ὁ,article,loi/phs,a(pa/shs,ἅπας,adjective,maqh/sios,μάθησις,noun,meta/dosin,μετάδοσις,noun,poih/sesqai,ποιέω,verb,ui(oi=s,υἱός,noun,te,τε,particle,e)moi=s,ἐμός,adjective,kai\,καί,conjunction,toi=s,ὁ,article,tou=,ὁ,article,e)me\,ἐγώ,pronoun,dida/cantos,διδάσκω,verb,kai\,καί,conjunction,maqhth=|si,suggegramme/nois,συγγράφω,verb,te,τε,particle,kai\,καί,conjunction,w(rkisme/nois,ὁρκίζω,verb,no/mw|,νόμος,noun,i)htrikw=|,ἰατρικός,adjective,a)/llw|,ἄλλος,adjective,de\,δέ,particle,ou)deni/,οὐδείς,pronoun
diaith/masi/,διαίτημα,noun,te,τε,particle,xrh/somai,χράω,verb,e)p',ἐπί,preposition,w)felei/h|,ὠφέλεια,noun,kamno/ntwn,κάμνω,verb,kata\,κατά,preposition,du/namin,δύναμις,adjective,kai\,καί,conjunction,kri/sin,κρίσις,adjective,e)mh/n,ἐμός,adjective,e)pi\,ἐπί,preposition,dhlh/sei,δηλέομαι,verb,de\,δέ,particle,kai\,καί,conjunction,a)diki/h|,ἀδικία,noun,ei)/rcein,ἔργω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,dw/sw,δίδωμι,verb,de\,δέ,particle,ou)de\,οὐδέ,particle,fa/rmakon,φάρμακον,noun,ou)deni\,οὐδείς,pronoun,ai)thqei\s,αἰτέω,verb,qana/simon,θανάσιμος,adjective,ou)de\,οὐδέ,particle,u(fhgh/somai,ὑφηγέομαι,verb,sum,,,bouli/hn,,,toih/nde,τοιόσδε,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(moi/ws,ὅμοιος,adjective,de\,δέ,particle,ou)de\,οὐδέ,particle,gunaiki\,γυνή,noun,pesso\n,πεσσός,noun,fqo/rion,φθόριος,adjective,dw/sw,δίδωμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(gnw=s,ἁγνός,adjective,de\,δέ,particle,kai\,καί,conjunction,o(si/ws,ὅσιος,adjective,diathrh/sw,διατηρέω,verb,bi/on,βίος,adjective,to\n,ὁ,article,e)mo\n,ἐμός,adjective,kai\,καί,conjunction,te/xnhn,τέχνη,noun,th\n,ὁ,article,e)mh/n,ἐμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,teme/w,τέμνω,verb,de\,δέ,particle,ou)de\,οὐδέ,particle,mh\n,μείς,adjective,liqiw=ntas,λιθιάω,verb,e)kxwrh/sw,ἐκχωρέω,verb,de\,δέ,particle,e)rga/th|sin,ἐργάτης,noun,a)ndra/si,ἀνήρ,noun,prh/cios,πρᾶξις,adjective,th=sde,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)s,εἰς,preposition,oi)ki/as,οἰκία,noun,de\,δέ,particle,o(ko/sas,ὁπόσος,adjective,a)\n,ἄν,particle,e)si/w,εἴσειμι,verb,e)seleu/somai,εἰσέρχομαι,verb,e)p',ἐπί,preposition,w)felei/h|,ὠφέλεια,noun,kamno/ntwn,κάμνω,verb,e)kto\s,ἐκτός,adverb,e)w\n,εἰμί,verb,pa/shs,πᾶς,adjective,a)diki/hs,ἀδικία,noun,e(kousi/hs,ἑκούσιος,adjective,kai\,καί,conjunction,fqori/hs,φθορία,noun,th=s,ὁ,article,te,τε,particle,a)/llhs,ἄλλος,adjective,kai\,καί,conjunction,a)frodisi/wn,Ἀφροδίσιος,proper,e)/rgwn,ἔργον,noun,e)pi/,ἐπί,preposition,te,τε,particle,gunaikei/wn,γυναικεῖος,adjective,swma/twn,σῶμα,adjective,kai\,καί,conjunction,a)ndrw/|wn,,,e)leuqe/rwn,ἐλεύθερος,adjective,te,τε,particle,kai\,καί,conjunction,dou/lwn,δοῦλος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(\,ὅς,pronoun,d',δέ,particle,a)\n,ἄν,particle,e)n,ἐν,preposition,qerapei/h|,θεραπεία,noun,h)\,ἠέ,conjunction,i)/dw,εἶδον,verb,h)\,ἠέ,conjunction,a)kou/sw,ἀκούω,verb,h)\,ἠέ,conjunction,kai\,καί,conjunction,a)/neu,ἄνευ,preposition,qerapei/hs,θεραπεία,noun,kata\,κατά,preposition,bi/on,βίος,adjective,a)nqrw/pwn,ἄνθρωπος,noun,a(\,ὅς,pronoun,mh\,μή,conjunction,xrh/,χρή,verb,pote,ποτέ,particle,e)klalei=sqai,ἐκλαλέω,verb,e)/cw,ἔξω,adverb,sigh/somai,σιγάω,verb,a)/rrhta,ἄρρητος,adjective,h(geu/menos,ἡγέομαι,verb,ei)=nai,εἰμί,verb,ta\,ὁ,article,toiau=ta,τοιοῦτος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/rkon,ὅρκος,noun,me\n,μέν,particle,ou)=n,οὖν,particle,moi,ἐγώ,pronoun,to/nde,ὅδε,pronoun,e)pitele/a,ἐπιτελής,adjective,poie/onti,ποιέω,verb,kai\,καί,conjunction,mh\,μή,conjunction,sugxe/onti,συγχέω,verb,ei)/h,ἀίω,verb,e)pau/rasqai,ἐπαυρέω,verb,kai\,καί,conjunction,bi/ou,βίος,adjective,kai\,καί,conjunction,te/xnhs,τέχνη,noun,docazome/nw|,δοξάζω,verb,para\,παρά,preposition,pa=sin,πᾶς,adjective,a)nqrw/pois,ἄνθρωπος,noun,e)s,εἰς,preposition,to\n,ὁ,article,ai)ei\,ἀεί,adverb,xro/non,χρόνος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
