word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/45/lemma/@_entry,word/45/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS
prw=ton,πρότερος,adjective,me\n,μέν,particle,w)=,ὦ,interjection,*)aqhnai=oi,Ἀθηναῖος,proper,xa/ris,χάρις,noun,pollh\,πολύς,adjective,toi=s,ὁ,article,qeoi=s,θεός,noun,oi(\,ἕ,pronoun,tou\s,ὁ,article,me\n,μέν,particle,pro/teron,πρότερος,adjective,qrasunome/nous,θρασύνω,verb,kai\,καί,conjunction,mhd',μηδέ,particle,o)/noma,ὄνομα,adjective,ei)rh/nhs,εἰρήνη,noun,e)qe/lontas,ἐθέλω,verb,a)nasxe/sqai,ἀνέχω,verb,polla/kis,πολλάκις,adverb,h(mw=n,ἐγώ,pronoun,prokaloume/nwn,προκαλέω,verb,au)tou\s,αὐτός,pronoun,u(pe\r,ὑπέρ,preposition,ei)rh/nhs,εἰρήνη,noun,deu=r',δεῦρο,adverb,h(/kein,ἥκω,verb,pareskeu/asan,παρασκευάζω,verb,e)n,ἐν,preposition,tou/tw|,οὗτος,pronoun,tw=|,ὁ,article,sxh/mati,σχῆμα,noun,th=|,ὁ,article,po/lei,πόλις,adjective,d',δέ,particle,a)pe/dwkan,ἀποδίδωμι,verb,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,bouleu/sasqai,βουλεύω,verb,peri\,περί,preposition,tw=n,ὁ,article,*(ellhnikw=n,Ἑλληνικός,adjective,o(/pws,ὅπως,conjunction,a)\n,ἄν,particle,pei/shsqe,πείθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/cion,ἄξιος,adjective,de\,δέ,particle,xrh/sasqai,χράω,verb,tw=|,ὁ,article,kairw=|,καιρός,noun,kai\,καί,conjunction,th\n,ὁ,article,me\n,μέν,particle,tou/twn,οὗτος,pronoun,a)gnwmosu/nhn,ἀγνωμοσύνη,noun,kai\,καί,conjunction,filoneiki/an,φιλονεικία,noun,fula/casqai,φυλάσσω,verb,toi=s,ὁ,article,d',δέ,particle,u(mete/rois,ὑμέτερος,adjective,au)tw=n,αὐτός,pronoun,h)/qesi,ἦθος,adjective,kai\,καί,conjunction,tro/pois,τρόπος,noun,e)mmei=nai,ἐμμένω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,me\n,μέν,particle,ou)=n,οὖν,particle,palaio/s,παλαιός,adjective,tis,τις,pronoun,lo/gos,λόγος,noun,w(s,ὡς,conjunction,a)/ra,ἄρα,particle,ou),οὐ,adverb,r(a/|dion,ῥᾴδιος,adjective,eu)=,εὖ,adverb,pra/ttontas,πράσσω,verb,eu)=,εὖ,adverb,fronei=n,φρονέω,verb,a)ll',ἀλλά,adverb,oi(,ὁ,article,polloi\,πολύς,adjective,xei/rous,χείρων,adverb,u(po\,ὑπό,preposition,th=s,ὁ,article,tu/xhs,τύχη,noun,gi/gnontai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,o(/soi,ὅσος,adjective,me\n,μέν,particle,w)=,ὦ,interjection,*)aqhnai=oi,Ἀθηναῖος,proper,par',παρά,preposition,a)ci/an,ἄξιος,adjective,h)\,ἠέ,conjunction,par',παρά,preposition,e)lpi/das,ἐλπίς,noun,eu)tuxou=sin,εὐτυχέω,verb,tou/tous,οὗτος,pronoun,me\n,μέν,particle,ei)ko/s,ἔοικα,verb,ti,τις,pronoun,pa/sxein,πάσχω,verb,u(polamba/nw,ὑπολαμβάνω,verb,mh\,μή,conjunction,duname/nous,δύναμαι,verb,xrh=sqai,χράομαι,verb,mei/zosin,μέγας,adverb,h)\,ἠέ,conjunction,kaq',κατά,preposition,au(tou\s,ἑαυτοῦ,pronoun,pra/gmasin,πρᾶγμα,noun,o(/sois,ὅσος,adjective,de\,δέ,particle,plei=sta,πλεῖστος,adjective,me\n,μέν,particle,tw=n,ὁ,article,*(ellh/nwn,Ἕλλην,proper,u(pa/rxei,ὑπάρχω,verb,katwrqwke/nai,κατορθόω,verb,ou)k,οὐ,adverb,e)la/ttw,ἐλάσσων,adjective,de\,δέ,particle,tou/twn,οὗτος,pronoun,eu)bouli/as,εὐβουλία,noun,su/mbola,σύμβολον,noun,pa=si,πᾶς,adjective,paresxh=sqai,εἰσχάω,verb,lo/gos,λόγος,noun,ou),οὐ,adverb,lei/petai,λείπω,verb,tauto\n,toi=s,ὁ,article,polloi=s,πολύς,adjective,kai\,καί,conjunction,toi=s,ὁ,article,a)noh/tois,ἀνόητος,adjective,paqei=n,πάσχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/sti,εἰμί,verb,d',δέ,particle,ou),οὐ,adverb,peri\,περί,preposition,tou=,ὁ,article,me/llontos,μέλλω,verb,mo/non,μόνος,adjective,h(mi=n,ἐγώ,pronoun,h(,ὁ,article,boulh\,βουλή,noun,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,peri\,περί,preposition,au)tw=n,αὐτός,pronoun,w(=n,ὅς,pronoun,katwrqw/kamen,κατορθόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)\n,ἄν,particle,me\n,μέν,particle,ga\r,γάρ,particle,a(\,ὅς,pronoun,dei=,δέομαι,verb,proelw/meqa,προαιρέω,verb,kai\,καί,conjunction,tau=ta,οὗτος,pronoun,bebai/ws,βέβαιος,adjective,e)/xh|,ἔχω,verb,kai\,καί,conjunction,tou=,ὁ,article,loipou=,λοιπός,adjective,met',μετά,preposition,a)sfalei/as,ἀσφάλεια,noun,kai\,καί,conjunction,met',μετά,preposition,eu)doci/as,εὐδοξία,noun,th\n,ὁ,article,po/lin,πόλις,adjective,oi)kh/somen,οἰκέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)a\n,ἐάν,conjunction,de\,δέ,particle,pe/ra,πέρα,adjective,tou=,ὁ,article,metri/ou,μέτριος,adjective,filoneikh/swmen,φιλονεικέω,verb,eu)/dhlon,εὔδηλος,adjective,dh/,δή,particle,pou,πού,adverb,tou=q',οὗτος,pronoun,o(/ti,ὅστις,pronoun,kai\,καί,conjunction,peri\,περί,preposition,tw=n,ὁ,article,u(parxo/ntwn,ὑπάρχω,verb,kinduneu/ein,κινδυνεύω,verb,deh/sei,δέησις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/sq',ὥστε,conjunction,o(/sw|,ὅσος,adjective,ma=llon,μᾶλλον,adverb,xai/romen,χαίρω,verb,au)toi=s,αὐτός,pronoun,tosou/tw|,τοσοῦτος,adjective,meizo/nws,μέγας,adverb,a)/cion,ἄξιος,adjective,proi+dei=n,προεῖδον,verb,o(/pws,ὅπως,conjunction,a)sfalw=s,ἀσφαλής,adjective,e(/cei,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,a)gnow=,ἀγνοέω,verb,me\n,μέν,particle,ou)=n,οὖν,particle,o(/ti,ὅστις,pronoun,pa/ntes,πᾶς,adjective,w(s,ὡς,conjunction,e)/pos,ἔπος,adjective,ei)pei=n,εἶπον,verb,tou\s,ὁ,article,me\n,μέν,particle,u(phretou=ntas,ὑπηρετέω,verb,au)tw=n,αὐτός,pronoun,tai=s,ὁ,article,e)piqumi/ais,ἐπιθυμία,noun,a)pode/xontai,ἀποδέχομαι,verb,kai\,καί,conjunction,nomi/zousin,νομίζω,verb,ou),οὐ,adverb,mo/non,μόνος,adjective,eu)/nous,εὔνους,adjective,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,mo/nous,μόνος,adjective,a)/ndras,ἀνήρ,noun,w(s,ὡς,conjunction,a)lhqw=s,ἀληθής,adjective,ei)=nai,εἰμί,verb,toi=s,ὁ,article,de\,δέ,particle,swfroni/zein,σωφρονίζω,verb,e)pixeirou=sin,ἐπιχειρέω,verb,a)hdw=s,ἀηδής,adjective,e)/xousin,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,mh\n,μήν,particle,a)ll',ἀλλά,adverb,ei),εἰ,conjunction,me\n,μέν,particle,o(moi/ws,ὅμοιος,adjective,h)=n,εἰμί,verb,tw=n,ὁ,article,te,τε,particle,lo/gwn,λόγος,noun,kai\,καί,conjunction,tw=n,ὁ,article,pragma/twn,πρᾶγμα,noun,gene/sqai,γίγνομαι,verb,ku/rion,κύριος,adjective,w(/ste,ὥστε,conjunction,mh\,μή,conjunction,mo/non,μόνος,adjective,ei)pei=n,εἶπον,verb,ta\,ὁ,article,h(/dista,ἡδύς,adjective,a)lla\,ἀλλά,adverb,kai\,καί,conjunction,katapra=cai,καταπράσσω,verb,dikai/ws,δίκαιος,adjective,a)/n,ἄν,particle,tis,τις,pronoun,toi=s,ὁ,article,ou)k,οὐ,adverb,e)qe/lousin,ἐθέλω,verb,ou(/tw,οὕτως,adverb,poiei=n,ποιέω,verb,h)/xqeto,ἄχθομαι,verb,kai\,καί,conjunction,dusko/lous,δύσκολος,adjective,u(pela/mbanen,ὑπολαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
