word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS
*ou)k,οὐ,adverb,e)/stin,εἰμί,verb,ou)de\n,οὐδείς,pronoun,deino\n,δεινός,adjective,w(=d',ὧδε,adverb,ei)pei=n,εἶπον,verb,e)/pos,ἔπος,adjective,ou)de\,οὐδέ,particle,pa/qos,πάθος,adjective,ou)de\,οὐδέ,particle,cumfora\,συμφορά,noun,qeh/latos,θεήλατος,adjective,h(=s,ὅς,pronoun,ou)k,οὐ,adverb,a)\n,ἄν,particle,a)/rait',αἴρω,verb,a)/xqos,ἄχθος,noun,a)nqrw/pou,ἄνθρωπος,noun,fu/sis,φύσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,ga\r,γάρ,particle,maka/rios,μακάριος,adjective,kou)k,οὐ,adverb,o)neidi/zw,ὀνειδίζω,verb,tu/xas,τύχη,noun,*dio\s,Ζεύς,proper,pefukw/s,φύω,verb,w(s,ὡς,conjunction,le/gousi,λέγω,verb,*ta/ntalos,Τάνταλος,proper,korufh=s,κορυφή,noun,u(perte/llonta,ὑπερτέλλω,verb,deimai/nwn,δειμαίνω,verb,pe/tron,πέτρος,noun,a)e/ri,ἀήρ,adjective,pota=tai,ποτάομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ti/nei,τίνω,verb,tau/thn,οὗτος,pronoun,di/khn,δίκη,adjective,w(s,ὡς,conjunction,me\n,μέν,particle,le/gousin,λέγω,verb,o(/ti,ὅστις,pronoun,qeoi=s,θεός,noun,a)/nqrwpos,ἄνθρωπος,noun,w)\n,εἰμί,verb,koinh=s,κοινός,adjective,trape/zhs,τράπεζα,noun,a)ci/wm',ἀξίωμα,noun,e)/xwn,ἔχω,verb,i)/son,ἴσος,adjective,a)ko/laston,ἀκόλαστος,adjective,e)/sxe,ἔχω,verb,glw=ssan,γλῶσσα,noun,ai)sxi/sthn,αἰσχρός,adjective,no/son,νόσος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=tos,οὗτος,pronoun,futeu/ei,φυτεύω,verb,*pe/lopa,Πέλοψ,proper,tou=,ὁ,article,d',δέ,particle,*)atreu\s,Ἀτρεύς,proper,e)/fu,φύω,verb,w(=|,ὅς,pronoun,ste/mmata,στέμμα,noun,ch/nas',ξαίνω,verb,e)pe/klwsen,ἐκναίω,verb,qea\,θεά,noun,e)/rin,ἔρις,noun,*que/sth|,Θυέστης,proper,po/lemon,πόλεμος,noun,o)/nti,εἰμί,verb,suggo/nw|,σύγγονος,adjective,qe/sqai,τίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/,τίς,pronoun,ta)/rrht',ἄρρητος,adjective,a)nametrh/sasqai/,ἀναμετρέω,verb,me,ἐγώ,pronoun,dei=,δέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/daise,δαίνυμι,verb,d',δέ,particle,ou)=n,οὖν,particle,nin,νιν,pronoun,te/kn',τέκνον,noun,a)poktei/nas,ἀποκτείνω,verb,*)atreu/s,Ἀτρεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)atre/ws,Ἀτρεύς,proper,de/,δέ,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\s,ὁ,article,ga\r,γάρ,particle,e)n,ἐν,preposition,me/sw|,μέσος,adjective,sigw=,σιγάω,verb,tu/xas,τύχη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,kleino/s,κλεινός,adjective,ei),εἰ,conjunction,dh\,δή,particle,kleino/s,κλεινός,adjective,*)agame/mnwn,Ἀγαμέμνων,proper,e)/fu,φύω,verb,*mene/lew/s,Μενέλαος,proper,te,τε,particle,*krh/sshs,Κρής,proper,mhtro\s,μήτηρ,noun,*)aero/phs,Ἀερόπη,proper,a)/po,ἀπό,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamei=,γαμέω,verb,d',δέ,particle,o(\,ὅς,pronoun,me\n,μέν,particle,dh\,δή,particle,th\n,ὁ,article,qeoi=s,θεός,noun,stugoume/nhn,στυγέω,verb,*mene/laos,Μενέλαος,proper,*(ele/nhn,Ἑλένη,proper,o(\,ὅς,pronoun,de\,δέ,particle,*klutaimh/stras,Κλυταιμνήστρα,proper,le/xos,λέχος,noun,e)pi/shmon,ἐπίσημον,noun,ei)s,εἰς,preposition,*(/ellhnas,Ἕλλην,proper,*)agame/mnwn,Ἀγαμέμνων,proper,a)/nac,ἄναξ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
