word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/31/lemma/@_entry,word/31/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)po/ntos,εἶπον,verb,de/,δέ,particle,mou,ἐγώ,pronoun,pro\s,πρός,preposition,au)th\n,αὐτός,pronoun,ta/,τίς,pronoun,te,τε,particle,praxqe/nta,πράσσω,verb,kai\,καί,conjunction,o(/ti,ὅστις,pronoun,moi,ἐγώ,pronoun,*)aqhnoge/nhs,Ἀθηνογένης,proper,xalepo\s,χαλεπός,adjective,ei)/h,ἀίω,verb,kai\,καί,conjunction,ou)de\n,οὐδείς,pronoun,e)qe/loi,ἐθέλω,verb,tw=n,ὁ,article,metri/wn,μέτριος,adjective,sugxwrei=n,συγχωρέω,verb,tou=ton,οὗτος,pronoun,me\n,μέν,particle,e)/fh,φημί,verb,a)ei\,ἀεί,adverb,toiou=ton,τοιοῦτος,adjective,ei)=nai,εἰμί,verb,e)me\,ἐγώ,pronoun,d',δέ,particle,e)ke/leue,κελεύω,verb,qarrei=n,θαρσέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)th\,αὐτός,pronoun,ga/r,γάρ,particle,moi,ἐγώ,pronoun,pa/nta,πᾶς,adjective,sunagwniei=sqai,συναγωνίζομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tau=t',οὗτος,pronoun,e)/legen,λέγω,verb,spouda/zousa/,σπουδάζω,verb,te,τε,particle,tw=|,ὁ,article,h)/qei,ἦθος,adjective,w(s,ὡς,conjunction,e)/ni,ἐν,preposition,ma/lista,μάλιστα,adverb,kai\,καί,conjunction,o)mnu/ousa,ὄμνυμι,verb,tou\s,ὁ,article,megi/stous,μέγας,adverb,o(/rkous,ὅρκος,noun,h)=,ἦ,adverb,mh\n,μήν,particle,me,ἐγώ,pronoun,t',τε,particle,eu)noi/as,εὔνοια,noun,th=s,ὁ,article,e)mh=s,ἐμός,adjective,le/gein,λέγω,verb,kai\,καί,conjunction,e)pi\,ἐπί,preposition,pa/shs,πᾶς,adjective,a)lhqei/as,ἀλήθεια,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/st',ὥστε,conjunction,e)me/,ἐγώ,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,r(hqh/setai,ἐρῶ,verb,ga\r,γάρ,particle,pro\s,πρός,preposition,u(ma=s,σύ,pronoun,ta)lhqe/s,ἀληθής,adjective,tau=ta,οὗτος,pronoun,pepei=sqai,πείθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(/tws,οὕτως,adverb,w(s,ὡς,conjunction,e)/oiken,ἔοικα,verb,e)ci/sthsin,ἐξίστημι,verb,a)nqrw/pou,ἄνθρωπος,noun,fu/sin,φύσις,noun,e)/rws,ἔρος,noun,proslabw\n,προσλαμβάνω,verb,gunaiko\s,γυνή,noun,sunergi/an,συνεργία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)kei/nh,ἐκεῖνος,pronoun,gou=n,γοῦν,particle,fenaki/zousa,φενακίζω,verb,a(/panta,ἅπας,adjective,tau=ta,οὗτος,pronoun,prosperie/koyen,προσπερικόπτω,verb,au(th=|,ἑαυτοῦ,pronoun,w(s,ὡς,conjunction,dh\,δή,particle,ei)s,εἰς,preposition,paidi/skhn,παιδίσκη,noun,triakosi/as,τριακόσιοι,adjective,draxma\s,δραχμή,noun,eu)noi/as,εὔνοια,noun,e(/neka,ἕνεκα,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)/sws,ἴσως,adverb,me\n,μέν,particle,ou)=n,οὖν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,ou)de\n,οὐδείς,pronoun,u(perqau/masto/n,ὑπερθαύμαστος,adjective,me,ἐγώ,pronoun,u(po\,ὑπό,preposition,*)antigo/nas,Ἀντιγόνη,proper,to\n,ὁ,article,tro/pon,τρόπος,noun,toutoni\,οὗτος,pronoun,paidagwghqh=nai,παιδαγωγέω,verb,gunaiko\s,γυνή,noun,h(\,ὅς,pronoun,deinota/th,δεινός,adjective,me\n,μέν,particle,tw=n,ὁ,article,e(tairw=n,ἑταίρα,noun,w(/s,ὡς,conjunction,fasin,φημί,verb,e)f',ἐπί,preposition,h(liki/as,ἡλικία,noun,e)ge/neto,γίγνομαι,verb,diatete/leke,διατελέω,verb,de\,δέ,particle,pornoboskou=sa,πορνοβοσκέω,verb,oi)=kon,οἶκος,noun,tou=,ὁ,article,*xolli/dou,ou)deno\s,οὐδείς,pronoun,e)la/ttw,ἐλάσσων,adjective,o)/nta,εἰμί,verb,a)nh/|rhken,ἀναιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai/toi,καίτοι,particle,o(/pou,ὅπου,adverb,kaq',κατά,preposition,e(auth\n,ἕ,pronoun,ou)=sa,εἰμί,verb,toiau=ta,τοιοῦτος,adjective,diepra/tteto,διαπράσσω,verb,ti/,τίς,pronoun,oi)/esq',οἴομαι,verb,au)th\n,αὐτός,pronoun,nu=n,νῦν,adverb,e)n,ἐν,preposition,noei=n,νοέω,verb,proslabou=san,προσλαμβάνω,verb,sunagwnisth\n,συναγωνιστής,noun,*)aqhnoge/nhn,Ἀθηνογένης,proper,a)/nqrwpon,ἄνθρωπος,noun,logogra/fon,λογογράφος,noun,te,τε,particle,kai\,καί,conjunction,a)gorai=on,ἀγοραῖος,adjective,to\,ὁ,article,de\,δέ,particle,me/giston,μέγας,adverb,*ai)gu/ption,Αἰγύπτιος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
te/los,τέλος,noun,d',δέ,particle,ou)=n,οὖν,particle,i(/na,ἵνα,conjunction,mh\,μή,conjunction,makrologw=,μακρολογέω,verb,metapemyame/nh,μεταπέμπω,verb,ga/r,γάρ,particle,me,ἐγώ,pronoun,pa/lin,πάλιν,adverb,u(/steron,ὕστερος,adjective,ei)=pen,εἶπον,verb,o(/ti,ὅστις,pronoun,pollou\s,πολύς,adjective,lo/gous,λόγος,noun,a)nalw/sasa,ἀναλίσκω,verb,pro\s,πρός,preposition,to\n,ὁ,article,*)aqhnoge/nhn,Ἀθηνογένης,proper,mo/lis,μόλις,adverb,ei)/h,ἀίω,verb,sumpepeikui=a,συμπείθω,verb,au)to\n,αὐτός,pronoun,a)polu=sai/,ἀπολύω,verb,moi,ἐγώ,pronoun,to/n,ὁ,article,te,τε,particle,*mi/dan,Μίδας,proper,kai\,καί,conjunction,tou\s,ὁ,article,ui(ei=s,υἱός,noun,a)mfote/rous,tettara/konta,τεσσαράκοντα,adjective,mnw=n,μνᾶ,noun,kai\,καί,conjunction,e)ke/leue/,κελεύω,verb,ἀμφότερος,adjective,me,ἐγώ,pronoun,th\n,ὁ,article,taxi/sthn,τάχιστος,adjective,pori/zein,πορίζω,verb,to\,ὁ,article,a)rgu/rion,ἀργύριον,adjective,pri\n,πρίν,adverb,metado/cai,μεταδοκέω,verb,ti,τις,pronoun,*)aqhnoge/nei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
