word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS
o(,ὁ,article,*(alikarnasseu\s,Ἁλικαρνασσεύς,proper,fhsi/n,φημί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(gneu/etai,ἁγνεύω,verb,to\,ὁ,article,sto/ma,στόμα,noun,tw=|,ὁ,article,*dhmosqe/nei,Δημοσθένης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dokei=,δοκέω,verb,de\,δέ,particle,tragikw/teron,τραγικός,adjective,kexrh=sqai,χράω,verb,eu)qu\s,εὐθύς,adverb,e)n,ἐν,preposition,a)rxh=|,ἀρχή,noun,th=|,ὁ,article,metafora=|,μεταφορά,noun,politikw/teron,πολιτικός,adjective,de\,δέ,particle,u(po\,ὑπό,preposition,*dhmosqe/nous,Δημοσθένης,proper,ei)rh=sqai,ἐρῶ,verb,to\,ὁ,article,au)to\,αὐτός,pronoun,no/hma,νόημα,noun,e)n,ἐν,preposition,tw=|,ὁ,article,th=s,ὁ,article,parapresbei/as,παραπρεσβεία,noun,eu)qu\s,εὐθύς,adverb,e)n,ἐν,preposition,a)rxh=|,ἀρχή,noun,e)/xon,ἔχω,verb,ou(/tws,οὕτως,adverb,o(/sh,ὅσος,adjective,me/n,μέν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,spoudh\,σπουδή,noun,kai\,καί,conjunction,paraggeli/a,παραγγελία,noun,ge/gone,γίγνομαι,verb,kai\,καί,conjunction,ta\,ὁ,article,e(ch=s,ἑξῆς,adverb
me/myaito,μέμφομαι,verb,d',δέ,particle,a)/n,ἄν,particle,tis,τις,pronoun,to\,ὁ,article,prooi/mion,προοίμιον,noun,w(s,ὡς,conjunction,tragiko\n,τραγικός,adjective,kai\,καί,conjunction,peritto\n,περισσός,adjective,kai\,καί,conjunction,e)pilo/gw|,ἐπίλογος,noun,ma=llon,μᾶλλον,adverb,e)oiko/s,ἔοικα,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scholion,,,ibid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ra,ὁράω,verb,de\,δέ,particle,pw=s,πῶς,adverb,e)pilogikw=s,ἐπιλογικός,adjective,h)/rcato,ἄρχω,verb,a)po\,ἀπό,preposition,sunhgo/rwn,συνήγορος,adjective,e)kbolh=s,ἐκβολεύς,noun,w(/sper,ὥσπερ,adverb,kai\,καί,conjunction,o(,ὁ,article,*dhmosqe/nhs,Δημοσθένης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)ciou=si,ἀξιόω,verb,tine\s,τις,pronoun,me/mfesqai,μέμφομαι,verb,tw=|,ὁ,article,r(h/tori,ῥήτωρ,noun,e)n,ἐν,preposition,a)gw=ni,ἀγών,noun,sunhgo/rwn,συνήγορος,adjective,e)kbolh\n,ἐκβολή,noun,poihsame/nw|,ποιέω,verb,de/on,δέω,verb,e)n,ἐν,preposition,e)pilo/gw|,ἐπίλογος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
