word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS
*diayu/xonti/,διαψύχω,verb,moi,ἐγώ,pronoun,pro\s,πρός,preposition,th\n,ὁ,article,ei(/lhn,εἵλη,noun,tou\s,ὁ,article,bo/trus,βότρυς,adjective,h(,ὁ,article,mani/a,μανία,noun,proselqou=sa,προσέρχομαι,verb,e)qru/pteto,θρύπτω,verb,kai\,καί,conjunction,w(rai+zome/nh,ὡραίζω,verb,polloi=s,πολύς,adjective,e)/balle,βάλλω,verb,toi=s,ὁ,article,skw/mmasin,σκῶμμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de\,δέ,particle,palaio\n,παλαιός,adjective,dh/,δή,particle,ti,τις,pronoun,e)pitequmme/nos,ἐπιτύφομαι,verb,au)th=s,αὐτός,pronoun,dienoou/mhn,διανοέομαι,verb,ti,τις,pronoun,dra=sai,δράω,verb,qermo/n,θερμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,ou)=n,οὖν,particle,a)/smenos,ἄσμενος,adjective,e)labo/mhn,λαμβάνω,verb,plhsia/sas,πλησιάζω,verb,ta\s,ὁ,article,me\n,μέν,particle,r(a=gas,ῥάξ,adjective,ei)/asa,ἀίω,verb,e)ferpu/sas,ἐφέρπω,verb,de\,δέ,particle,kai\,καί,conjunction,ma/la,μάλα,adverb,a)sme/nws,ἄσμενος,adjective,th=s,ὁ,article,w(/ras,ὥρα,adjective,e)tru/ghsa,τρυγάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau=ta/,οὗτος,pronoun,soi,σύ,pronoun,pro\s,πρός,preposition,tou=,ὁ,article,*pano\s,Πάν,proper,musth/ria,μυστήριον,noun,ta\,ὁ,article,mega/la,μέγας,adverb,e)/stw,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(me/rwn,ἥμερος,adjective,o(,ὁ,article,malako\s,μαλακός,adjective,fellei=,φελλεύς,noun,e)pe/koye,ἐπικόπτω,verb,to\,ὁ,article,ske/los,σκέλος,noun,pa/nu,πάνυ,adverb,i)sxurw=s,ἰσχυρός,adjective,kai\,καί,conjunction,qe/rmh,θέρμη,noun,e)pe/laben,ἐπιλαμβάνω,verb,au)tou=,αὐτός,pronoun,kai\,καί,conjunction,boubw\n,βουβών,noun,e)ph/rqh,ἐπαίρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bouloi/mhn,βούλομαι,verb,d',δέ,particle,a)\n,ἄν,particle,au)to\n,αὐτός,pronoun,a)narrwsqh=nai,ἀναρρώννυμι,verb,h)/,ἠέ,conjunction,moi,ἐγώ,pronoun,medi/mnous,μέδιμνος,noun,i)sxa/dwn,ἰσχάς,noun,u(pa/rcai,ὑπάρχω,verb,te/ttaras,τέσσαρες,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,oi)=n,ὄις,noun,th\n,ὁ,article,ta\,ὁ,article,malaka\,μαλακός,adjective,e)/ria,ἔριον,noun,h(\n,ὅς,pronoun,e)painw=,ἐπαινέω,verb,pro\s,πρός,preposition,se/,σύ,pronoun,par',παρά,preposition,e)mou=,ἐγώ,pronoun,pro/seipe,προσεῖπον,verb,kai\,καί,conjunction,tw\,ὁ,article,boi+di/w,βοίδιον,noun,kai\,καί,conjunction,th\n,ὁ,article,ku/na,κύων,noun,kai\,καί,conjunction,th\n,ὁ,article,*mani/an,Μανίη,proper,kai\,καί,conjunction,au)th\n,αὐτός,pronoun,xai/rein,χαίρω,verb,ke/leue,κελεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)dikei=,ἀδικέω,verb,me,ἐγώ,pronoun,h(,ὁ,article,para\,παρά,preposition,soi\,σύ,pronoun,*shku/lh,σηκύλη,noun,parairoume/nh,παραιρέω,verb,tw=n,ὁ,article,dragma/twn,δράγμα,noun,kai\,καί,conjunction,parakle/ptousa,παρακλέπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)a\n,ἐάν,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,pau/shtai,παύω,verb,kala/,καλός,noun,soi,σύ,pronoun,kai\,καί,conjunction,menou=men,μένω,verb,fi/loi,φίλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)a\n,ἐάν,conjunction,de\,δέ,particle,e)/xhtai,ἔχω,verb,e)/rgou,ἔργον,noun,dika/somai/,δικάζω,verb,se,σύ,pronoun,bla/bhs,βλάβη,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
