word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/4/lemma/@_entry,word/4/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/46/lemma/@_entry,word/46/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS
w)=,ὦ,interjection,pa/lai,πάλαι,adverb,pote\,ποτός,adjective,h(di/wn,ἡδύς,adjective,a(|dein,*)eleusi\s,Ἐλευσίς,proper,e)moi\,ἐγώ,pronoun,ti/s,τίς,pronoun,*)orfeu\s,Ὀρφεύς,adverb,h)\,ἠέ,conjunction,*qa/muris,Θάμυρις,proper,h)\,ἠέ,conjunction,poi=os,ποῖος,adjective,*)eleusi/nios,Ἐλευσίνιος,proper,oi)kh/twr,οἰκήτωρ,noun,*mousai=os,Μουσαῖος,proper,a)rke/sei,ἀρκέω,verb,tosou/tw|,τοσοῦτος,adjective,pra/gmati,πρᾶγμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poi/ais,ποῖος,adjective,kiqa/rais,κιθάρα,adjective,h)\,ἠέ,conjunction,lu/rais,λύρα,adjective,to\,koino\n,κοινός,adjective,ptw=ma,πτῶμα,noun,to\,ὁ,article,koino\n,κοινός,adjective,th=s,ὁ,article,gh=s,γῆ,noun,a)naklau/setai,ἀνακλαίω,verb,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/na,τίς,pronoun,tau/thn,οὗτος,pronoun,prou)/bales,προβάλλω,verb,w)=,ὦ,interjection,*zeu=,th\n,ὁ,article,u(po/qesin,ὑπόθεσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ζεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,me\n,μέν,particle,kai\,καί,conjunction,prosa/gwn,προσάγω,verb,e)mauto\n,tw=|,ὁ,article,lo/gw|,λόγος,noun,narkw=,ναρκάω,verb,kai\,καί,conjunction,a)nastre/fw,ἀναστρέφω,verb,kai\,καί,conjunction,kaq',κατά,preposition,e(\n,εἷς,adjective,tou=to,οὗτος,pronoun,le/gein,λέγω,verb,a)nagka/zomai,ἀναγκάζω,verb,o(/ti,ὅστις,pronoun,siga=n,σιγάω,verb,ou)k,οὐ,adverb,ἐμαυτοῦ,pronoun,e)/xw,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/s,τίς,pronoun,ga\r,γάρ,particle,*(ellh/nwn,Ἕλλην,proper,h)\,ἠέ,conjunction,ti/s,barba/rwn,βάρβαρος,adjective,ou(/tw,οὕτως,adverb,skaio\s,σκαιός,adjective,h)\,ἠέ,conjunction,a)nh/koos,ἀνήκοος,adjective,h)\,ἠέ,conjunction,ti/s,τίς,pronoun,ou(/tw,οὕτως,adverb,sfo/dra,σφόδρα,adverb,e)/cw,ἔξω,adverb,th=s,ὁ,article,gh=s,γῆ,noun,h)\,ἠέ,conjunction,qew=n,θέα,noun,τίς,pronoun,h)\,ἠέ,conjunction,sullh/bdhn,συλλήβδην,adverb,ei)pei=n,εἶπον,verb,kalw=n,κάλη,adjective,a)nai/sqhtos,ἀναίσθητος,adjective,plh\n,πλήν,preposition,tw=n,ὁ,article,ka/kist',κακός,adjective,a)poloume/nwn,ἀπόλλυμι,verb,oi(\,ἕ,pronoun,tau=t',οὗτος,pronoun,e)/drasan,δράω,verb,o(/stis,ὅστις,pronoun,ou),οὐ,adverb,koino/n,κοινός,adjective,ti,τις,pronoun,th=s,ὁ,article,gh=s,γῆ,noun,te/menos,τέμενος,noun,th\n,ὁ,article,*)eleusi=na,Ἐλευσίς,proper,h(gei=to,ἁγέομαι,verb,kai\,καί,conjunction,pa/ntwn,πᾶς,adjective,o(/sa,ὅσος,adjective,qei=a,θεῖος,adjective,a)nqrw/pois,ἄνθρωπος,noun,tauto\n,frikwde/stato/n,φρικώδης,adverb,te,τε,particle,kai\,καί,conjunction,faidro/taton,φαιδρός,adjective,,,,,,,,,,,,,,
ti/ni,τίς,pronoun,d',δέ,particle,a)/llw|,ἄλλος,adjective,xwri/wn,χωρίον,noun,h)\,mu/qwn,μῦθος,noun,fh=mai,φήμη,noun,qaumasto/tera,θαυμαστός,adjective,e)fu/mnhsan,ἐφυμνέω,verb,h)\,ἠέ,conjunction,ta\,ὁ,article,drw/mena,δράω,verb,mei/zw,μέγας,adverb,e)/sxe,ἔχω,verb,th\n,ὁ,article,e)/kplhcin,ἔκπληξις,noun,h)\,ἠέ,conjunction,ma=llon,μᾶλλον,adverb,ei)s,εἰς,preposition,ἠέ,conjunction,e)fa/millon,ἐφάμιλλος,adjective,kate/sth,καθίστημι,verb,tai=s,ὁ,article,a)koai=s,ἀκοή,noun,ta\,ὁ,article,o(rw/mena,ὁράω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/sa,ὅσος,adjective,me\n,μέν,particle,dh\,δή,particle,qe/as,θέα,noun,e)xo/mena,ei)=don,εἶδον,verb,geneai\,γενεά,noun,pamplhqei=s,παμπληθής,adjective,eu)daimo/nwn,εὐδαίμων,adjective,a)ndrw=n,ἀνήρ,noun,kai\,καί,conjunction,gunaikw=n,γυνή,noun,e)n,ἐν,preposition,toi=s,ὁ,article,a)rrh/tois,ἄρρητος,adjective,fa/smasin,φάσμα,adjective,,,,,,,,,,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(\,ὅς,pronoun,d',δέ,particle,ei)s,εἰς,preposition,to\,ὁ,article,me/son,poihtai\,ποιητής,noun,kai\,καί,conjunction,logopoioi\,λογοποιός,noun,kai\,καί,conjunction,suggrafei=s,συγγραφεύς,noun,pa/ntes,πᾶς,adjective,u(mnou=si,ὑμνέω,verb,ko/rhn,κόρη,noun,th\n,ὁ,article,*dh/mhtros,Δημήτηρ,proper,a)fanh=,ἀφανής,adjective,gene/sqai,γίγνομαι,verb,xro/non,χρόνος,noun,e)/stin,εἰμί,verb,μέσος,adjective,o(\n,ὅς,pronoun,*dh/mhtra,Δημήτηρ,proper,d',δέ,particle,e)pe/rxesqai,ἐπέρχομαι,verb,gh=n,γῆ,noun,pa=san,πᾶς,adjective,kai\,καί,conjunction,qa/lattan,θάλασσα,noun,zhtou=san,ζητέω,verb,th\n,ὁ,article,qugate/ra,θυγάτηρ,adjective,te/ws,τέως,adverb,me\n,μέν,particle,ou)=n,οὖν,particle,ou)x,οὐ,adverb,oi(/an,οἷος,adjective,te,τε,particle,ei)=nai,εἰμί,verb,eu(rei=n,εὑρίσκω,verb,e)lqou=san,ἔρχομαι,verb,d',δέ,particle,ei)s,εἰς,preposition,*)eleusi=na,Ἐλευσίς,proper,th/n,ὁ,article,te,τε,particle,e)pwnumi/an,ἐπωνυμία,noun,dou=nai,δίδωμι,verb,tw=|,to/pw|,τόπος,noun,kai\,καί,conjunction,th\n,ὁ,article,ko/rhn,κόρη,noun,ὁ,article,eu(rou=san,εὑρίσκω,verb,poih=sai,ποιέω,verb,ta\,ὁ,article,musth/ria,μυστήριον,noun
kai\,καί,conjunction,gene/sqai,γίγνομαι,verb,dh\,δή,particle,to\n,ὁ,article,si=ton,para\,παρά,preposition,me\n,μέν,particle,tai=n,ὁ,article,qeai=n,θεά,noun,toi=s,ὁ,article,*)aqhnai/ois,Ἀθήναια,proper,para\,παρά,preposition,de\,δέ,particle,tw=n,ὁ,article,*)aqhnai/wn,Ἀθήναια,proper,kai\,καί,conjunction,*(/ellhsi,Ἕλλην,proper,kai\,καί,conjunction,barba/rois,βάρβαρος,adjective,σῖτος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou/tois,οὗτος,pronoun,*keleo/s,Κελεός,proper,te,τε,particle,kai\,*meta/neira,Μετανείρα,proper,kai\,καί,conjunction,*tripto/lemos,Τριπτόλεμος,proper,e)pifhmi/zontai,ἐπιφημίζω,verb,kai\,καί,conjunction,a(/rmata,ἅρμα,noun,dh\,δή,particle,drako/ntwn,δράκων,noun,u(po/ptera,ὑπόπτερος,adjective,u(pe\r,ὑπέρ,preposition,pa/shs,πᾶς,adjective,gh=s,γῆ,noun,kai\,καί,conjunction,qala/tths,θάλασσα,noun,καί,conjunction,fero/mena,φέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
