word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/20/lemma/@_entry,word/20/lemma/@_POS
dedwko/twn,δίδωμι,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,tw=n,ὁ,article,no/mwn,νόμος,noun,paragra/yasqai,παραγράφω,verb,peri\,περί,preposition,w(=n,ὅς,pronoun,a)/n,ἄν,particle,tis,τις,pronoun,a)fei\s,ἀφίημι,verb,kai\,καί,conjunction,a)palla/cas,ἀπαλλάσσω,verb,dika/zhtai,δικάζω,verb,gegenhme/nwn,γίγνομαι,verb,a)mfote/rwn,ἀμφότερος,adjective,moi,ἐγώ,pronoun,tou/twn,οὗτος,pronoun,pro\s,πρός,preposition,*pantai/neton,toutoni/,οὗτος,pronoun,paregraya/mhn,παραγράφω,verb,w(s,ὡς,conjunction,h)kou/sat',ἀκούω,verb,a)rti/ws,ἄρτιος,adjective,mh\,μή,conjunction,ei)sagw/gimon,εἰσαγώγιμος,adjective,ei)=nai,εἰμί,verb,th\n,ὁ,article,di/khn,δίκη,adjective,ou)k,οὐ,adverb,oi)o/menos,οἴομαι,verb,dei=n,δέω,verb,a)fei=sqai,ἀφίημι,verb,tou=,ὁ,article,dikai/ou,δίκαιος,adjective,tou/tou,οὗτος,pronoun,ou)d',οὐδέ,particle,e)peida\n,ἐπειδάν,conjunction,e)cele/gcw,ἐξελέγχω,verb,pro\s,πρός,preposition,a(/pasi,ἅπας,adjective,toi=s,ὁ,article,a)/llois,ἄλλος,adjective,kai\,καί,conjunction,a)feiko/ta,ἀφίημι,verb,tou=ton,οὗτος,pronoun,e)mauto\n,ἐμαυτοῦ,pronoun,kai\,καί,conjunction,a)phllagme/non,ἀπαλλάσσω,verb,e)ggene/sqai,ἐγγίγνομαι,verb,tou/tw|,οὗτος,pronoun,mh\,μή,conjunction,fa/skein,φάσκω,verb,a)lhqh=,ἀληθής,adjective,me,ἐγώ,pronoun,le/gein,λέγω,verb,kai\,καί,conjunction,poiei=sqai,ποιέω,verb,tekmh/rion,τεκμήριον,noun,w(s,ὡς,conjunction,ei)/per,εἴπερ,conjunction,e)pra/xqh,πράσσω,verb,ti,τις,pronoun,toiou=ton,τοιοῦτος,adjective,paregraya/mhn,παραγράφω,verb,a)\n,ἄν,particle,au)to/n,αὐτός,pronoun,a)ll',ἀλλά,adverb,e)pi\,ἐπί,preposition,tau/ths,οὗτος,pronoun,th=s,ὁ,article,skh/yews,σκῆψις,noun,ei)selqw\n,εἰσέρχομαι,verb,a)mfo/ter',ἀμφότερος,adjective,u(mi=n,σύ,pronoun,e)pidei=cai,ἐπιδείκνυμι,verb,kai\,καί,conjunction,w(s,ὡς,conjunction,ou)de\n,οὐδείς,pronoun,h)di/khka,ἀδικέω,verb,tou=ton,οὗτος,pronoun,kai\,καί,conjunction,w(s,ὡς,conjunction,para\,παρά,preposition,to\n,ὁ,article,no/mon,νόμος,noun,moi,ἐγώ,pronoun,dika/zetai,δικάζω,verb,,
ei),εἰ,conjunction,me\n,μέν,particle,ou)=n,οὖν,particle,e)pepo/nqei,πάσχω,verb,ti,τις,pronoun,tou/twn,οὗτος,pronoun,*pantai/netos,,,w(=n,ὅς,pronoun,nu=n,νῦν,adverb,e)gkalei=,ἐγκαλέω,verb,kat',κατά,preposition,e)kei/nous,ἐκεῖνος,pronoun,a)\n,ἄν,particle,tou\s,ὁ,article,xro/nous,χρόνος,noun,eu)qu\s,εὐθύς,adverb,e)fai/neto/,φαίνω,verb,moi,ἐγώ,pronoun,dikazo/menos,δικάζω,verb,e)n,ἐν,preposition,oi(=s,to\,ὁ,article,sumbo/laion,συμβόλαιον,noun,h(mi=n,ἐγώ,pronoun,pro\s,πρός,preposition,a)llh/lous,ἀλλήλων,pronoun,e)ge/neto,γίγνομαι,verb,ou)sw=n,εἰμί,verb,me\n,μέν,particle,e)mmh/nwn,ἔμμηνος,adjective,tou/twn,οὗτος,pronoun,tw=n,ὁ,article,dikw=n,δίκη,adjective,e)pidhmou/ntwn,ἐπιδημέω,verb,d',δέ,particle,h(mw=n,ἐγώ,pronoun,a)mfote/rwn,ἀμφότερος,adjective,a(pa/ntwn,ἅπας,adjective,d',δέ,particle,a)nqrw/pwn,ἄνθρωπος,noun,ei)wqo/twn,ἔθω,verb,par',παρά,preposition,au)ta\,αὐτός,pronoun,ta)dikh/mata,ἀδίκημα,noun,ma=llon,μᾶλλον,adverb,h)\,ἠέ,conjunction,xro/nwn,χρόνος,noun,e)ggegenhme/nwn,ἐγγίγνομαι,verb,a)ganaktei=n,ἀγανακτέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅς,pronoun
e)peidh\,ἐπεί,conjunction,d',δέ,particle,ou)de\n,οὐδείς,pronoun,h)dikhme/nos,ἀδικέω,verb,w(s,ὡς,conjunction,kai\,καί,conjunction,u(mei=s,σύ,pronoun,oi)=d',οἶδα,verb,o(/ti,ὅστις,pronoun,fh/sete,φημί,verb,e)peida\n,ἐπειδάν,conjunction,ta\,ὁ,article,pepragme/n',πράσσω,verb,a)kou/shte,ἀκούω,verb,tw=|,τίς,pronoun,katorqw=sai,κατορθόω,verb,th\n,ὁ,article,pro\s,πρός,preposition,*eu)/ergon,,,di/khn,δίκη,adjective,e)phrme/nos,sukofantei=,συκοφαντέω,verb,u(po/loipo/n,ὑπόλοιπος,adjective,e)sti,εἰμί,verb,par',παρά,preposition,u(mi=n,σύ,pronoun,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,e)pidei/canq',ἐπιδείκνυμι,verb,w(s,ὡς,conjunction,ou)d',οὐδέ,particle,o(tiou=n,ὁτιοῦν,adverb,a)dikw=,ἀδικέω,verb,kai\,καί,conjunction,ma/rturas,μάρτυς,noun,w(=n,ὅς,pronoun,a)\n,ἄν,particle,le/gw,λέγω,verb,parasxo/menon,παρέχω,verb,peira=sqai,πειράω,verb,sw/|zein,σώζω,verb,e)mauto/n,ἐμαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐπαίρω,verb
deh/somai,δέω,verb,de\,δέ,particle,kai\,καί,conjunction,me/tria,μέτριος,adjective,kai\,καί,conjunction,di/kai',δικαία,noun,u(mw=n,σύ,pronoun,a(pa/ntwn,ἅπας,adjective,a)kou=sai/,ἀκέω,verb,te/,τε,particle,mou,ἐγώ,pronoun,peri\,περί,preposition,w(=n,ὅς,pronoun,paregraya/mhn,παραγράφω,verb,eu)noi+kw=s,εὐνοικός,adjective,kai\,καί,conjunction,prose/xein,προσέχω,verb,o(/lw|,ὅλος,adjective,tw=|,ὁ,article,pra/gmati,πρᾶγμα,noun,to\n,nou=n,νόος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article
pollw=n,πολύς,adjective,ga\r,γάρ,particle,dikw=n,δίκη,adjective,e)n,ἐν,preposition,th=|,ὁ,article,po/lei,πόλις,adjective,gegenhme/nwn,γίγνομαι,verb,ou)de/na,οὐδείς,pronoun,pw,πω,particle,di/khn,δίκη,adjective,ou)/t',οὔτε,adverb,a)naideste/ran,ἀναιδής,adjective,ou)/te,οὔτε,adverb,sukofantikwte/ran,συκοφαντικός,adjective,oi)/omai,οἴομαι,verb,fanh/sesqai,φαίνω,verb,dedikasme/non,δικάζω,verb,h(=s,ὅς,pronoun,nu=n,νῦν,adverb,ou(tosi\,οὗτος,pronoun,laxw\n,ei)selqei=n,εἰσέρχομαι,verb,teto/lmhken,τολμάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,λαγχάνω,verb
e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,d',δέ,particle,w(s,ὡς,conjunction,a)\n,ἄν,particle,oi(=o/s,οἷος,adjective,t',σύ,pronoun,w)=,ὦ,interjection,dia\,διά,preposition,braxuta/twn,βραχύς,adjective,a(/panta,ἅπας,adjective,ta\,ὁ,article,praxqe/nta,πράσσω,verb,dihgh/somai,διηγέομαι,verb,pro\s,πρός,preposition,u(ma=s,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)danei/samen,δανείζω,verb,pe/nte,πέντε,adverb,kai\,καί,conjunction,e(kato\n,ἑκατόν,noun,mna=s,μνᾶ,noun,e)gw\,ἐγώ,pronoun,kai\,καί,conjunction,*eu)/ergos,,,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,dikastai/,δικαστής,noun,*pantaine/tw|,,,toutw|i/,οὗτος,pronoun,e)p',ἐπί,preposition,e)rgasthri/w|,ἐργαστήριον,noun,t',σύ,pronoun,e)n,ἐν,preposition,toi=s,ὁ,article,e)/rgois,ἔργον,noun,e)n,ἐν,preposition,*marwnei/a|,kai\,καί,conjunction,tria/kont',τριάκοντα,noun,a)ndrapo/dois,ἀνδράποδον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=n,εἰμί,verb,de\,δέ,particle,tou=,ὁ,article,danei/smatos,δάνεισμα,noun,tettara/konta,τεσσαράκοντα,adjective,me\n,μέν,particle,kai\,καί,conjunction,pe/nte,πέντε,adverb,mnai=,μνᾶ,noun,e)mai/,ἐμός,adjective,ta/lanton,τάλαντον,noun,d',δέ,particle,*eu)e/rgou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sune/baine,συμβαίνω,verb,de\,δέ,particle,tou=ton,οὗτος,pronoun,o)fei/lein,ὀφείλω,verb,*mnhsiklei=,Μνησικλῆς,proper,me\n,μέν,particle,*kollutei=,,,ta/lanton,τάλαντον,noun,*file/a|,Φιλέας,proper,d',δέ,particle,*)eleusini/w|,Ἐλευσίνιος,proper,kai\,καί,conjunction,*plei/stori,,,pe/nte,πέντε,adverb,kai\,καί,conjunction,tettara/konta,τεσσαράκοντα,adjective,mna=s,μνᾶ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prath\r,πρατήρ,noun,me\n,μέν,particle,dh\,δή,particle,tou=,ὁ,article,e)rgasthri/ou,ἐργαστήριον,noun,kai\,καί,conjunction,tw=n,ὁ,article,a)ndrapo/dwn,ἀνδράποδον,noun,o(,ὁ,article,*mnhsiklh=s,Μνησικλῆς,proper,h(mi=n,ἐγώ,pronoun,gi/gnetai,γίγνομαι,verb,kai\,καί,conjunction,ga\r,γάρ,particle,e)w/nht',ὠνέομαι,verb,e)kei=nos,ἐκεῖνος,pronoun,au)ta\,αὐτός,pronoun,tou/tw|,οὗτος,pronoun,para\,παρά,preposition,*thlema/xou,Τηλέμαχος,proper,tou=,pro/teron,πρότερος,adjective,kekthme/nou),κτάομαι,verb,misqou=tai,μισθόω,verb,d',δέ,particle,ou(=tos,οὗτος,pronoun,par',παρά,preposition,h(mw=n,ἐγώ,pronoun,tou=,ὁ,article,gignome/nou,γίγνομαι,verb,to/kou,τόκος,noun,tw=|,ὁ,article,a)rguri/w|,ἀργύριον,adjective,pe/nte,πέντε,adverb,kai\,καί,conjunction,e(kato\n,ἑκατόν,noun,draxmw=n,δραχμή,noun,tou=,ὁ,article,mhno\s,μείς,adjective,e(ka/stou,ἕκαστος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article
