word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS
o(/ti,ὅστις,pronoun,me\n,μέν,particle,toi/nun,τοίνυν,particle,kai\,καί,conjunction,o)fei/lei,ὀφέλλω,verb,tw=|,ὁ,article,dhmosi/w|,δημόσιος,adjective,*)aristogei/twn,Ἀριστογείτων,proper,ou(tosi\,οὗτος,pronoun,kai\,καί,conjunction,ou)k,οὐ,adverb,e)/stin,εἰμί,verb,e)pi/timos,ἐπίτιμος,adjective,kai\,καί,conjunction,oi(,ὁ,article,no/moi,νόμος,noun,diarrh/dhn,διαρρήδην,adverb,a)pagoreu/ousin,ἀπαγορεύω,verb,mh\,μή,conjunction,e)cei=nai,ἔξεστι,verb,le/gein,λέγω,verb,toi=s,ὁ,article,toiou/tois,τοιοῦτος,adjective,fanerw=s,φανερός,adjective,e)pide/deiktai,ἐπιδείκνυμι,verb,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dei=,δέομαι,verb,d',δέ,particle,u(ma=s,σύ,pronoun,a(/pantas,ἅπας,adjective,me\n,μέν,particle,a)pei/rgein,ἀπείργω,verb,kai\,καί,conjunction,kwlu/ein,κωλύω,verb,tou\s,ὁ,article,paranomou=ntas,παρανομέω,verb,polu\,πολύς,adjective,de\,δέ,particle,ma/lista,μάλιστα,adverb,tou\s,ὁ,article,e)n,ἐν,preposition,tai=s,ὁ,article,a)rxai=s,ἀρχή,noun,o)/ntas,εἰμί,verb,kai\,καί,conjunction,tou\s,ὁ,article,politeuome/nous,πολιτεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,ga\r,γάρ,particle,tou/tous,οὗτος,pronoun,ta\,ὁ,article,koina\,κοινός,adjective,kai\,καί,conjunction,bla/ptesqai,βλάπτω,verb,pe/fuken,φύω,verb,e)a\n,ἐάν,conjunction,w)=si,εἰμί,verb,fau=loi,φαῦλος,adjective,kai\,καί,conjunction,ta\,ὁ,article,me/gista,μέγας,adverb,pa/lin,πάλιν,adverb,w)felei=sqai,ὠφελέω,verb,e)a\n,ἐάν,conjunction,w)=sin,εἰμί,verb,e)pieikei=s,ἐπιεικής,adjective,kai\,καί,conjunction,qe/lwsin,ἐθέλω,verb,e)mme/nein,ἐμμένω,verb,toi=s,ὁ,article,no/mois,νόμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(s,ὡς,conjunction,e)a\n,ἐάν,conjunction,a(/pac,ἅπαξ,adverb,dw=te,δίδωμι,verb,toi=s,ὁ,article,u(pe\r,ὑπέρ,preposition,tw=n,ὁ,article,koinw=n,κοινός,adjective,e)gxeirou=si/,ἐγχειρέω,verb,ti,τις,pronoun,pra/ttein,πράσσω,verb,to\,ὁ,article,paranomei=n,παρανομέω,verb,kai\,καί,conjunction,katafronei=n,καταφρονέω,verb,tw=n,ὁ,article,w(risme/nwn,ὁρίζω,verb,dikai/wn,δίκαιος,adjective,a)nagkai=o/n,ἀναγκαῖος,adjective,e)stin,εἰμί,verb,a(/pantas,ἅπας,adjective,a)polau/ein,ἀπολαύω,verb,tou\s,ὁ,article,mete/xontas,μετέχω,verb,th=s,ὁ,article,po/lews,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/sper,ὥσπερ,adverb,ga\r,γάρ,particle,tw=n,ὁ,article,e)n,ἐν,preposition,tai=s,ὁ,article,nausi\n,ναῦς,noun,a(marthma/twn,ἁμάρτημα,noun,a(\,ὅς,pronoun,sumbai/nei,συμβαίνω,verb,peri\,περί,preposition,tou\s,ὁ,article,plou=s,πλόος,noun,o(/tan,ὅταν,conjunction,me\n,μέν,particle,tw=n,ὁ,article,nautw=n,ναύτης,noun,tis,τις,pronoun,a(ma/rth|,ἁμαρτάνω,verb,braxei=an,βραχύς,adjective,th\n,ὁ,article,bla/bhn,βλάβος,noun,h)/negken,φέρω,verb,o(/tan,ὅταν,conjunction,d',δέ,particle,o(,ὁ,article,kubernh/ths,κυβερνήτης,noun,a)posfalh=|,ἀποσφάλλω,verb,koinh\n,κοινός,adjective,th\n,ὁ,article,a)tuxi/an,ἀτυχία,noun,a(/pasi,ἅπας,adjective,toi=s,ὁ,article,e)mple/ousi,ἐμπλέω,verb,pareskeu/asen,παρασκευάζω,verb,w(sau/tws,ὡσαύτως,adverb,ta\,ὁ,article,me\n,μέν,particle,tw=n,ὁ,article,i)diwtw=n,ἰδιώτης,noun,a(marth/mata,ἁμάρτημα,noun,ou)k,οὐ,adverb,ei)s,εἰς,preposition,to\,ὁ,article,plh=qos,πλῆθος,noun,ei)s,εἰς,preposition,d',δέ,particle,au)tou\s,αὐτός,pronoun,h)/negke,φέρω,verb,ta\s,ὁ,article,bla/bas,βλάβη,adjective,ta\,ὁ,article,de\,δέ,particle,tw=n,ὁ,article,a)rxo/ntwn,ἄρχων,noun,kai\,καί,conjunction,politeuome/nwn,πολιτεύω,verb,ei)s,εἰς,preposition,a(/pantas,ἅπας,adjective,a)fiknei=tai,ἀφικνέομαι,verb,,,
dio\,διό,conjunction,kai\,καί,conjunction,ta\s,ὁ,article,timwri/as,τιμωρία,noun,o(,ὁ,article,*so/lwn,Σόλων,proper,toi=s,ὁ,article,me\n,μέν,particle,i)diw/tais,ἰδιώτης,noun,e)poi/hse,ποιέω,verb,bradei/as,βραδύς,adjective,tai=s,ὁ,article,d',δέ,particle,a)rxai=s,ἀρχή,noun,kai\,καί,conjunction,toi=s,ὁ,article,dhmagwgoi=s,δημαγωγός,noun,taxei/as,ταχύς,adjective,u(polamba/nwn,ὑπολαμβάνω,verb,toi=s,ὁ,article,me\n,μέν,particle,e)nde/xesqai,ἐνδέχομαι,verb,kai\,καί,conjunction,para\,παρά,preposition,to\n,ὁ,article,xro/non,χρόνος,noun,to\,ὁ,article,di/kaion,δίκαιος,adjective,labei=n,λαμβάνω,verb,toi=s,ὁ,article,d',δέ,particle,ou)k,οὐ,adverb,e)nei=nai,ἐνίημι,verb,perimei=nai,περιμένω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,ga\r,γάρ,particle,timwrhso/menon,τιμωρέω,verb,ou)x,οὐ,adverb,u(pe/stai,ὕπειμι,verb,th=s,ὁ,article,politei/as,πολιτεία,noun,kataluqei/shs,καταλύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou/tois,οὗτος,pronoun,toi=s,ὁ,article,dikai/ois,δίκαιος,adjective,ou)dei\s,οὐδείς,pronoun,ou(/tws,οὕτως,adverb,ou)/t',οὔτε,adverb,a)naidh\s,ἀναιδής,adjective,ou)/q',οὔτε,adverb,u(pe\r,ὑπέρ,preposition,u(ma=s,σύ,pronoun,fronw=n,φρονέω,verb,e)sti\n,εἰμί,verb,o(/stis,ὅστις,pronoun,a)ntile/gein,ἀντιλέγω,verb,e)pixeirh/sei,ἐπιχείρησις,noun,plh\n,πλήν,preposition,*)aristogei/tonos,Ἀριστογείτων,proper,toutoui\,οὗτος,pronoun,kai\,καί,conjunction,th=s,ὁ,article,tou/tou,οὗτος,pronoun,ponhri/as,πονηρία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,pa/sas,πᾶς,adjective,kai\,καί,conjunction,ta\s,ὁ,article,a)rxa\s,ἀρχή,noun,kai\,καί,conjunction,tou\s,ὁ,article,politeuome/nous,πολιτεύω,verb,eu(rh/somen,εὑρίσκω,verb,e)peida\n,ἐπειδάν,conjunction,a(/pac,ἅπαξ,adverb,ti,τις,pronoun,katagnw=q',καταγιγνώσκω,verb,u(mei=s,σύ,pronoun,tou/tois,οὗτος,pronoun,e)mme/nontas,ἐμμένω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou=to,οὗτος,pronoun,me\n,μέν,particle,ga\r,γάρ,particle,o(/tan,ὅταν,conjunction,a)poxeirotonhqw=si,ἀποχειροτονέω,verb,tines,τις,pronoun,tw=n,ὁ,article,e)n,ἐν,preposition,tai=s,ὁ,article,a)rxai=s,ἀρχή,noun,paraxrh=ma,παραχρῆμα,adverb,pe/pauntai,παύω,verb,a)/rxontes,ἄρχων,noun,kai\,καί,conjunction,tou\s,ὁ,article,stefa/nous,στέφανος,noun,perih/|rhntai,περιαιρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
