word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/61/lemma/@_entry,word/61/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS
*)epi/kouros,Ἐπίκουρος,proper,*menoikei=,Μενοικεύς,proper,xai/rein,χαίρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*mh/te,μήτε,particle,ne/os,νέος,adjective,tis,τις,pronoun,w)\n,εἰμί,verb,melle/tw,μέλλω,verb,filosofei=n,φιλοσοφέω,verb,mh/te,μήτε,particle,ge/rwn,γέρων,noun,u(pa/rxwn,ὑπάρχω,verb,kopia/tw,κοπιάω,verb,filosofw=n,φιλοσοφέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/te,οὔτε,adverb,ga\r,γάρ,particle,a)/wros,ἄωρος,adjective,ou)dei/s,οὐδείς,pronoun,e)stin,εἰμί,verb,ou)/te,οὔτε,adverb,pa/rwros,πάρωρος,adjective,pro\s,πρός,preposition,to\,ὁ,article,kata\,κατά,preposition,yuxh\n,ψυχή,noun,u(giai=non,ὑγιαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,le/gwn,λέγω,verb,h)\,ἠέ,conjunction,mh/pw,μήπω,adverb,tou=,ὁ,article,filosofei=n,φιλοσοφέω,verb,u(pa/rxein,ὑπάρχω,verb,w(/ran,ὥρα,adjective,h)\,ἠέ,conjunction,parelhluqe/nai,παρέρχομαι,verb,th\n,ὁ,article,w(/ran,ὥρα,adjective,o(/moio/s,ὅμοιος,adjective,e)sti,εἰμί,verb,tw=i,τίς,pronoun,le/gonti,λέγω,verb,pro\s,πρός,preposition,eu)daimoni/an,εὐδαιμονία,noun,h)\,ἠέ,conjunction,mh\,μή,conjunction,parei=nai,πάρειμι,verb,th\n,ὁ,article,w(/ran,ὥρα,adjective,h)\,ἠέ,conjunction,mhke/ti,μηκέτι,adverb,ei)=nai,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/ste,ὥστε,conjunction,filosofhte/on,φιλοσοφητέον,adjective,kai\,καί,conjunction,ne/wi,νέος,adjective,kai\,καί,conjunction,ge/ronti,γέρων,noun,tw=i,τίς,pronoun,me\n,μέν,particle,o(/pws,ὅπως,conjunction,ghra/skwn,γηράσκω,verb,nea/zhi,,,toi=s,ὁ,article,a)gaqoi=s,ἀγαθός,adjective,dia\,διά,preposition,th\n,ὁ,article,xa/rin,χάρις,noun,tw=n,ὁ,article,gegono/twn,γίγνομαι,verb,tw=i,τίς,pronoun,de\,δέ,particle,o(/pws,ὅπως,conjunction,ne/os,νέος,adjective,a(/ma,ἅμα,adverb,kai\,καί,conjunction,palaio\s,παλαιός,adjective,h)=i,εἰμί,verb,dia\,διά,preposition,th\n,ὁ,article,a)fobi/an,ἀφοβία,noun,tw=n,ὁ,article,mello/ntwn,μέλλω,verb,meleta=n,μελέτη,noun,ou)=n,οὖν,particle,xrh\,χρή,verb,ta\,ὁ,article,poiou=nta,ποιέω,verb,th\n,ὁ,article,eu)daimoni/an,εὐδαιμονία,noun,ei)/per,εἴπερ,conjunction,parou/shs,πάρειμι,verb,me\n,μέν,particle,au)th=s,αὐτός,pronoun,pa/nta,πᾶς,adjective,e)/xomen,ἔχω,verb,a)pou/shs,ἄπειμι,verb,de\,δέ,particle,pa/nta,πᾶς,adjective,pra/ttomen,πράσσω,verb,ei)s,εἰς,preposition,to\,ὁ,article,tau/thn,οὗτος,pronoun,e)/xein,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(\a,ὁ,article,de/,δέ,particle,soi,σύ,pronoun,sunexw=s,συνεχής,adverb,parh/ggellon,παραγγέλλω,verb,tau=ta,οὗτος,pronoun,kai\,καί,conjunction,pra=tte,πράσσω,verb,kai\,καί,conjunction,mele/ta,μελετάω,verb,stoixei=a,στοιχεῖον,noun,tou=,ὁ,article,kalw=s,καλός,noun,zh=n,ζάω,verb,tau=t',οὗτος,pronoun,ei)=nai,εἰμί,verb,dialamba/nwn,διαλαμβάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*prw=ton,πρότερος,adjective,me\n,μέν,particle,to\n,ὁ,article,qeo\n,θεός,noun,zw=ion,,,a)/fqarton,ἄφθαρτος,adjective,kai\,καί,conjunction,maka/rion,μακάριος,adjective,nomi/zwn,νομίζω,verb,w(s,ὡς,conjunction,h(,ὁ,article,koinh\,κοινός,adjective,tou=,ὁ,article,qeou=,θεός,noun,no/hsis,νόησις,adjective,u(pegra/fh,ὑπογράφω,verb,mhqe\n,μηδείς,pronoun,mh/te,μήτε,particle,th=s,ὁ,article,a)fqarsi/as,ἀφθαρσία,noun,a)llo/trion,ἀλλότριος,adjective,mh/te,μήτε,particle,th=s,ὁ,article,makario/thtos,μακαριότης,noun,a)noi/keion,ἀνοίκειος,adjective,au)tw=i,αὐτός,pronoun,pro/sapte,προσάπτω,verb,pa=n,πᾶς,adjective,de\,δέ,particle,to\,ὁ,article,fula/ttein,φυλάσσω,verb,au)tou=,αὐτός,pronoun,duna/menon,δύναμαι,verb,th\n,ὁ,article,meta\,μετά,preposition,a)fqarsi/as,ἀφθαρσία,noun,makario/thta,μακαριότης,noun,peri\,περί,preposition,au)to\n,αὐτός,pronoun,do/caze,δοξάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qeoi\,θεός,noun,me\n,μέν,particle,ga\r,γάρ,particle,ei)si/n,εἰμί,verb,e)nargh\s,ἐναργής,adverb,ga\r,γάρ,particle,au)tw=n,αὐτός,pronoun,e)stin,εἰμί,verb,h(,ὁ,article,gnw=sis,γνῶσις,noun,oi(/ous,οἷος,adjective,d',δέ,particle,au)tou\s,αὐτός,pronoun,oi(,ὁ,article,polloi\,πολύς,adjective,nomi/zousin,νομίζω,verb,ou)k,οὐ,adverb,ei)si/n,εἰμί,verb,ou),οὐ,adverb,ga\r,γάρ,particle,fula/ttousin,φυλάσσω,verb,au)tou\s,αὐτός,pronoun,oi(/ous,οἷος,adjective,nomi/zousin,νομίζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)sebh\s,ἀσεβής,adjective,de\,δέ,particle,ou)x,οὐ,adverb,o(,ὁ,article,tou\s,ὁ,article,tw=n,ὁ,article,pollw=n,πολύς,adjective,qeou\s,θεός,noun,a)nairw=n,ἀναιρέω,verb,a)ll',ἀλλά,adverb,o(,ὁ,article,ta\s,ὁ,article,tw=n,ὁ,article,pollw=n,πολύς,adjective,do/cas,δοκέω,verb,qeoi=s,θεός,noun,prosa/ptwn,προσάπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou),οὐ,adverb,ga\r,γάρ,particle,prolh/yeis,πρόληψις,noun,ei)si\n,εἰμί,verb,a)ll',ἀλλά,adverb,u(polh/yeis,ὑπόληψις,noun,yeudei=s,ψευδής,adverb,ai(,ὁ,article,tw=n,ὁ,article,pollw=n,πολύς,adjective,u(pe\r,ὑπέρ,preposition,qew=n,θέα,noun,a)pofa/seis,ἀπόφασις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
