word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS
e)s,εἰς,preposition,*trapezou=nta,Τραπεζόεις,proper,h(/komen,ἥκω,verb,po/lin,πόλις,adjective,*(ellhni/da,Ἑλληνίς,proper,w(s,ὡς,conjunction,le/gei,λέγω,verb,o(,ὁ,article,*cenofw=n,Ξενοφῶν,proper,e)kei=nos,ἐκεῖνος,pronoun,e)pi\,ἐπί,preposition,qala/ssh|,θάλασσα,noun,w)|kisme/nhn,οἰκίζω,verb,*sinwpe/wn,Σινώπη,proper,a)/poikon,ἄποικος,adjective,kai\,καί,conjunction,th\n,ὁ,article,qa/lassan,θάλασσα,noun,th\n,ὁ,article,tou=,ὁ,article,*eu)cei/nou,Εὔξεινος,proper,a)/smenoi,ἄσμενος,adjective,katei/domen,κάτοιδα,verb,o(/qenper,ὅθεν,adverb,kai\,καί,conjunction,*cenofw=n,Ξενοφῶν,proper,kai\,καί,conjunction,su/,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,oi(,ὁ,article,bwmoi\,βωμός,noun,a)nesta=sin,ἀνίστημι,verb,h)/dh,ἤδη,adverb,li/qou,λίθος,adjective,me/ntoi,μέντοι,particle,ge,γε,particle,tou=,ὁ,article,traxe/os,τραχύς,adjective,kai\,καί,conjunction,ta\,ὁ,article,gra/mmata,γράμμα,noun,dia\,διά,preposition,tou=to,οὗτος,pronoun,ou)k,οὐ,adverb,eu)/dhla,εὔδηλος,adjective,kexa/raktai,χαράσσω,verb,to\,ὁ,article,de\,δέ,particle,*(ellhniko\n,Ἑλληνικός,adjective,e)pi/gramma,ἐπίγραμμα,noun,kai\,καί,conjunction,h(marthme/nws,ἡμαρτημένως,adverb,ge/graptai,γράφω,verb,oi(=a,οἷος,adjective,dh\,δή,particle,u(po\,ὑπό,preposition,barba/rwn,βάρβαρος,adjective,grafe/n,γράφω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/gnwka,γιγνώσκω,verb,ou)=n,οὖν,particle,tou/s,ὁ,article,te,τε,particle,bwmou\s,βωμός,noun,li/qou,λίθος,adjective,leukou=,λευκός,adjective,a)naqei=nai,ἀνατίθημι,verb,kai\,καί,conjunction,ta\,ὁ,article,e)pigra/mmata,ἐπίγραμμα,noun,e)gxara/cai,ἐγχαράσσω,verb,eu)sh/mois,εὔσημος,adjective,toi=s,ὁ,article,gra/mmasin,γράμμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,a)ndria\s,ἀνδριάς,noun,e(/sthken,ἵστημι,verb,o(,ὁ,article,so\s,σός,adjective,to\,ὁ,article,me\n,μέν,particle,sxh=ma,σχῆμα,noun,e)pithdei/ws,ἐπιτήδειος,adjective,a)podei/knusin,ἀποδείκνυμι,verb,ga\r,γάρ,particle,th\n,ὁ,article,qa/lassan,θάλασσα,noun,th\n,ὁ,article,de\,δέ,particle,e)rgasi/an,ἐργασία,noun,ou)/te,οὔτε,adverb,o(/moio/s,ὅμοιος,adjective,soi,σύ,pronoun,ou)/te,οὔτε,adverb,a)/llws,ἄλλως,adverb,kalo/s,καλός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(/ste,ὥστε,conjunction,pe/myon,πέμπω,verb,a)ndria/nta,ἀνδριάς,noun,a)/cion,ἄξιος,adjective,e)ponoma/zesqai,ἐπονομάζω,verb,so\n,σός,adjective,e)n,ἐν,preposition,tw=|,ὁ,article,au)tw=|,αὐτός,pronoun,tou/tw|,οὗτος,pronoun,sxh/mati,σχῆμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,ga\r,γάρ,particle,xwri/on,χωρίον,noun,e)pithdeio/taton,ἐπιτήδειος,adjective,e)s,εἰς,preposition,mnh/mhn,μνήμη,noun,ai)w/nion,αἰώνιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pepoi/htai,ποιέω,verb,de\,δέ,particle,kai\,καί,conjunction,o(,ὁ,article,new\s,ναός,noun,li/qou,λίθος,adjective,tetragw/nou,τετράγωνος,adjective,ou),οὐ,adverb,fau/lws,φαῦλος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)lla\,ἀλλά,adverb,to\,ὁ,article,tou=,ὁ,article,*(ermou=,Ἑρμῆς,proper,a)/galma,ἄγαλμα,noun,ou)/te,οὔτε,adverb,tou=,ὁ,article,new\,ναός,noun,a)/cio/n,ἄξιος,adjective,e)stin,εἰμί,verb,ou)/te,οὔτε,adverb,au)tou=,αὐτός,pronoun,tou=,ὁ,article,xwri/ou,χωρίον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,de/,δέ,particle,soi,σύ,pronoun,dokei=,δοκέω,verb,pe/myon,πέμπω,verb,moi,ἐγώ,pronoun,penta/poun,,,ma/lista,μάλιστα,adverb,*(ermou=,Ἑρμῆς,proper,a)/galma,ἄγαλμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thlikou=ton,τηλικοῦτος,adjective,ga/r,γάρ,particle,moi,ἐγώ,pronoun,dokei=,δοκέω,verb,e)/sesqai,εἰμί,verb,w(/s,ὡς,conjunction,ge,γε,particle,pro\s,πρός,preposition,to\n,ὁ,article,new\n,ναός,noun,su/mmetron,σύμμετρος,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
