word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS
oi(=on,οἷος,adjective,o(,ὁ,article,tw)po/llwnos,Ἀπόλλων,proper,e)sei/sato,εἴσειμι,verb,da/fninos,δαίς,adjective,o(/rphc,ὄρπηξ,noun,oi(=a,οἷος,adjective,d',δέ,particle,o(/lon,ὅλος,adjective,to\,ὁ,article,me/laqron,μέλαθρον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e(ka\s,ἑκάς,adjective,e(ka\s,ἑκάς,adjective,o(/stis,ὅστις,pronoun,a)litro/s,ἀλιτρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,dh/,δή,particle,pou,πού,adverb,ta\,ὁ,article,qu/retra,θύρετρα,adjective,kalw=i,καλός,noun,podi\,ποδίς,noun,*foi=bos,Φοῖβος,proper,a)ra/ssei,ἀράσσω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)x,οὐ,adverb,o(ra/ais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pe/neusen,ἐπινέω,verb,o(,ὁ,article,*dh/lios,Δήλιος,proper,h(du/,ἡδύς,adjective,ti,τις,pronoun,foi=nic,φοῖνιξ,noun,e)capi/nhs,ἐξαπίνης,adverb,o(,ὁ,article,de\,δέ,particle,ku/knos,κύκνος,noun,e)n,ἐν,preposition,h)e/ri,ἀήρ,adjective,kalo\n,καλός,noun,a)ei/dei,ἀείδω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)toi\,αὐτός,pronoun,nu=n,νῦν,adverb,katoxh=es,κατοχεύς,noun,a)nakli/nesqe,ἀνακλίνω,verb,pula/wn,πύλη,adjective,au)tai\,αὐτός,pronoun,de\,δέ,particle,klhi=des,κλείς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,ga\r,γάρ,particle,qeo\s,θεός,noun,ou)k,οὐ,adverb,e)/ti,ἔτι,adverb,makrh/n,μακρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,de\,δέ,particle,ne/oi,νέος,adjective,molph/n,μολπή,noun,te,τε,particle,kai\,καί,conjunction,e)s,εἰς,preposition,xoro\n,χορός,noun,e)ntu/nesqe,ἐντύνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(po/llwn,,,ou),οὐ,adverb,panti\,πᾶς,adjective,faei/netai,φαίνω,verb,a)ll',ἀλλά,adverb,o(/,ὅς,pronoun,tis,τις,pronoun,e)sqlo/s,ἐσθλός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/s,ὅς,pronoun,min,μιν,pronoun,i)/dhi,εἶδον,verb,me/gas,μέγας,adverb,ou(=tos,οὗτος,pronoun,o(\s,ὅς,pronoun,ou)k,οὐ,adverb,i)/de,εἶδον,verb,lito\s,λιτός,adjective,e)kei=nos,ἐκεῖνος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)yo/meq',ὁράω,verb,w)=,ὦ,interjection,*(eka/erge,Ἑκάεργος,proper,kai\,καί,conjunction,e)sso/meq',ἔσσομαι,verb,ou)/pote,οὔποτε,adverb,litoi/,λιτός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh/te,μήτε,particle,siwphlh\n,σιωπηλός,adverb,ki/qarin,κίθαρις,noun,mh/t',μήτε,particle,a)/yofon,ἄψοφος,adverb,i)/xnos,ἴχνος,noun,tou=,ὁ,article,*foi/bou,Φοῖβος,proper,tou\s,ὁ,article,pai=das,παῖς,adjective,e)/xein,ἔχω,verb,e)pidhmh/santos,ἐπιδημέω,verb,ei),εἰ,conjunction,tele/ein,τέλλω,verb,me/llousi,μέλλω,verb,ga/mon,γάμος,adjective,polih/n,πολιά,noun,te,τε,particle,kerei=sqai,κείρω,verb,e(sth/cein,ἵστημι,verb,de\,δέ,particle,to\,ὁ,article,tei=xos,τεῖχος,noun,e)p',ἐπί,preposition,a)rxai/oisi,ἀρχαῖος,adjective,qeme/qlois,θέμεθλα,noun,,,,,,,,,,,,,,,
h)gasa/mhn,ἄγαμαι,verb,tou\s,ὁ,article,pai=das,παῖς,adjective,e)pei\,ἐπεί,conjunction,xe/lus,χέλυς,noun,ou)ke/t',οὐκέτι,adverb,a)ergo/s,ἀεργός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)fhmei=t',εὐφημέω,verb,a)i/ontes,ἀίω,verb,e)p',ἐπί,preposition,*)apo/llwnos,Ἀπόλλων,proper,a)oidh=i,ἀοιδάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)fhmei=,εὐφημέω,verb,kai\,καί,conjunction,po/ntos,πόντος,noun,o(/te,ὅτε,conjunction,klei/ousin,κλέω,verb,a)oidoi/,ἀοιδός,noun,h)\,ἠέ,conjunction,ki/qarin,κίθαρις,noun,h)\,ἠέ,conjunction,to/ca,τόξον,noun,*lukwre/os,Λυκωρεύς,proper,e)/ntea,ἔντεα,noun,*foi/bou,Φοῖβος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)de\,οὐδέ,particle,*qe/tis,Θέτις,proper,*)axilh=a,Ἀχιλλεύς,proper,kinu/retai,κινύρομαι,verb,ai)/lina,αἴλινον,noun,mh/thr,μήτηρ,noun,o(ppo/q',ὁπόθι,adverb,i(h\,,,paih=on,Παιάν,proper,i(h\,,,paih=on,Παιάν,proper,a)kou/shi,ἄκουσις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
