word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS
ei),εἰ,conjunction,me\n,μέν,particle,o(/tw|,ὅστις,pronoun,plei=stoi,πλεῖστος,adjective,sunei/poien,συνεῖπον,verb,w)=,ὦ,interjection,boulh/,βουλή,noun,to\,ὁ,article,yh/fism',ψήφισμα,noun,e)ke/leue,κελεύω,verb,dou=nai,δίδωμι,verb,to\n,ὁ,article,ste/fanon,στέφανος,noun,ka)\n,κἀν,conjunction,a)no/htos,ἀνόητος,adjective,h)=n,εἰμί,verb,ei),εἰ,conjunction,labei=n,λαμβάνω,verb,au)to\n,αὐτός,pronoun,h)ci/oun,ἀξιόω,verb,*khfisodo/tou,Κηφισόδοτος,proper,mo/nou,μόνος,adjective,moi,ἐγώ,pronoun,suneirhko/tos,συνερέω,verb,tou/tois,οὗτος,pronoun,de\,δέ,particle,pampo/llwn,παμπολύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,de\,δέ,particle,tw=|,ὁ,article,prw/tw|,πρότερος,adjective,paraskeua/santi,παρασκευάζω,verb,th\n,ὁ,article,trih/rh,τριήρης,noun,to\n,ὁ,article,tami/an,ταμία,noun,prose/tacen,προστάσσω,verb,o(,ὁ,article,dh=mos,δῆμος,noun,dou=nai,δίδωμι,verb,pepoi/hka,ποιέω,verb,de\,δέ,particle,tou=t',οὗτος,pronoun,e)gw/,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dio/,διό,conjunction,fhmi,φημί,verb,dei=n,δέω,verb,au)to\s,αὐτός,pronoun,stefanou=sqai,στεφανόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qauma/zw,θαυμάζω,verb,de\,δέ,particle,kai\,καί,conjunction,tou/twn,οὗτος,pronoun,o(/ti,ὅστις,pronoun,th=s,ὁ,article,trih/rous,τριήρης,noun,a)melh/santes,ἀμελέω,verb,tou\s,ὁ,article,r(h/toras,ῥήτωρ,noun,pareskeu/asan,παρασκευάζω,verb,kai\,καί,conjunction,dokou=si/,δοκέω,verb,moi,ἐγώ,pronoun,panto\s,πᾶς,adjective,dihmarthke/nai,διαμαρτάνω,verb,tou=,ὁ,article,pra/gmatos,πρᾶγμα,noun,kai\,καί,conjunction,nomi/zein,νομίζω,verb,ou)xi\,οὐ,adverb,toi=s,ὁ,article,poiou=sin,ποιέω,verb,a(\,ὅς,pronoun,dei=,δέομαι,verb,xa/rin,χάρις,noun,u(ma=s,σύ,pronoun,e)/xein,ἔχω,verb,a)lla\,ἀλλά,adverb,toi=s,ὁ,article,fa/skousin,φάσκω,verb,ou),οὐ,adverb,to\n,ὁ,article,au)to\n,αὐτός,pronoun,tro/pon,τρόπος,noun,e)gnwko/tes,γιγνώσκω,verb,o(/nper,ὅς,pronoun,e)gw\,ἐγώ,pronoun,peri\,περί,preposition,u(mw=n,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,kat',κατά,preposition,au)to\,αὐτός,pronoun,dh\,δή,particle,tou=to,οὗτος,pronoun,dikai/ws,δίκαιος,adjective,a)\n,ἄν,particle,e)/xoit',ἔχω,verb,eu)noi+kwte/rws,εὐνοικός,adjective,e)moi/,ἐγώ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fai/nomai,φαίνω,verb,ga\r,γάρ,particle,belti/ous,βελτίων,adverb,u(ma=s,σύ,pronoun,u(polamba/nwn,ὑπολαμβάνω,verb,h)\,ἠέ,conjunction,ou(=toi,οὗτος,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)xrh=n,χρή,verb,me\n,μέν,particle,ou)=n,οὖν,particle,w)=,ὦ,interjection,a)/ndres,ἀνήρ,noun,*)aqhnai=oi,Ἀθηναῖος,proper,kai\,καί,conjunction,di/kaion,δίκαιος,adjective,h)=n,εἰμί,verb,tou\s,ὁ,article,to\n,ὁ,article,ste/fanon,στέφανος,noun,oi)ome/nous,οἴομαι,verb,dei=n,δέω,verb,par',παρά,preposition,u(mw=n,σύ,pronoun,labei=n,λαμβάνω,verb,au(tou\s,ἑαυτοῦ,pronoun,a)ci/ous,ἄξιος,adjective,e)pideiknu/nai,ἐπιδείκνυμι,verb,tou/tou,οὗτος,pronoun,mh\,μή,conjunction,e)me\,ἐγώ,pronoun,kakw=s,κακός,adjective,le/gein,λέγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)peidh\,ἐπεί,conjunction,de\,δέ,particle,tou=to,οὗτος,pronoun,pare/ntes,παρίημι,verb,e)kei=no,ἐκεῖνος,pronoun,poiou=sin,ποιέω,verb,a)mfo/ter',ἀμφότερος,adjective,au)tou\s,αὐτός,pronoun,e)pidei/cw,ἐπιδείκνυμι,verb,yeudome/nous,ψεύδω,verb,a(/,ὅς,pronoun,q',τε,particle,au(tou\s,ἑαυτοῦ,pronoun,e)nekwmi/asan,ἐγκωμιάζω,verb,kai\,καί,conjunction,o(/s',ὅσος,adjective,ei)s,εἰς,preposition,h(ma=s,ἐγώ,pronoun,e)blasfh/mhsan,βλασφημέω,verb,e)c,ἐκ,preposition,au)tw=n,αὐτός,pronoun,tw=n,ὁ,article,pepragme/nwn,πράσσω,verb,e(kate/rois,ἑκάτερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yh/fisma,ψήφισμα,noun,ga\r,γάρ,particle,u(mw=n,σύ,pronoun,poihsame/nwn,ποιέω,verb,o(\s,ὅς,pronoun,a)\n,ἄν,particle,mh\,μή,conjunction,pro\,πρό,preposition,th=s,ὁ,article,e(/nhs,ἕνος,adjective,kai\,καί,conjunction,ne/as,ναῦς,noun,e)pi\,ἐπί,preposition,xw=ma,χῶμα,noun,th\n,ὁ,article,nau=n,ναῦς,noun,periormi/sh|,περιορμίζω,verb,dh=sai,δέομαι,verb,kai\,καί,conjunction,dikasthri/w|,δικαστήριον,noun,paradou=nai,παραδίδωμι,verb,kai\,καί,conjunction,tau=ta,οὗτος,pronoun,kurwsa/ntwn,κυρόω,verb,e)gw\,ἐγώ,pronoun,me\n,μέν,particle,periw/rmisa,περιορμίζω,verb,kai\,καί,conjunction,ste/fanon,στέφανος,noun,dia\,διά,preposition,tau=ta,οὗτος,pronoun,par',παρά,preposition,u(mw=n,σύ,pronoun,e)/labon,λαμβάνω,verb,ou(=toi,οὗτος,pronoun,d',δέ,particle,ou)de\,οὐδέ,particle,kaqei/lkusan,καθέλκω,verb,w(/st',ὥστε,conjunction,e)/noxoi,ἔνοχος,adjective,desmw=|,δεσμός,noun,gego/nasin,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pw=s,πῶς,adverb,ou)=n,οὖν,particle,ou)k,οὐ,adverb,a)topw/taton,ἄτοπος,adjective,a)\n,ἄν,particle,diapra/caisq',διαπράσσω,verb,e)/rgon,ἔργον,noun,ei),εἰ,conjunction,tou\s,ὁ,article,kaq',κατά,preposition,e(autw=n,ἑαυτοῦ,pronoun,e)a/santas,ἀίω,verb,ti/mhma,τίμημα,noun,toiou=ton,τοιοῦτος,adjective,e)paxqh=nai,ἐπάγω,verb,tou/tous,οὗτος,pronoun,stefanw/santes,στεφανόω,verb,u(mei=s,σύ,pronoun,fai/noisqe,φαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
