word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS
*ka/dmou,Κάδμος,proper,poli=tai,πολίτης,noun,xrh\,χρή,verb,le/gein,λέγω,verb,ta\,ὁ,article,kai/ria,καίριος,adjective,o(/stis,ὅστις,pronoun,fula/ssei,φυλάσσω,verb,pra=gos,πρᾶγος,noun,e)n,ἐν,preposition,pru/mnh|,πρύμνα,adjective,po/lews,πόλις,adjective,oi)/aka,οἴαξ,noun,nwmw=n,νωμάω,verb,ble/fara,βλέφαρον,noun,mh\,μή,conjunction,koimw=n,κοιμάω,verb,u(/pnw|,ὕπνον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,me\n,μέν,particle,ga\r,γάρ,particle,eu)=,εὖ,adverb,pra/caimen,πράσσω,verb,ai)ti/a,αἰτία,noun,qeou=,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',δέ,particle,au)=q',αὖθι,adverb,o(\,ὅς,pronoun,mh\,μή,conjunction,ge/noito,γίγνομαι,verb,sumfora\,συμφορά,noun,tu/xoi,τυγχάνω,verb,*)eteokle/hs,Ἐτεοκλῆς,proper,a)\n,ἄν,particle,ei(=s,εἷς,adjective,polu\s,πολύς,adjective,kata\,κατά,preposition,pto/lin,πόλις,adjective,u(mnoi=q',ὑμνέω,verb,u(p',ὑπό,preposition,a)stw=n,ἄστυ,noun,froimi/ois,φροίμιον,noun,polurro/qois,πολύρροθος,adjective,oi)mw/gmasi/n,οἴμωγμα,noun,q',τε,particle,w(=n,ὅς,pronoun,*zeu\s,Ζεύς,proper,a)lechth/rios,ἀλεξητήριος,adjective,e)pw/numos,ἐπώνυμος,adjective,ge/noito,γίγνομαι,verb,*kadmei/wn,Καδμεῖος,proper,po/lei,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(ma=s,σύ,pronoun,de\,δέ,particle,xrh\,χρή,verb,nu=n,νῦν,adverb,kai\,καί,conjunction,to\n,ὁ,article,e)llei/pont',ἐλλείπω,verb,e)/ti,ἔτι,adverb,h(/bhs,ἥβη,noun,a)kmai/as,ἀκμαῖος,adjective,kai\,καί,conjunction,to\n,ὁ,article,e)/chbon,ἔξηβος,adjective,xro/nw|,χρόνος,noun,blasthmo\n,βλαστημός,noun,a)ldai/nonta,ἀλδαίνω,verb,sw/matos,σῶμα,adjective,polu/n,πολύς,adjective,w(/ran,ὥρα,adjective,t',τε,particle,e)/xonq',ἔχω,verb,e(/kaston,ἕκαστος,adjective,w(/ste,ὥστε,conjunction,sumprepe/s,συμπρεπής,adjective,po/lei,πόλις,adjective,t',τε,particle,a)rh/gein,ἀρήγω,verb,kai\,καί,conjunction,qew=n,θέα,noun,e)gxwri/wn,ἐγχώριος,adjective,bwmoi=si,βωμός,noun,tima\s,τιμή,noun,mh\,μή,conjunction,'caleifqh=nai/,ἐξαλείφω,verb,pote,ποτέ,particle,,,,,,,,,,,,,,,,,,,,,
te/knois,τέκνον,noun,te,τε,particle,*gh=|,Γαῖα,proper,te,τε,particle,mhtri/,μήτηρ,noun,filta/th|,φίλτατος,adjective,trofw=|,τροφός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,ga\r,γάρ,particle,ne/ous,νέος,adjective,e(/rpontas,ἕρπω,verb,eu)menei=,εὐμενέω,verb,pe/dw|,πέδον,noun,a(/panta,ἅπας,adjective,pandokou=sa,πανδοκέω,verb,paidei/as,παιδεία,noun,o)/tlon,ὄτλος,noun,e)qre/yat',τρέφω,verb,oi)khth=ras,οἰκητήρ,noun,a)spidhfo/rous,ἀσπιδηφόρος,adjective,pistou\s,πιστός,adjective,o(/pws,ὅπως,conjunction,ge/noisqe,γίγνομαι,verb,pro\s,πρός,preposition,xre/os,χρέος,noun,to/de,ὅδε,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,nu=n,νῦν,adverb,me\n,μέν,particle,e)s,εἰς,preposition,to/d',ὅδε,pronoun,h)=mar,ἦμαρ,noun,eu)=,εὖ,adverb,r(e/pei,ῥέπω,verb,qeo/s,θεός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xro/non,χρόνος,noun,ga\r,γάρ,particle,h)/dh,ἤδη,adverb,to/nde,ὅδε,pronoun,purghroume/nois,πυργηρέομαι,verb,kalw=s,καλός,noun,ta\,ὁ,article,plei/w,πλέως,adjective,po/lemos,πόλεμος,noun,e)k,ἐκ,preposition,qew=n,θέα,noun,kurei=,κυρέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',δέ,particle,w(s,ὡς,conjunction,o(,ὁ,article,ma/ntis,μάντις,noun,fhsi/n,φημί,verb,oi)wnw=n,οἰωνός,noun,both/r,βοτήρ,noun,e)n,ἐν,preposition,w)si\,οὖς,noun,nwmw=n,νωμάω,verb,kai\,καί,conjunction,fresi/n,φρήν,noun,puro\s,πῦρ,noun,di/xa,δίχα,adverb,xrhsthri/ous,χρηστήριος,adjective,o)/rniqas,ὄρνις,noun,a)yeudei=,ἀψευδέω,verb,te/xnh|,τέχνη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=tos,οὗτος,pronoun,toiw=nde,τοιόσδε,adjective,despo/ths,δεσπότης,adjective,manteuma/twn,μάντευμα,noun,le/gei,λέγω,verb,megi/sthn,μέγας,adverb,prosbolh\n,προσβολή,noun,*)axaii/da,Ἀχαιίς,proper,nukthgorei=sqai,νυκτηγορέω,verb,ka)pibouleu/sein,ἐπιβουλεύω,verb,po/lei,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
