word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS
neno/mistai,νομίζω,verb,me\n,μέν,particle,o)rqw=s,ὀρθός,adjective,ta\s,ὁ,article,fonika\s,φονικός,adjective,di/kas,δίκη,adjective,peri\,περί,preposition,plei/stou,πλεῖστος,adjective,tou\s,ὁ,article,kri/nontas,κρίνω,verb,poiei=sqai,ποιέω,verb,diw/kein,διώκω,verb,te,τε,particle,kai\,καί,conjunction,marturei=n,μαρτυρέω,verb,kata\,κατά,preposition,to\,ὁ,article,di/kaion,δίκαιος,adjective,mh/te,μήτε,particle,tou\s,ὁ,article,e)no/xous,ἔνοχος,adjective,a)fie/ntas,ἀφίημι,verb,mh/te,μήτε,particle,tou\s,ὁ,article,kaqarou\s,καθαρός,adjective,ei)s,εἰς,preposition,a)gw=na,ἀγών,noun,kaqista/ntas,καθίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/te,ὅτε,conjunction,ga\r,γάρ,particle,lto(gt,,,qeo\s,θεός,noun,boulo/menos,βούλομαι,verb,poih=sai,ποιέω,verb,to\,ὁ,article,a)nqrw/pinon,ἀνθρώπινος,adjective,fu=lon,φῦλον,noun,tou\s,ὁ,article,prw/tous,πρότερος,adjective,genome/nous,γίγνομαι,verb,e)/fusen,ἐφύω,verb,h(mw=n,ἐγώ,pronoun,trofe/as,τροφεύς,noun,te,τε,particle,kai\,καί,conjunction,ltswth=rasgt,,,pare/dwke,παραδίδωμι,verb,th\n,ὁ,article,gh=n,γῆ,noun,kai\,καί,conjunction,th\n,ὁ,article,qa/lassan,θάλασσα,noun,i(/na,ἵνα,conjunction,mh\,μή,conjunction,spa/nei,σπάνις,adjective,tw=n,ὁ,article,a)nagkai/wn,ἀναγκαῖον,noun,proapoqnh/|skoimen,προαποθνήσκω,verb,th=s,ὁ,article,ghraiou=,γηραιός,adjective,teleuth=s,τελευτή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/stis,ὅστις,pronoun,ou)=n,οὖν,particle,tou/twn,οὗτος,pronoun,u(po\,ὑπό,preposition,tou=,ὁ,article,qeou=,θεός,noun,a)ciwqe/ntos,ἀξιόω,verb,tou=,ὁ,article,bi/ou,βίος,adjective,h(mw=n,ἐγώ,pronoun,a)no/mws,ἄνομος,adjective,tina\,τις,pronoun,a)poktei/nei,ἀποκτείνω,verb,a)sebei=,ἀσεβής,adjective,me\n,μέν,particle,peri\,περί,preposition,tou\s,ὁ,article,qeou/s,θεός,noun,sugxei=,συγχέω,verb,de\,δέ,particle,ta\,ὁ,article,no/mima,νόμιμος,adjective,tw=n,ὁ,article,a)nqrw/pwn,ἄνθρωπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/,ὅς,pronoun,te,τε,particle,ga\r,γάρ,particle,a)poqanw/n,ἀποθνήσκω,verb,stero/menos,στέρομαι,verb,w(=n,ὅς,pronoun,o(,ὁ,article,qeo\s,θεός,noun,e)/dwken,δίδωμι,verb,au)tw=|,αὐτός,pronoun,ei)ko/tws,ἐοικότως,adverb,qeou=,θεός,noun,timwri/an,τιμωρία,noun,u(polei/pei,ὑπολείπω,verb,th\n,ὁ,article,tw=n,ὁ,article,a)lithri/wn,ἀλιτήριος,adjective,dusme/neian,δυσμένεια,noun,h(\n,ὅς,pronoun,oi(,ἕ,pronoun,para\,παρά,preposition,to\,ὁ,article,di/kaion,δίκαιος,adjective,kri/nontes,κρίνω,verb,h)\,ἠέ,conjunction,marturou=ntes,μαρτυρέω,verb,sunasebou=ntes,συνασεβέω,verb,tw=|,ὁ,article,tau=ta,οὗτος,pronoun,drw=nti,δράω,verb,ou),οὐ,adverb,prosh=kon,προσήκω,verb,mi/asma,μίασμα,adjective,ei)s,εἰς,preposition,tou\s,ὁ,article,i)di/ous,ἴδιος,adjective,oi)/kous,οἶκος,noun,ei)sa/gontai,εἰσάγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(mei=s,ἐγώ,pronoun,te,τε,particle,oi(,ἕ,pronoun,timwroi\,τιμωρός,adjective,tw=n,ὁ,article,diefqarme/nwn,διαφθείρω,verb,ei),εἰ,conjunction,di',διά,preposition,a)/llhn,ἄλλος,adjective,tina\,τις,pronoun,e)/xqran,ἔχθρα,noun,tou\s,ὁ,article,a)naiti/ous,ἀναίω,verb,diw/koimen,διώκω,verb,tw=|,ὁ,article,me\n,μέν,particle,a)poqano/nti,ἀποθνήσκω,verb,ou),οὐ,adverb,timwrou=ntes,τιμωρέω,verb,deinou\s,δεινός,adjective,a)lithri/ous,ἀλιτήριος,adjective,e(/comen,ἔχω,verb,tou\s,ὁ,article,tw=n,ὁ,article,a)poqano/ntwn,ἀποθνήσκω,verb,prostropai/ous,προσχράω,verb,tou\s,ὁ,article,de\,δέ,particle,kaqarou\s,καθαρός,adjective,a)di/kws,ἄδικος,adjective,a)poktei/nontes,ἀποκτείνω,verb,e)/noxoi,ἔνοχος,adjective,tou=,ὁ,article,fo/nou,φόνος,noun,toi=s,ὁ,article,e)pitimi/ois,ἐπιτίμιον,noun,e)sme/n,εἰμί,verb,u(ma=s,σύ,pronoun,de\,δέ,particle,a)/noma,ἄνομος,adjective,dra=s,δράω,verb,pei/qontes,πείθω,verb,kai\,καί,conjunction,tou=,ὁ,article,u(mete/rou,ὑμέτερος,adjective,a(marth/matos,ἁμάρτημα,noun,u(pai/tioi,ὑπαίτιος,adjective,gigno/meqa,γίγνομαι,verb
e)gw\,ἐγώ,pronoun,me\n,μέν,particle,ou)=n,οὖν,particle,dediw\s,δείδω,verb,tau=ta,οὗτος,pronoun,ei)s,εἰς,preposition,u(ma=s,σύ,pronoun,para/gwn,παράγω,verb,to\n,ὁ,article,a)sebh/santa,ἀσεβέω,verb,kaqaro\s,καθαρός,adjective,tw=n,ὁ,article,e)gklhma/twn,ἔγκλημα,noun,ei)mi/,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(mei=s,σύ,pronoun,de\,δέ,particle,a)ci/ws,ἄξιος,adjective,tw=n,ὁ,article,proeirhme/nwn,προερέω,verb,th=|,ὁ,article,kri/sei,κρίσις,adjective,prose/xontes,προσέχω,verb,to\n,ὁ,article,nou=n,νόος,adjective,a)ci/an,ἄξιος,adjective,di/khn,δίκη,adjective,tou=,ὁ,article,pa/qous,πάθος,adjective,tw=|,ὁ,article,ei)rgasme/nw|,ἐργάζομαι,verb,e)piqe/ntes,ἐπιτίθημι,verb,a(/pasan,ἅπας,adjective,th\n,ὁ,article,po/lin,πόλις,adjective,kaqara\n,καθαρός,adjective,tou=,ὁ,article,mia/smatos,μίασμα,adjective,katasth/sete,καθίστημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,me\n,μέν,particle,ga\r,γάρ,particle,a)/kwn,ἀέκων,adjective,a)pe/kteine,ἀποκτείνω,verb,to\n,ὁ,article,a)/ndra,ἀνήρ,noun,a)/cios,ἄξιος,adjective,a)\n,ἄν,particle,h)=n,εἰμί,verb,suggnw/mhs,συγγνώμη,adjective,tuxei=n,τυγχάνω,verb,tino/s,τις,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(/brei,ὕβρις,noun,de\,δέ,particle,kai\,καί,conjunction,a)kolasi/a|,ἀκολασία,noun,paroinw=n,παροινέω,verb,ei)s,εἰς,preposition,a)/ndra,ἀνήρ,noun,presbu/thn,πρεσβύτης,noun,tu/ptwn,τύπτω,verb,te,τε,particle,kai\,καί,conjunction,pni/gwn,πνίγω,verb,e(/ws,ἕως,conjunction,th=s,ὁ,article,yuxh=s,ψυχή,noun,a)peste/rhsen,ἀποστερέω,verb,au)to/n,αὐτός,pronoun,w(s,ὡς,conjunction,me\n,μέν,particle,a)poktei/nas,ἀποκτείνω,verb,tou=,ὁ,article,fo/nou,φόνος,noun,toi=s,ὁ,article,e)pitimi/ois,ἐπιτίμιον,noun,e)/noxo/s,ἔνοχος,adjective,e)stin,εἰμί,verb,w(s,ὡς,conjunction,de\,δέ,particle,sugxe/wn,συγχέω,verb,a(/panta,ἅπας,adjective,tw=n,ὁ,article,geraiote/rwn,γεραιός,adjective,ta\,ὁ,article,no/mima,νόμιμος,adjective,ou)deno\s,οὐδείς,pronoun,a(martei=n,ἁμαρτάνω,verb,oi(=s,ὅς,pronoun,oi(,ἕ,pronoun,toiou=toi,τοιοῦτος,adjective,kola/zontai,κολάζω,verb,di/kaio/s,δίκαιος,adjective,e)stin,εἰμί,verb,,,,,,,,,,,,,,,,,,
o(,ὁ,article,me\n,μέν,particle,toi/nun,τοίνυν,particle,no/mos,νόμος,noun,o)rqw=s,ὀρθός,adjective,u(mi=n,σύ,pronoun,timwrei=sqai,τιμωρέω,verb,paradi/dwsin,παραδίδωμι,verb,au)to/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
