word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS
*nei/lou,Νεῖλος,proper,me\n,μέν,particle,ai(/de,ὅδε,pronoun,kallipa/rqenoi,καλλιπάρθενος,adjective,r(oai/,ῥοή,noun,o(\s,ὅς,pronoun,a)nti\,ἀντί,preposition,di/as,δῖος,adjective,yaka/dos,ψακάς,adjective,*ai)gu/ptou,Αἴγυπτος,proper,pe/don,πέδον,noun,leukh=s,λευκός,adjective,takei/shs,τήκω,verb,xio/nos,χιών,adjective,u(grai/nei,ὑγραίνω,verb,gu/as,γύης,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*prwteu\s,Πρωτεύς,proper,d',δέ,particle,o(/t',ὅτε,conjunction,e)/zh,ζάω,verb,th=sde,ὅδε,pronoun,gh=s,γῆ,noun,tu/rannos,τύραννος,noun,h)=n,εἰμί,verb,*fa/ron,Φάρος,proper,me\n,μέν,particle,oi)kw=n,οἰκέω,verb,nh=son,νῆσος,noun,*ai)gu/ptou,Αἴγυπτος,proper,d',δέ,particle,a)/nac,ἄναξ,noun,o(\s,ὅς,pronoun,tw=n,ὁ,article,kat',κατά,preposition,oi)=dma,οἶδμα,noun,parqe/nwn,παρθένος,noun,mi/an,εἷς,adjective,gamei=,γαμέω,verb,*yama/qhn,Ψαμάθη,proper,e)peidh\,ἐπεί,conjunction,le/ktr',λέκτρον,noun,a)fh=ken,ἀφήκω,verb,*ai)akou=,Αἰακός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ti/ktei,τίκτω,verb,de\,δέ,particle,te/kna,τέκνον,noun,dissa\,δισσός,adjective,toi=sde,ὅδε,pronoun,dw/masi,δῶμα,noun,*qeoklu/menon,Θεοκλύμενος,proper,a)/rsen',ἄρσην,noun,eu)genh=,εὐγενής,adjective,te,τε,particle,parqe/non,παρθένος,noun,*ei)dw/,,,to\,ὁ,article,mhtro\s,μήτηρ,noun,a)gla/ism',ἀγλάισμα,noun,o(/t',ὅτε,conjunction,h)=n,εἰμί,verb,bre/fos,βρέφος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pei\,ἐπεί,conjunction,d',δέ,particle,e)s,εἰς,preposition,h(/bhn,ἥβη,noun,h)=lqen,ἔρχομαι,verb,w(rai/an,ὡραῖος,adjective,ga/mwn,γάμος,adjective,kalou=sin,καλέω,verb,au)th\n,αὐτός,pronoun,*qeono/hn,Θεονόη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,qei=a,θεῖος,adjective,ga\r,γάρ,particle,ta/,τίς,pronoun,t',τε,particle,o)/nta,εἰμί,verb,kai\,καί,conjunction,me/llonta,μέλλω,verb,pa/nt',πᾶς,adjective,h)pi/stato,ἐπίσταμαι,verb,progo/nou,πρόγονος,adjective,labou=sa,λαμβάνω,verb,*nhre/ws,Νηρεύς,proper,tima\s,τιμή,noun,pa/ra,παρά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(mi=n,ἐγώ,pronoun,de\,δέ,particle,gh=,γῆ,noun,me\n,μέν,particle,patri\s,πατρίς,adjective,ou)k,οὐ,adverb,a)nw/numos,ἀνώνυμος,adjective,*spa/rth,Σπάρτη,proper,path\r,πατήρ,noun,de\,δέ,particle,*tunda/rews,Τυνδάρεος,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/stin,εἰμί,verb,de\,δέ,particle,dh\,δή,particle,lo/gos,λόγος,noun,tis,τις,pronoun,w(s,ὡς,conjunction,*zeu\s,Ζεύς,proper,mhte/r',μήτηρ,noun,e)/ptat',πέτομαι,verb,ei)s,εἰς,preposition,e)mh\n,ἐμός,adjective,*lh/dan,Λήδη,proper,ku/knou,κύκνος,noun,morfw/mat',μόρφωμα,noun,o)/rniqos,ὄρνις,noun,labw/n,λαμβάνω,verb,o(\s,ὅς,pronoun,do/lion,δόλιος,adjective,eu)nh\n,εὐνή,noun,e)ce/prac',ἐκπράσσω,verb,u(p',ὑπό,preposition,ai)etou=,ἀετός,noun,di/wgma,δίωγμα,noun,feu/gwn,φεύγω,verb,ei),εἰ,conjunction,safh\s,σαφής,adverb,ou(=tos,οὗτος,pronoun,lo/gos,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(ele/nh,Ἑλένη,proper,d',δέ,particle,e)klh/qhn,ἐκλανθάνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a(\,ὅς,pronoun,de\,δέ,particle,pepo/nqamen,πάσχω,verb,kaka\,κακός,adjective,le/goim',λέγω,verb,a)/n,ἄν,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=lqon,ἔρχομαι,verb,trei=s,τρέω,verb,qeai\,θεά,noun,ka/llous,κάλλος,noun,pe/ri,περί,preposition,*)idai=on,Ἰδαῖος,proper,e)s,εἰς,preposition,keuqmw=n',κευθμών,noun,*)ale/candron,Ἀλέξανδρος,proper,pa/ra,παρά,preposition,*(/hra,Ἥρα,proper,*ku/pris,Κύπρις,proper,te,τε,particle,diogenh/s,διογενής,adjective,te,τε,particle,parqe/nos,παρθένος,noun,morfh=s,μορφή,noun,qe/lousai,ἐθέλω,verb,diapera/nasqai,διαπεραίνω,verb,kri/sin,κρίσις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
