word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/7/lemma/@_entry,word/7/lemma/@_POS,word/9/lemma/@_entry,word/9/lemma/@_POS,word/45/lemma/@_entry,word/45/lemma/@_POS,word/57/lemma/@_entry,word/57/lemma/@_POS,word/67/lemma/@_entry,word/67/lemma/@_POS,word/73/lemma/@_entry,word/73/lemma/@_POS,word/97/lemma/@_entry,word/97/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS
*qra=|kas,Θράκιος,proper,*(/ellhnes,Ἕλλην,proper,h(gou=ntai,ἡγέομαι,verb,tou\s,ὁ,article,e)s,εἰς,preposition,*)/ilion,Ἴλιον,proper,meta\,μετά,preposition,*(rh/sou,strateu/santas,στρατεύω,verb,*(rh/sou,nukto\s,νύξ,adjective,u(po\,ὑπό,preposition,*diomh/dous,Διομήδης,proper,a)naireqe/ntos,ἀναιρέω,verb,o(\n,ὅς,pronoun,tro/pon,τρόπος,noun,*(/omhros,Ὅμηρος,proper,e)n,ἐν,preposition,toi=s,ὁ,article,e)/pesi,ἔπος,adjective,fra/zei,φράζω,verb,feu/gontas,φεύγω,verb,e)pi\,ἐπί,preposition,tou=,ὁ,article,*po/ntou,Πόντος,proper,to\,ὁ,article,sto/ma,στόμα,noun,h(=|,ὅς,pronoun,stenw/tato/s,στενός,adjective,e)stin,εἰμί,verb,e)s,εἰς,preposition,*qra/|khn,Θρᾴκη,proper,o(,ὁ,article,dia/plous,διάπλοος,adjective,oi(,ὁ,article,me\n,μέν,particle,ou)k,οὐ,adverb,e)pituxo/ntas,ἐπιτυγχάνω,verb,ploi/wn,πλοῖον,noun,th=|de,ὅδε,pronoun,katamei=nai,καταμένω,verb,kai\,καί,conjunction,th=s,ὁ,article,gh=s,γῆ,noun,krath=sai,κρατέω,verb,*bebruki/as,legome/nhs,λέγω,verb,oi(,ὁ,article,de\,δέ,particle,pera/santas,περάω,verb,u(pe\r,ὑπέρ,preposition,to\,ὁ,article,*buza/ntion,Βυζάντιος,proper,e)s,εἰς,preposition,th\n,ὁ,article,*qra|kw=n,Θράκιος,proper,tw=n,ὁ,article,*biqunw=n,legome/nwn,λέγω,verb,para\,παρά,preposition,*biqu/an,Βιθύας,proper,potamo\n,ποταμός,noun,oi)kh=sai,οἰκέω,verb,kai\,καί,conjunction,limw=|,λιμός,noun,piesqe/ntas,πιέζω,verb,e)s,εἰς,preposition,*bebruki/an,au)=qis,αὖθις,adverb,e)panelqei=n,ἐπανέρχομαι,verb,kai\,καί,conjunction,*biquni/an,Βιθυνίη,proper,a)nti\,ἀντί,preposition,*bebruki/as,a)po\,ἀπό,preposition,tou=,ὁ,article,potamou=,ποταμός,noun,par',παρά,preposition,o(\n,ὅς,pronoun,w)/|koun,οἰκέω,verb,o)noma/sai,ὀνομάζω,verb,h)\,ἠέ,conjunction,kai\,καί,conjunction,to\,ὁ,article,o)/noma,ὄνομα,adjective,au)toi=s,αὐτός,pronoun,a)lo/gws,ἄλογος,adjective,su\n,σύν,preposition,xro/nw|,χρόνος,noun,paratraph=nai,παρατρέπω,verb,ou)k,οὐ,adverb,e)s,εἰς,preposition,polu\,πολύς,adjective,th=s,ὁ,article,*biquni/as,Βιθυνίη,proper,para\,παρά,preposition,th\n,ὁ,article,*bebruki/an,diaferou/shs,διαφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w(=de,ὧδε,adverb,me\n,μέν,particle,e)/nioi,ἔνιοι,adjective,nomi/zousin,νομίζω,verb,e(/teroi,ἕτερος,adjective,de\,δέ,particle,*bi/qun,,,a)/rcai,prw=ton,πρότερος,adjective,au)tw=n,pai=da,παῖς,adjective,*dio/s,Ζεύς,proper,te,τε,particle,kai\,καί,conjunction,*qra/|khs,Θρᾴκη,proper,ou(\s,ὅς,pronoun,e)pwnu/mous,ἐπώνυμος,adjective,e(kate/ra|,ἑκάτερος,adjective,gh=|,γῆ,noun,gene/sqai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἄρχω,verb,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,
ta/de,ὅδε,pronoun,me\n,μέν,particle,ou)=n,οὖν,particle,moi,ἐγώ,pronoun,prolele/xqw,προλέγω,verb,peri\,περί,preposition,*biquni/as,Βιθυνίη,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=n,ὁ,article,de\,δέ,particle,pro\,πρό,preposition,*(rwmai/wn,,,au)th=s,αὐτός,pronoun,basile/wn,βασίλη,noun,e)nne/a,ἐννέα,verb,kai\,tessara/konta,τεσσαράκοντα,adjective,e)fech=s,genome/nwn,γίγνομαι,verb,o(/tou,ὅστις,pronoun,moi,ἐγώ,pronoun,ma/lista,μάλιστα,adverb,mnhmoneu=sai,μνημονέω,verb,prosh/kei,προσήκω,verb,ta\,ὁ,article,*(rwmai/wn,,,suggra/fonti,συγγράφω,verb,*prousi/as,Προυσίης,proper,h)=n,εἰμί,verb,o(,ὁ,article,kunhgo\s,κυνηγός,noun,e)pi/klhsin,ἐπίκλησις,noun,w(=|,ὅς,pronoun,*perseu\s,Περσεύς,proper,o(,ὁ,article,*makedo/nwn,Μακεδών,proper,basileu\s,βασιλεύς,noun,th\n,ὁ,article,a)delfh\n,ἀδελφή,noun,h)ggu/hsen,ἐγγυάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,ἐφεξῆς,adverb,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,ou),οὐ,adverb,polu\,πολύς,adjective,u(/steron,ὕστερος,adjective,*perse/ws,Πέρσευς,proper,kai\,καί,conjunction,*(rwmai/wn,,,e)s,xei=ras,χείρ,noun,e)p',a)llh/lous,ἀλλήλων,pronoun,i)o/ntwn,εἶμι,verb,o(,ὁ,article,*prousi/as,Προυσίης,proper,ou)dete/rois,οὐδέτερος,adjective,sunema/xei,συμμαχέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰς,preposition,ἐπί,preposition,,,,,,,,,,,,,,,,,,,,,,,,,
*perse/ws,Πέρσευς,proper,d',δέ,particle,a(lo/ntos,ἁλίσκομαι,verb,a)ph/nthse,ἀπαντάω,verb,toi=s,ὁ,article,*(rwmai/wn,,,strathgoi=s,στρατηγός,noun,ei(=ma/,te,τε,particle,*(rwmai+ko\n,a)mpexo/menos,ἀμπέχω,verb,o(\,ὅς,pronoun,kalou=si,καλέω,verb,th/bennon,τήβεννος,noun,kai\,καί,conjunction,u(podh/mata,ὑπόδημα,noun,e)/xwn,ἔχω,verb,*)italika/,Ἰταλικός,adjective,th\n,ὁ,article,kefalh\n,κεφαλή,noun,e)curhme/nos,ξυράω,verb,kai\,καί,conjunction,pi=lon,πῖλος,noun,e)pikei/menos,ἐπίκειμαι,verb,w(=|,ὅς,pronoun,tro/pw|,τρόπος,noun,tine\s,τις,pronoun,proi/+asi,πρόειμι,verb,tw=n,ὁ,article,e)n,ἐν,preposition,diaqh/kais,διαθήκη,noun,e)leuqerwqe/ntwn,ἐλευθερόω,verb,ai)sxro\s,αἰσχρός,adjective,w)\n,εἰμί,verb,kai\,καί,conjunction,ta)=lla,ἄλλος,adjective,o)fqh=nai,ὁράω,verb,kai\,καί,conjunction,braxu/s,βραχύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἷμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)ntuxw\n,ἐντυγχάνω,verb,d',δέ,particle,au)toi=s,αὐτός,pronoun,e)/fh,φημί,verb,r(wmai+sti\,,,tw=|,ὁ,article,r(h/mati,ῥῆμα,noun,*(rwmai/wn,ei)mi\,εἰμί,verb,li/bertos,o(/per,ὅσπερ,adjective,e)sti\n,εἰμί,verb,a)peleu/qeros,ἀπελεύθερος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ge/lwta,γέλως,noun,de\,δέ,particle,parasxw\n,παρέχω,verb,e)s,εἰς,preposition,*(rw/mhn,,,e)pe/mfqh,πέμπω,verb,kai\,καί,conjunction,fanei\s,ka)ntau=qa,ἐνταῦθα,adverb,geloi=os,e)/tuxe,τυγχάνω,verb,suggnw/mhs,συγγνώμη,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,φαίνω,verb,γέλοιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,
xro/nw|,χρόνος,noun,d',δέ,particle,u(/steron,ὕστερος,adjective,*)atta/lw|,Ἄτταλος,proper,ti,τις,pronoun,xaleph/nas,χαλεπαίνω,verb,tw=|,ὁ,article,*basilei=,th=s,ὁ,article,*)asi/as,th=s,ὁ,article,peri\,περί,preposition,to\,ὁ,article,*pe/rgamon,Πέργαμον,proper,th\n,ὁ,article,gh=n,γῆ,noun,e)dh/|ou,δηιόω,verb,th\n,ὁ,article,*)asia/da,Ἄσιας,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Βασιλίς,proper,Ἄσιος,proper,,,,,,,,,,,,,,,,,,,,,,,,,
maqou=sa,μανθάνω,verb,d',δέ,particle,h(,ὁ,article,*(rwmai/wn,,,boulh\,βουλή,noun,prose/pempe,προσέπειμι,verb,tw=|,ὁ,article,*prousi/a|,mh\,μή,conjunction,polemei=n,*)atta/lw|,Ἄτταλος,proper,fi/lw|,φίλος,adjective,*(rwmai/wn,,,o)/nti,εἰμί,verb,kai\,καί,conjunction,summa/xw|,σύμμαχος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Προυσίης,proper,πολεμέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,
