word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/52/@_form,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS
*ti/s,τίς,pronoun,to\n,ὁ,article,*dio\s,Ζεύς,proper,su/llektron,σύλλεκτρος,adjective,ou)k,οὐ,adverb,oi)=den,οἶδα,verb,brotw=n,βροτός,noun,*)argei=on,Ἀργεῖος,proper,*)amfitru/wn',Ἀμφιτρύων,proper,o(\n,ὅς,pronoun,*)alkai=o/s,Ἀλκαῖος,proper,pote,ποτέ,particle,e)/tixq',τίκτω,verb,o(,ὁ,article,*perse/ws,Πέρσευς,proper,pate/ra,πατήρ,noun,to/nd',ὅδε,pronoun,*(hrakle/ous,Ἡρακλέης,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(\s,ὅς,pronoun,ta/sde,ὅδε,pronoun,*qh/bas,Θήβη,proper,e)/sxon,ἔχω,verb,e)/nq',ἔνθα,adverb,o(,ὁ,article,ghgenh\s,γηγενής,adjective,spartw=n,σπαρτός,adjective,sta/xus,στάχυς,adjective,e)/blasten,βλαστάνω,verb,w(=n,ὅς,pronoun,ge/nous,γένος,noun,*)/arhs,Ἄρης,proper,e)/sws',εἰσωθέω,verb,a)riqmo\n,ἀριθμός,adjective,o)li/gon,ὀλίγος,adjective,oi(\,ἕ,pronoun,*ka/dmou,Κάδμος,proper,po/lin,πόλις,adjective,teknou=si,τεκνόω,verb,pai/dwn,παῖς,adjective,paisi/n,παῖς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/nqen,ἔνθεν,adverb,e)ce/fu,ἐκφύω,verb,*kre/wn,Κρέων,proper,*menoike/ws,Μενοικεύς,proper,pai=s,πᾶς,adjective,a)/nac,ἄναξ,noun,th=sde,ὅδε,pronoun,xqono/s,χθών,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kre/wn,Κρέων,proper,de\,δέ,particle,*mega/ras,Μεγάρη,proper,th=sde,ὅδε,pronoun,gi/gnetai,γίγνομαι,verb,path/r,πατήρ,noun,h(\n,ὅς,pronoun,pa/ntes,πᾶς,adjective,u(menai/oisi,ὑμέναιος,noun,*kadmei=oi/,Καδμεῖος,proper,pote,ποτέ,particle,lwtw=|,λωτός,adjective,sunhla/lacan,συναλαλάζω,verb,h(ni/k',ἡνίκα,adverb,ei)s,εἰς,preposition,e)mou\s,ἐμός,adjective,do/mous,δόμος,noun,o(,ὁ,article,kleino\s,κλεινός,adjective,*(hraklh=s,Ἡρακλέης,proper,nin,νιν,pronoun,h)/geto,ἄγω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lipw\n,λείπω,verb,de\,δέ,particle,*qh/bas,Θήβη,proper,ou(=,ἕ,pronoun,katw|ki/sqhn,,,e)gw/,ἐγώ,pronoun,*mega/ran,Μεγάρη,proper,te,τε,particle,th/nde,ὅδε,pronoun,penqerou/s,πενθερός,noun,te,τε,particle,pai=s,πᾶς,adjective,e)mo\s,ἐμός,adjective,*)argei=a,Ἀργεῖος,proper,tei/xh,τεῖχος,noun,kai\,καί,conjunction,*kuklwpi/an,Κυκλώπιος,proper,po/lin,πόλις,adjective,w)re/cat',ὀρέγω,verb,oi)kei=n,οἰκέω,verb,h(\n,ὅς,pronoun,e)gw\,ἐγώ,pronoun,feu/gw,φεύγω,verb,ktanw\n,κτείνω,verb,*)hlektru/wna,Ἠλεκτρύων,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sumfora\s,συμφορά,noun,de\,δέ,particle,ta\s,ὁ,article,e)ma\s,ἐμός,adjective,e)ceumari/zwn,ἐξευμαρίζω,verb,kai\,καί,conjunction,pa/tran,φράτρα,noun,oi)kei=n,οἰκέω,verb,qe/lwn,ἐθέλω,verb,kaqo/dou,κάθοδος,noun,di/dwsi,δίδωμι,verb,misqo\n,μισθός,noun,*eu)rusqei=,Εὐρυσθεύς,proper,me/gan,μέγας,adverb,e)chmerw=sai,ἐξημερόω,verb,gai=an,γαῖα,noun,ei)/q',εἴθε,interjection,*(/hras,Ἥρα,proper,u(/po,ὑπό,preposition,ke/ntrois,κέντρον,noun,damasqei\s,δαμάζω,verb,ei)/te,εἴτε,adverb,tou=,ὁ,article,xrew\n,χρεών,noun,me/ta,μετά,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,tou\s,ὁ,article,me\n,μέν,particle,a)/llous,ἄλλος,adjective,e)cemo/xqhsen,ἐκμοχθέω,verb,po/nous,πόνος,noun,to\,ὁ,article,loi/sqion,λοίσθιος,adjective,de\,δέ,particle,*taina/rou,Ταίναρον,proper,dia\,διά,preposition,sto/ma,στόμα,noun,be/bhk',βαίνω,verb,e)s,εἰς,preposition,*(/aidou,Ἅιδης,proper,to\n,ὁ,article,trisw/maton,τρισώματος,adjective,ku/na,κύων,noun,e)s,εἰς,preposition,fw=s,φάος,adjective,a)na/cwn,ἀνάγω,verb,e)/nqen,ἔνθεν,adverb,ou)x,οὐ,adverb,h(/kei,ἥκω,verb,pa/lin,πάλιν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ge/rwn,γέρων,noun,de\,δέ,particle,dh/,δή,particle,tis,τις,pronoun,e)/sti,εἰμί,verb,*kadmei/wn,Καδμεῖος,proper,lo/gos,λόγος,noun,w(s,ὡς,conjunction,h)=n,εἰμί,verb,pa/ros,πάρος,preposition,*di/rkhs,Δίρκη,proper,tis,τις,pronoun,eu)nh/twr,εὐνήτωρ,noun,*lu/kos,Λύκος,proper,th\n,ὁ,article,e(pta/purgon,ἑπτάπυργος,adjective,th/nde,ὅδε,pronoun,despo/zwn,δεσπόζω,verb,po/lin,πόλις,adjective,tw\,ὁ,article,leukopw/lw,λευκόπωλος,adjective,pri\n,πρίν,adverb,turannh=sai,τυραννεύω,verb,xqono\s,χθών,noun,*)amfi/on',Ἄμφιων,proper,h)de\,ἠδέ,conjunction,*zh=qon,Ζῆθος,proper,e)kgo/nw,κίκω,verb,*dio/s,Ζεύς,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou(=,ἕ,pronoun,tau)to\n,ταυτός,adjective,o)/noma,ὄνομα,adjective,pai=s,πᾶς,adjective,patro\s,πατήρ,noun,keklhme/nos,καλέω,verb,*kadmei=os,Καδμεῖος,proper,ou)k,οὐ,adverb,w)/n,εἰμί,verb,a)ll',ἀλλά,adverb,a)p',ἀπό,preposition,*eu)boi/as,Εὔβοια,proper,molw/n,βλώσκω,verb,ktei/nei,κτείνω,verb,*kre/onta,Κρέων,proper,kai\,καί,conjunction,ktanw\n,κτείνω,verb,a)/rxei,ἄρχω,verb,xqono/s,χθών,noun,sta/sei,στάσις,adjective,nosou=san,νοσέω,verb,th/nd',ὅδε,pronoun,e)pespesw\n,ἐπεισπίπτω,verb,po/lin,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(mi=n,ἐγώ,pronoun,de\,δέ,particle,kh=dos,κῆδος,noun,e)s,εἰς,preposition,*kre/ont',Κρέων,proper,a)nhmme/non,ἀνάπτω,verb,kako\n,κακός,adjective,me/giston,μέγας,adverb,w(s,ὡς,conjunction,e)/oike,ἔοικα,verb,gi/gnetai,γίγνομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou)mou=,ἐγώ,pronoun,ga\r,γάρ,particle,o)/ntos,εἰμί,verb,paido\s,παῖς,adjective,e)n,ἐν,preposition,muxoi=s,μυχός,noun,xqono\s,χθών,noun,o(,ὁ,article,kaino\s,καινός,adjective,ou(=tos,οὗτος,pronoun,th=sde,ὅδε,pronoun,gh=s,γῆ,noun,a)/rxwn,ἄρχων,noun,*lu/kos,Λύκος,proper,tou\s,ὁ,article,*(hraklei/ous,Ἡράκλειος,proper,pai=das,παῖς,adjective,e)celei=n,ἐξαιρέω,verb,qe/lei,ἐθέλω,verb,ktanw\n,κτείνω,verb,da/marta/,δάμαρ,noun,q',τε,particle,w(s,ὡς,conjunction,fo/nw|,φόνος,noun,sbe/sh|,σβέννυμι,verb,fo/non,φόνος,noun,ka)/m',ἐγώ,pronoun,ei)/,εἰ,conjunction,ti,τις,pronoun,dh\,δή,particle,xrh\,χρή,verb,ka)/m',ἐγώ,pronoun,e)n,ἐν,preposition,a)ndra/sin,ἀνήρ,noun,le/gein,λέγω,verb,ge/ront',γέρων,noun,a)xrei=on,ἀχρεῖος,adjective,mh/,μή,conjunction,poq',ποτέ,particle,oi(/d',ὅδε,pronoun,h)ndrwme/noi,ἀνδρόω,verb,mh/trwsin,μήτρων,noun,e)kpra/cwsin,ἐκπράσσω,verb,ai(/matos,αἷμα,noun,di/khn,δίκη,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
