word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/64/lemma/@_entry,word/64/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/84/lemma/@_entry,word/84/lemma/@_POS,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS,word/133/@_form,word/133/lemma/@_entry,word/133/lemma/@_POS,word/134/@_form,word/135/@_form,word/135/lemma/@_entry,word/135/lemma/@_POS,word/136/@_form,word/136/lemma/@_entry,word/136/lemma/@_POS,word/137/@_form,word/137/lemma/@_entry,word/137/lemma/@_POS,word/138/@_form
*)anaci/mandros,Ἀναξίμανδρος,proper,o(,ὁ,article,*milh/sios,Μιλήσιος,proper,a)kousth\s,ἀκουστής,noun,*qa/lew,Θάλης,proper,prw=tos,πρότερος,adjective,e)to/lmhse,τολμάω,verb,th\n,ὁ,article,oi)koume/nhn,οἰκουμένη,noun,e)n,ἐν,preposition,pi/naki,πίναξ,adjective,gra/yai,γράφω,verb,meq',μετά,preposition,o(/n,ὅς,pronoun,*(ekatai=os,Ἑκαταῖος,proper,o(,ὁ,article,*milh/sios,Μιλήσιος,proper,a)nh\r,ἀνήρ,noun,poluplanh\s,πολυπλανής,adverb,dihkri/bwsen,διακριβόω,verb,w(/ste,ὥστε,conjunction,qaumasqh=nai,θαυμάζω,verb,to\,ὁ,article,pra=gma,πρᾶγμα,noun,*(ella/nikos,Ἑλλάνικος,proper,ga\r,γάρ,particle,o(,ὁ,article,*le/sbios,Λέσβιος,proper,a)nh\r,ἀνήρ,noun,polui/stwr,πολυίστωρ,adjective,a)pla/stws,ἄπλαστος,adjective,pare/dwke,παραδίδωμι,verb,th\n,ὁ,article,i(stori/an,ἱστορία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=ta,εἶτα,adverb,*dama/sths,Δαμάστης,proper,o(,ὁ,article,*sigeieu\s,,,ta\,ὁ,article,plei=sta,πλεῖστος,adjective,e)k,ἐκ,preposition,tw=n,ὁ,article,*(ekatai/ou,Ἑκαταῖος,proper,metagra/yas,μεταγράφω,verb,peri/ploun,περίπλους,adjective,e)/grayen,γράφω,verb,e(ch=s,ἑξῆς,adverb,*dhmo/kritos,Δημόκριτος,proper,kai\,καί,conjunction,*eu)/docos,Εὔδοξος,proper,kai\,καί,conjunction,a)/lloi,ἄλλος,adjective,tine\s,τις,pronoun,gh=s,γῆ,noun,perio/dous,περίοδος,noun,kai\,καί,conjunction,peri/plous,περίπλους,adjective,e)pragmateu/santo,πραγματεύομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*oi(,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,palaioi\,παλαιός,adjective,th\n,ὁ,article,oi)koume/nhn,οἰκουμένη,noun,e)/grafon,γράφω,verb,stroggu/lhn,στρογγύλος,adjective,me/shn,μέσος,adjective,de\,δέ,particle,kei=sqai,κέω,verb,th\n,ὁ,article,*(ella/da,Ἑλλάς,proper,kai\,καί,conjunction,tau/ths,οὗτος,pronoun,*delfou/s,Δελφοί,proper,to\n,ὁ,article,o)mfalo\n,ὀμφαλός,noun,ga\r,γάρ,particle,e)/xein,ἔχω,verb,th=s,ὁ,article,gh=s,γῆ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prw=tos,πρότερος,adjective,de\,δέ,particle,*dhmo/kritos,Δημόκριτος,proper,polu/peiros,πολύπειρος,adjective,a)nh\r,ἀνήρ,noun,sunei=den,σύνεῖδον,verb,o(/ti,ὅστις,pronoun,promh/khs,προμήκης,adjective,e)sti\n,εἰμί,verb,h(,ὁ,article,gh=,γῆ,noun,h(mio/lion,ἡμιόλιος,adjective,to\,ὁ,article,mh=kos,μῆκος,adjective,tou=,ὁ,article,pla/tous,πλάτος,adjective,e)/xousa,ἔχω,verb,sunh/|nese,συναινέω,verb,tou/tw|,οὗτος,pronoun,kai\,καί,conjunction,*dikai/arxos,Δικαίαρχος,proper,o(,ὁ,article,*peripathtiko/s,περιπατητικός,adjective,*eu)/docos,Εὔδοξος,proper,de\,δέ,particle,to\,ὁ,article,mh=kos,μῆκος,adjective,diplou=n,διπλόος,adjective,tou=,ὁ,article,pla/tous,πλάτος,adjective,o(,ὁ,article,de\,δέ,particle,*)eratosqe/nhs,Ἐρατοσθένης,proper,plei=on,πλέως,adjective,tou=,ὁ,article,diplou=,διπλόος,adjective,*kra/ths,Κράτης,proper,de\,δέ,particle,w(s,ὡς,conjunction,h(miku/klion,ἡμικύκλιον,noun,*(/ipparxos,Ἵππαρχος,proper,de\,δέ,particle,trapezoeidh=,τραπεζοειδής,adjective,a)/lloi,ἄλλος,adjective,ou)roeidh=,οὐροειδής,adjective,*poseidw/nios,Ποσειδώνιος,proper,de\,δέ,particle,o(,ὁ,article,*stwi+ko\s,στωικός,adjective,sfendonoeidh=,σφενδονοειδής,adjective,kai\,καί,conjunction,meso/platon,μεσόπλατος,adjective,a)po\,ἀπό,preposition,no/tou,νότος,noun,ei)s,εἰς,preposition,borra=n,Βορέας,proper,stenh\n,στενός,adjective,de\,δέ,particle,pro\s,πρός,preposition,e(/w,ἠώς,noun,kai\,καί,conjunction,du/sin,δύσις,adjective,ta\,ὁ,article,pro\s,πρός,preposition,eu)=ron,d',δέ,particle,o(/mws,ὅμως,conjunction,platu/tera,πλατύς,adjective,ta\,ὁ,article,pro\s,πρός,preposition,th\n,ὁ,article,*)indikh/n,Ἰνδικός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(/oroi,Ὅρος,proper,h)pei/rwn,ἤπειρος,adjective,*eu)rw/phs,Εὐρώπη,proper,me\n,μέν,particle,kai\,καί,conjunction,*libu/hs,Λιβύη,proper,ai)/,εἰ,conjunction,*(hrakle/ous,Ἡρακλέης,proper,sth=lai,στήλη,noun,*libu/hs,Λιβύη,proper,de\,δέ,particle,kai\,καί,conjunction,*)asi/as,Ἄσιος,proper,o(,ὁ,article,*nei=los,Νεῖλος,proper,oi(,ὁ,article,de\,δέ,particle,i)sqmo\n,ἰσθμός,noun,to\n,ὁ,article,a)po\,ἀπό,preposition,*serbwni/dos,,,li/mnhs,λίμνη,noun,kai\,καί,conjunction,*)arabi/ou,Ἀράβιος,proper,ko/lpou,κόλπος,noun,*)asi/as,Ἄσιος,proper,de\,δέ,particle,kai\,καί,conjunction,*eu)rw/phs,Εὐρώπη,proper,oi(,ὁ,article,me\n,μέν,particle,a)rxai=oi,ἀρχαῖος,adjective,*fa=sin,Φᾶσις,proper,potamo\n,ποταμός,noun,kai\,καί,conjunction,to\n,ὁ,article,e(/ws,ἕως,conjunction,*kaspi/as,Κάσπιος,proper,i)sqmo\n,ἰσθμός,noun,oi(,ὁ,article,de\,δέ,particle,u(/steron,ὕστερος,adjective,new/teroi),νέος,adjective,*maiw=tin,Μαιώτης,proper,li/mnhn,λίμνη,noun,kai\,καί,conjunction,*ta/nai+n,Τάναις,proper,potamo/n,ποταμός,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)eklh/qhsan,καλέω,verb,d',δέ,particle,h)/peiroi,ἤπειρος,adjective,a)/peiroi/,ἄπειρος,adjective,tines,τις,pronoun,ou)=sai,εἰμί,verb,di',διά,preposition,a)/gnoian,ἄγνοια,noun,*)asi/a,Ἄσιος,proper,de\,δέ,particle,a)po\,ἀπό,preposition,tou=,ὁ,article,a)=sson,ἆσσον,adjective,ei)=nai,εἰμί,verb,toi=s,ὁ,article,a)p',ἀπό,preposition,*eu)rw/phs,Εὐρώπη,proper,a)piou=si,ἄπειμι,verb,kai\,καί,conjunction,pezh=|,πεζός,adjective,kai\,καί,conjunction,nh/sois,νῆσος,noun,stixhdo\n,στιχηδόν,adverb,keime/nais,κεῖμαι,verb,w(=n,ὅς,pronoun,*eu)/boia,Εὔβοια,proper,*)/andros,Ἄνδρος,proper,*th=nos,Τῆνος,proper,*mu/konos,Μύκονος,proper,*)ikari/a,Ἰκάριος,proper,*sa/mos,Σάμος,proper,*muka/lh,Μυκάλη,proper,h(,ὁ,article,de\,δέ,particle,*eu)rw/ph,Εὐρώπη,proper,a)po\,ἀπό,preposition,tou=,ὁ,article,eu)/rous,εὖρος,noun,w)noma/sqh,ὀνομάζω,verb,*libu/h,Λιβύη,proper,de\,δέ,particle,u(f',ὑπό,preposition,*(ellh/nwn,Ἕλλην,proper,h)=n,εἰμί,verb,a)/gnwstos,ἄγνωστος,adjective,pa/nu,πάνυ,adverb,a)po\,ἀπό,preposition,de\,δέ,particle,e)/qnous,ἔθνος,adjective,e)pish/mou,ἐπίσημον,noun,*foinikw=s,φοινίκεος,adjective,w)noma/sqhsan,ὀνομάζω,verb,*li/bues,Λίβυς,proper,toute/sti,τουτέστι,adverb,le/ontes,λέων,noun,*)wkeano\s,Ὠκεανός,proper,de\,δέ,particle,dia\,διά,preposition,to\,ὁ,article,w)ke/ws,ὠκύς,adjective,a)nu/ein,ἀνύω,verb,ku/klw|,κύκλος,noun,th\n,ὁ,article,gh=n,γῆ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*dikai/arxos,Δικαίαρχος,proper,d',δέ,particle,o(ri/zei,ὁρίζω,verb,th\n,ὁ,article,gh=n,γῆ,noun,ou)x,οὐ,adverb,u(/dasin,ὕδωρ,noun,a)lla\,ἀλλά,adverb,tomh=|,τομεύς,noun,eu)qei/a|,εὐθεῖα,noun,a)kra/tw|,ἄκρατος,adjective,a)po\,ἀπό,preposition,*sthlw=n,στήλη,noun,dia\,διά,preposition,*sardou=s,Σαρδώ,proper,*sikeli/as,Σικελία,proper,*peloponnh/sou,Πελοπόννησος,proper,*)iwni/as),,,*kari/as,Κάριος,proper,*luki/as,Λύκιος,proper,*pamfuli/as,Παμφυλία,proper,*kiliki/as,Κίλιξ,proper,kai\,καί,conjunction,*tau/rou,Ταῦρος,proper,e(ch=s,ἑξῆς,adverb,e(/ws,ἕως,conjunction,*)ima/ou,,,o)/rous,ὄρος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tw=n,ὁ,article,toi/nun,τοίνυν,particle,to/pwn,τόπος,noun,to\,ὁ,article,me\n,μέν,particle,bo/reion,βόρειος,adjective,to\,ὁ,article,de\,δέ,particle,no/tion,νότιος,adjective,o)noma/zei,ὀνομάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)/anemoi,ἄνεμος,noun,de\,δέ,particle,pne/ousin,πνέω,verb,a)po\,ἀπό,preposition,me\n,μέν,particle,i)shmerinh=s,ἰσημερινός,adjective,a)natolh=s,ἀνατολή,adjective,a)phliw/ths,ἀπηλιώτης,noun,a)po\,ἀπό,preposition,de\,δέ,particle,i)shmerinh=s,ἰσημερινός,adjective,du/sews,δύσις,adjective,ze/furos,Ζέφυρος,proper,a)po/,ἀπό,preposition,de\,δέ,particle,meshmbri/as,μεσημβρία,noun,no/tos,νότος,noun,a)po\,ἀπό,preposition,de\,δέ,particle,a)/rktou,ἄρκτος,noun,a)parkti/as,ἀπαρκτίας,noun,a)po\,ἀπό,preposition,de\,δέ,particle,troph=s,τροπή,noun,qerinh=s,θερινός,adjective,kaiki/as,καικίας,noun,e(ch=s,ἑξῆς,adverb,de\,δέ,particle,a)p',ἀπό,preposition,i)shmerinh=s,ἰσημερινός,adjective,a)natolh=s,ἀνατολή,adjective,a)phliw/ths,ἀπηλιώτης,noun,kai\,καί,conjunction,a)po\,ἀπό,preposition,xeimerinh=s,χειμερινός,adjective,eu)=ros,εὖρος,noun,dusmikoi\,δυσμικός,adjective,de\,δέ,particle,a)po\,ἀπό,preposition,me\n,μέν,particle,du/sews,δύσις,adjective,xeimerinh=s,χειμερινός,adjective,*li/y,λίψ,noun,kai\,καί,conjunction,e(ch=s,ἑξῆς,adverb,pa/lin,πάλιν,adverb,a)po\,ἀπό,preposition,du/sews,δύσις,adjective,i)shmerinh=s,ἰσημερινός,adjective,ze/furos,Ζέφυρος,proper,a)po\,ἀπό,preposition,de\,δέ,particle,du/sews,δύσις,adjective,qerinh=s,θερινός,adjective,a)rge/sths,ἀργεστής,noun,h)/toi,ἤτοι,particle,*)olumpi/as,Ὀλυμπία,proper,ei)=ta,εἶτα,adverb,no/tos,νότος,noun,kai\,καί,conjunction,a)parkti/as,ἀπαρκτίας,noun,a)ntipne/ontes,ἀντιπνέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*gi/nontai,γίγνομαι,verb,ou)=n,οὖν,particle,o)ktw/,ὀκτώ,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
