word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/14/lemma/@_entry,word/14/lemma/@_POS,word/26/lemma/@_entry,word/26/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS
o)ste/wn,ὀστέον,noun,fu/sis,φύσις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daktu/lwn,δάκτυλος,noun,me\n,μέν,particle,a(pla=,ἁπλόος,adjective,kai\,καί,conjunction,o)ste/a,ὀστέον,noun,kai\,καί,conjunction,a)/rqra,ἄρθρον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xeiro\s,χείρ,noun,de\,δέ,particle,kai\,καί,conjunction,podo\s,πούς,noun,poulla\,,,a)/lla,ἄλλος,adjective,a)lloi/ws,ἀλλοῖος,adjective,sunhrqrwme/na,σύναρθρόω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me/gista,μέγας,adverb,de\,δέ,particle,ta\,ὁ,article,a)nwta/tw,ἀνώτατος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pte/rnhs,πτέρνα,noun,de\,δέ,particle,e(\n,εἷς,adjective,oi(=on,οἷος,adjective,e)/cw,ἔξω,adverb,fai/netai,φαίνω,verb,pro\s,πρός,preposition,de\,δέ,particle,au)th\n,αὐτός,pronoun,oi(,ὁ,article,o)pi/sqioi,ὀπίσθιος,adjective,te/nontes,τένων,noun,tei/nousin,τείνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knh/mhs,κνήμη,adjective,de\,δέ,particle,du/o,δύο,adjective,a)/nwqen,ἄνωθεν,adverb,kai\,καί,conjunction,ka/twqen,κάτωθεν,adverb,cunexo/mena,συνόχωκα,verb,kata\,κατά,preposition,me/son,μέσος,adjective,de\,δέ,particle,die/xonta,διέχω,verb,smikro/n,μικρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,e)/cwqen,ἔξωθεν,adverb,kata\,κατά,preposition,to\n,ὁ,article,smikro\n,μικρός,adjective,da/ktulon,δάκτυλος,noun,lepto/teron,λεπτός,adjective,braxei=,βραχύς,adjective,plei=ston,πλεῖστος,adjective,de\,δέ,particle,tau/th|,οὗτος,pronoun,diexou/sh|,διέχω,verb,kai\,καί,conjunction,smikrote/rh|,μικρός,adjective,*roph=|,kata\,κατά,preposition,go/nu,γόνυ,noun,kai\,καί,conjunction,o(,ὁ,article,te/nwn,τένων,noun,e)c,ἐκ,preposition,au)tou=,αὐτός,pronoun,pe/fuken,φύω,verb,o(,ὁ,article,para\,παρά,preposition,th\n,ὁ,article,i)ggu/hn,e)/cw,ἔξω,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)/xousi,ἔχω,verb,de\,δέ,particle,ka/twqen,κάτωθεν,adverb,koinh\n,κοινός,adjective,e)pi/fusin,ἐπίφυσις,noun,pro\s,πρός,preposition,h(\n,ὅς,pronoun,o(,ὁ,article,pou\s,πούς,noun,kine/etai,κινέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)/llhn,ἄλλος,adjective,de\,δέ,particle,a)/nwqen,ἄνωθεν,adverb,e)/xousin,ἔχω,verb,e)pi/fusin,ἐπίφυσις,noun,e)n,ἐν,preposition,h(=|,ὅς,pronoun,to\,ὁ,article,tou=,ὁ,article,mhrou=,μηρός,noun,a)/rqron,ἄρθρον,noun,kine/etai,κινέω,verb,a(plo/on,ἁπλόος,adjective,kai\,καί,conjunction,eu)stale\s,w(s,ὡς,conjunction,e)pi\,ἐπί,preposition,mh/kei,μῆκος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εὐσταλής,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=dos,εἶδος,noun,kondulw=des,κονδυλώδης,adjective,e)/xon,ἔχω,verb,e)pimuli/da,ἐπιμυλίς,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
