word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS
mou=sai,Μοῦσα,proper,*pieri/hqen,Πιερίηθεν,adverb,a)oidh=|sin,ἀοιδός,noun,klei/ousai,κλέω,verb,deu=te,δεῦτε,adverb,*di/',Δίη,proper,e)nne/pete,ἐνέπω,verb,sfe/teron,σφέτερος,adjective,pate/r',πατήρ,noun,u(mnei/ousai,ὑμνέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/nte,ὅστε,pronoun,dia\,διά,preposition,brotoi\,βροτός,noun,a)/ndres,ἀνήρ,noun,o(mw=s,ὁμῶς,adverb,a)/fatoi/,ἄφατος,adjective,te,τε,particle,fatoi/,φατός,adjective,te,τε,particle,r(htoi/,ῥητός,adjective,t',τε,particle,a)/rrhtoi/,ἄρρητος,adjective,te,τε,particle,*dio\s,Ζεύς,proper,mega/loio,μέγας,adverb,e(/khti,ἕκητι,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r(e/a,ῥέα,adverb,me\n,μέν,particle,ga\r,γάρ,particle,bria/ei,βριάω,verb,r(e/a,ῥέα,adverb,de\,δέ,particle,bria/onta,βριάω,verb,xale/ptei,χαλέπτω,verb,r(ei=a,ῥεῖα,adverb,d',δέ,particle,a)ri/zhlon,ἀρίζηλος,adjective,minu/qei,μινύθω,verb,kai\,καί,conjunction,a)/dhlon,ἄδηλος,adjective,a)e/cei,ἀέξω,verb,r(ei=a,ῥεῖα,adverb,de/,δέ,particle,t',τε,particle,i)qu/nei,ἰθύνω,verb,skolio\n,σκολιός,adjective,kai\,καί,conjunction,a)gh/nora,ἀγήνωρ,noun,ka/rfei,κάρφος,noun,*zeu\s,Ζεύς,proper,u(yibreme/ths,ὑψιβρεμέτης,noun,o(\s,ὅς,pronoun,u(pe/rtata,ὑπέρτατος,adjective,dw/mata,δῶμα,noun,nai/ei,ναίω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klu=qi,κλύω,verb,i)dw\n,εἶδον,verb,a)i/wn,ἀίω,verb,te,τε,particle,di/kh|,δίκη,adjective,d',δέ,particle,i)/qune,ἰθύνω,verb,qe/mistas,θέμις,noun,tu/nh,σύ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de/,δέ,particle,ke,ἄν,particle,*pe/rsh,Πέρσευς,proper,e)th/tuma,ἐτήτυμος,adjective,muqhsai/mhn,μυθέομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)k,οὐ,adverb,a)/ra,ἄρα,particle,mou=non,μόνος,adjective,e)/hn,εἰμί,verb,*)eri/dwn,Ἔρις,proper,ge/nos,γένος,noun,a)ll',ἀλλά,adverb,e)pi\,ἐπί,preposition,gai=an,γαῖα,noun,ei)si\,εἰμί,verb,du/w,δύο,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th\n,ὁ,article,me/n,μέν,particle,ken,ἄν,particle,e)paine/sseie,,,noh/sas,νοέω,verb,h(\,ὅς,pronoun,d',δέ,particle,e)pimwmhth/,ἐπιμωμητός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,d',δέ,particle,a)/ndixa,ἄνδιχα,adverb,qumo\n,θυμός,noun,e)/xousin,ἔχω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(\,ὅς,pronoun,me\n,μέν,particle,ga\r,γάρ,particle,po/lemo/n,πόλεμος,noun,te,τε,particle,kako\n,κακός,adjective,kai\,καί,conjunction,dh=rin,δῆρις,noun,o)fe/llei,ὀφέλλω,verb,sxetli/h,σχέτλιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ou)/tis,οὔτις,pronoun,th/n,ὁ,article,ge,γε,particle,filei=,φιλέω,verb,broto/s,βροτός,noun,a)ll',ἀλλά,adverb,u(p',ὑπό,preposition,a)na/gkhs,ἀνάγκη,noun,a)qana/twn,ἀθάνατος,adjective,boulh=|sin,βουλή,noun,*)/erin,Ἔρις,proper,timw=si,τιμάω,verb,barei=an,βαρύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
