word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS
*(omh/rw|,Ὅμηρος,proper,me\n,μέν,particle,ei)s,εἰς,preposition,th\n,ὁ,article,su/nodon,σύνοδος,noun,tw=n,ὁ,article,xeima/rrwn,χείμαρρος,noun,ei)/rhtai,ἔρομαι,verb,tw=n,ὁ,article,de/,δέ,particle,te,τε,particle,thlo/qi,τηλόθι,adverb,dou=pon,δοῦπος,noun,e)n,ἐν,preposition,ou)/resin,ὄρος,adjective,e)/klue,ἐκλύω,verb,poimh/n,ποιμήν,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,fri/canta,φρίσσω,verb,dh/,δή,particle,fhsin,φημί,verb,au)to\n,αὐτός,pronoun,ei)s,εἰς,preposition,to\,ὁ,article,sph/laion,σπήλαιον,noun,ei)selau/nein,εἰσελαύνω,verb,ta\s,ὁ,article,o)/i+s,ὄις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,de\,δέ,particle,kai/toi,καίτοι,particle,tosou=ton,τοσοῦτος,adjective,u(mw=n,σύ,pronoun,a)pe/xwn,ἀπέχω,verb,to\,ὁ,article,nu=n,νῦν,adverb,a)kou/sas,ἀκέω,verb,tou=,ὁ,article,u(/datos,ὕδωρ,noun,th\n,ὁ,article,ei)sbolh\n,εἰσβολή,noun,kai\,καί,conjunction,o(/son,ὅσος,adjective,ti,τις,pronoun,ko/smou,κόσμος,noun,prosge/gone,προσγίγνομαι,verb,th=|,ὁ,article,po/lei,πόλις,adjective,ou)x,οὐ,adverb,oi(=o/s,οἷος,adjective,te,τε,particle,h)=n,εἰμί,verb,h(suxa/zein,ἡσυχάζω,verb,u(f',ὑπό,preposition,h(donh=s,ἡδονά,noun,a)ll',ἀλλά,adverb,e)fqeggo/mhn,φθέγγομαι,verb,te,τε,particle,a(\,ὅς,pronoun,e)fqeggo/mhn,φθέγγομαι,verb,kai\,καί,conjunction,tou=,ὁ,article,sw/matos,σῶμα,adjective,h)|sqano/mhn,αἰσθάνομαι,verb,e)lafrote/rou,ἐλαφρός,adjective,kai\,καί,conjunction,xara=s,χαρά,noun,a)ph=n,ἄπειμι,verb,ou)de/n,οὐδείς,pronoun,duoi=n,δύο,adjective,d',δέ,particle,h(me/rain,ἥμερος,adjective,pro/teron,πρότερος,adjective,pri\n,πρίν,adverb,a)kou=sai,ἀκέω,verb
ou),οὐ,adverb,ga\r,γάρ,particle,xei=ron,χείρων,adverb,i)/sws,ἴσως,adverb,pro\s,πρός,preposition,u(ma=s,σύ,pronoun,ei)pei=n,εἶπον,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)kou/sesqe,ἀκούω,verb,ga\r,γάρ,particle,h(de/ws,ἡδέως,adverb,tou=,ὁ,article,qeou=,θεός,noun,xa/rin,χάρις,noun,tou=,ὁ,article,prodei/cantos,προδείκνυμι,verb,kai\,καί,conjunction,a(/ma,ἅμα,adverb,th=s,ὁ,article,eu)fhmi/as,εὐφημία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o)/yis,ὄψις,noun,o)neira/twn,ὄνειρος,noun,genome/nh,γίγνομαι,verb,moi,ἐγώ,pronoun,w(sperei\,ὥσπερ,adverb,diplasi/an,διπλάσιος,adjective,e)dei/knue,δείκνυμι,verb,th\n,ὁ,article,po/lin,πόλις,adjective,xwri/on,χωρίον,noun,te,τε,particle,dh/,δή,particle,tinos,τις,pronoun,prosqh/kh|,προσθήκη,noun,peporisme/nou,πορίζω,verb,sunexw=s,συνεχής,adverb,pro\s,πρός,preposition,au)th\n,αὐτός,pronoun,kai\,καί,conjunction,dhmosi/wn,δημόσιος,adjective,dh\,δή,particle,ko/smwn,κόσμος,noun,prosgenome/nwn,προσγίγνομαι,verb,paraplhsi/wn,παραπλήσιος,adjective,ma/lista/,μάλιστα,adverb,pws,πως,particle,toi=s,ὁ,article,peri\,περί,preposition,to\n,ὁ,article,fi/lion,φίλιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dia\,διά,preposition,tau=t',οὗτος,pronoun,ou)=n,οὖν,particle,o)/nar,ὄναρ,noun,te,τε,particle,e)ganu/mhn,γάνυμαι,verb,kai\,καί,conjunction,e)peidh\,ἐπεί,conjunction,a)ne/sthn,ἀνίστημι,verb,e)la/mbanon,λαμβάνω,verb,ei)s,εἰς,preposition,a)gaqo\n,ἀγαθός,adjective,th=|,ὁ,article,te,τε,particle,po/lei,πόλις,adjective,kai\,καί,conjunction,e)mautw=|,ἐμαυτοῦ,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tritai/a,τριταῖος,adjective,de\,δέ,particle,e)pi\,ἐπί,preposition,tou/tois,οὗτος,pronoun,a)ggeli/a,ἀγγελία,noun,para\,παρά,preposition,a)ndro\s,ἀνήρ,noun,tw=n,ὁ,article,e)pithdei/wn,ἐπιτήδειος,adjective,a)fiknei=tai,ἀφικνέομαι,verb,fra/zousa,φράζω,verb,kai\,καί,conjunction,dh\,δή,particle,pa=san,πᾶς,adjective,u(mi=n,σύ,pronoun,th\n,ὁ,article,*)asi/an,Ἄσιος,proper,suneorta/zein,συνεορτάζω,verb,th=s,ὁ,article,peri\,περί,preposition,pa/nta,πᾶς,adjective,a)gaqh=s,ἀγαθός,adjective,tu/xhs,τύχη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei)=nai,εἰμί,verb,ga\r,γάρ,particle,to\,ὁ,article,u(/dwr,ὕδωρ,noun,plh/qei,πλῆθος,noun,te,τε,particle,plei=ston,πλεῖστος,adjective,kai\,καί,conjunction,ka/llei,κάλλος,noun,ka/lliston,καλός,noun,o(/swn,ὅσος,adjective,e)/laxon,λαγχάνω,verb,po/leis,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h)=gon,ἄγω,verb,ou)=n,οὖν,particle,ou)x,οὐ,adverb,o(/son,ὅσος,adjective,h)rinh\n,ἠρινός,adjective,h(me/ran,ἡμέρα,noun,a)ll',ἀλλά,adverb,oi(/an,οἷος,adjective,ei)ko\s,ἔοικα,verb,a)/gein,ἄγω,verb,*dio/s,Ζεύς,proper,te,τε,particle,eu)aggeli/ou,εὐαγγέλιον,noun,kai\,καί,conjunction,*)asklhpiou=,Ἀσκληπιός,proper,swth=ros,σωτήρ,noun,pantaxh=,πανταχῆ,adverb,timw=ntos,τιμάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
