word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS
*xqono\s,Χθών,proper,me\n,μέν,particle,e)s,εἰς,preposition,thlouro\n,τηλουρός,adjective,h(/komen,ἥκω,verb,pe/don,πέδον,noun,*sku/qhn,Σκύθης,proper,e)s,εἰς,preposition,oi(=mon,οἷμος,noun,a)/baton,ἄβατος,adjective,ei)s,εἰς,preposition,e)rhmi/an,ἐρημία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(/hfaiste,Ἥφαιστος,proper,soi\,σύ,pronoun,de\,δέ,particle,xrh\,χρή,verb,me/lein,μέλω,verb,e)pistola\s,ἐπιστολή,noun,a(/s,ὅς,pronoun,soi,σύ,pronoun,path\r,πατήρ,noun,e)fei=to,ἐφέζομαι,verb,to/nde,ὅδε,pronoun,pro\s,πρός,preposition,pe/trais,πέτρα,noun,u(yhlokrh/mnois,ὑψηλόκρημνος,adjective,to\n,ὁ,article,lewrgo\n,λεωργός,adjective,o)xma/sai,ὀχμάζω,verb,a)damanti/nwn,ἀδαμάντινος,adjective,desmw=n,δέσμη,noun,e)n,ἐν,preposition,a)rrh/ktois,ἄρρηκτος,adjective,pe/dais,πέδη,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,so\n,σός,adjective,ga\r,γάρ,particle,a)/nqos,ἄνθος,adjective,pante/xnou,πάντεχνος,adjective,puro\s,πῦρ,noun,se/las,σέλας,adjective,qnhtoi=si,θνητός,adjective,kle/yas,κλέπτω,verb,w)/pasen,ὀπάζω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toia=sde/,τοιόσδε,adjective,toi,τοι,particle,a(marti/as,ἁμαρτία,noun,sfe,σφεῖς,pronoun,dei=,δέομαι,verb,qeoi=s,θεός,noun,dou=nai,δίδωμι,verb,di/khn,δίκη,adjective,w(s,ὡς,conjunction,a)\n,ἄν,particle,didaxqh=|,διδάσκω,verb,th\n,ὁ,article,*dio\s,Ζεύς,proper,turanni/da,τυραννίς,noun,ste/rgein,στέργω,verb,filanqrw/pou,φιλάνθρωπος,adjective,de\,δέ,particle,pau/esqai,παύω,verb,tro/pou,τρόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kra/tos,Κράτης,proper,*bi/a,Βίας,proper,te,τε,particle,sfw=|n,σφεῖς,pronoun,me\n,μέν,particle,e)ntolh\,ἐντολή,noun,*dio\s,Ζεύς,proper,e)/xei,ἔχω,verb,te/los,τέλος,noun,dh\,δή,particle,kou)de\n,οὐδείς,pronoun,e)mpodw\n,ἐμποδών,adverb,e)/ti,ἔτι,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)gw\,ἐγώ,pronoun,d',δέ,particle,a)/tolmo/s,ἄτολμος,adjective,ei)mi,εἰμί,verb,suggenh=,συγγενεύς,noun,qeo\n,θεός,noun,dh=sai,δέομαι,verb,bi/a|,βία,adjective,fa/raggi,φάραγξ,noun,pro\s,πρός,preposition,dusxeime/rw|,δυσχείμερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa/ntws,πάντως,adverb,d',δέ,particle,a)na/gkh,ἀνάγκη,noun,tw=nde/,ὅδε,pronoun,moi,ἐγώ,pronoun,to/lman,τόλμα,noun,sxeqei=n,σχέθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)cwria/zein,ἐξωριάζω,verb,ga\r,γάρ,particle,patro\s,πατήρ,noun,lo/gous,λόγος,noun,baru/,βαρύς,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th=s,ὁ,article,o)rqobou/lou,ὀρθόβουλος,adjective,*qe/midos,Θέμις,proper,ai)pumh=ta,αἰπυμήτης,noun,pai=,παῖς,adjective,a)/konta/,ἄκων,noun,s',σύ,pronoun,a)/kwn,ἀέκων,adjective,duslu/tois,δύσλυτος,adverb,xalkeu/masi,χάλκευμα,noun,prospassaleu/sw,προσπασσαλεύω,verb,tw=|d',ὅδε,pronoun,a)panqrw/pw|,ἀπάνθρωπος,adjective,pa/gw|,πᾶγος,noun,i(/n',ἵνα,conjunction,ou)/te,οὔτε,adverb,fwnh\n,φωνή,noun,ou)/te,οὔτε,adverb,tou,τις,pronoun,morfh\n,μορφή,noun,brotw=n,βροτός,noun,o)/yei,ὁράω,verb,staqeuto\s,σταθευτός,adjective,d',δέ,particle,h(li/ou,ἥλιος,noun,foi/bh|,φοῖβος,adjective,flogi\,φλόξ,noun,xroia=s,χροιά,adjective,a)mei/yeis,ἀμείβω,verb,a)/nqos,ἄνθος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a)sme/nw|,ἄσμενος,adjective,de/,δέ,particle,soi,σύ,pronoun,h(,ὁ,article,poikilei/mwn,ποικιλείμων,adjective,nu\c,νύξ,adjective,a)pokru/yei,ἀποκρύπτω,verb,fa/os,φάος,adjective,pa/xnhn,πάχνη,noun,q',τε,particle,e(w/|an,ἑῷος,adjective,h(/lios,ἥλιος,noun,skeda=|,σκεδάννυμι,verb,pa/lin,πάλιν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
