word/0/@_form,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/0/lemma/@_entry,word/0/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS
*peri,poihtikh=s,ποιητικός,adjective,au)th=s,αὐτός,pronoun,te,τε,particle,kai\,καί,conjunction,tw=n,ὁ,article,ei)dw=n,εἶδος,noun,au)th=s,αὐτός,pronoun,h(/n,ὅς,pronoun,tina,τις,pronoun,du/namin,δύναμις,adjective,e(/kaston,ἕκαστος,adjective,e)/xei,ἔχω,verb,kai\,καί,conjunction,pw=s,πῶς,adverb,dei=,δέομαι,verb,suni/stasqai,συνίστημι,verb,tou\s,ὁ,article,mu/qous,μῦθος,noun,ei),εἰ,conjunction,me/llei,μέλλω,verb,kalw=s,καλός,noun,e(/cein,ἔχω,verb,h(,ὁ,article,poi/hsis,ποίησις,noun,e)/ti,ἔτι,adverb,de\,δέ,particle,e)k,ἐκ,preposition,po/swn,πόσος,adjective,kai\,καί,conjunction,poi/wn,ποῖος,adjective,e)sti\,εἰμί,verb,mori/wn,μόριον,noun,o(moi/ws,ὅμοιος,adjective,de\,δέ,particle,kai\,καί,conjunction,peri\,περί,preposition,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,o(/sa,ὅσος,adjective,th=s,ὁ,article,au)th=s,αὐτός,pronoun,e)sti\,εἰμί,verb,meqo/dou,μέθοδος,noun,le/gwmen,λέγω,verb,a)rca/menoi,ἄρχω,verb,kata\,κατά,preposition,fu/sin,φύσις,noun,prw=ton,πρότερος,adjective,a)po\,ἀπό,preposition,tw=n,ὁ,article,prw/twn,πρότερος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)epopoii/a,dh\,δή,particle,kai\,καί,conjunction,h(,ὁ,article,th=s,ὁ,article,tragw|di/as,τραγῳδία,noun,poi/hsis,ποίησις,noun,e)/ti,ἔτι,adverb,de\,δέ,particle,kwmw|di/a,κωμῳδία,noun,kai\,καί,conjunction,h(,ὁ,article,diqurambopoihtikh\,διθυραμβοποιητική,noun,kai\,καί,conjunction,th=s,ὁ,article,au)lhtikh=s,αὐλητικός,adjective,h(,ὁ,article,plei/sth,πλεῖστος,adjective,kai\,καί,conjunction,kiqaristikh=s,κιθαριστικός,adjective,pa=sai,πᾶς,adjective,tugxa/nousin,τυγχάνω,verb,ou)=sai,εἰμί,verb,mimh/seis,μίμησις,noun,to\,ὁ,article,su/nolon,σύνολος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ἐποποιία,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*diafe/rousi,de\,δέ,particle,a)llh/lwn,ἀλλήλων,pronoun,trisi/n,τρεῖς,noun,h)\,ἠέ,conjunction,ga\r,γάρ,particle,tw=|,ὁ,article,ge/nei,γένος,noun,e(te/rois,ἕτερος,adjective,mimei=sqai,μιμέομαι,verb,h)\,ἠέ,conjunction,tw=|,ὁ,article,e(/tera,ἕτερος,adjective,h)\,ἠέ,conjunction,tw=|,ὁ,article,e(te/rws,ἑτέρως,adverb,kai\,καί,conjunction,mh\,μή,conjunction,to\n,ὁ,article,au)to\n,αὐτός,pronoun,tro/pon,τρόπος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,διαφέρω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(/wsper,ga\r,γάρ,particle,kai\,καί,conjunction,xrw/masi,χρῶμα,noun,kai\,καί,conjunction,sxh/masi,σχῆμα,noun,polla\,πολύς,adjective,mimou=ntai/,μιμέομαι,verb,tines,τις,pronoun,a)peika/zontes,ἀπεικάζω,verb,oi(,ἕ,pronoun,me\n,μέν,particle,dia\,διά,preposition,te/xnhs,τέχνη,noun,oi(,ὁ,article,de\,δέ,particle,dia\,διά,preposition,sunhqei/as,συνήθεια,noun,e(/teroi,ἕτερος,adjective,de\,δέ,particle,dia\,διά,preposition,th=s,ὁ,article,fwnh=s,φωνή,noun,ou(/tw,οὕτως,adverb,ka)n,ἐν,preposition,tai=s,ὁ,article,ei)rhme/nais,ἐρῶ,verb,te/xnais,τέχνη,noun,a(/pasai,ἅπας,adjective,me\n,μέν,particle,poiou=ntai,ποιέω,verb,th\n,ὁ,article,mi/mhsin,μίμησις,noun,e)n,ἐν,preposition,r(uqmw=|,ῥυθμός,noun,kai\,καί,conjunction,lo/gw|,λόγος,noun,kai\,καί,conjunction,a(rmoni/a|,ἁρμονία,noun,tou/tois,οὗτος,pronoun,d',δέ,particle,h)\,ἠέ,conjunction,xwri\s,χωρίς,adverb,h)\,ἠέ,conjunction,memigme/nois,μίγνυμι,verb,oi(=on,οἷος,adjective,a(rmoni/a|,ἁρμονία,noun,me\n,μέν,particle,kai\,καί,conjunction,r(uqmw=|,ῥυθμός,noun,xrw/menai,χράομαι,verb,mo/non,μόνος,adjective,ὥσπερ,adverb,h(/,ὅς,pronoun,te,τε,particle,au)lhtikh\,αὐλητικός,adjective,kai\,καί,conjunction,h(,ὁ,article,kiqaristikh/,κιθαριστικός,adjective,ka)\n,κἀν,conjunction,ei)/,εἰ,conjunction,tines,τις,pronoun,e(/terai,ἕτερος,adjective,tugxa/nwsin,τυγχάνω,verb,ou)=sai,εἰμί,verb,toiau=tai,τοιοῦτος,adjective,th\n,ὁ,article,du/namin,δύναμις,adjective,oi(=on,οἷος,adjective,h(,ὁ,article,tw=n,ὁ,article,suri/ggwn,σῦριγξ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*au)tw=|,de\,δέ,particle,tw=|,ὁ,article,r(uqmw=|,ῥυθμός,noun,mimou=ntai,μιμέομαι,verb,xwri\s,χωρίς,adverb,a(rmoni/as,ἁρμονία,noun,oi(,ἕ,pronoun,tw=n,ὁ,article,o)rxhstw=n,ὀρχηστής,noun,kai\,καί,conjunction,ga\r,γάρ,particle,ou(=toi,οὗτος,pronoun,dia\,διά,preposition,tw=n,ὁ,article,sxhmatizome/nwn,σχηματίζω,verb,r(uqmw=n,ῥυθμός,noun,mimou=ntai,μιμέομαι,verb,kai\,καί,conjunction,h)/qh,ἦθος,adjective,kai\,καί,conjunction,pa/qh,πάθη,noun,kai\,καί,conjunction,pra/ceis,πρᾶξις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(h,de\,δέ,particle,e)popoii/a,ἐποποιία,noun,mo/non,μόνος,adjective,toi=s,ὁ,article,lo/gois,λόγος,noun,yiloi=s,ψιλός,adjective,h)\,ἠέ,conjunction,toi=s,ὁ,article,me/trois,μέτρον,noun,kai\,καί,conjunction,tou/tois,οὗτος,pronoun,ei)/te,εἴτε,adverb,mignu=sa,μίγνυμι,verb,met',μετά,preposition,a)llh/lwn,ἀλλήλων,pronoun,ei)/q',εἴθε,interjection,e(ni/,εἷς,adjective,tini,τις,pronoun,ge/nei,γένος,noun,xrwme/nh,χράομαι,verb,tw=n,ὁ,article,me/trwn,μέτρον,noun,tugxa/nousa,τυγχάνω,verb,me/xri,μέχρι,preposition,tou=,ὁ,article,nu=n,νῦν,adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ou)de\n,ga\r,γάρ,particle,a)\n,ἄν,particle,e)/xoimen,ἔχω,verb,o)noma/sai,ὀνομάζω,verb,koino\n,κοινός,adjective,tou\s,ὁ,article,*sw/fronos,Σώφρων,proper,kai\,καί,conjunction,*cena/rxou,Ξέναρχος,proper,mi/mous,μῖμος,noun,kai\,καί,conjunction,tou\s,ὁ,article,*swkratikou\s,Σωκρατικός,adjective,lo/gous,λόγος,noun,ou)de\,οὐδέ,particle,ei)/,εἰ,conjunction,tis,τις,pronoun,dia\,διά,preposition,trime/trwn,τρίμετρος,adjective,h)\,ἠέ,conjunction,e)legei/wn,ἐλεγεῖον,noun,h)\,ἠέ,conjunction,tw=n,ὁ,article,a)/llwn,ἄλλος,adjective,tinw=n,τις,pronoun,tw=n,ὁ,article,toiou/twn,τοιοῦτος,adjective,poioi=to,ποιέω,verb,th\n,ὁ,article,mi/mhsin,μίμησις,noun,plh\n,πλήν,preposition,oi(,ὁ,article,a)/nqrwpoi/,ἄνθρωπος,noun,ge,γε,particle,suna/ptontes,συνάπτω,verb,tw=|,ὁ,article,me/trw|,μέτρον,noun,to\,ὁ,article,poiei=n,ποιέω,verb,e)legeiopoiou\s,ἐλεγειοποιός,noun,tou\s,ὁ,article,de\,δέ,particle,e)popoiou\s,ἐποποιός,noun,o)noma/zousin,ὀνομάζω,verb,ou)x,οὐ,adverb,w(s,ὡς,conjunction,tou\s,ὁ,article,kata\,κατά,preposition,mi/mhsin,μίμησις,noun,poihta\s,ποιητής,noun,a)lla\,ἀλλά,adverb,οὐδείς,pronoun,koinh=|,κοινῇ,adverb,kata\,κατά,preposition,to\,ὁ,article,me/tron,μέτρον,noun,prosagoreu/ontes,προσαγορεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kai\,ga\r,γάρ,particle,a)\n,ἄν,particle,i)atriko\n,ἰατρικός,adjective,h)\,ἠέ,conjunction,mousiko/n,μουσικός,adjective,ti,τις,pronoun,dia\,διά,preposition,tw=n,ὁ,article,me/trwn,μέτρον,noun,e)kfe/rwsin,ἐκφέρω,verb,ou(/tw,οὕτως,adverb,kalei=n,καλέω,verb,ei)w/qasin,ἔθω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,καί,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ou)de\n,de\,δέ,particle,koino/n,κοινός,adjective,e)stin,εἰμί,verb,*(omh/rw|,Ὅμηρος,proper,kai\,καί,conjunction,*)empedoklei=,Ἐμπεδοκλῆς,proper,plh\n,πλήν,preposition,to\,ὁ,article,me/tron,μέτρον,noun,dio\,διό,conjunction,to\n,ὁ,article,me\n,μέν,particle,poihth\n,ποιητής,noun,di/kaion,δίκαιος,adjective,kalei=n,καλέω,verb,to\n,ὁ,article,de\,δέ,particle,fusiolo/gou,φυσιόλογος,noun,ma=llon,μᾶλλον,adverb,h)\,ἠέ,conjunction,poihth/n,ποιητός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,οὐδείς,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(omoi/ws,de\,δέ,particle,ka)\n,κἀν,conjunction,ei)/,εἰ,conjunction,tis,τις,pronoun,a(/panta,ἅπας,adjective,ta\,ὁ,article,me/tra,μέτρον,noun,mignu/wn,μίγνυμι,verb,poioi=to,ποιέω,verb,th\n,ὁ,article,mi/mhsin,μίμησις,noun,kaqa/per,καθά,adverb,*xairh/mwn,Χαιρήμων,proper,e)poi/hse,ποιέω,verb,*ke/ntauron,Κένταυρος,proper,mikth\n,μικτός,adjective,r(ayw|di/an,ῥαψῳδία,noun,e)c,ἐκ,preposition,a(pa/ntwn,ἅπας,adjective,tw=n,ὁ,article,me/trwn,μέτρον,noun,ou)k,οὐ,adverb,h)/dh,ἤδη,adverb,kai\,καί,conjunction,poihth\n,ποιητής,noun,prosagoreute/on,προσαγορευτέος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ὅμοιος,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
