word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS
qeou\s,θεός,noun,me\n,μέν,particle,ai)tw=,αἰτέω,verb,tw=nd',ὅδε,pronoun,a)pallagh\n,ἀπαλλαγή,noun,po/nwn,πόνος,noun,froura=s,φρουρά,noun,e)tei/as,ἔτειος,adjective,mh=kos,μῆκος,adjective,h(\n,ὅς,pronoun,koimw/menos,κοιμάω,verb,ste/gais,στέγη,noun,*)atreidw=n,Ἀτρείδης,proper,a)/gkaqen,ἄγκαθεν,adverb,kuno\s,κύων,noun,di/khn,δίκη,adjective,a)/strwn,ἄστρον,noun,ka/toida,κάτοιδα,verb,nukte/rwn,νύκτερος,adjective,o(mh/gurin,ὁμήγυρις,adjective,kai\,καί,conjunction,tou\s,ὁ,article,fe/rontas,φέρω,verb,xei=ma,χεῖμα,noun,kai\,καί,conjunction,qe/ros,θέρος,noun,brotoi=s,βροτός,noun,lamprou\s,λαμπρός,adjective,duna/stas,δυνάστης,noun,e)mpre/pontas,ἐμπρέπω,verb,ai)qe/ri,αἰθήρ,noun,kai\,καί,conjunction,nu=n,νῦν,adverb,fula/ssw,φυλάσσω,verb,lampa/dos,λαμπάς,noun,to/,ὁ,article,su/mbolon,σύμβολον,noun,au)gh\n,αὐγή,noun,puro\s,πῦρ,noun,fe/rousan,φέρω,verb,e)k,ἐκ,preposition,*troi/as,Τροία,proper,fa/tin,φάτις,adjective,a(lw/simo/n,ἁλώσιμος,adjective,te,τε,particle,ba/cin,βάξις,noun,,,,,,,,,,,,
w(=de,ὧδε,adverb,ga\r,γάρ,particle,kratei=,κρατέω,verb,gunaiko\s,γυνή,noun,a)ndro/boulon,ἀνδρόβουλος,adjective,e)lpi/zon,ἐλπίζω,verb,ke/ar,κῆρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu)=t',εὖτε,conjunction,a)\n,ἄν,particle,de\,δέ,particle,nukti/plagkton,νυκτίπλαγκτος,adjective,e)/ndroso/n,ἔνδροσος,adjective,t',τε,particle,e)/xw,ἔχω,verb,eu)nh\n,εὐνή,noun,o)nei/rois,ὄνειρος,noun,ou)k,οὐ,adverb,e)piskopoume/nhn,ἐπισκοπέω,verb,e)mh/n,ἐμός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fo/bos,φόβος,noun,ga\r,γάρ,particle,a)nq',ἀντί,preposition,u(/pnou,ὕπνον,noun,parastatei=,παραστατέω,verb,to\,ὁ,article,mh\,μή,conjunction,bebai/ws,βέβαιος,adjective,ble/fara,βλέφαρον,noun,sumbalei=n,συμβάλλω,verb,u(/pnw|,ὕπνον,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/tan,ὅταν,conjunction,d',δέ,particle,a)ei/dein,ἀείδω,verb,h)\,ἠέ,conjunction,minu/resqai,μινύρομαι,verb,dokw=,δοκάζω,verb,u(/pnou,ὕπνον,noun,to/d',ὅδε,pronoun,a)nti/molpon,ἀντίμολπος,adjective,e)nte/mnwn,ἐντέμνω,verb,a)/kos,ἄκος,noun,klai/w,κλαίω,verb,to/t',τότε,adverb,oi)/kou,οἶκος,noun,tou=de,ὅδε,pronoun,sumfora\n,συμφορά,noun,ste/nwn,στένω,verb,ou)x,οὐ,adverb,w(s,ὡς,conjunction,ta\,ὁ,article,pro/sq',πρόσθεν,adverb,a)/rista,ἄριστος,adjective,diaponoume/nou,διαπονέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu=n,νῦν,adverb,d',δέ,particle,eu)tuxh\s,εὐτυχής,adjective,ge/noit',γίγνομαι,verb,a)pallagh\,ἀπαλλαγή,noun,po/nwn,πόνος,noun,eu)agge/lou,εὐάγγελος,adjective,fane/ntos,φαίνω,verb,o)rfnai/ou,ὀρφναῖος,adjective,puro/s,πῦρ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w)=,ὦ,interjection,xai=re,χαίρω,verb,lampth\r,λαμπτήρ,noun,nukto/s,νύξ,adjective,h(merh/sion,ἡμερήσιος,adjective,fa/os,φάος,adjective,pifau/skwn,πιφαύσκω,verb,kai\,καί,conjunction,xorw=n,χορός,noun,kata/stasin,κατάστασις,noun,pollw=n,πολύς,adjective,e)n,ἐν,preposition,*)/argei,Ἄργος,proper,th=sde,ὅδε,pronoun,sumfora=s,συμφορά,noun,xa/rin,χάρις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i)ou\,ἰού,interjection,i)ou/,ἰού,interjection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)agame/mnonos,Ἀγαμέμνων,proper,gunaiki\,γυνή,noun,shmai/nw,σημαίνω,verb,torw=s,τορός,adjective,eu)nh=s,εὐνή,noun,e)pantei/lasan,ἐπανατέλλω,verb,w(s,ὡς,conjunction,ta/xos,τάχος,adjective,do/mois,δόμος,noun,o)lolugmo\n,ὀλολυγμός,noun,eu)fhmou=nta,εὐφημέω,verb,th=|de,ὅδε,pronoun,lampa/di,λαμπάς,noun,e)porqia/zein,ἐπορθιάζω,verb,ei)/per,εἴπερ,conjunction,*)ili/ou,Ἴλιον,proper,po/lis,πόλις,adjective,e(a/lwken,ἁλίσκομαι,verb,w(s,ὡς,conjunction,o(,ὁ,article,frukto\s,φρυκτός,adjective,a)gge/llwn,ἀγγέλλω,verb,pre/pei,πρέπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
au)to/s,αὐτός,pronoun,t',τε,particle,e)/gwge,ἐγώ,pronoun,froi/mion,φροίμιον,noun,xoreu/somai,χορεύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
